CSV,Newburgh,Ogdensburg,Rome,Scarsdale,East Hampton,Saranac Lake,Oneonta,Utica,Queens,Brooklyn,Great Neck,Massena,Cohoes,Johnstown,New Rochelle,Dunkirk,Fredonia,Amsterdam,Rochester,Watertown,Staten Island,Clinton,Beacon,Nyack,Flushing,Mineola,Oyster Bay,East Aurora,White Plains,Rensselaer,Corning,Babylon,Hammondsport,New Paltz,Manhattan,Crown Point,Mount Vernon,Watkins Glen,Niagara Falls,Rotterdam,Mamaroneck,Ticonderoga,Glens Falls,Binghamton,Lockport,Stony Brook,Cheektowaga,Rye,Watervliet
Newburgh,0,4185.6,8827.9,7514.3,6204.6,7002.0,8578.9,9765.4,6178.5,5585.1,508.2,5207.0,3813.0,8255.3,9666.1,8713.0,4482.0,8901.7,8150.5,8521.2,4312.3,2608.0,880.4,4210.0,7444.2,8205.6,2826.7,1381.4,8964.6,5122.7,6272.4,6762.6,4247.0,6752.9,1293.8,3709.6,7426.9,1788.4,7778.9,7404.6,6452.8,1875.6,8810.1,4621.0,955.2,1828.6,3848.8,9469.0,6849.4
Ogdensburg,4185.6,0,9293.3,179.8,4536.2,5915.2,1299.5,8036.9,6932.2,7949.9,745.0,4513.6,6044.8,8632.3,8883.3,9159.5,2721.0,7439.8,3572.8,5359.3,8481.9,6853.9,4197.1,4129.5,7890.7,4173.5,1441.8,2749.8,1801.1,3146.3,5498.8,6632.2,270.2,9210.1,2552.0,3253.8,6821.5,7784.3,7360.8,3984.4,9272.6,6393.2,3249.0,1755.9,3780.0,6137.4,1605.9,5213.7,3784.9
Rome,8827.9,9293.3,0,2602.1,3207.4,4169.5,8695.3,2978.5,4992.6,5575.9,3998.4,8356.3,5336.7,9704.5,8831.0,6046.2,7499.9,6335.5,5473.6,5890.7,7253.7,8587.8,2785.6,3601.0,4284.1,1148.7,4123.6,7279.0,3447.2,6945.0,7249.0,7252.0,6734.7,34.8,7299.2,6893.1,845.8,8613.6,8551.0,6855.3,3053.0,3424.7,9917.1,8988.7,2534.5,3856.2,6430.5,2693.1,5489.1
Scarsdale,7514.3,179.8,2602.1,0,9971.9,9746.3,9370.0,9991.7,5435.5,7269.9,2799.2,1442.9,5328.3,1456.6,1859.8,6999.2,9946.0,2505.9,771.3,3040.2,7423.7,8058.7,7675.4,5490.0,8913.2,1682.5,3002.8,8589.8,6450.1,4558.5,8922.9,4435.2,3118.3,8586.8,4373.2,9415.1,44.4,2829.4,3643.9,3199.3,5078.7,8611.0,1445.3,7569.6,8574.1,2719.7,6925.4,3489.3,3760.8
East Hampton,6204.6,4536.2,3207.4,9971.9,0,9881.1,1653.2,2688.0,9163.2,5613.0,2424.8,5250.8,3298.9,3367.3,714.5,7961.4,6610.8,519.0,2434.3,8243.4,7146.6,5160.1,5190.5,7834.1,5821.0,9947.7,4124.7,3937.5,5683.7,7338.5,2183.2,2451.4,7731.8,1501.1,4548.2,3110.0,6111.3,7300.8,4164.0,9667.9,9720.5,4713.0,3997.7,2022.0,1998.6,4847.4,4185.9,7196.7,1598.0
Saranac Lake,7002.0,5915.2,4169.5,9746.3,9881.1,0,5344.1,4704.7,5411.4,2237.7,463.4,4872.2,7181.9,745.2,296.6,4845.1,444.3,7420.9,6615.0,5006.7,580.5,5314.1,6056.8,8377.4,5498.3,7854.0,5535.8,1548.0,7293.7,8180.6,7824.3,4126.2,5699.7,4278.9,8562.8,914.2,6977.5,6261.8,9223.4,9612.6,7430.6,6438.8,4017.2,4668.8,8216.3,296.9,4753.5,5119.8,7784.0
Oneonta,8578.9,1299.5,8695.3,9370.0,1653.2,5344.1,0,8071.1,3583.1,4424.7,1665.6,279.2,4056.1,5934.9,2692.4,5149.7,2302.1,702.6,5124.9,350.9,9738.6,6769.8,3513.1,2606.7,3412.5,5044.5,7653.7,7248.6,8372.2,883.2,8900.2,2878.9,3728.6,5347.9,795.0,8914.9,832.5,582.0,2588.4,1409.4,5267.5,2316.1,5977.0,8826.5,9644.6,7643.7,5293.1,4803.7,6108.0
Utica,9765.4,8036.9,2978.5,9991.7,2688.0,4704.7,8071.1,0,8676.3,9313.6,8893.1,21.6,5970.0,8533.5,4331.8,6111.8,3208.2,2129.1,3134.8,9986.4,2647.3,861.8,8767.9,8355.3,2117.7,3443.1,3638.4,3259.7,1494.4,9933.8,8073.2,1110.3,3335.9,233.9,9090.7,8679.6,8838.9,4058.3,3034.1,7377.8,2655.1,4384.9,591.3,7704.1,1508.8,9024.6,385.7,9315.3,9375.4
Queens,6178.5,6932.2,4992.6,5435.5,9163.2,5411.4,3583.1,8676.3,0,6381.0,9944.3,4798.3,8888.0,8187.2,706.8,9912.5,6611.2,7757.8,8118.6,1770.6,238.7,4143.6,8683.3,3785.8,8041.0,1619.6,3456.4,3777.6,3372.9,5412.8,1240.8,9551.3,2768.2,6500.6,9116.7,5889.5,7442.5,6710.9,240.8,5628.1,3732.7,262.3,6055.5,1038.2,8042.7,3951.2,6527.8,2457.6,183.0
Brooklyn,5585.1,7949.9,5575.9,7269.9,5613.0,2237.7,4424.7,9313.6,6381.0,0,7309.6,6764.4,5310.9,1273.3,6474.5,2147.7,5782.4,9753.0,4605.9,3112.2,4048.2,2234.6,8524.0,5177.1,4962.1,8149.1,6395.1,2835.4,2690.3,1254.1,9774.8,519.7,4980.1,8505.4,4559.9,1697.4,1645.6,8103.8,1344.8,3642.6,5907.4,3025.5,844.9,1868.0,5182.2,5833.2,1854.9,7124.7,2247.6
Great Neck,508.2,745.0,3998.4,2799.2,2424.8,463.4,1665.6,8893.1,9944.3,7309.6,0,6555.0,1424.6,6699.1,5114.8,5526.6,9800.4,617.3,8395.9,1366.8,8736.0,8059.5,1014.9,8746.5,4920.4,6024.0,6357.5,5884.7,3661.4,506.6,3553.3,553.9,4542.2,1574.6,2777.0,9699.5,8586.5,2626.1,1515.8,7641.7,9713.8,5899.2,2406.8,4602.3,9415.3,3733.4,4213.3,9704.9,5486.9
Massena,5207.0,4513.6,8356.3,1442.9,5250.8,4872.2,279.2,21.6,4798.3,6764.4,6555.0,0,1265.3,2799.5,8275.2,501.2,2107.4,373.3,9073.0,6516.8,8366.3,3080.7,5816.1,7015.7,4621.5,5923.1,5883.8,7736.1,1633.6,1659.2,923.9,5563.5,7610.6,9759.1,3168.5,9066.9,2270.9,227.8,5378.3,6689.9,598.9,7241.2,8136.8,9426.8,7935.4,8354.4,9436.5,4048.5,2957.0
Cohoes,3813.0,6044.8,5336.7,5328.3,3298.9,7181.9,4056.1,5970.0,8888.0,5310.9,1424.6,1265.3,0,4928.4,4166.8,1377.9,9002.0,3633.2,955.7,3573.0,7309.4,8545.5,218.7,7011.2,8457.7,9749.5,2906.6,9268.0,5466.6,4536.6,9384.7,3341.7,5956.6,7256.2,8881.0,1594.3,2818.7,8877.5,6096.5,6276.1,3991.0,754.4,5308.6,5732.0,4414.2,7609.2,9342.8,6972.7,9196.2
Johnstown,8255.3,8632.3,9704.5,1456.6,3367.3,745.2,5934.9,8533.5,8187.2,1273.3,6699.1,2799.5,4928.4,0,5239.3,2638.6,6126.7,9624.3,7231.1,3178.8,9797.1,6682.5,7525.4,9533.1,8738.1,151.6,2224.6,8933.3,5141.3,4138.4,972.3,6812.2,6704.9,1100.4,9832.7,2545.6,4370.5,7946.2,8491.6,2845.8,7005.0,1111.8,4230.6,346.8,9374.1,719.7,9612.1,369.1,7799.7
New Rochelle,9666.1,8883.3,8831.0,1859.8,714.5,296.6,2692.4,4331.8,706.8,6474.5,5114.8,8275.2,4166.8,5239.3,0,8189.9,8748.7,14.5,2193.3,7339.5,536.8,9726.9,4014.5,5306.2,5496.9,940.1,3507.1,5711.4,3620.4,8352.5,690.2,9094.8,3244.7,8628.3,7233.4,5911.5,2058.9,94.2,2935.7,565.1,4882.7,2923.4,7714.3,5082.0,4221.2,9331.2,7669.1,4113.6,2341.2
Dunkirk,8713.0,9159.5,6046.2,6999.2,7961.4,4845.1,5149.7,6111.8,9912.5,2147.7,5526.6,501.2,1377.9,2638.6,8189.9,0,560.1,4860.0,1417.3,7305.7,5311.5,71.8,5805.8,2019.2,4131.9,3999.1,1435.4,416.5,8485.8,5753.5,4479.8,8682.4,3320.8,5863.7,9411.0,7719.4,358.0,9713.3,776.5,580.2,7989.1,4451.9,2051.2,4267.2,5750.9,888.1,9282.5,3563.6,360.6
Fredonia,4482.0,2721.0,7499.9,9946.0,6610.8,444.3,2302.1,3208.2,6611.2,5782.4,9800.4,2107.4,9002.0,6126.7,8748.7,560.1,0,6374.7,1471.5,5642.7,3814.7,3077.9,9626.0,2194.5,2946.3,5774.8,6436.1,5619.3,4893.4,6799.1,2240.9,8702.9,8531.3,5438.1,4211.2,1717.1,4304.5,4246.8,4563.9,6343.7,7573.0,2844.8,5169.5,198.4,4416.5,2545.3,1748.2,1323.1,6683.7
Amsterdam,8901.7,7439.8,6335.5,2505.9,519.0,7420.9,702.6,2129.1,7757.8,9753.0,617.3,373.3,3633.2,9624.3,14.5,4860.0,6374.7,0,5165.7,1949.8,2707.6,7381.7,9388.6,7225.9,4860.3,8529.9,9724.4,3604.8,8629.7,5630.4,5738.5,8107.7,4132.8,1140.6,621.1,1144.5,3715.7,1813.1,7198.9,5851.6,3276.7,1408.6,7382.0,7033.7,7587.6,6931.1,1616.2,4022.6,1786.4
Rochester,8150.5,3572.8,5473.6,771.3,2434.3,6615.0,5124.9,3134.8,8118.6,4605.9,8395.9,9073.0,955.7,7231.1,2193.3,1417.3,1471.5,5165.7,0,4702.6,2500.4,466.6,1610.2,5257.6,4809.7,7375.2,846.6,9558.8,1763.1,279.0,8960.5,9816.1,4000.5,3485.9,1557.5,4160.3,4692.3,3129.6,2858.6,5798.0,2202.2,2005.4,2479.9,4116.6,8694.2,758.1,3098.6,4423.9,8765.3
Watertown,8521.2,5359.3,5890.7,3040.2,8243.4,5006.7,350.9,9986.4,1770.6,3112.2,1366.8,6516.8,3573.0,3178.8,7339.5,7305.7,5642.7,1949.8,4702.6,0,7077.9,9531.6,1121.0,7191.4,7565.2,2746.5,8768.0,4468.9,2331.7,5800.0,5170.8,6002.0,1355.2,1056.0,7062.8,1687.7,8637.3,5886.1,1702.1,8244.4,7308.6,3713.5,4609.1,8220.2,6629.9,4962.8,9664.7,6989.4,4204.2
Staten Island,4312.3,8481.9,7253.7,7423.7,7146.6,580.5,9738.6,2647.3,238.7,4048.2,8736.0,8366.3,7309.4,9797.1,536.8,5311.5,3814.7,2707.6,2500.4,7077.9,0,1583.9,3235.9,8158.7,2673.0,9338.2,4445.5,7344.7,3293.0,6556.3,4326.5,7017.4,3299.9,1281.1,3746.7,3231.9,7068.6,1530.7,8349.5,8617.6,7761.9,7424.4,5296.0,5566.4,3579.0,6309.9,7546.9,7457.6,8460.7
Clinton,2608.0,6853.9,8587.8,8058.7,5160.1,5314.1,6769.8,861.8,4143.6,2234.6,8059.5,3080.7,8545.5,6682.5,9726.9,71.8,3077.9,7381.7,466.6,9531.6,1583.9,0,3567.6,3759.3,6220.6,2376.6,1531.8,8622.8,5055.6,6253.4,6661.4,440.9,782.7,6515.6,782.6,5153.4,1544.5,3912.6,4838.3,3284.1,1258.8,7069.4,4878.5,2079.3,3912.0,9983.8,2672.7,9490.9,1615.2
Beacon,880.4,4197.1,2785.6,7675.4,5190.5,6056.8,3513.1,8767.9,8683.3,8524.0,1014.9,5816.1,218.7,7525.4,4014.5,5805.8,9626.0,9388.6,1610.2,1121.0,3235.9,3567.6,0,5681.1,171.2,1491.2,3386.4,6292.3,4912.0,3502.5,8345.2,7692.3,5964.4,4391.7,1451.3,3129.8,7856.2,4401.5,4507.9,4826.9,9118.0,7841.2,5778.6,1973.5,379.2,6761.2,2670.5,3352.6,8453.3
Nyack,4210.0,4129.5,3601.0,5490.0,7834.1,8377.4,2606.7,8355.3,3785.8,5177.1,8746.5,7015.7,7011.2,9533.1,5306.2,2019.2,2194.5,7225.9,5257.6,7191.4,8158.7,3759.3,5681.1,0,5317.0,4527.6,6980.5,9986.5,9168.0,2237.2,3546.7,8945.1,2626.3,9134.3,492.1,7217.5,5666.3,8168.9,8422.8,7291.6,5530.6,9933.0,1194.9,5788.7,5454.3,4413.4,905.2,4350.3,5080.5
