CSV,Oneida,Oneonta,Potsdam,Poughkeepsie,Harlem,Tarrytown,Watkins Glen,Gloversville,North Hempstead,Herkimer,Woodstock,Manhattan,Buffalo,Forest Hills,New York City,Scarsdale,Rochester,Jamestown,Corning,Hyde Park,Rotterdam,Rye,Yonkers,Watertown,Ithaca,Troy,Elmira,Mount Vernon,Babylon,Southampton,Nyack,Lockport,Great Neck,Cooperstown,Port Washington,Stony Brook,Clinton,Sag Harbor,Eastchester,Hammondsport,Lake Placid,Bedford,Schenectady,Middletown,Rensselaer,Saratoga Springs,Levittown,Lackawanna,Amsterdam,Oyster Bay
Oneida,0,4670.7,288.6,4133.3,4513.0,5571.6,2463.4,4790.4,2507.2,4844.7,8033.6,5593.6,7836.8,3683.8,4851.6,6797.0,9516.9,7574.6,4300.5,4130.4,977.1,9143.6,4189.8,9710.7,2799.3,600.8,6904.9,1635.7,855.5,9124.4,1568.0,1905.8,6423.5,2867.6,4581.6,8601.9,2998.5,1569.6,3854.7,5070.2,5000.1,8374.3,866.7,5597.9,4437.5,6494.3,8360.3,8074.1,2215.8,7329.5
Oneonta,4670.7,0,8200.8,6674.4,3970.5,5365.6,2990.9,1852.6,4258.3,4308.2,5469.2,1517.7,2523.5,3680.5,5834.9,2239.2,8469.0,210.7,6080.9,7569.5,4108.1,5361.3,749.1,1742.1,1002.0,706.3,6779.0,552.1,2289.2,69.7,9191.2,7353.3,907.6,7870.3,4101.9,6853.9,6422.6,8722.5,325.6,5915.1,5916.5,875.3,9300.2,4360.3,2596.3,4745.6,7750.7,7552.0,8148.5,9461.5
Potsdam,288.6,8200.8,0,6417.0,2141.7,9775.7,387.8,4086.5,2614.0,4893.2,2467.6,2381.6,85.7,8340.4,6430.9,3235.4,721.7,1318.6,2234.3,9741.4,2078.8,9979.8,1710.6,5968.9,7291.7,8961.0,8703.2,4432.1,2596.9,2030.6,2937.2,223.7,7120.4,4561.5,689.5,4484.5,2572.4,9498.7,6557.0,8829.0,4481.1,9441.4,8454.4,630.9,184.7,7278.4,1095.2,9381.1,3804.1,8112.9
Poughkeepsie,4133.3,6674.4,6417.0,0,9550.5,3777.4,4185.2,1413.1,2861.9,3963.9,4914.4,136.2,8004.2,4444.6,8208.9,6763.6,31.5,8376.4,8380.5,7088.3,1238.4,6838.7,5796.2,9204.1,4559.4,3031.2,7080.6,3338.4,6076.1,7895.8,1131.9,8102.9,9051.7,3398.9,4522.5,7896.4,1060.1,1396.5,1193.9,7100.3,3020.5,7611.7,923.8,9500.9,9056.3,6172.2,5715.9,1521.0,3476.4,5721.2
Harlem,4513.0,3970.5,2141.7,9550.5,0,5264.2,5124.4,6700.4,4906.2,3045.2,9708.4,4585.4,979.7,4122.4,7761.8,5382.6,5964.7,6376.3,7538.8,2203.3,6686.8,7466.7,4455.6,9103.4,6022.5,3160.9,4418.2,4029.1,8196.8,4363.0,2669.2,5596.9,9673.7,9375.8,3980.1,1355.8,1463.0,2449.8,488.3,3556.1,220.2,9606.7,9308.9,3928.4,3937.0,9330.8,7205.6,1141.7,5776.8,5326.4
Tarrytown,5571.6,5365.6,9775.7,3777.4,5264.2,0,2649.6,8797.4,9511.4,1963.8,8198.8,5495.6,4172.7,3963.1,8449.1,3031.8,9832.5,7836.1,794.7,6882.9,549.1,5416.6,841.5,5013.7,3871.7,1048.8,2170.3,428.5,1584.6,5083.8,7341.0,5377.5,5146.8,1967.2,1770.2,3283.7,6116.4,1460.4,7189.2,2398.3,967.3,5517.4,2900.6,9752.7,8228.9,163.3,1867.9,5367.6,1489.9,3386.2
Watkins Glen,2463.4,2990.9,387.8,4185.2,5124.4,2649.6,0,4915.4,6081.5,1761.5,523.3,2276.1,3221.4,5697.7,3654.3,912.7,2027.3,3726.6,5035.1,1466.3,7614.4,3990.4,2339.7,4987.2,7193.4,6930.0,7161.2,4142.8,2341.0,3450.6,982.8,1191.0,9434.9,6005.4,9889.0,5246.0,1486.7,5385.6,1889.7,9471.6,7235.6,6222.5,6450.5,3658.2,9746.9,8591.3,222.5,6747.6,6981.3,2484.2
Gloversville,4790.4,1852.6,4086.5,1413.1,6700.4,8797.4,4915.4,0,7807.7,8479.7,3388.6,7422.6,4331.9,2836.4,9946.8,1346.7,5889.8,6869.7,131.3,7312.0,1989.2,1578.4,9224.8,7819.2,2485.1,3835.2,4464.1,5813.1,527.4,6663.0,7617.0,4145.1,8407.2,2384.4,5821.2,5056.6,5341.2,1576.7,6010.5,7773.8,7737.3,1216.3,9524.8,5983.7,7930.7,5812.8,415.0,5667.1,951.2,8743.7
North Hempstead,2507.2,4258.3,2614.0,2861.9,4906.2,9511.4,6081.5,7807.7,0,8210.8,8507.6,3851.3,6264.4,8022.8,6792.3,183.4,3196.5,208.3,2965.3,1095.7,5484.5,5637.6,4069.0,7456.2,1791.5,6407.8,9435.2,8015.7,5024.4,77.6,6827.7,7757.3,4262.9,8050.8,7363.9,1177.3,962.0,328.7,488.4,6031.8,9109.1,6531.5,1149.5,8348.6,2841.2,9392.6,3230.3,8888.5,3799.9,2148.1
Herkimer,4844.7,4308.2,4893.2,3963.9,3045.2,1963.8,1761.5,8479.7,8210.8,0,5967.0,7141.5,4148.8,5646.6,5871.7,2596.1,4603.7,647.4,1582.5,7025.2,9395.8,9989.0,6519.5,1691.9,5898.7,7794.6,3522.2,8440.3,2746.1,9322.2,46.2,718.9,4508.3,4346.6,9588.8,9952.5,8063.6,118.3,2093.4,3844.9,6435.7,4388.1,9263.2,2964.4,8630.6,5107.2,7431.8,9871.3,5701.5,3163.3
