CSV,Ilion,Scarsdale,Auburn,Buffalo,Seneca Falls,Chautauqua,Manhattan,Oneonta,Crown Point,Saranac Lake,Brooklyn,Rensselaer,White Plains,Rome,Ogdensburg,Amsterdam,Ticonderoga,Ossining,Cooperstown,Port Washington,Lake Placid,Woodstock,Nyack,Newburgh,Lockport,North Hempstead,Watervliet,Glens Falls,Rye,Middletown,Forest Hills,Stony Brook,Potsdam,Hyde Park,Mineola,East Hampton,Cortland,Hammondsport,Watertown,Clinton,Hudson,Corning,Plattsburgh,Cohoes,Bronx,Herkimer,Beacon,New Windsor,New Rochelle,Geneva
Ilion,0,8986.4,7854.6,4719.4,6811.3,7893.0,6879.0,899.5,562.6,4052.1,5369.8,5912.8,9800.4,6652.6,1574.0,4363.6,2081.6,4276.0,7467.3,5860.2,8353.4,2523.9,4552.7,2144.6,6643.3,9089.6,7695.8,7508.3,7949.9,6530.0,2013.0,9530.8,6929.6,9909.6,8090.2,6487.5,7563.0,5071.4,3028.6,4823.3,7150.8,6920.9,1113.6,8.2,9983.7,7859.9,8051.7,8600.0,315.9,7604.6
Scarsdale,8986.4,0,9688.4,8671.1,5367.4,7395.8,3387.5,5893.4,9798.5,4819.8,8253.0,6270.0,6804.2,9018.5,2296.7,5791.1,7674.8,6149.4,3328.7,466.7,8919.6,7293.3,1728.8,5695.9,278.6,603.0,1160.5,9171.7,4127.3,511.0,3860.2,9431.6,3312.8,6435.4,2975.6,8781.5,3615.6,6189.5,5313.2,8028.0,3759.1,346.5,2538.6,7811.9,1911.7,726.3,7155.6,5436.0,524.4,9781.3
Auburn,7854.6,9688.4,0,8304.2,2028.3,1046.3,8221.7,2704.0,217.4,7019.1,5746.0,4061.8,5699.0,2556.5,7294.4,3459.3,2466.6,6486.7,686.3,8179.3,5586.0,1788.7,6868.0,4798.1,8146.0,7681.6,9890.9,8114.5,1256.0,9688.0,6728.9,121.1,325.7,6338.8,1035.1,3297.2,1202.1,3474.8,7649.3,9080.9,789.4,1194.9,2565.1,5778.3,1327.8,4166.6,8389.6,3606.2,3588.6,1757.7
Buffalo,4719.4,8671.1,8304.2,0,4096.4,999.0,7352.3,2277.6,2044.7,7110.2,411.6,87.2,1042.8,4419.6,7959.2,8280.7,9992.8,5555.7,5911.0,2950.7,6732.3,4391.1,5184.2,2090.1,6548.2,6974.2,2700.5,4678.0,5888.8,6651.4,5970.9,3076.6,7413.5,6629.6,8690.7,2245.0,5489.0,8807.5,6876.6,5808.5,541.0,5848.6,2026.3,7527.8,8420.8,7549.0,626.5,9283.3,2291.8,7861.7
Seneca Falls,6811.3,5367.4,2028.3,4096.4,0,9203.3,4709.2,7567.1,5040.4,1647.4,7881.1,5213.9,3492.0,9901.9,149.7,1975.7,3653.7,8778.4,397.4,7693.7,7672.6,2764.5,6033.7,7291.9,8772.8,7628.1,799.9,3192.8,2605.6,2758.3,7498.2,4.8,272.8,5837.3,2317.5,29.3,8896.9,6121.9,7600.5,8632.2,6232.6,4289.4,6088.6,1987.3,1045.5,8189.5,9590.4,6593.9,4163.8,1427.8
Chautauqua,7893.0,7395.8,1046.3,999.0,9203.3,0,1895.9,5102.9,2266.1,8887.9,5324.4,6237.6,326.3,7693.3,5672.9,3082.8,2231.9,1920.3,7819.0,4172.7,3081.0,3209.8,5653.9,7368.8,532.2,4134.3,9137.6,3969.7,3670.1,1718.7,9637.4,843.1,2290.1,3267.5,4585.4,3267.0,6593.2,2355.7,8255.1,4281.3,428.7,4930.3,1937.7,3905.6,6731.2,6308.0,213.6,9491.9,4485.9,8789.5
Manhattan,6879.0,3387.5,8221.7,7352.3,4709.2,1895.9,0,720.9,2763.8,868.3,8981.0,4632.9,3485.1,8389.5,9190.4,7004.9,6986.7,5300.6,8054.8,6627.4,6159.2,6752.4,6211.9,6556.1,1265.0,6818.0,7370.1,1061.1,4305.0,3280.2,9721.7,4528.3,9464.5,8686.2,7760.6,6319.2,9170.4,336.7,1445.4,1569.3,9013.6,5435.6,6075.2,5634.3,6998.3,5849.4,3978.6,5380.6,6097.7,9907.6
Oneonta,899.5,5893.4,2704.0,2277.6,7567.1,5102.9,720.9,0,9669.5,1578.5,2699.5,9294.5,7705.6,259.6,9779.7,7706.7,220.1,110.0,2228.0,787.4,5845.1,7503.3,318.4,4235.0,1127.1,621.4,7386.0,5378.7,2395.4,9457.0,6095.6,352.1,6523.9,2309.8,6125.2,4334.5,3998.0,3799.3,7468.9,4753.0,3517.1,807.8,4430.2,1341.5,715.7,5206.0,5438.0,6513.4,9255.8,5974.2
Crown Point,562.6,9798.5,217.4,2044.7,5040.4,2266.1,2763.8,9669.5,0,7017.6,9523.1,5173.2,940.1,5343.9,3294.7,3986.2,4476.7,1868.5,7225.4,9599.4,9719.6,1589.0,1966.6,9447.1,2815.8,8591.4,7319.6,8712.6,9875.4,6198.3,3551.2,1420.8,269.9,9830.3,3770.2,4428.3,3467.5,8124.0,593.2,8217.5,8213.2,7631.9,6396.8,8846.5,8739.2,300.7,9708.1,3380.5,8179.0,1443.7
Saranac Lake,4052.1,4819.8,7019.1,7110.2,1647.4,8887.9,868.3,1578.5,7017.6,0,1095.0,6978.0,2163.4,2502.2,4082.4,1877.4,7438.3,6758.2,3707.8,7247.3,6629.0,4558.4,9406.8,8477.0,1703.3,6823.9,5633.2,1635.3,5852.1,3725.2,3415.9,9955.9,9139.9,2865.7,9574.9,2497.5,5365.7,3464.9,7546.4,3845.8,4196.9,5743.5,7415.2,7933.3,385.5,5361.5,2095.9,1943.3,3011.6,2748.7
Brooklyn,5369.8,8253.0,5746.0,411.6,7881.1,5324.4,8981.0,2699.5,9523.1,1095.0,0,8444.0,4245.7,1578.0,3666.1,8003.6,6588.0,3424.5,5624.6,9047.9,2204.2,312.8,5553.2,4730.6,6169.9,2346.4,9574.8,1604.6,4773.6,3374.6,1101.6,7933.7,3163.4,817.9,6128.0,6574.3,4940.3,6543.6,5911.6,860.0,6183.4,2136.5,797.5,2165.5,2653.9,8531.6,6277.5,3489.1,8934.4,4029.7
Rensselaer,5912.8,6270.0,4061.8,87.2,5213.9,6237.6,4632.9,9294.5,5173.2,6978.0,8444.0,0,531.2,8059.8,7209.0,5366.4,5911.8,3595.2,1899.3,9755.0,4538.4,43.7,5265.9,6795.8,7237.5,3410.4,4021.8,4953.6,9681.2,6691.7,5336.5,5230.7,7599.7,7201.9,5587.5,7553.6,6071.9,6362.0,2123.5,6410.4,5565.0,5809.6,1433.7,6307.7,8079.9,13.7,1911.1,9396.2,5169.3,6535.5
White Plains,9800.4,6804.2,5699.0,1042.8,3492.0,326.3,3485.1,7705.6,940.1,2163.4,4245.7,531.2,0,8290.7,9751.4,297.1,2004.5,4051.9,9904.0,3726.2,3719.0,2101.1,2015.3,2230.0,5284.2,739.0,8470.6,8312.3,3025.8,9256.0,4856.8,3086.8,6773.4,5896.2,566.0,7460.9,2425.0,507.9,1114.2,7972.6,3026.2,7749.4,3585.1,5086.2,5278.1,7102.3,3434.5,4822.7,6918.9,3586.3
Rome,6652.6,9018.5,2556.5,4419.6,9901.9,7693.3,8389.5,259.6,5343.9,2502.2,1578.0,8059.8,8290.7,0,9784.2,7818.4,5032.8,7642.5,5671.6,9420.5,9501.0,3534.2,8856.5,4165.1,7589.2,6352.0,9871.5,1508.6,9965.5,7507.2,3851.0,1399.5,6464.3,1780.1,3178.6,7829.9,2519.6,4126.9,8183.0,8318.9,3014.2,7042.7,5176.7,4166.4,6120.4,9665.2,4094.1,1493.1,6423.9,4374.0
Ogdensburg,1574.0,2296.7,7294.4,7959.2,149.7,5672.9,9190.4,9779.7,3294.7,4082.4,3666.1,7209.0,9751.4,9784.2,0,6646.5,5459.3,3490.7,4531.0,4639.9,1319.3,9550.5,7169.3,8637.6,6542.3,3962.1,7506.9,4069.0,148.9,458.4,4506.8,8558.9,6258.6,5558.6,1544.5,3712.6,957.6,8392.9,6123.9,8985.3,643.2,3474.5,5655.3,783.1,2326.3,1757.3,9651.6,9288.0,5698.8,8730.4
Amsterdam,4363.6,5791.1,3459.3,8280.7,1975.7,3082.8,7004.9,7706.7,3986.2,1877.4,8003.6,5366.4,297.1,7818.4,6646.5,0,463.6,4327.1,1936.4,1154.3,3581.0,8836.0,4973.2,8062.6,4146.7,3104.7,7690.0,3965.5,6103.8,7378.9,3020.9,5453.2,4995.6,8125.6,9080.8,8048.3,496.1,3004.5,4848.8,7695.0,5992.0,9958.3,3781.8,6792.9,18.9,2161.9,5577.6,7313.8,3222.1,2901.6
Ticonderoga,2081.6,7674.8,2466.6,9992.8,3653.7,2231.9,6986.7,220.1,4476.7,7438.3,6588.0,5911.8,2004.5,5032.8,5459.3,463.6,0,7811.7,1269.7,678.3,93.6,7358.2,1739.2,3153.0,8364.6,4929.8,1853.2,4553.3,3273.5,3966.4,5591.0,8884.6,7416.1,8091.0,9311.5,1182.8,1794.7,6216.5,7979.9,5423.1,4550.8,4557.5,1900.4,3255.7,6394.6,4996.8,5569.0,3451.2,7974.5,3497.4
Ossining,4276.0,6149.4,6486.7,5555.7,8778.4,1920.3,5300.6,110.0,1868.5,6758.2,3424.5,3595.2,4051.9,7642.5,3490.7,4327.1,7811.7,0,403.5,3515.1,9003.7,5618.4,9991.7,1631.3,3941.1,5275.1,9950.8,1418.7,3823.7,2858.7,1876.3,1069.0,3859.1,2305.7,261.4,1669.2,312.6,9914.3,3820.5,8738.4,9881.8,1051.8,1782.1,4965.8,9706.8,8456.0,8640.9,5770.9,536.1,9490.8
Cooperstown,7467.3,3328.7,686.3,5911.0,397.4,7819.0,8054.8,2228.0,7225.4,3707.8,5624.6,1899.3,9904.0,5671.6,4531.0,1936.4,1269.7,403.5,0,8225.2,7901.3,590.5,2822.6,1249.5,4553.1,2389.6,4362.2,2206.8,1854.8,8688.9,7815.7,126.9,4019.4,5229.8,2700.9,8080.5,1462.4,8397.7,9117.2,3526.9,3124.2,8913.0,1798.2,8497.2,208.2,3190.6,5536.4,2955.3,271.6,4061.5
Port Washington,5860.2,466.7,8179.3,2950.7,7693.7,4172.7,6627.4,787.4,9599.4,7247.3,9047.9,9755.0,3726.2,9420.5,4639.9,1154.3,678.3,3515.1,8225.2,0,4420.8,3086.3,7038.0,2733.0,9591.2,3848.5,3465.2,9008.7,5494.4,7333.3,8572.1,866.9,8533.7,554.7,1202.9,8789.2,2663.0,6098.0,3898.2,1802.5,6599.7,1746.4,782.7,8770.9,8041.1,250.9,4165.3,3967.1,6159.6,1305.6
Lake Placid,8353.4,8919.6,5586.0,6732.3,7672.6,3081.0,6159.2,5845.1,9719.6,6629.0,2204.2,4538.4,3719.0,9501.0,1319.3,3581.0,93.6,9003.7,7901.3,4420.8,0,7372.1,1163.9,9036.5,9811.0,1262.0,1034.6,7868.1,1806.2,9625.7,524.0,7489.1,3780.3,6403.7,7707.6,421.4,1875.2,1347.5,891.3,4498.4,8728.2,2578.4,5959.6,8946.8,871.9,6497.7,3585.7,5930.3,8106.7,5886.8
Woodstock,2523.9,7293.3,1788.7,4391.1,2764.5,3209.8,6752.4,7503.3,1589.0,4558.4,312.8,43.7,2101.1,3534.2,9550.5,8836.0,7358.2,5618.4,590.5,3086.3,7372.1,0,8306.4,8742.2,4156.1,9446.9,2861.0,2464.7,9750.7,3078.8,5803.5,7976.8,6236.3,6970.7,4825.8,2969.6,2853.4,8629.9,1198.8,6054.4,6224.7,73.8,2033.0,9639.4,4572.4,2086.2,475.2,510.6,6874.7,3873.0
Nyack,4552.7,1728.8,6868.0,5184.2,6033.7,5653.9,6211.9,318.4,1966.6,9406.8,5553.2,5265.9,2015.3,8856.5,7169.3,4973.2,1739.2,9991.7,2822.6,7038.0,1163.9,8306.4,0,2355.4,6234.9,946.2,3389.1,1551.2,1055.7,9738.1,6402.1,764.9,5797.4,7451.5,2046.7,3045.1,6411.2,7510.6,4954.9,8269.5,8023.4,1920.6,4095.2,9206.6,7878.5,1462.1,8920.8,5682.7,8079.2,5784.8
Newburgh,2144.6,5695.9,4798.1,2090.1,7291.9,7368.8,6556.1,4235.0,9447.1,8477.0,4730.6,6795.8,2230.0,4165.1,8637.6,8062.6,3153.0,1631.3,1249.5,2733.0,9036.5,8742.2,2355.4,0,1623.5,7926.0,8698.3,5747.9,9811.8,5903.7,8711.7,5799.0,6018.6,3510.1,8905.8,5726.8,4092.7,855.6,7097.8,6191.4,3787.9,6154.6,9197.8,5388.9,5232.6,8132.8,5984.6,717.0,3093.2,6245.0
Lockport,6643.3,278.6,8146.0,6548.2,8772.8,532.2,1265.0,1127.1,2815.8,1703.3,6169.9,7237.5,5284.2,7589.2,6542.3,4146.7,8364.6,3941.1,4553.1,9591.2,9811.0,4156.1,6234.9,1623.5,0,8906.9,5074.4,7941.1,9334.4,4008.5,7237.3,2247.7,1637.8,7153.1,2574.4,281.6,6929.2,1833.3,3545.5,2304.8,2610.9,1541.1,9463.6,4981.2,8354.7,3929.5,6106.6,6734.4,7683.5,396.0
North Hempstead,9089.6,603.0,7681.6,6974.2,7628.1,4134.3,6818.0,621.4,8591.4,6823.9,2346.4,3410.4,739.0,6352.0,3962.1,3104.7,4929.8,5275.1,2389.6,3848.5,1262.0,9446.9,946.2,7926.0,8906.9,0,2236.0,4874.6,6383.5,9054.7,5602.4,6976.7,2159.6,4645.6,1633.9,5840.3,2772.1,6387.5,4510.4,1144.0,5824.8,785.3,7326.6,6272.9,2246.3,7889.1,8847.2,3557.8,2945.1,8465.5
Watervliet,7695.8,1160.5,9890.9,2700.5,799.9,9137.6,7370.1,7386.0,7319.6,5633.2,9574.8,4021.8,8470.6,9871.5,7506.9,7690.0,1853.2,9950.8,4362.2,3465.2,1034.6,2861.0,3389.1,8698.3,5074.4,2236.0,0,6470.2,6624.6,1194.5,9620.7,6513.8,8825.7,9443.1,1286.7,8030.7,5817.4,9167.1,9411.5,4885.0,3172.5,5785.6,4418.2,4938.6,1789.9,3540.0,3773.1,4721.1,3495.3,8147.4
Glens Falls,7508.3,9171.7,8114.5,4678.0,3192.8,3969.7,1061.1,5378.7,8712.6,1635.3,1604.6,4953.6,8312.3,1508.6,4069.0,3965.5,4553.3,1418.7,2206.8,9008.7,7868.1,2464.7,1551.2,5747.9,7941.1,4874.6,6470.2,0,5458.1,3601.8,3286.5,3104.8,6913.9,8773.1,720.4,5021.9,3751.3,2036.4,4952.9,8596.5,9772.2,4979.9,6693.5,8754.2,6257.5,9283.7,5090.9,2868.9,4229.1,4784.8
Rye,7949.9,4127.3,1256.0,5888.8,2605.6,3670.1,4305.0,2395.4,9875.4,5852.1,4773.6,9681.2,3025.8,9965.5,148.9,6103.8,3273.5,3823.7,1854.8,5494.4,1806.2,9750.7,1055.7,9811.8,9334.4,6383.5,6624.6,5458.1,0,2229.6,6822.2,1855.3,8682.0,9251.5,4289.5,3619.6,3110.1,6449.3,1716.6,684.6,8162.2,7472.4,417.8,9829.9,9078.3,8855.1,1965.9,4062.7,4315.0,7777.5
Middletown,6530.0,511.0,9688.0,6651.4,2758.3,1718.7,3280.2,9457.0,6198.3,3725.2,3374.6,6691.7,9256.0,7507.2,458.4,7378.9,3966.4,2858.7,8688.9,7333.3,9625.7,3078.8,9738.1,5903.7,4008.5,9054.7,1194.5,3601.8,2229.6,0,2173.9,3000.9,1617.5,9488.2,3798.8,6888.4,3205.7,7439.3,5613.2,4590.6,4763.9,3719.1,8950.2,2329.9,2244.5,1527.8,5916.9,7486.5,8379.1,2493.0
Forest Hills,2013.0,3860.2,6728.9,5970.9,7498.2,9637.4,9721.7,6095.6,3551.2,3415.9,1101.6,5336.5,4856.8,3851.0,4506.8,3020.9,5591.0,1876.3,7815.7,8572.1,524.0,5803.5,6402.1,8711.7,7237.3,5602.4,9620.7,3286.5,6822.2,2173.9,0,2675.3,6739.6,5036.8,9426.4,108.7,6457.6,2727.5,43.9,8913.9,7866.0,2109.5,55.4,7453.7,5006.9,425.6,2423.2,5892.0,3662.5,8238.2
Stony Brook,9530.8,9431.6,121.1,3076.6,4.8,843.1,4528.3,352.1,1420.8,9955.9,7933.7,5230.7,3086.8,1399.5,8558.9,5453.2,8884.6,1069.0,126.9,866.9,7489.1,7976.8,764.9,5799.0,2247.7,6976.7,6513.8,3104.8,1855.3,3000.9,2675.3,0,5428.2,6178.3,4039.5,9536.5,1127.0,6511.8,2250.2,5658.3,503.7,7417.9,2171.9,5129.1,238.6,4758.8,7372.4,4980.4,9567.2,9006.1
Potsdam,6929.6,3312.8,325.7,7413.5,272.8,2290.1,9464.5,6523.9,269.9,9139.9,3163.4,7599.7,6773.4,6464.3,6258.6,4995.6,7416.1,3859.1,4019.4,8533.7,3780.3,6236.3,5797.4,6018.6,1637.8,2159.6,8825.7,6913.9,8682.0,1617.5,6739.6,5428.2,0,4734.2,9161.3,4511.0,4762.9,8339.5,668.1,2980.2,9079.7,3321.8,1785.7,8985.8,1523.4,4338.9,5941.2,5137.1,6395.6,1491.6
Hyde Park,9909.6,6435.4,6338.8,6629.6,5837.3,3267.5,8686.2,2309.8,9830.3,2865.7,817.9,7201.9,5896.2,1780.1,5558.6,8125.6,8091.0,2305.7,5229.8,554.7,6403.7,6970.7,7451.5,3510.1,7153.1,4645.6,9443.1,8773.1,9251.5,9488.2,5036.8,6178.3,4734.2,0,6043.0,6013.7,9832.4,5967.0,9865.6,3664.8,1186.3,2982.9,1671.5,8295.8,8929.2,4946.0,7185.9,3521.0,4944.3,8838.4
Mineola,8090.2,2975.6,1035.1,8690.7,2317.5,4585.4,7760.6,6125.2,3770.2,9574.9,6128.0,5587.5,566.0,3178.6,1544.5,9080.8,9311.5,261.4,2700.9,1202.9,7707.6,4825.8,2046.7,8905.8,2574.4,1633.9,1286.7,720.4,4289.5,3798.8,9426.4,4039.5,9161.3,6043.0,0,6221.5,2204.7,5550.2,8572.0,1404.6,7661.8,1702.8,1547.8,7055.3,924.0,7455.6,5951.7,6943.6,7641.7,8065.8
East Hampton,6487.5,8781.5,3297.2,2245.0,29.3,3267.0,6319.2,4334.5,4428.3,2497.5,6574.3,7553.6,7460.9,7829.9,3712.6,8048.3,1182.8,1669.2,8080.5,8789.2,421.4,2969.6,3045.1,5726.8,281.6,5840.3,8030.7,5021.9,3619.6,6888.4,108.7,9536.5,4511.0,6013.7,6221.5,0,7644.3,6223.4,1612.4,7359.7,3125.4,9567.3,3591.6,1826.4,6260.2,4094.5,6515.8,257.2,9732.4,1229.7
