CSV,Middletown,New York City,Hammondsport,Poughkeepsie,Stony Point,Manhattan,New Windsor,Fredonia,Cohoes,Nyack,Hudson,Ticonderoga,Scarsdale,Woodstock,Stony Brook,Seneca Falls,Yonkers,Garden City,Coney Island,Newburgh,Rome,Palmyra,Syracuse,Rye,Binghamton,Hyde Park,Jamestown,Babylon,Ithaca,Watkins Glen,Forest Hills,Oyster Bay,Ogdensburg,Southampton,Auburn,Geneva,Lake Placid,East Hampton,Levittown,Sag Harbor,Tonawanda,West Seneca,Brooklyn,Staten Island,Oswego,Rotterdam,Potsdam,New Rochelle,Herkimer
Middletown,0,6827.4,8325.8,424.1,8616.8,7634.6,5296.7,173.6,616.4,5812.5,9599.7,1022.1,6.3,4858.0,5063.5,3354.5,9063.6,6317.5,777.2,7222.5,11.0,9614.5,2117.2,9200.2,6442.7,4671.1,2916.7,6911.7,2663.4,1509.7,5787.9,8689.4,7856.6,1481.7,7915.9,3957.1,8377.7,1525.1,4502.0,8974.1,2287.0,5683.1,4298.8,5091.9,1624.2,9785.1,1558.6,8647.7,3790.0
New York City,6827.4,0,1128.7,1183.2,6649.2,2891.1,5937.9,1881.2,7789.7,5683.9,3248.5,7603.8,95.4,3990.0,5164.6,2704.9,7884.1,7775.6,6662.7,5157.8,7119.7,5414.2,5989.3,6078.9,1700.3,251.4,2251.8,6723.6,6918.0,4323.2,9395.4,9713.5,7970.0,3675.5,3880.1,1143.6,1224.3,1505.0,1795.7,3623.2,1288.3,7489.8,4093.3,6902.2,6400.5,4803.4,2052.6,1555.0,7706.8
Hammondsport,8325.8,1128.7,0,9646.6,962.3,323.4,2758.8,6978.8,98.9,9989.8,7102.2,6614.8,9670.7,357.4,5426.0,4057.2,6144.3,2940.6,115.2,4416.9,1213.0,1497.4,5340.6,8387.5,1941.5,6224.4,3098.9,8811.1,8986.4,1939.0,2854.5,3664.2,3809.2,8595.2,6281.7,8616.7,3507.6,185.1,3825.3,9764.9,4572.6,9389.1,9819.7,2757.3,3162.9,6262.7,4816.0,1786.2,8731.3
Poughkeepsie,424.1,1183.2,9646.6,0,5735.0,3519.8,7157.3,7480.5,8032.5,14.9,1732.1,4006.5,4625.3,4219.0,9649.4,8961.1,3558.6,2777.5,2559.5,353.9,5582.5,8155.7,679.3,1249.8,4819.9,5172.7,7214.5,8365.2,2886.6,7013.9,1499.5,2410.3,7939.9,417.6,9551.4,518.8,4743.9,8315.5,1102.5,3532.8,9377.9,3371.7,271.4,8066.2,863.9,9419.6,8632.3,5666.1,9913.4
Stony Point,8616.8,6649.2,962.3,5735.0,0,685.4,2838.1,7578.1,9050.9,873.4,2998.9,5701.9,3422.2,4018.9,1101.4,5031.7,2752.5,5473.9,5094.9,4822.6,2813.8,785.6,8190.4,1152.8,4119.1,3432.6,9310.9,1831.4,7834.8,2489.2,950.2,2985.2,3811.3,3303.6,1635.5,3695.6,3959.6,6976.6,5070.5,7620.2,9022.4,9364.2,6503.5,7372.8,8525.1,4697.3,8490.8,7985.2,8695.4
Manhattan,7634.6,2891.1,323.4,3519.8,685.4,0,3089.9,6278.5,3068.0,3447.0,4040.4,2176.5,6142.6,6317.9,5829.6,3812.4,96.9,9112.5,865.9,3685.7,555.6,1065.3,9222.4,1067.0,9619.2,2513.0,2192.8,5582.4,9950.7,8675.1,5686.9,3010.5,2591.9,1604.8,4991.4,8727.3,1295.1,6557.1,7140.1,9212.9,4856.2,3287.3,4895.3,5112.2,1433.1,4429.4,8551.4,7013.5,4748.8
New Windsor,5296.7,5937.9,2758.8,7157.3,2838.1,3089.9,0,5922.6,2263.9,8952.4,2917.6,3744.4,6434.2,417.0,5400.9,9677.4,4495.1,4423.5,4779.2,5987.6,4059.8,4046.7,9742.9,2294.0,3183.3,1162.9,7079.6,5013.5,2327.2,3751.3,6789.0,3578.5,2125.5,7809.1,2605.1,7155.6,7861.4,9903.4,2672.4,5371.6,296.9,1998.1,1036.6,7060.1,8361.1,6223.9,1709.1,6258.1,3803.6
Fredonia,173.6,1881.2,6978.8,7480.5,7578.1,6278.5,5922.6,0,7177.7,2792.2,6757.6,8375.1,7022.4,6782.1,3571.4,9516.5,2960.4,7407.2,9875.4,417.8,6370.7,5445.3,6044.9,9111.5,1390.2,4209.4,9401.2,5686.7,5134.6,304.5,8950.6,5000.1,5485.5,6213.1,261.1,1450.4,9469.0,2930.4,3283.7,6967.8,7216.4,8719.5,3860.5,5391.4,3024.3,5738.1,709.4,4051.2,9616.3
Cohoes,616.4,7789.7,98.9,8032.5,9050.9,3068.0,2263.9,7177.7,0,1835.8,8848.1,6775.9,4720.7,2391.8,4879.0,1698.4,2331.0,1676.2,7478.3,4275.2,8819.6,1970.8,2257.2,5518.8,9703.9,6805.6,8172.2,4466.2,8905.6,1855.7,5677.5,6784.8,1083.8,8253.6,6483.1,7505.0,5926.9,196.1,5724.3,6907.5,2169.6,57.6,8086.8,7504.6,1076.0,1832.7,1272.7,1981.4,9574.6
Nyack,5812.5,5683.9,9989.8,14.9,873.4,3447.0,8952.4,2792.2,1835.8,0,6901.2,4432.1,8350.0,3922.1,7669.7,542.7,6911.6,915.8,7470.4,395.9,7979.5,2852.9,5064.5,1516.9,1727.0,6152.2,8454.6,1193.0,3111.0,737.1,3249.4,2451.2,6173.7,9068.6,9649.3,6175.4,1532.2,331.2,2255.3,2169.4,4879.2,2390.7,1533.1,6847.7,5546.1,9461.2,758.2,1278.7,254.5
Hudson,9599.7,3248.5,7102.2,1732.1,2998.9,4040.4,2917.6,6757.6,8848.1,6901.2,0,4040.1,2520.1,8859.6,3336.8,6271.2,4744.1,1121.1,4259.9,1175.7,8469.6,5186.1,565.4,8425.1,2363.5,731.2,7717.0,6471.4,1106.2,6139.4,4459.9,2087.7,4284.3,5368.5,305.9,3813.3,8382.5,7538.9,2850.8,354.9,9349.9,1668.8,230.9,2389.7,5682.3,3145.8,5248.6,1232.0,659.4
