CSV,Ilion,Mount Vernon,Hempstead,Glens Falls,Ticonderoga,Johnstown,Manhattan,Troy,Herkimer,Watkins Glen,Palmyra,Port Washington,Bronx,Cooperstown,Rochester,Clinton,Mineola,Dunkirk,Chautauqua,Rensselaer,Cohoes,Massena,Oneida,Plattsburgh,Huntington,Sag Harbor,Potsdam,Saratoga Springs,Lake Placid,Lockport,Niagara Falls,East Aurora,North Hempstead,Albany,Auburn,Garden City,New Paltz,Scarsdale,New York City,Stony Point,Stony Brook,Oneonta,Hyde Park,Nyack,Harlem,White Plains,New Rochelle,Corning,Rome,Ogdensburg
Ilion,0,767.0,959.4,4628.8,8594.2,9787.5,5262.5,7437.7,3107.6,2935.9,4521.6,5406.8,2245.3,2718.6,356.6,469.8,4457.8,9030.4,7679.3,1175.4,6435.7,9164.4,2831.5,4317.6,3417.7,5157.5,688.7,1935.1,17.2,7253.6,2006.2,8016.7,307.4,1504.3,776.6,9364.1,6056.5,9822.1,42.5,6490.1,9482.2,556.9,992.9,4677.2,4593.6,9183.3,8379.1,4349.0,3617.3,6884.3
Mount Vernon,767.0,0,4600.3,2876.7,4583.4,2108.4,4449.6,7907.5,4984.0,8434.2,4481.5,9512.3,3403.6,8117.6,4687.3,7360.8,1699.6,3876.8,2639.0,6534.8,1476.4,8347.6,4797.0,9913.3,2336.6,5473.5,8471.0,5182.1,9099.8,7704.6,4499.6,184.5,1570.9,8982.0,8147.0,4631.5,2100.5,816.9,2809.7,5108.6,8712.9,1632.3,195.8,7515.7,9838.8,1737.6,8289.1,8503.8,973.8,5830.7
Hempstead,959.4,4600.3,0,178.9,3842.7,1172.1,5121.7,553.8,1257.0,4189.3,9932.2,6804.3,3005.8,7333.9,4354.9,5819.4,6900.8,3267.7,3281.2,3752.9,3998.6,7916.5,9860.9,965.9,7735.3,7439.4,3743.8,6977.5,3450.0,1077.9,1162.0,7318.5,1279.3,3568.8,3841.9,515.1,3207.5,8184.8,6763.6,9463.8,2741.6,9429.2,5112.7,3928.7,8865.8,2359.0,9536.2,7025.5,8202.1,2984.2
Glens Falls,4628.8,2876.7,178.9,0,4199.8,8284.2,2446.2,2401.0,1679.0,1241.0,5560.4,4238.9,8758.2,6798.2,1756.9,9508.4,9792.3,4269.1,9343.2,2790.5,7718.3,6900.5,6709.9,8555.8,3530.9,8081.3,2861.6,2522.2,2022.0,5844.5,3118.0,8716.4,9631.8,4311.0,6708.9,8643.1,8987.4,5868.8,3075.7,2201.0,6999.6,2415.7,9589.1,2466.2,9702.4,2661.5,8165.3,9653.7,6939.2,3.9
Ticonderoga,8594.2,4583.4,3842.7,4199.8,0,72.0,2152.6,6525.5,4255.5,2267.8,3887.3,6589.1,3064.7,2347.8,9559.0,2649.8,6851.0,9852.7,8791.7,9661.1,7654.5,1179.1,6322.1,9375.3,5424.7,2186.1,3999.1,6110.9,6118.3,1851.4,5557.6,3385.3,3047.4,3305.6,2116.0,9243.6,3092.2,1151.4,6253.8,140.1,7182.1,8064.3,7149.0,491.1,5362.6,826.0,5748.6,2445.9,8443.0,8747.3
Johnstown,9787.5,2108.4,1172.1,8284.2,72.0,0,8816.9,766.1,738.5,763.9,9802.1,7660.2,76.9,101.0,3565.9,7919.9,3961.5,9428.3,3638.5,5501.9,6516.0,5051.9,372.0,7321.1,3180.5,8457.8,9695.0,2464.2,4708.2,7996.9,6901.5,1453.8,6823.6,9197.5,3914.5,9635.7,4037.7,830.1,7362.1,8602.1,107.9,9891.6,8641.3,3575.1,6287.0,6972.5,9259.0,3660.6,2588.3,3661.0
Manhattan,5262.5,4449.6,5121.7,2446.2,2152.6,8816.9,0,9043.8,9758.3,527.3,2754.2,401.6,1437.8,3696.4,349.2,9286.2,1496.8,3212.5,5697.1,1162.7,2417.0,2333.2,9341.8,748.0,3833.2,6811.1,2114.5,3505.5,9278.3,286.7,5769.2,4972.7,5147.4,4883.5,58.2,6883.0,1726.2,8849.6,7950.4,627.7,7655.3,2932.0,7685.7,6298.6,8191.7,8310.7,3746.5,1770.9,3562.3,9190.2
Troy,7437.7,7907.5,553.8,2401.0,6525.5,766.1,9043.8,0,5082.2,7673.1,2131.9,5952.5,9452.5,9692.2,1606.1,1526.5,9095.1,6583.6,8031.4,3531.5,3182.1,7870.3,4843.4,4513.5,7154.3,5977.7,7772.1,9113.2,9722.7,6871.0,7358.2,3011.2,6548.4,2560.6,5879.3,8868.3,5002.8,8863.2,1568.6,61.3,4747.7,2760.6,6335.8,5780.1,7792.7,9564.6,5571.8,6148.9,9160.2,5315.4
Herkimer,3107.6,4984.0,1257.0,1679.0,4255.5,738.5,9758.3,5082.2,0,2028.6,8616.7,638.5,1427.2,9457.8,5667.6,3444.4,795.8,610.8,831.5,1986.0,8714.3,3679.7,3788.2,691.3,6967.7,7805.5,5072.9,6604.1,7206.0,2933.6,869.5,7620.9,9738.3,8627.3,8189.3,8482.0,8151.3,7505.4,9910.4,9452.9,8988.8,2864.1,1785.0,4518.2,3340.7,6268.5,9530.3,9055.8,7780.3,6290.4
Watkins Glen,2935.9,8434.2,4189.3,1241.0,2267.8,763.9,527.3,7673.1,2028.6,0,9780.6,3227.9,6459.0,4489.7,7838.3,8992.4,9213.5,4912.7,7228.1,3476.9,7207.2,9447.2,6187.1,7668.6,1219.4,2005.5,4585.4,714.2,486.9,2799.5,8497.3,6074.7,8261.4,7245.6,8608.0,7809.8,5022.7,1218.6,424.5,1336.7,6524.3,9623.7,9229.7,9269.8,3572.0,2520.4,7401.7,1632.2,522.3,3406.0
