CSV,White Plains,Palmyra,Hempstead,Ilion,Nyack,Oneonta,Oyster Bay,Ithaca,Ogdensburg,Batavia,Mamaroneck,Yonkers,Johnstown,Bedford,Gloversville,New Windsor,Watkins Glen,Cortland,Stony Point,Harlem,Mineola,Albany,Great Neck,Eastchester,Coney Island,Tarrytown,Potsdam,Auburn,Staten Island,Geneva,Rochester,Cheektowaga,Sag Harbor,Syracuse,West Seneca,Lake Placid,Woodstock,Utica,Elmira,Tonawanda,Fredonia,Dunkirk,Scarsdale,Garden City,Massena,Cohoes,Clinton,Beacon,New Paltz
White Plains,0,5872.2,7304.8,2787.4,4444.5,514.1,2499.7,277.9,5544.3,268.5,9160.9,6017.8,6139.3,7335.2,7046.4,3732.5,4004.6,7581.6,4669.5,7980.3,9794.3,9656.2,2210.6,7080.4,8902.4,3309.1,2265.3,7048.6,3722.4,2006.4,2226.9,3612.1,9827.8,9826.2,6448.8,6525.2,4247.3,4246.7,8949.3,4085.0,5773.4,6569.8,139.1,8082.2,8557.9,7608.4,5896.8,8575.4,7695.8
Palmyra,5872.2,0,6934.1,1681.8,9135.9,1666.3,7167.8,9587.8,2663.6,2716.1,133.7,3305.5,217.1,6132.7,7076.7,1989.6,8972.5,3745.6,9139.2,9887.5,5929.3,4984.4,6514.8,3476.7,6350.3,5712.7,3144.9,1668.3,6561.6,8348.5,3856.5,2547.0,8022.3,1281.3,6385.7,5046.0,3282.7,4173.7,6957.3,562.7,1729.8,8479.0,9407.0,7910.6,692.6,733.9,6317.1,1828.6,2618.9
Hempstead,7304.8,6934.1,0,9322.0,2244.2,4177.3,5300.0,1803.1,8860.9,4120.2,4754.1,9377.0,9365.2,872.9,5734.6,7814.1,9665.1,4149.5,4337.8,3634.7,7384.5,6830.6,1310.1,8637.5,7176.9,9200.1,19.5,7509.1,7642.7,1473.8,7716.0,7381.1,8610.1,4474.5,3105.9,1132.4,2206.8,7098.0,5686.1,178.3,9516.4,5015.9,9795.8,8132.8,8886.8,4628.8,4917.0,990.2,4633.4
Ilion,2787.4,1681.8,9322.0,0,5392.7,1754.9,9953.3,5200.7,7086.8,9290.8,4529.3,1221.5,1946.0,1908.4,8362.1,6156.1,6090.7,1247.3,4223.4,5447.0,4603.8,7276.7,6225.3,352.2,5912.3,2910.2,6479.1,9663.2,507.8,9294.3,843.4,1217.9,5707.3,3849.6,3736.8,7369.6,3444.5,2239.6,9343.2,7445.5,4635.7,7870.5,5341.4,1262.3,5855.4,7302.7,4991.3,8439.2,1831.4
Nyack,4444.5,9135.9,2244.2,5392.7,0,7551.0,7167.9,4353.3,9105.0,9233.4,8452.5,1999.5,272.1,6524.0,4943.9,9435.5,5769.1,1457.1,2778.3,5546.9,5053.1,1811.3,4585.6,2900.2,4970.6,1105.3,2529.4,8433.0,4162.0,6690.4,3112.4,3597.2,4758.0,9094.7,4001.9,8945.6,386.9,422.6,5022.1,8531.3,8296.1,573.2,2238.1,7110.2,3692.4,8327.0,8189.3,1044.6,5802.7
Oneonta,514.1,1666.3,4177.3,1754.9,7551.0,0,7657.9,3892.9,7574.8,1224.9,2117.0,7179.6,8095.4,1460.6,9940.6,9785.6,5333.3,4594.6,5980.4,7071.4,2379.1,2948.6,6110.1,1629.5,1447.6,687.7,8651.1,6824.7,8314.9,276.8,4534.3,3492.9,1956.2,1345.0,6254.4,5966.6,2095.6,2682.9,7747.4,3267.4,7526.6,2175.4,1620.6,6505.0,6942.6,1455.2,9677.5,3936.3,4170.1
Oyster Bay,2499.7,7167.8,5300.0,9953.3,7167.9,7657.9,0,5499.3,8043.7,6526.5,5864.1,3122.2,7157.8,5292.7,9087.1,8862.5,2125.5,5038.8,8995.0,374.8,4791.8,1215.3,5683.1,4268.5,2689.6,5065.9,8100.1,5997.4,4317.3,4401.5,1216.3,8766.1,8579.6,8895.2,812.6,1621.4,3542.0,1224.6,6949.7,5112.1,3547.9,6570.9,9068.6,6755.2,1296.7,5646.9,7158.0,2221.0,3472.2
Ithaca,277.9,9587.8,1803.1,5200.7,4353.3,3892.9,5499.3,0,2057.4,300.5,1977.7,3446.5,1384.1,2831.5,4633.8,9147.8,3536.4,9132.8,6782.6,3289.3,6355.3,7710.2,4629.6,338.7,6668.9,9828.1,2211.6,1071.6,206.8,7698.5,3465.3,7895.5,4463.3,4939.1,1342.1,5321.6,5440.8,8122.6,2993.4,8748.5,4168.4,1232.1,376.2,5927.7,6758.5,4676.5,3049.0,4309.5,2116.9
Ogdensburg,5544.3,2663.6,8860.9,7086.8,9105.0,7574.8,8043.7,2057.4,0,4978.9,6950.5,398.1,2113.1,99.6,9380.6,5691.6,6480.1,757.7,8514.1,2842.7,8721.4,8466.5,2262.4,1297.9,9874.1,8096.0,4374.1,6617.6,9089.2,4234.8,1570.3,4521.4,9577.3,3245.5,3814.6,6823.0,4183.8,7804.9,6367.7,1686.5,5885.9,3445.9,510.8,7165.6,7982.1,5412.0,7266.1,3488.4,5198.8
Batavia,268.5,2716.1,4120.2,9290.8,9233.4,1224.9,6526.5,300.5,4978.9,0,4403.5,4383.9,8304.5,1955.5,4340.6,5425.7,2798.9,8302.1,8276.6,5405.0,6392.3,1231.0,2452.8,6886.9,1549.2,8966.6,1723.3,8929.6,4159.8,4721.7,2450.1,3823.4,1504.3,9723.9,8096.4,7326.8,7193.2,9091.9,5953.6,4336.7,5439.1,2318.5,8577.6,7296.9,7529.7,6189.7,1854.9,3329.7,8464.0
