CSV,Lockport,Cortland,Garden City,Hammondsport,Glens Falls,Nyack,Buffalo,White Plains,Flushing,Amsterdam,Saratoga Springs,Scarsdale,Dunkirk,Stony Point,Brooklyn,Queens,Hyde Park,Hempstead,Stony Brook,Ithaca,Batavia,Manhattan,Eastchester,Albany,Babylon,Herkimer,New Windsor,Oneida,Southampton,Mineola,Ogdensburg,New Rochelle,Chautauqua,West Seneca,Yonkers,Oswego,Cooperstown,Elmira,Levittown,New York City,Ticonderoga,Plattsburgh,Forest Hills,Ilion,Lake Placid,Utica,Binghamton,Bronx,North Hempstead
Lockport,0,2452.9,7213.3,8430.9,9863.9,4191.2,6372.8,1343.6,7519.8,8534.7,2475.8,3540.3,6372.7,7639.4,2327.4,5363.7,1996.2,308.1,1672.2,5189.3,876.4,884.0,158.5,8810.0,8986.6,1573.4,9970.3,510.1,1916.0,9451.9,4033.8,9115.3,8471.5,7758.0,6575.0,3657.5,449.8,7718.8,2777.0,9293.6,3643.4,644.5,159.2,2807.6,385.4,4657.0,8703.4,5306.2,911.1
Cortland,2452.9,0,7843.7,1115.8,4252.0,9970.9,6600.8,3215.9,9460.7,2960.1,280.6,6955.6,9483.1,5389.6,8477.9,6790.0,8605.9,944.2,4002.8,8670.3,9989.2,334.0,5898.9,9162.4,751.1,9158.1,3206.5,2657.2,1764.5,7191.1,5798.4,648.5,2510.5,4418.1,8056.2,5595.4,4739.4,415.8,4782.3,6070.4,793.3,3258.1,4293.7,5248.0,5891.4,8533.3,2386.7,2147.0,6732.5
Garden City,7213.3,7843.7,0,4045.0,9607.2,8698.7,5332.1,6152.2,691.7,1976.0,7601.2,7705.1,8867.1,6656.9,5101.0,6562.4,8046.4,2562.3,9891.5,9089.2,6177.7,7854.3,237.1,3167.4,5146.3,9370.5,8375.1,3986.6,7752.1,7457.8,2909.6,8329.1,3198.9,3295.3,9476.4,3499.8,8057.9,4773.2,3720.8,9635.8,4457.9,6702.4,5887.7,9223.2,2222.2,2454.2,5910.6,8335.8,3208.7
Hammondsport,8430.9,1115.8,4045.0,0,6735.8,6529.3,3028.1,7767.7,5876.2,2497.1,1425.8,5873.6,7249.6,74.7,5709.7,2132.0,2689.6,8912.5,5737.3,3118.7,8223.6,9774.8,4452.6,713.0,4740.1,4608.3,4428.1,7917.2,2597.2,6192.5,9582.2,3861.6,8706.4,4184.4,2275.2,6321.2,5345.3,7085.6,7401.1,3526.2,9433.0,33.1,4971.4,2225.1,3974.5,6977.4,9038.7,1786.2,9802.8
Glens Falls,9863.9,4252.0,9607.2,6735.8,0,4472.5,6220.5,6882.5,286.6,5655.6,5215.8,2646.8,9100.6,7184.1,5469.9,8414.9,3185.6,7581.5,3882.2,3386.4,1000.1,3545.3,9894.9,3604.8,1588.6,2758.6,9307.7,2612.9,4723.4,2906.1,906.9,6333.9,1405.6,7239.8,2981.3,3916.6,7536.2,6613.4,720.0,1710.5,6875.8,3159.6,2980.5,5209.7,1516.4,8755.8,9115.2,4195.7,9558.9
Nyack,4191.2,9970.9,8698.7,6529.3,4472.5,0,9608.0,8020.7,6323.2,1946.0,7618.6,6260.9,3996.7,3290.0,5109.9,5305.7,4292.8,4540.1,4635.5,7300.2,4038.9,45.7,3472.8,1364.2,4071.0,834.2,3534.2,8055.7,1504.9,5738.9,7141.1,7857.8,3403.8,1815.5,3159.1,9302.3,9553.8,4429.1,5074.7,5819.1,889.6,2518.3,5151.5,6301.0,4022.2,6058.5,5997.0,143.5,9298.0
Buffalo,6372.8,6600.8,5332.1,3028.1,6220.5,9608.0,0,5269.1,9109.0,5504.5,8963.1,3171.8,3185.5,2197.5,7685.4,3037.2,7229.0,5128.0,8282.2,6720.7,7443.5,1858.1,3161.9,284.3,9885.4,1523.8,7396.5,4139.2,3059.0,4054.1,18.0,4409.4,6077.1,1870.4,7878.4,94.1,7302.7,1052.4,2093.6,2576.1,3126.1,7819.5,6643.0,1361.2,9237.5,3691.4,2031.6,8288.1,4084.2
White Plains,1343.6,3215.9,6152.2,7767.7,6882.5,8020.7,5269.1,0,391.1,8568.2,3567.9,5330.6,9068.5,3664.9,4408.3,8493.9,2714.1,285.0,7830.0,3967.8,77.6,7344.0,8812.3,990.1,8576.3,9671.5,6463.2,4435.9,8053.7,6445.4,2395.0,6368.0,6872.7,3623.5,3327.7,994.9,2722.5,4143.0,5012.9,4876.6,8507.2,8620.5,9973.9,4489.2,699.5,5625.3,9800.8,1060.5,2791.9
Flushing,7519.8,9460.7,691.7,5876.2,286.6,6323.2,9109.0,391.1,0,263.7,4449.2,7022.2,1097.4,7536.5,9914.2,7060.6,10.6,564.8,4658.7,1386.2,477.5,1417.5,757.0,5215.2,1309.3,582.7,1733.1,8353.6,7132.5,8619.3,9702.3,3069.1,6494.8,4840.9,752.4,5420.4,8794.0,7191.8,4566.5,2146.2,1856.6,8916.1,9785.7,9313.1,6529.9,9825.4,7254.1,7991.0,3685.3
Amsterdam,8534.7,2960.1,1976.0,2497.1,5655.6,1946.0,5504.5,8568.2,263.7,0,3472.1,9401.4,8412.7,8791.6,9261.9,9125.0,3209.0,4838.4,5463.4,9992.7,8508.2,6693.7,7965.8,7181.5,3625.2,535.9,3685.1,7195.5,5922.8,331.1,4695.8,9080.3,4050.7,9567.5,3497.3,2379.0,3230.7,6669.8,948.7,6632.5,1239.5,3569.1,8887.7,9858.0,6987.7,3650.0,7359.3,7010.0,6274.8
Saratoga Springs,2475.8,280.6,7601.2,1425.8,5215.8,7618.6,8963.1,3567.9,4449.2,3472.1,0,8292.9,8403.2,3962.3,9811.3,1606.0,9041.2,6981.6,3694.3,7127.6,6545.6,5319.8,9224.9,2944.5,6467.9,1647.6,8733.6,5123.9,4659.9,3417.4,2701.6,728.8,9633.3,5074.9,2582.2,9427.4,1275.8,931.9,6681.6,5324.5,9820.1,4320.1,3784.1,1810.3,6622.5,8366.6,1451.7,9866.0,1286.7
Scarsdale,3540.3,6955.6,7705.1,5873.6,2646.8,6260.9,3171.8,5330.6,7022.2,9401.4,8292.9,0,472.0,6333.1,3909.6,870.3,772.9,3015.4,6272.1,7857.2,2678.5,5039.3,559.4,9533.3,7752.7,4364.0,7273.6,3124.8,7630.9,7259.6,2875.5,3775.8,8149.5,343.4,6324.3,8101.7,5256.9,2751.8,2378.0,3334.2,9446.7,4843.0,8518.9,3543.1,2671.6,2390.8,658.3,3281.2,5870.6
Dunkirk,6372.7,9483.1,8867.1,7249.6,9100.6,3996.7,3185.5,9068.5,1097.4,8412.7,8403.2,472.0,0,9842.0,6305.3,4867.1,9174.5,2254.2,6306.3,4289.9,4039.9,2002.8,4447.0,7141.6,6046.8,9664.1,1726.1,2016.0,1295.9,8830.0,653.9,2878.7,2727.5,9652.5,2123.9,6099.9,5787.0,5538.1,39.7,4249.3,1311.6,557.5,7578.4,3116.3,6159.4,3518.0,1433.0,6445.2,6821.7
Stony Point,7639.4,5389.6,6656.9,74.7,7184.1,3290.0,2197.5,3664.9,7536.5,8791.6,3962.3,6333.1,9842.0,0,1233.7,1132.0,1520.8,2945.0,550.9,2825.3,3057.5,361.4,2240.4,7316.3,7054.8,3908.2,2911.0,7185.1,2846.1,1107.5,9905.2,5023.1,4230.7,7657.0,4382.2,6045.6,4969.3,6375.2,5042.2,3298.4,7258.5,4766.8,6167.2,4599.5,2097.7,2263.0,9677.6,3071.1,4471.7
Brooklyn,2327.4,8477.9,5101.0,5709.7,5469.9,5109.9,7685.4,4408.3,9914.2,9261.9,9811.3,3909.6,6305.3,1233.7,0,6043.2,5972.8,1156.9,1873.7,7436.5,2803.2,8936.5,6988.4,8708.2,9158.6,3226.0,5033.7,4568.9,1811.2,7652.5,3885.3,9207.1,4077.7,436.9,9176.5,4955.9,6543.5,2452.3,2818.1,2029.0,2560.1,7041.6,8346.8,9661.7,7392.7,1074.7,8683.4,815.6,9352.7
Queens,5363.7,6790.0,6562.4,2132.0,8414.9,5305.7,3037.2,8493.9,7060.6,9125.0,1606.0,870.3,4867.1,1132.0,6043.2,0,6320.4,4205.4,9394.1,1358.3,4554.1,1376.6,2138.4,2512.8,3251.5,1221.5,8416.7,2672.4,7430.2,4722.5,1456.1,3462.0,9960.4,5363.6,425.7,8948.8,5201.4,9725.2,4872.8,8593.0,1574.7,5899.7,2897.2,6722.2,3853.2,3498.0,2280.9,4858.9,4139.5
Hyde Park,1996.2,8605.9,8046.4,2689.6,3185.6,4292.8,7229.0,2714.1,10.6,3209.0,9041.2,772.9,9174.5,1520.8,5972.8,6320.4,0,2591.5,8910.1,7104.3,6500.7,1608.6,3442.3,8219.5,3663.9,8399.3,7704.8,1909.4,4498.2,4992.8,7571.9,452.3,4552.3,8422.9,5932.4,7035.7,1898.2,4524.8,1531.5,3964.7,5297.0,2414.7,1565.5,873.1,1864.3,5902.4,3393.9,9809.4,474.2
Hempstead,308.1,944.2,2562.3,8912.5,7581.5,4540.1,5128.0,285.0,564.8,4838.4,6981.6,3015.4,2254.2,2945.0,1156.9,4205.4,2591.5,0,9940.2,1397.4,4854.1,345.9,1014.7,5346.2,4326.2,8652.4,9730.3,1362.6,9851.4,2538.9,9353.9,9646.2,7446.5,721.7,6560.7,2067.2,676.0,881.5,164.9,9815.0,4528.9,7785.2,422.5,5882.1,9815.5,7252.1,6976.9,2811.8,3996.2
Stony Brook,1672.2,4002.8,9891.5,5737.3,3882.2,4635.5,8282.2,7830.0,4658.7,5463.4,3694.3,6272.1,6306.3,550.9,1873.7,9394.1,8910.1,9940.2,0,8217.5,7145.3,327.2,1047.5,5619.7,8658.3,495.0,9805.2,5844.9,5684.3,707.1,6682.0,4843.3,216.1,4575.2,7175.5,2926.7,5877.7,2251.5,9346.2,9563.7,6774.4,3818.2,2015.8,1565.1,1089.0,5414.8,3607.4,421.4,5810.6
Ithaca,5189.3,8670.3,9089.2,3118.7,3386.4,7300.2,6720.7,3967.8,1386.2,9992.7,7127.6,7857.2,4289.9,2825.3,7436.5,1358.3,7104.3,1397.4,8217.5,0,1012.0,1280.5,9830.6,9273.6,9897.5,9060.8,761.4,2855.0,2105.9,6835.5,6640.2,9658.7,7553.8,6243.7,3000.4,9349.8,5690.6,8890.2,7679.5,6000.3,1258.3,9519.4,9633.6,8525.4,5238.8,1595.6,7388.8,696.7,6695.4
Batavia,876.4,9989.2,6177.7,8223.6,1000.1,4038.9,7443.5,77.6,477.5,8508.2,6545.6,2678.5,4039.9,3057.5,2803.2,4554.1,6500.7,4854.1,7145.3,1012.0,0,4920.8,3821.1,2398.4,8105.5,1847.5,6496.7,2696.4,8102.2,9441.3,8762.9,4272.0,5853.1,8834.6,3080.5,4764.1,9076.8,7759.0,250.6,2223.5,4205.3,1858.3,7551.1,3176.6,9634.7,7742.8,6644.5,103.6,6563.0
