CSV,Johnstown,Cooperstown,Hudson,Buffalo,Olean,Rye,Troy,Binghamton,Eastchester,Seneca Falls,Lake Placid,Bronx,Ilion,Middletown,Syracuse,Fredonia,Rensselaer,Ogdensburg,Ticonderoga,White Plains,Newburgh,Woodstock,Coney Island,Oyster Bay,Watkins Glen,Tonawanda,Glens Falls,Elmira,North Hempstead,Clinton,Beacon,Ithaca,Auburn,Chautauqua,Stony Point,Flushing,Hyde Park,Nyack,Garden City,East Hampton,Niagara Falls,New Paltz,Rome,Manhattan,Schenectady,Staten Island,Dunkirk,Queens,Mount Vernon,East Aurora
Johnstown,0,6060.1,443.8,6120.0,8192.3,6785.7,2467.7,1396.8,9881.8,4067.9,3015.1,5801.9,7215.4,9560.2,1506.8,58.8,5964.5,2461.8,7436.5,9709.8,2079.4,1741.5,8765.4,2727.9,829.5,8298.8,8051.0,3642.8,855.1,9242.1,7831.4,9952.8,1105.7,338.9,2827.3,2887.6,8179.9,225.3,9540.8,8872.8,6808.8,6413.7,8560.3,8309.8,7.9,8931.4,6328.6,7433.3,3368.0,8632.6
Cooperstown,6060.1,0,4518.9,4856.4,2450.5,3137.0,1983.7,3890.0,1649.5,6560.1,2434.2,3940.8,7211.7,4399.5,3267.3,3926.6,7648.4,7753.4,7921.5,6686.9,7695.7,1264.7,1046.4,8026.3,349.5,7679.0,6609.1,1716.5,569.5,2206.6,2068.4,4823.0,6386.0,2281.2,7382.0,32.7,1617.0,9437.5,3478.0,3028.1,9113.8,5856.1,678.5,2322.2,7044.5,5543.0,7506.7,1797.6,5941.1,2683.8
Hudson,443.8,4518.9,0,1594.5,7101.2,3264.4,9334.5,7496.6,4550.7,9023.8,8748.8,6039.8,7482.5,7863.8,9982.9,5079.9,3136.5,4904.1,2607.8,2723.1,3315.5,6565.5,2630.2,3950.6,2008.0,7812.0,5378.1,1127.9,7293.6,355.4,23.3,3174.0,6712.0,747.9,1440.5,1795.3,1949.3,6923.2,2822.7,7379.8,6874.0,9530.2,6027.7,9093.6,9712.9,5780.1,4014.0,9214.5,1860.3,7249.2
Buffalo,6120.0,4856.4,1594.5,0,16.2,4008.5,6086.6,3656.6,7504.5,876.6,8588.3,5838.2,2435.4,1876.7,1027.5,5079.6,7028.9,3761.2,2889.3,5921.5,4986.5,33.1,8134.1,958.5,3251.5,8971.3,5621.8,3702.5,6556.4,3363.6,6659.7,9854.5,4872.2,2966.8,4780.4,950.9,4370.4,1522.9,5910.5,9273.7,1019.7,3676.5,27.5,257.8,6385.1,3437.4,3600.0,1518.6,3842.3,3987.1
Olean,8192.3,2450.5,7101.2,16.2,0,2241.3,2535.3,2073.5,6021.0,4521.1,3657.2,9148.2,7932.2,7194.4,3043.0,1444.6,4160.1,5257.4,2132.0,8695.4,9681.5,8579.1,8194.6,8631.0,3761.0,4251.4,3267.6,7154.8,5505.0,3376.2,4248.0,6877.1,2188.6,434.0,8081.8,770.1,295.4,9932.3,9425.1,1799.9,4042.9,614.6,6236.2,8868.3,7876.3,1537.7,6597.3,6965.8,6110.8,9881.7
Rye,6785.7,3137.0,3264.4,4008.5,2241.3,0,6385.3,6504.5,371.6,6577.6,4861.8,2885.5,7386.6,9319.2,7378.7,5317.5,651.5,6600.9,2076.3,2870.6,725.7,6286.6,7517.9,2709.4,6552.3,8101.0,4322.3,5378.8,358.7,4417.0,5339.4,5272.0,7965.3,9989.0,9014.9,1215.9,1073.5,9295.9,4555.6,1784.5,4022.2,5111.6,2113.4,8229.3,2360.1,4588.0,5351.9,6049.4,64.8,3013.5
Troy,2467.7,1983.7,9334.5,6086.6,2535.3,6385.3,0,4832.8,2905.5,2970.6,9727.0,4602.8,7419.6,2977.2,6051.1,3233.9,1664.0,3932.3,2549.8,729.9,3723.3,1621.4,4350.1,866.5,5911.1,531.0,6927.1,2965.4,309.5,7797.1,1714.3,924.8,7697.2,3984.7,6763.2,302.3,3924.2,1695.6,7004.9,8085.0,7594.7,2856.8,8425.2,4456.5,6238.0,8749.1,4782.2,8280.6,758.5,948.1
Binghamton,1396.8,3890.0,7496.6,3656.6,2073.5,6504.5,4832.8,0,8371.2,5828.6,5362.1,6242.2,9570.5,3418.9,2016.5,2409.8,3132.1,5638.2,1619.3,6725.1,4557.5,5065.1,3103.5,1520.9,4015.2,8359.5,6571.1,7354.2,5594.4,2472.5,5613.7,4272.5,5835.7,2257.1,2276.5,7612.8,3481.4,9479.2,7628.0,5759.2,7325.6,5811.0,7529.9,7418.5,8293.3,616.6,1415.2,9645.6,5499.9,256.1
Eastchester,9881.8,1649.5,4550.7,7504.5,6021.0,371.6,2905.5,8371.2,0,2577.4,4650.2,8581.1,7001.2,5434.4,4573.5,6951.2,512.4,8169.9,3520.2,4115.7,6805.9,4023.0,2665.8,4494.7,4061.2,6632.0,9371.4,3544.3,6882.5,7106.0,2724.7,9754.6,7510.1,1015.7,3755.4,8993.2,9735.4,2784.4,8665.5,6157.4,9039.2,5895.3,5481.1,9994.7,300.1,8558.2,113.6,4257.1,8420.2,2892.1
Seneca Falls,4067.9,6560.1,9023.8,876.6,4521.1,6577.6,2970.6,5828.6,2577.4,0,9076.7,4009.9,187.1,8674.0,435.0,2976.6,5734.3,6548.3,2212.5,2171.7,2179.6,9826.3,169.2,8129.4,7287.8,5783.4,9977.5,5200.9,4499.0,9992.8,9417.6,4037.9,1783.0,6568.5,1512.6,2318.5,8109.9,8547.9,7373.0,7748.2,996.4,5816.8,5023.0,1713.6,2335.8,9377.4,671.1,5745.1,9122.5,4390.2
Lake Placid,3015.1,2434.2,8748.8,8588.3,3657.2,4861.8,9727.0,5362.1,4650.2,9076.7,0,3932.6,3432.9,2459.5,1562.9,8770.1,870.0,8936.5,8255.1,2081.6,9554.4,2658.3,8123.6,8264.2,3285.9,2463.8,8413.3,2986.5,2777.7,892.8,5662.8,694.8,4658.1,8625.3,1113.8,6111.7,4296.6,1603.9,7530.4,6728.4,2019.3,9122.3,5146.0,4266.3,4563.0,6439.4,8235.4,7319.0,5129.3,4215.1
Bronx,5801.9,3940.8,6039.8,5838.2,9148.2,2885.5,4602.8,6242.2,8581.1,4009.9,3932.6,0,1764.6,9525.8,3940.9,8743.5,2345.6,7978.5,1431.8,9322.2,7613.3,3620.9,839.4,9441.4,1426.3,3032.9,4787.1,915.6,4628.4,4457.2,9595.7,5471.1,354.9,9712.4,7867.4,2603.0,9337.5,2102.6,4938.4,7742.9,4837.8,7560.4,5762.7,6888.7,3967.4,2027.4,3818.2,7302.2,3519.4,2347.0
Ilion,7215.4,7211.7,7482.5,2435.4,7932.2,7386.6,7419.6,9570.5,7001.2,187.1,3432.9,1764.6,0,1497.5,6483.5,1126.9,5130.8,9093.2,7643.9,7427.4,1420.2,2099.9,7669.2,3969.1,6608.7,2309.2,6804.7,2536.6,506.6,3998.1,5722.1,9555.1,17.4,4426.4,1333.9,580.0,5416.8,988.2,6324.8,9299.5,8799.4,6755.6,1233.5,5292.2,4034.1,3712.5,3644.8,7984.6,5599.3,9830.9
Middletown,9560.2,4399.5,7863.8,1876.7,7194.4,9319.2,2977.2,3418.9,5434.4,8674.0,2459.5,9525.8,1497.5,0,7126.0,344.2,8431.2,9025.5,8254.2,8046.9,1614.1,4626.1,1687.6,6550.6,1975.3,4577.3,5620.8,6623.4,6662.2,7492.8,6313.5,3439.4,1552.3,9438.9,762.9,4442.8,6975.5,8985.3,6078.0,5858.7,9708.7,4396.7,5147.6,1978.2,2221.2,6624.9,7957.2,7579.9,5226.2,4343.7
Syracuse,1506.8,3267.3,9982.9,1027.5,3043.0,7378.7,6051.1,2016.5,4573.5,435.0,1562.9,3940.9,6483.5,7126.0,0,333.4,982.3,1645.6,7536.0,5676.0,4833.5,3975.5,8596.2,2263.4,8718.5,3816.9,9221.4,4763.7,2568.3,1973.9,7721.3,8104.1,6213.5,4670.4,3766.8,1088.4,5921.8,7711.8,9584.5,4555.5,4568.6,2908.0,805.0,4962.2,762.6,281.2,1057.1,9127.1,5631.3,9209.9
Fredonia,58.8,3926.6,5079.9,5079.6,1444.6,5317.5,3233.9,2409.8,6951.2,2976.6,8770.1,8743.5,1126.9,344.2,333.4,0,3662.0,1986.5,8297.3,5786.8,6824.3,5883.9,5976.4,9605.7,2573.3,324.3,5169.7,2451.6,3665.9,9198.0,1996.0,67.9,6730.6,7803.5,7593.8,2080.7,7527.3,6202.7,8781.4,7153.7,4152.4,8075.7,4130.9,5058.7,9735.7,4556.6,5220.4,5047.7,4129.0,1214.8
