CSV,Glens Falls,Southampton,Rome,Gloversville,Nyack,Binghamton,Schenectady,Watkins Glen,East Hampton,Tonawanda,Flushing,Peekskill,Johnstown,Ogdensburg,Cooperstown,Great Neck,Poughkeepsie,Cheektowaga,Crown Point,Saratoga Springs,Coney Island,Batavia,Rensselaer,Levittown,Mount Vernon,Potsdam,Lackawanna,Babylon,Staten Island,Fredonia,Stony Point,Saranac Lake,Syracuse,Middletown,East Aurora,Niagara Falls,Oswego,Amsterdam,Brooklyn,Plattsburgh,Mamaroneck,Harlem,Troy,Utica,New Windsor,Bedford,Chautauqua,Oyster Bay,Ithaca
Glens Falls,0,5701.2,4187.0,2920.9,5616.2,2243.8,500.9,1767.5,888.5,6878.9,2843.7,113.5,3673.7,7979.0,9640.7,9832.3,9710.6,7552.0,2427.6,7046.4,823.5,3507.0,6026.0,3913.8,7527.3,4571.6,4582.1,7490.8,5156.0,42.3,6060.4,6472.7,5054.7,3743.3,6845.7,3203.7,4024.8,504.6,3597.3,2011.3,8246.2,9066.6,9924.4,9496.7,4157.1,501.8,1026.1,5667.7,6700.8
Southampton,5701.2,0,3247.0,2756.3,1014.4,6482.0,9789.1,9114.3,3147.4,4342.2,3452.7,7338.4,9347.6,8159.1,8987.2,750.1,6996.8,1160.1,9308.2,5626.3,6066.1,1867.2,6487.4,5954.9,7213.6,9883.8,6727.4,7535.3,7071.5,8840.5,4011.5,9454.7,4818.8,3299.1,5831.0,7980.9,3039.9,248.2,2757.9,1162.0,4300.0,946.4,425.1,3475.3,4341.5,4211.8,6527.5,2852.5,6132.2
Rome,4187.0,3247.0,0,6777.2,1127.1,7748.9,5328.0,8577.1,9009.1,3253.9,6500.1,5521.6,8270.7,6056.6,7838.3,5264.6,93.8,5579.8,6293.3,1736.4,2583.5,9836.4,9287.5,5116.3,565.9,7726.8,3043.3,7440.6,7217.5,5116.4,1909.0,9588.6,3163.7,8501.1,9328.1,2869.6,6960.7,8138.8,198.6,5101.9,7018.2,7127.8,3136.0,9296.6,6165.4,4583.6,9452.7,3773.6,852.3
Gloversville,2920.9,2756.3,6777.2,0,4645.9,7068.5,9403.5,4246.9,1973.7,5857.9,3870.7,6064.7,4830.0,3369.8,1380.7,7133.1,6746.0,1534.1,3806.9,1196.8,5536.4,3860.5,5297.0,6368.8,6793.3,7662.2,3453.2,6749.9,6671.4,9882.0,1355.7,1638.7,3403.0,9028.9,9593.9,5795.9,1775.2,857.5,1590.1,8604.9,2529.7,9360.8,4957.8,4661.1,7837.5,1077.8,3765.7,1063.8,368.0
Nyack,5616.2,1014.4,1127.1,4645.9,0,1827.7,4339.3,7443.7,35.0,773.0,7333.1,9703.1,9951.8,1876.5,4222.2,8352.8,4228.0,2640.8,4227.2,8895.1,2239.8,9700.4,3824.2,7172.0,6375.5,3926.8,617.4,6707.9,675.8,1612.2,2723.4,8627.4,6995.0,8003.2,1357.7,6035.0,3353.9,4874.0,6736.9,8289.2,4919.9,4903.1,8184.8,2797.8,7850.6,6042.2,7638.6,6811.9,7286.3
Binghamton,2243.8,6482.0,7748.9,7068.5,1827.7,0,2459.4,5415.9,2107.5,9824.7,7420.4,9432.4,3439.6,7713.6,4554.1,2044.9,3450.6,6549.9,9823.7,8446.1,3154.3,4661.4,3406.4,7233.7,6873.6,5132.3,825.2,871.2,641.1,7068.2,1557.0,3859.6,4674.4,5783.4,5102.7,9719.3,3354.7,329.6,6590.5,9611.2,5324.3,5356.4,9675.2,8835.0,6490.4,3694.1,3528.8,9318.8,5926.4
Schenectady,500.9,9789.1,5328.0,9403.5,4339.3,2459.4,0,5602.7,2305.7,2366.4,1104.6,5047.7,8769.0,9931.1,5939.0,6951.8,4511.5,6933.7,9883.3,261.0,4107.3,2435.0,2463.4,1682.4,2707.5,2124.0,4365.2,8250.7,6690.2,8675.1,4203.7,392.2,3582.7,4993.4,6346.5,9522.6,5223.1,3391.1,5258.4,4491.1,2128.2,5895.1,3099.0,8159.4,752.3,8678.8,2558.9,8259.5,3796.2
Watkins Glen,1767.5,9114.3,8577.1,4246.9,7443.7,5415.9,5602.7,0,7192.1,7320.0,6069.8,9476.1,1957.2,3259.4,5211.4,4298.4,1408.1,2900.1,4649.2,6202.2,3784.0,3910.7,6461.7,7650.5,6589.1,4901.7,3001.6,1002.0,9779.8,265.1,8005.8,1425.4,8822.4,998.8,9681.5,9266.6,5576.7,6094.0,7567.7,5043.8,7558.9,7882.7,2389.5,7019.8,1649.7,1464.4,4928.7,9124.0,2428.2
East Hampton,888.5,3147.4,9009.1,1973.7,35.0,2107.5,2305.7,7192.1,0,396.6,1003.6,2806.0,2436.0,1933.5,1945.2,4967.3,7609.3,2637.6,7593.3,9640.1,9842.0,9582.6,4525.2,5814.1,4894.2,815.8,3862.0,7909.1,2748.6,6197.7,5294.3,5911.6,2351.0,5469.6,7845.6,701.6,1147.4,2998.4,4693.2,8408.8,1770.2,6897.3,5615.2,7510.3,9330.9,7245.5,5998.5,6439.5,8931.5
Tonawanda,6878.9,4342.2,3253.9,5857.9,773.0,9824.7,2366.4,7320.0,396.6,0,5566.3,2689.6,8879.7,1899.4,2216.7,1596.2,8404.2,1608.6,1808.0,4605.7,8878.1,7839.4,8488.7,9023.0,6532.0,480.5,3947.7,5334.9,8118.0,8152.3,8568.3,1018.9,9549.7,3381.2,9128.5,5221.4,2406.3,9235.0,3768.3,2157.0,7030.2,1515.9,8540.2,397.1,4232.3,3402.8,9872.2,9425.9,2779.0
