CSV,Babylon,Ilion,Middletown,Scarsdale,Yonkers,Oyster Bay,Cortland,Elmira,Ogdensburg,Rensselaer,North Hempstead,Fredonia,Peekskill,Rotterdam,Eastchester,Ithaca,Port Washington,Plattsburgh,New Rochelle,Nyack,Hudson,Woodstock,Watkins Glen,Auburn,Rye,Brooklyn,Syracuse,Manhattan,Batavia,Poughkeepsie,West Seneca,Clinton,Potsdam,New York City,Harlem,Stony Brook,Stony Point,Forest Hills,Herkimer,Lake Placid,Southampton,New Windsor,Troy,Hammondsport,Great Neck,Beacon,Saranac Lake,Oswego,Corning,Oneida
Babylon,0,2706.3,4225.4,4811.9,4785.7,4812.7,3221.5,7434.5,8256.1,4068.9,7736.8,8998.3,6558.8,9639.8,7134.4,4372.5,1654.3,9535.0,3977.7,3403.0,8645.4,1437.3,635.8,1523.2,7492.8,756.6,8326.0,1368.9,8893.5,2566.5,3279.1,5932.4,2959.6,9193.6,1075.9,680.4,9113.2,1321.3,2802.9,349.5,2508.7,1459.8,7365.3,8166.4,7428.9,8920.6,5983.3,6105.8,7089.4,2533.3
Ilion,2706.3,0,2706.8,2144.0,5506.7,8103.2,6371.1,5893.8,614.7,2664.8,278.9,3174.8,8429.0,3130.5,4279.6,9896.6,30.6,2086.2,4196.5,4081.6,1171.5,7245.3,5572.4,5769.6,3076.6,1795.6,5491.3,7550.9,7819.1,4894.8,991.9,2317.2,5658.5,562.0,5227.1,6144.3,7795.5,4534.9,4934.4,7984.7,4074.7,7751.0,8986.6,8821.4,7169.1,7853.6,4171.2,7242.3,7294.3,9666.7
Middletown,4225.4,2706.8,0,4782.4,7365.1,4687.7,8783.3,5497.9,2753.4,5339.8,4600.2,4186.1,5070.7,6846.2,9961.9,7590.7,2402.1,1440.9,2326.6,9476.9,7369.6,4880.5,430.2,4034.4,2016.1,5474.2,8277.8,1944.5,3172.4,9383.6,5360.6,7818.1,2809.0,3755.1,9719.3,8107.2,6950.8,871.5,2479.8,8923.8,338.5,1287.5,3224.3,1923.7,3890.6,8973.4,7655.4,3556.1,8743.4,3628.9
Scarsdale,4811.9,2144.0,4782.4,0,6996.1,5133.2,100.6,9196.3,5754.8,1191.8,989.7,6231.2,7805.8,2644.3,6583.8,4381.3,7273.3,9292.0,6594.5,4925.6,8412.4,5640.8,5000.5,6319.0,4239.3,8837.4,9186.4,5206.6,4048.9,8306.2,5150.5,5506.6,2653.8,6983.9,8785.0,6327.9,98.9,7424.9,3185.7,436.4,3048.1,6375.8,7641.9,1609.9,2760.9,3154.3,385.6,4301.1,1621.2,8682.7
Yonkers,4785.7,5506.7,7365.1,6996.1,0,6564.8,1496.1,5129.2,5872.2,3176.4,8967.1,6029.4,7049.0,2985.1,6559.0,1637.9,5167.6,1364.0,9639.6,2692.2,1086.9,2239.0,1972.4,1207.2,880.4,1919.9,128.0,2500.4,4936.3,8874.3,9731.8,1693.6,3429.5,1750.9,4449.5,1470.9,2869.5,2904.3,3246.6,4736.7,180.1,9150.3,11.4,6286.5,7850.1,715.4,9535.9,4523.4,6312.7,2028.1
Oyster Bay,4812.7,8103.2,4687.7,5133.2,6564.8,0,317.0,1000.6,3635.0,9808.7,2221.0,3859.6,8007.7,1494.4,8715.0,4013.5,8543.6,7755.9,98.8,3073.6,9548.6,5228.8,685.8,505.1,2586.6,3903.6,8100.8,1243.2,80.9,5353.6,7834.1,5176.2,5488.1,4480.7,7713.8,8929.3,1077.2,5984.6,2243.4,559.3,5839.7,4942.4,2032.3,2358.2,7781.5,8555.8,5110.7,9329.5,7086.1,2670.9
Cortland,3221.5,6371.1,8783.3,100.6,1496.1,317.0,0,5593.1,6987.0,9686.6,171.5,164.7,8090.4,2015.4,1042.6,9624.4,2807.6,3188.1,2635.2,5777.0,6932.3,6182.7,836.9,8183.4,2971.0,7506.2,5893.5,5295.5,5074.6,9010.2,8003.4,1112.1,955.8,7984.0,9415.3,5690.1,6636.5,4332.6,9279.5,3694.3,2595.8,552.2,4404.5,2183.8,5877.2,1450.6,8845.4,6284.2,9373.6,2488.7
Elmira,7434.5,5893.8,5497.9,9196.3,5129.2,1000.6,5593.1,0,468.0,9069.8,9635.8,4427.9,585.9,5207.0,1839.8,6419.1,5460.2,5190.3,3578.8,4588.2,9327.0,5343.6,1935.5,9476.0,3666.3,5341.6,8193.2,2487.0,9877.5,3766.5,3852.6,5076.3,8584.0,1034.0,6208.0,7418.7,1269.6,3230.1,3752.3,8715.7,4331.8,1913.0,8857.3,4465.8,2708.8,1525.1,3631.7,1495.0,2917.8,717.8
Ogdensburg,8256.1,614.7,2753.4,5754.8,5872.2,3635.0,6987.0,468.0,0,5860.4,4483.9,5818.1,2967.9,6760.3,2952.6,1607.3,7960.2,9002.6,4046.6,2170.3,5792.0,331.2,8363.3,3344.9,4049.6,5567.2,9454.4,3046.4,8901.2,6118.5,6128.8,9858.3,2467.6,6150.9,6113.9,8561.3,6513.6,6998.9,7313.1,2388.1,2751.8,9259.3,9175.4,7735.8,9985.3,3301.5,5313.2,5085.4,9387.3,571.1
Rensselaer,4068.9,2664.8,5339.8,1191.8,3176.4,9808.7,9686.6,9069.8,5860.4,0,1155.0,5866.8,4533.4,5247.3,3925.2,4576.3,9013.6,9676.4,4887.0,9859.4,7506.3,1046.4,7911.2,779.5,7530.5,8302.0,6551.4,7498.3,8245.4,3699.7,4650.0,6935.1,2146.0,2321.0,4980.9,7886.7,3262.8,6850.0,1526.4,564.1,4866.5,5428.3,6308.1,9305.9,1055.3,2884.8,6110.4,6720.9,9680.0,5700.8
North Hempstead,7736.8,278.9,4600.2,989.7,8967.1,2221.0,171.5,9635.8,4483.9,1155.0,0,2677.4,3641.3,1596.1,1868.8,9391.2,3994.5,5693.6,4878.0,8220.6,1754.4,1296.1,6203.8,8544.5,2592.8,9181.6,1894.1,6315.5,421.8,1371.5,7510.1,8070.6,5076.2,7881.7,9164.6,2817.1,1015.6,5529.5,710.0,7147.5,3622.6,610.0,988.6,9128.7,1433.4,3918.7,5583.9,6902.0,5167.7,4000.7
Fredonia,8998.3,3174.8,4186.1,6231.2,6029.4,3859.6,164.7,4427.9,5818.1,5866.8,2677.4,0,2295.6,3891.8,8143.9,1307.6,6518.0,8865.9,9019.2,1308.7,7242.7,145.0,2453.2,2117.4,6141.3,9974.5,2328.3,6443.5,8103.1,450.8,1207.6,3835.0,9314.3,5671.1,6698.8,549.3,8655.7,11.6,6790.1,5897.3,4579.8,698.4,5796.3,2904.2,368.6,6463.3,8183.8,5775.8,3545.4,2803.5
Peekskill,6558.8,8429.0,5070.7,7805.8,7049.0,8007.7,8090.4,585.9,2967.9,4533.4,3641.3,2295.6,0,4567.8,3311.9,2661.8,8847.3,1062.3,256.8,2373.5,3175.0,6819.5,79.8,9114.5,6856.6,8851.0,1173.3,7539.0,9982.5,6571.8,6986.3,8801.7,2344.1,3775.6,6335.0,3181.2,2085.9,9192.8,2503.1,9759.1,3698.7,1308.8,6209.8,2560.2,4068.0,5265.5,8746.6,3483.3,8148.9,5797.6
Rotterdam,9639.8,3130.5,6846.2,2644.3,2985.1,1494.4,2015.4,5207.0,6760.3,5247.3,1596.1,3891.8,4567.8,0,3775.8,4905.6,9183.0,3992.4,2389.5,2158.0,9023.0,5796.2,671.4,5052.7,1774.7,7688.0,1983.6,4546.5,6799.7,8344.2,4976.9,7370.1,8363.7,6855.4,6324.4,2552.1,4613.4,2450.2,5970.6,3984.1,3011.0,1566.0,855.2,4262.1,6628.0,1324.0,3418.1,4935.9,3981.3,3671.1
Eastchester,7134.4,4279.6,9961.9,6583.8,6559.0,8715.0,1042.6,1839.8,2952.6,3925.2,1868.8,8143.9,3311.9,3775.8,0,7847.6,2465.1,9623.5,48.1,101.0,7873.9,7526.2,6262.6,2987.8,5568.6,2280.1,7808.1,2934.4,7673.9,2944.1,5382.4,2091.9,6825.9,379.0,5129.7,9705.0,841.0,953.0,7044.6,7027.5,9630.4,637.5,3977.6,9794.2,7899.3,318.5,4226.2,6948.8,8391.8,1691.1
Ithaca,4372.5,9896.6,7590.7,4381.3,1637.9,4013.5,9624.4,6419.1,1607.3,4576.3,9391.2,1307.6,2661.8,4905.6,7847.6,0,8022.6,6536.0,7212.0,518.7,1220.5,5638.6,6186.7,6773.8,1543.9,7242.1,9345.6,9717.4,2428.6,4269.5,3915.7,2978.9,8054.3,3193.3,1851.5,7620.0,2577.6,5626.1,9761.9,2822.4,6923.1,797.6,2542.4,2731.9,2687.2,1159.1,5070.5,4281.0,5617.3,9348.3
Port Washington,1654.3,30.6,2402.1,7273.3,5167.6,8543.6,2807.6,5460.2,7960.2,9013.6,3994.5,6518.0,8847.3,9183.0,2465.1,8022.6,0,417.5,2381.1,1618.1,812.0,7132.9,6697.4,8587.8,6820.2,5725.8,3364.9,2190.3,9613.2,9084.0,6095.4,5496.3,8207.6,8996.3,861.9,5124.1,9842.1,9355.0,1887.3,203.6,6998.5,3718.5,5144.7,1072.5,1109.3,2145.3,4393.2,6734.2,5748.9,6756.4
