CSV,Clinton,Garden City,Gloversville,Brooklyn,Rotterdam,Rye,Levittown,Manhattan,Hudson,Saratoga Springs,Jamestown,Nyack,Ossining,Plattsburgh,North Hempstead,Ogdensburg,Watkins Glen,Oyster Bay,Lake Placid,Hammondsport,Oneida,Watertown,Potsdam,Amsterdam,Bedford,Seneca Falls,Ilion,Auburn,Utica,Dunkirk,Peekskill,Crown Point,Johnstown,Stony Point,Bronx,Cortland,Rome,Staten Island,Rensselaer,Tonawanda,Forest Hills,Glens Falls,New York City,Great Neck,Oswego,Eastchester,Newburgh,Palmyra,Oneonta
Clinton,0,3576.9,992.7,516.7,9577.0,4057.4,4141.6,9559.0,453.0,9184.1,5486.0,4930.8,4051.2,648.9,1521.8,4605.3,7855.6,6879.5,4953.2,5647.9,7683.3,7288.9,4639.3,7109.4,4752.9,3256.5,9568.7,6976.7,7000.2,7854.5,1920.5,2680.9,215.3,8892.6,7357.9,5959.3,5847.2,916.9,3594.1,1432.4,8821.8,9528.1,7937.9,9565.8,6747.8,6504.0,1762.8,7224.2,4559.4
Garden City,3576.9,0,8643.7,1240.2,7471.4,5820.8,4546.4,9172.8,6343.0,4585.7,4637.8,3574.1,4920.3,7437.3,5024.0,2641.3,1295.3,7610.7,5770.7,6328.8,7752.1,8449.4,1002.7,1694.7,3558.6,975.7,9128.4,1168.5,6467.6,1419.1,7509.0,9170.8,7439.4,8007.7,4841.1,7486.2,1517.4,5593.7,3595.1,119.9,3163.1,7915.1,5156.8,4531.9,5562.1,3102.8,2363.9,323.9,5460.4
Gloversville,992.7,8643.7,0,2967.4,5974.6,8163.8,8851.1,8084.1,5688.4,3161.5,2407.0,3004.0,5486.7,1265.5,6930.2,5505.1,9321.8,229.4,9540.0,1447.3,5621.9,4667.5,3013.6,9943.4,8892.2,9163.1,5782.0,1329.5,1626.2,7039.9,4129.9,7734.5,3676.8,3560.7,7607.9,1645.4,799.0,576.8,5608.0,5273.7,8339.9,5994.7,410.3,4615.5,539.0,5685.4,5120.5,1424.7,953.0
Brooklyn,516.7,1240.2,2967.4,0,9077.9,5671.1,5381.6,1682.2,3766.9,4123.2,1969.7,4985.9,3328.7,6767.1,8506.0,1889.0,5655.0,9188.4,3438.3,6172.3,65.8,8587.7,6544.0,4277.8,8466.2,4533.9,996.9,2629.1,3270.8,7925.4,5152.6,6011.1,4714.2,9369.4,6521.8,6365.6,3604.3,4018.9,5349.1,6423.6,3996.1,4037.0,744.1,154.1,9333.1,270.9,8325.4,3171.9,2430.1
Rotterdam,9577.0,7471.4,5974.6,9077.9,0,7277.0,6379.2,3397.9,2447.2,8081.5,3073.2,5600.9,7816.6,8841.7,5965.3,8624.5,1879.1,3640.3,9316.9,3676.0,9180.6,1280.5,5514.5,8609.6,7559.8,3453.6,6437.2,6303.4,1358.2,1067.7,3880.9,7425.5,1691.0,2555.1,833.2,550.5,8246.9,1942.1,6663.6,7423.2,1033.3,9652.4,2834.5,2781.8,3844.1,948.2,8988.2,9490.8,945.7
Rye,4057.4,5820.8,8163.8,5671.1,7277.0,0,7150.5,8466.8,2698.3,5065.2,7564.8,1051.8,394.5,8959.0,3256.8,7193.4,7908.9,8022.9,6297.9,4852.4,1511.2,1708.9,9173.5,9773.4,4083.4,2974.1,17.2,1869.8,735.8,111.1,2456.8,7382.6,4738.0,176.9,5536.6,8090.9,2656.5,4436.0,5330.0,4739.6,1324.2,5021.6,1986.3,3897.7,5396.8,4020.0,4340.8,7570.7,2746.0
Levittown,4141.6,4546.4,8851.1,5381.6,6379.2,7150.5,0,643.0,5261.8,926.9,4798.3,1759.2,7096.1,5297.7,7293.9,5290.2,3390.8,1696.4,8647.1,4810.0,2802.6,3535.3,4372.5,9466.9,7100.1,6338.1,7470.3,2930.8,2526.2,2047.5,1750.4,6491.9,6339.0,8884.9,2162.5,6459.3,905.4,9728.9,4153.7,2814.4,2430.5,7177.2,4148.4,543.2,5435.4,6225.2,7416.6,9747.3,7841.7
Manhattan,9559.0,9172.8,8084.1,1682.2,3397.9,8466.8,643.0,0,8439.7,625.2,8899.5,2991.2,9879.7,7714.2,4563.3,1671.3,9451.0,7993.0,5955.4,7943.3,5872.8,7759.3,7161.9,1884.9,8691.4,4338.6,5915.9,7707.1,5827.8,6763.2,1857.0,196.2,2797.8,9442.2,8689.0,2169.3,3417.9,7764.3,819.5,166.6,154.8,1678.6,2767.7,4707.6,3157.6,1419.7,9866.9,3995.7,1947.1
Hudson,453.0,6343.0,5688.4,3766.9,2447.2,2698.3,5261.8,8439.7,0,8436.5,9855.3,5015.9,6772.2,9888.3,640.1,7307.8,7811.2,1761.0,2919.1,3194.0,1617.1,8882.1,2549.2,3970.7,1065.7,8407.7,6899.7,3804.5,9018.4,6051.3,4495.6,3479.2,3103.1,3090.9,3213.4,6721.5,9494.2,6529.7,269.6,8223.0,51.3,9733.0,8827.5,4218.1,2122.0,464.5,1075.1,3011.1,9592.0
Saratoga Springs,9184.1,4585.7,3161.5,4123.2,8081.5,5065.2,926.9,625.2,8436.5,0,3082.7,2910.6,3081.9,7740.0,5610.9,8112.9,7407.9,4039.1,6502.8,2008.6,4809.4,4525.2,5740.3,6783.4,7548.1,1938.6,9214.0,3661.2,7553.1,4118.9,7285.8,3887.3,1942.6,3031.3,2654.7,5476.8,1886.3,3620.0,2124.9,7117.8,4995.2,404.3,8780.8,104.0,6224.0,3686.4,750.3,4833.9,100.7
