CSV,Massena,Watkins Glen,Saranac Lake,Oneonta,Eastchester,Geneva,Ticonderoga,Nyack,Cohoes,Hempstead,Gloversville,Stony Point,Hudson,Syracuse,Garden City,Glens Falls,Plattsburgh,Cheektowaga,Southampton,Auburn,Poughkeepsie,Coney Island,Newburgh,Olean,Corning,Schenectady,Utica,Kingston,Lockport,Oyster Bay,New Paltz,Batavia,Clinton,Lake Placid,Watertown,Levittown,Amsterdam,Rochester,Port Washington,Forest Hills,Ithaca,Woodstock,Watervliet,New Windsor,Hyde Park,Rensselaer,Tonawanda,Huntington,Mineola,Brooklyn
Massena,0,7741.4,2275.0,2306.2,8521.1,2613.4,7649.9,8396.6,5933.0,5990.8,7039.2,7436.7,2340.9,5971.1,8760.4,6084.6,2009.2,7379.7,8478.3,7280.4,3203.8,6492.6,9255.2,6504.5,7499.1,4308.5,6447.9,4475.2,9572.9,6690.9,4409.3,3476.8,5835.6,5019.3,7604.1,4644.9,1451.2,4784.5,3454.7,7099.6,9298.7,2480.4,2303.6,4759.9,7322.0,6952.9,8916.2,1834.1,9013.1,3278.5
Watkins Glen,7741.4,0,4630.2,8152.8,5309.8,9816.9,4484.1,4486.6,4321.7,6121.5,8543.8,7389.3,6473.9,3685.9,585.3,1018.4,1612.5,8841.6,9184.6,2144.6,939.8,5706.4,1694.8,3883.5,4320.4,1356.5,3350.6,5637.0,1018.5,4958.5,6967.7,3984.5,6313.5,3289.9,6554.0,3172.9,6593.9,2401.7,5091.0,8481.0,766.7,2517.8,5540.8,5764.5,6371.8,1883.4,6289.5,5754.5,9162.2,3095.9
Saranac Lake,2275.0,4630.2,0,5767.7,5098.5,6436.7,3529.7,5779.2,2093.9,1697.7,4713.7,6299.1,1921.8,2577.9,5493.0,4682.6,9808.8,8222.2,4265.4,2576.9,5299.5,5472.8,3356.9,8005.6,5502.4,1118.6,8669.9,9593.2,6996.1,854.5,9771.8,4209.6,1298.5,5262.4,3509.2,5117.3,4661.6,1208.6,4521.9,1352.8,2240.0,1449.6,3454.2,7233.8,7753.4,234.9,6251.8,2939.4,6290.0,6558.2
Oneonta,2306.2,8152.8,5767.7,0,9361.9,3338.3,1014.5,1590.6,5099.9,5553.8,763.3,7406.4,7289.3,8379.5,6118.9,9145.6,6226.8,4459.0,7679.7,2809.3,9194.1,3169.6,3313.6,9561.5,9566.9,3302.4,4033.9,6598.7,7644.9,3941.8,8290.0,2867.4,6465.8,7938.2,4401.1,5599.1,5657.3,7392.7,6071.2,2180.8,1190.0,6356.1,2510.8,3359.2,9188.3,144.5,5116.6,631.6,4013.0,4716.8
Eastchester,8521.1,5309.8,5098.5,9361.9,0,283.4,686.4,9041.6,5090.5,9840.5,5425.1,262.4,4251.9,9917.7,2701.4,8719.9,4592.8,5887.1,6034.1,6745.6,3526.1,1996.8,4313.6,2539.0,1050.0,680.6,8535.7,4637.4,5203.6,3512.0,7287.9,42.5,4788.0,1045.3,8096.2,5774.7,7373.8,6743.5,660.8,558.3,6694.6,2034.3,507.5,4840.8,8168.2,636.8,2197.1,3355.9,1519.1,5678.5
Geneva,2613.4,9816.9,6436.7,3338.3,283.4,0,5554.6,1931.4,8379.8,8697.4,7494.0,8049.7,340.0,6252.9,8023.7,9801.5,6689.3,4934.8,6671.0,3186.7,4440.8,2561.9,407.7,5392.4,1683.0,933.5,5457.5,4828.5,293.2,3191.6,1876.0,1515.9,4126.6,2530.7,5128.0,9993.9,4611.3,1062.0,4071.0,349.0,6211.8,2054.8,7196.4,7472.2,4092.2,5723.3,318.5,9584.1,7750.2,8081.7
Ticonderoga,7649.9,4484.1,3529.7,1014.5,686.4,5554.6,0,1721.9,9446.2,4851.2,6835.7,8615.7,1773.7,8901.7,3391.3,8653.8,7046.1,118.0,8221.6,8921.2,9100.7,2525.5,6541.0,7503.7,1503.2,1434.7,3529.4,6107.1,7034.9,4759.4,661.8,9486.3,3985.5,8129.7,1800.9,1984.6,1588.5,294.5,180.6,4463.8,4887.4,7230.9,9564.1,2994.1,347.4,6364.9,6787.3,4013.6,9508.4,2303.1
Nyack,8396.6,4486.6,5779.2,1590.6,9041.6,1931.4,1721.9,0,1301.4,3139.9,950.2,9300.6,2747.6,3286.6,3898.8,3694.5,235.1,9726.8,4602.1,8708.6,4340.4,5583.3,3145.3,2886.9,3954.3,4106.0,8797.2,9458.6,8529.1,3911.3,8666.8,7688.1,7022.1,3566.2,3368.1,8432.9,5011.8,5389.4,9369.2,3141.4,2617.8,8047.8,9625.1,1485.3,8790.3,7943.8,24.5,4704.5,602.5,7981.2
Cohoes,5933.0,4321.7,2093.9,5099.9,5090.5,8379.8,9446.2,1301.4,0,7812.5,3081.6,7167.7,415.4,2752.0,7366.2,6184.0,7185.3,7675.7,3063.3,2734.1,333.3,3308.9,6271.0,2243.6,2094.8,9030.8,9500.9,7003.6,6942.0,6383.9,7372.7,9980.1,2506.1,5241.6,2797.0,5266.4,550.4,5414.1,4655.4,5013.6,912.3,6631.3,1093.7,7629.0,5663.2,4769.7,7402.4,1000.7,4989.4,1251.0
Hempstead,5990.8,6121.5,1697.7,5553.8,9840.5,8697.4,4851.2,3139.9,7812.5,0,2288.6,7610.9,9127.8,223.8,8224.8,4112.6,8500.6,2449.5,2171.9,2853.5,3905.4,8833.9,5722.8,7365.3,992.3,6502.3,8984.3,266.8,3724.6,4722.9,5642.6,362.9,4637.6,9643.4,1096.5,5113.2,6179.9,608.2,8889.9,9428.2,7994.2,8527.6,5034.4,1563.5,9574.4,8422.9,3202.5,3094.3,3598.3,3237.6
