CSV,Woodstock,Oneonta,Johnstown,New Windsor,Babylon,Watervliet,Schenectady,Kingston,Middletown,Watertown,Saratoga Springs,Gloversville,Binghamton,Bedford,Rensselaer,Niagara Falls,Lake Placid,Elmira,Glens Falls,Fredonia,Bronx,Hempstead,Jamestown,Sag Harbor,Peekskill,North Hempstead,Ogdensburg,West Seneca,Corning,Batavia,Ticonderoga,Cooperstown,Newburgh,Ithaca,Mount Vernon,Watkins Glen,Oswego,Seneca Falls,Rochester,Oneida,Cortland,Brooklyn,Nyack,Great Neck,Tarrytown,Rye,Beacon,Dunkirk,Stony Brook,Lackawanna
Woodstock,0,7422.9,1541.6,7053.9,9745.0,7444.8,5999.5,9492.4,3321.3,2723.3,526.5,4632.9,9189.1,3667.4,9884.8,1590.0,31.0,9054.0,4173.1,7697.4,753.9,7798.9,9337.4,4274.9,6948.1,2671.5,8328.6,6651.9,8321.7,1119.4,3320.4,9459.0,1657.4,9166.0,7349.0,9639.3,8237.2,893.3,2887.9,2830.4,4070.0,132.1,5335.7,718.4,7932.9,4363.2,6864.8,4531.5,8192.2,6432.0
Oneonta,7422.9,0,7.9,8302.3,71.0,533.2,8818.7,9219.4,8715.7,8463.9,1139.6,2554.5,4519.2,3706.0,3478.3,6944.8,7292.7,1789.3,8484.9,3375.7,6659.9,8022.2,8867.6,1836.3,1751.8,381.1,8751.7,9966.1,453.5,1407.1,7726.2,6232.5,2026.6,3249.9,9934.9,1353.4,1791.6,2907.6,256.9,8872.1,6522.6,32.5,1155.5,489.7,8462.6,8027.0,3582.4,3845.8,1365.2,4394.2
Johnstown,1541.6,7.9,0,7767.4,4039.5,7785.0,7403.7,8533.7,2220.8,2443.2,4077.9,449.3,9735.1,3580.8,811.9,6691.0,2564.2,3095.2,3892.6,7337.1,7813.5,5784.3,1834.4,4860.2,8587.5,5568.1,4353.3,7719.0,7032.1,7545.5,2519.8,6675.3,2535.5,8489.2,8014.1,5468.6,8579.1,2347.2,9007.8,2294.7,8855.9,7788.6,8493.4,8242.8,9064.5,8057.7,5836.3,5272.2,2943.5,7975.0
New Windsor,7053.9,8302.3,7767.4,0,8382.8,8994.8,2046.2,4871.0,8137.8,8586.6,3296.3,3958.8,5734.8,9077.2,922.9,6472.5,5362.4,9584.6,9409.5,107.0,995.8,9736.3,6548.7,1699.8,2539.4,1094.1,4799.3,1763.0,4685.1,1209.8,3226.3,329.6,3958.5,4354.6,4597.0,6746.0,7650.8,6278.1,5668.1,2837.5,2280.0,4416.6,9496.8,9278.4,8374.4,8261.6,71.7,3851.7,7892.2,7718.5
Babylon,9745.0,71.0,4039.5,8382.8,0,4733.4,1310.3,8791.8,5319.6,9486.2,3161.7,241.3,5677.8,6546.8,8330.3,6008.2,9838.6,4999.6,8257.7,3478.9,3004.0,7971.5,5885.8,6000.1,5416.4,8760.2,5430.8,9299.0,7948.8,4137.7,1387.1,6347.5,947.1,3251.0,273.4,9504.3,2768.4,5073.1,7016.2,8389.3,9970.8,8957.2,8675.0,5555.0,767.1,5373.0,8710.6,3928.1,2695.5,2300.8
Watervliet,7444.8,533.2,7785.0,8994.8,4733.4,0,9047.2,3946.8,5997.8,7293.6,6259.5,2896.7,7734.4,9126.8,7962.1,6756.7,451.8,6053.1,769.6,5398.3,8377.5,8030.9,4443.5,1433.4,8006.1,7644.3,5794.7,1022.4,1476.7,1151.7,1439.4,7277.2,8631.0,9481.2,1001.5,8395.2,3415.3,1886.2,9822.5,4466.3,5340.2,9643.9,3213.6,9017.3,3350.3,3152.4,4752.0,2153.6,5767.6,6167.9
Schenectady,5999.5,8818.7,7403.7,2046.2,1310.3,9047.2,0,8356.1,4549.9,2658.2,1524.1,2252.6,3778.0,6036.4,7617.8,2528.9,2851.5,9319.0,9541.9,4822.5,2307.8,6631.6,3212.4,9464.2,3585.6,5365.8,5423.4,8093.3,863.8,9349.5,8462.0,1303.1,9651.6,3539.5,9812.8,3757.3,301.5,5966.7,7522.7,8608.7,5449.7,5786.4,1573.2,6857.2,1555.7,2590.6,2864.4,1562.8,6507.4,9341.1
Kingston,9492.4,9219.4,8533.7,4871.0,8791.8,3946.8,8356.1,0,7053.0,4033.6,4526.5,2472.4,9162.6,4670.7,2746.6,3250.9,7758.1,9514.0,6618.7,3689.4,2736.7,3128.2,608.9,3464.4,1019.8,2004.3,1925.3,2100.7,5730.8,9911.4,2697.1,1216.5,4684.5,6974.1,6239.5,2284.5,4707.3,699.1,4218.1,484.0,9371.9,9284.9,220.9,4038.1,8533.9,3205.6,4583.3,6099.9,5593.1,8847.5
Middletown,3321.3,8715.7,2220.8,8137.8,5319.6,5997.8,4549.9,7053.0,0,4553.9,4896.5,1716.1,21.0,2439.7,1492.7,4701.9,2700.9,5688.2,4401.0,5190.8,7436.8,1713.8,7431.5,9264.0,4101.6,8188.1,1451.6,5098.7,3392.6,3581.9,1389.3,6895.2,7887.5,3829.3,2755.8,1270.1,784.7,800.0,3862.3,3572.7,2722.9,3963.1,2609.3,7036.9,4589.3,2414.6,6665.2,5474.7,8690.5,3931.5
Watertown,2723.3,8463.9,2443.2,8586.6,9486.2,7293.6,2658.2,4033.6,4553.9,0,238.9,8245.2,5530.9,8184.0,9844.2,1639.5,6177.9,1844.7,7966.4,2621.1,5245.5,4438.9,3022.0,3139.1,6677.3,3518.5,1646.0,5819.6,4601.9,8401.6,9720.4,9799.9,1249.8,3531.1,1746.2,7776.5,189.3,7444.5,1147.7,7197.4,6342.7,5038.9,81.2,2702.9,4563.9,5840.3,1056.3,1503.9,1166.9,2091.7
