CSV,Harlem,Cohoes,Forest Hills,Poughkeepsie,Palmyra,Manhattan,Woodstock,Jamestown,Garden City,Corning,Oneida,Rye,Buffalo,Amsterdam,Hammondsport,Sag Harbor,Ticonderoga,Herkimer,Lackawanna,Cooperstown,Ithaca,Mount Vernon,Stony Point,Batavia,Stony Brook,Rotterdam,Fredonia,Geneva,Saratoga Springs,Schenectady,Rome,Port Washington,Watertown,Seneca Falls,Southampton,Eastchester,Troy,Cheektowaga,Yonkers,Johnstown,New York City,Lake Placid,Hempstead,Elmira,Chautauqua,Bedford,Hudson,West Seneca,Ossining,Hyde Park
Harlem,0,3299.6,7354.3,166.0,9356.1,2291.1,4144.8,9867.6,7417.8,1511.8,758.3,5274.3,3267.5,6419.4,6554.0,4960.7,5891.3,5889.3,3178.1,1235.8,9664.0,4668.3,1593.8,5005.8,9682.7,2022.8,7959.3,8252.9,3583.4,5828.6,3938.8,5550.3,3090.0,241.7,4553.7,85.4,8756.8,411.0,6226.5,1630.2,5783.2,9972.9,5270.7,6206.2,5971.6,3735.1,6691.9,1821.1,4962.3,393.0
Cohoes,3299.6,0,2507.9,226.0,267.1,559.2,135.7,2714.1,9853.4,9710.5,3057.7,6026.6,2867.0,8477.7,8489.9,8791.4,7451.1,5746.8,7823.1,3061.8,9631.5,9774.3,1989.4,5085.5,8786.3,1256.3,2.8,2660.2,875.9,3854.7,1046.1,7184.3,729.6,4941.2,4336.1,7633.0,7521.8,5470.5,5907.0,4594.8,2546.1,3202.1,3294.7,52.1,2953.6,4696.6,2660.0,3132.6,5942.8,3613.8
Forest Hills,7354.3,2507.9,0,3793.1,1255.2,7916.3,3812.7,42.4,8768.4,8137.2,8375.2,8038.4,6732.9,1511.5,6912.1,970.4,3621.9,6474.0,5403.4,1256.7,56.0,6341.4,7989.9,4113.3,5335.4,6708.5,2458.3,7957.0,2006.5,1796.5,6117.5,2430.5,4785.4,8058.2,8345.7,3040.9,5809.9,6187.4,8914.1,4018.8,1223.4,2314.5,4687.3,2297.2,9128.8,267.8,6601.1,8984.8,3979.9,499.0
Poughkeepsie,166.0,226.0,3793.1,0,4203.2,9634.0,9010.0,5091.6,2494.6,9741.2,2733.6,8971.7,8453.9,2315.2,9398.8,1581.3,2461.9,9444.4,3932.7,7503.9,5058.3,8112.1,9153.4,1187.6,587.8,1926.3,6110.4,3257.4,7968.8,118.7,5178.1,6750.4,9472.6,1815.5,9891.8,7709.3,5712.2,5161.5,7430.5,7353.2,8161.5,8376.9,3639.4,168.7,2488.8,309.7,5489.3,3703.9,443.5,6929.7
Palmyra,9356.1,267.1,1255.2,4203.2,0,7987.0,7482.6,8671.8,4193.6,4626.4,9453.5,5392.4,8841.6,4015.0,2219.4,1518.6,5304.0,8328.5,1765.2,9382.5,2713.7,5233.0,7726.8,4091.2,6631.6,7136.4,5512.5,2710.0,4949.6,5500.6,8640.5,3552.7,8621.9,8924.2,5801.2,9115.0,6169.0,5172.0,2890.1,5772.9,1682.6,2014.7,4848.1,4671.7,3539.2,7532.3,8951.1,4416.1,3117.1,8437.8
Manhattan,2291.1,559.2,7916.3,9634.0,7987.0,0,7251.5,7610.3,6934.2,7160.8,2650.6,1105.7,1995.5,3756.6,4711.0,3686.0,4022.4,5547.8,3000.1,5721.1,5299.9,9260.3,7908.9,9292.6,22.9,6821.5,4225.0,5948.4,8763.9,1251.2,7425.0,9959.2,5041.2,4093.4,5690.5,7564.9,5642.5,4851.1,8835.8,6976.6,7882.4,1592.0,3515.7,5673.3,196.1,7546.4,8625.4,7638.3,7687.9,8727.3
Woodstock,4144.8,135.7,3812.7,9010.0,7482.6,7251.5,0,5373.6,5599.0,6629.4,427.5,7397.6,1858.3,2517.7,5747.8,2475.1,2100.9,1064.3,6972.5,1539.4,9507.7,9683.6,7832.5,3903.1,1717.8,7250.3,1126.0,2912.0,9267.4,5718.5,4404.5,9522.5,5229.8,7222.2,8823.2,3184.5,9880.1,8584.4,9882.1,1630.3,9789.3,3391.5,7591.3,7960.3,490.7,8131.3,1105.6,3999.9,6152.7,4671.3
Jamestown,9867.6,2714.1,42.4,5091.6,8671.8,7610.3,5373.6,0,7559.8,9914.2,789.2,4491.7,4917.1,4542.2,5570.1,7739.1,2360.6,7604.5,298.4,5146.3,7476.6,9386.9,4882.8,1090.7,5042.0,3711.5,3190.2,1006.6,6620.1,7963.8,2710.5,2759.9,974.1,9464.4,4655.6,9488.7,4295.4,9822.1,5857.4,3639.5,1886.4,2806.2,7373.5,7863.9,6749.0,9308.1,4329.9,8725.0,7061.1,5264.1
Garden City,7417.8,9853.4,8768.4,2494.6,4193.6,6934.2,5599.0,7559.8,0,1456.0,2757.1,6661.5,8530.6,7219.2,9597.7,9120.0,858.1,9725.7,3219.6,587.9,8137.4,9584.5,2924.7,9987.5,2885.7,9276.9,857.1,3396.6,8996.4,7408.7,8701.5,4791.5,1443.6,2224.6,5401.8,370.3,7487.3,9445.4,6884.5,7988.2,5262.0,6530.7,7935.8,3610.9,1002.0,6596.0,2236.4,8388.5,9676.1,5787.6
Corning,1511.8,9710.5,8137.2,9741.2,4626.4,7160.8,6629.4,9914.2,1456.0,0,9502.6,503.3,4198.2,9264.7,2007.8,6290.6,607.9,6802.8,526.2,5194.1,8615.4,8569.1,3262.6,9601.4,7050.8,6091.4,9849.5,3152.7,901.6,273.5,9982.1,2716.2,6619.1,5079.3,7650.2,7753.3,654.6,6170.8,1272.4,2544.4,2372.4,7392.9,8464.2,2695.3,9263.5,4476.2,7623.9,1988.9,6333.2,5398.4
Oneida,758.3,3057.7,8375.2,2733.6,9453.5,2650.6,427.5,789.2,2757.1,9502.6,0,5437.1,7675.7,3940.6,906.3,7638.0,3187.0,9428.7,8990.6,9713.5,5574.8,5193.8,110.2,8139.4,3855.9,536.4,8506.5,8651.9,1379.9,8533.2,9694.0,2534.5,5998.1,598.1,1777.8,3668.8,7048.7,8158.0,4454.2,2476.7,3847.1,487.9,4397.9,9223.1,5983.9,7993.6,3573.7,3625.4,4691.4,9885.3
Rye,5274.3,6026.6,8038.4,8971.7,5392.4,1105.7,7397.6,4491.7,6661.5,503.3,5437.1,0,1591.5,430.3,657.0,8461.7,167.2,5879.3,2254.1,2204.5,7885.0,5866.5,5079.4,8215.2,580.9,4146.4,7127.3,9999.0,3134.7,8104.6,4245.6,2976.5,1598.8,1825.3,1334.5,7764.3,5307.5,5863.1,3823.3,2908.0,9853.8,8781.2,5436.6,9134.2,9183.0,488.3,9324.2,3774.6,8730.9,443.7
Buffalo,3267.5,2867.0,6732.9,8453.9,8841.6,1995.5,1858.3,4917.1,8530.6,4198.2,7675.7,1591.5,0,6047.5,6125.6,3575.5,9474.9,6234.2,6362.0,2924.4,2452.7,3373.2,4289.2,8931.4,8245.8,8718.7,7951.3,5720.1,5537.6,3844.6,878.1,7226.0,2790.9,6089.2,9994.8,9623.0,8951.8,8061.1,5638.9,1777.4,4599.8,4213.1,7007.3,13.2,9078.1,2204.1,9946.7,4722.6,1804.2,4658.8
Amsterdam,6419.4,8477.7,1511.5,2315.2,4015.0,3756.6,2517.7,4542.2,7219.2,9264.7,3940.6,430.3,6047.5,0,1612.0,9314.7,5252.2,2681.2,9211.1,5667.3,1106.3,1652.7,1044.7,6365.1,5433.4,5013.9,2281.6,5756.5,8110.9,3331.8,4786.9,8868.2,8403.9,9465.4,3445.9,6329.2,8546.7,8350.7,4658.5,2584.7,7473.0,2219.8,5550.1,2846.3,6373.6,4073.0,371.0,5376.6,9081.8,9399.9
Hammondsport,6554.0,8489.9,6912.1,9398.8,2219.4,4711.0,5747.8,5570.1,9597.7,2007.8,906.3,657.0,6125.6,1612.0,0,2364.9,8787.7,5817.4,3425.4,3412.3,4569.8,1717.5,8622.5,117.1,2601.3,7458.2,2273.6,3482.6,8448.5,8789.8,9141.4,8342.3,1396.4,4556.1,4069.5,9002.9,8939.3,2375.0,6959.1,8129.3,7797.8,5281.5,177.8,330.9,649.5,4449.4,164.7,1201.7,2605.7,9820.0
Sag Harbor,4960.7,8791.4,970.4,1581.3,1518.6,3686.0,2475.1,7739.1,9120.0,6290.6,7638.0,8461.7,3575.5,9314.7,2364.9,0,2340.6,9135.5,9889.8,1736.7,8000.8,3898.6,7381.6,8356.3,7606.7,4908.2,5482.4,8730.8,9155.5,3320.5,4627.7,5808.8,1050.1,5931.4,4447.5,1495.2,9858.5,983.9,6060.1,4710.7,7770.3,6806.4,4234.4,5675.3,2966.2,9246.3,295.2,91.4,2451.2,595.2
Ticonderoga,5891.3,7451.1,3621.9,2461.9,5304.0,4022.4,2100.9,2360.6,858.1,607.9,3187.0,167.2,9474.9,5252.2,8787.7,2340.6,0,3166.0,3007.0,4266.0,6156.8,8294.5,3924.7,3066.4,9106.6,7734.3,135.2,843.5,3885.2,4043.5,4877.2,2695.1,6228.0,7945.3,6836.9,783.8,7030.6,5767.3,9594.6,2989.0,6117.1,5999.7,9754.3,9575.8,4280.5,4051.0,8760.4,7033.0,320.2,6627.7
Herkimer,5889.3,5746.8,6474.0,9444.4,8328.5,5547.8,1064.3,7604.5,9725.7,6802.8,9428.7,5879.3,6234.2,2681.2,5817.4,9135.5,3166.0,0,5810.8,8203.7,7729.3,7258.8,9489.8,645.7,6126.7,691.7,6864.2,5375.7,8994.1,4788.2,5934.2,8661.4,5470.7,388.7,4921.6,3207.6,7825.8,2773.1,7096.1,1142.4,3881.2,7136.1,7156.7,6785.9,6739.4,5830.7,8030.6,6053.4,9902.5,452.3
Lackawanna,3178.1,7823.1,5403.4,3932.7,1765.2,3000.1,6972.5,298.4,3219.6,526.2,8990.6,2254.1,6362.0,9211.1,3425.4,9889.8,3007.0,5810.8,0,1350.0,6056.4,7388.7,346.3,6594.5,4137.6,1171.8,570.1,869.4,9264.0,1048.4,9854.6,2361.2,3642.2,5921.2,9849.0,7357.7,8.6,1939.6,1983.6,3637.9,861.7,9097.2,7644.7,6471.1,9188.7,8209.4,3504.2,1497.5,5322.2,283.2
