CSV,Schenectady,Cohoes,Ossining,Oyster Bay,Binghamton,Port Washington,Southampton,Yonkers,Bedford,Tonawanda,Saratoga Springs,Plattsburgh,Amsterdam,Herkimer,Mount Vernon,White Plains,Levittown,Watkins Glen,Forest Hills,Crown Point,Poughkeepsie,Rome,Hammondsport,Eastchester,Auburn,Saranac Lake,Kingston,Geneva,Queens,Chautauqua,Oswego,Mineola,Bronx,Palmyra,Batavia,New Windsor,Cooperstown,Buffalo,Clinton,Flushing,Ogdensburg,Olean,New York City,Seneca Falls,New Paltz,Stony Brook,Syracuse,Elmira,Great Neck,East Aurora
Schenectady,0,4732.6,834.8,6501.7,368.6,9132.6,1205.3,4223.2,5460.3,9295.0,908.3,6241.7,2523.7,9128.0,5174.9,5903.5,5739.8,1816.8,3842.6,7776.7,5049.0,9508.0,2119.5,9451.8,3895.3,2088.3,3266.7,4543.1,9582.9,3108.8,7895.9,3410.8,5542.3,915.7,3923.6,2700.2,3131.6,2599.9,8188.8,1892.1,97.8,4644.3,3904.1,7447.1,3055.2,5186.0,900.7,671.4,6460.1,7244.3
Cohoes,4732.6,0,2757.9,7259.0,9668.7,7954.8,417.3,9226.4,6824.2,3559.6,6054.9,8402.7,5461.3,4083.0,2260.7,3027.9,1362.8,1526.5,6286.1,4936.1,210.4,4467.2,1679.3,9346.4,2710.4,6712.5,3359.0,3753.9,8586.5,1295.3,4966.6,9311.3,5893.1,1984.2,3464.0,4634.8,7998.1,4630.9,6875.4,4379.1,2274.3,8105.5,8157.0,9770.3,7253.9,355.1,688.8,3747.7,2395.1,1752.5
Ossining,834.8,2757.9,0,5360.4,4741.8,1653.7,8536.8,9355.3,4698.1,7681.3,6773.5,1247.6,1049.1,6122.6,3700.9,3236.0,6017.2,1020.8,719.9,7554.5,4734.7,2385.1,3148.9,5156.8,6651.3,7797.4,8906.0,2630.0,9840.8,5667.0,7025.5,2798.7,2506.8,6336.3,2.0,2139.7,4635.6,1691.1,7685.3,1848.7,3740.0,8633.9,7153.5,1850.6,3569.8,6409.0,2442.6,5826.3,9635.5,2041.7
Oyster Bay,6501.7,7259.0,5360.4,0,1789.9,699.0,9764.4,3754.8,9091.9,135.9,1316.0,376.4,5639.5,7418.6,2501.4,3319.5,6250.3,9430.0,307.9,8989.7,3627.2,1748.3,1029.3,1294.5,9922.2,2841.8,4315.5,5641.2,7066.7,9707.0,8702.3,3862.9,7912.8,497.7,6828.6,3627.4,4632.0,7996.9,9488.1,2348.6,9941.9,6519.0,5194.2,9529.2,453.8,1382.3,9697.2,1726.4,6121.3,7197.2
Binghamton,368.6,9668.7,4741.8,1789.9,0,2191.0,1862.1,2750.0,1996.8,2653.4,5951.0,7769.8,4867.0,7078.5,8042.8,7451.1,4363.3,6978.6,4970.7,5771.4,5298.4,7063.1,3560.2,4341.9,6527.6,4560.9,2158.1,4560.1,9517.0,9647.2,1389.0,1775.0,5027.2,8792.6,4005.2,4541.8,7050.6,171.8,233.6,3323.4,4278.7,5433.7,3624.1,5503.4,4526.2,9588.8,1147.4,3801.1,936.1,5269.0
Port Washington,9132.6,7954.8,1653.7,699.0,2191.0,0,4960.9,2391.9,625.1,5888.9,2782.9,6721.2,8218.1,892.3,9173.5,2364.8,6850.2,9755.1,5163.7,1112.6,6188.2,9203.8,7587.1,6924.1,2377.8,3415.2,4445.5,3095.4,8888.5,2565.9,1358.0,687.9,256.6,1201.9,2544.6,7103.7,7329.9,2503.6,1657.8,6868.0,5768.9,1863.8,8065.8,2515.0,7005.2,2412.3,3395.0,2530.0,9276.3,2463.6
Southampton,1205.3,417.3,8536.8,9764.4,1862.1,4960.9,0,6192.5,900.2,9428.6,9556.7,329.0,5742.4,6983.2,5845.9,2491.1,2262.8,4520.6,4438.7,3491.3,9860.3,5149.5,7706.3,9395.6,9989.0,401.6,6184.0,2058.3,1675.5,1403.1,4623.3,2460.4,3684.7,4015.5,7861.4,2574.4,4826.8,471.7,611.9,8874.8,731.2,9641.7,6219.3,401.0,3591.6,1597.0,1592.2,287.2,2086.6,6660.0
Yonkers,4223.2,9226.4,9355.3,3754.8,2750.0,2391.9,6192.5,0,9315.7,6315.4,3940.0,241.5,9011.5,106.7,7834.8,6292.2,5059.0,779.5,3841.7,9462.3,8251.8,9911.4,6584.2,4639.8,3282.3,6588.7,3669.8,6892.1,6365.7,9210.2,7677.9,7284.3,513.5,802.6,8566.5,1920.0,4091.5,8506.4,3006.3,4917.4,1323.3,8864.7,5352.6,6517.1,2639.0,1171.4,9074.7,899.7,8838.7,5777.4
Bedford,5460.3,6824.2,4698.1,9091.9,1996.8,625.1,900.2,9315.7,0,7345.5,8177.0,1592.4,2263.8,3433.3,7553.5,2655.7,2084.1,6886.8,7647.8,7563.0,9897.3,5186.2,8167.4,4662.8,2984.5,8383.8,4717.5,1324.2,4225.6,8293.9,4949.0,375.3,9046.6,1746.7,2615.6,8567.5,1005.6,7133.4,3353.3,5027.3,8646.3,7399.7,6525.3,3801.6,4499.5,6046.5,9200.2,3889.7,4997.3,1035.6
Tonawanda,9295.0,3559.6,7681.3,135.9,2653.4,5888.9,9428.6,6315.4,7345.5,0,1319.8,6231.4,4998.9,389.9,4669.4,7022.9,9488.5,9711.2,806.5,6718.6,9404.0,9093.6,7282.5,2971.3,5251.9,787.1,1766.7,7693.6,8863.8,5863.0,328.1,6307.7,8272.1,6532.9,178.6,1009.8,8278.7,9738.9,7898.7,2865.7,8035.6,4177.7,9875.8,9364.3,4887.2,2136.3,9430.3,7608.9,2440.9,5435.1
Saratoga Springs,908.3,6054.9,6773.5,1316.0,5951.0,2782.9,9556.7,3940.0,8177.0,1319.8,0,6707.6,1613.5,6098.6,3400.9,1401.4,3166.3,4934.8,474.4,7410.9,8660.0,6248.7,8232.3,8683.2,9682.0,3743.7,8301.7,9610.2,461.9,2979.7,5209.0,9055.7,1983.7,6352.4,3273.6,8068.3,2173.2,5186.1,2210.7,8244.8,7313.3,9020.3,2172.2,5045.7,6573.4,7359.2,9670.1,8885.6,286.6,2111.1
Plattsburgh,6241.7,8402.7,1247.6,376.4,7769.8,6721.2,329.0,241.5,1592.4,6231.4,6707.6,0,9453.5,2383.6,3524.2,7082.7,7438.9,9046.3,3621.2,9268.4,9615.4,4949.4,9559.7,1476.0,7006.4,9919.7,8464.1,9145.5,2809.0,1995.9,5054.7,7558.6,9740.7,1837.9,5098.0,1780.3,6140.0,6831.2,714.9,9383.8,3281.2,388.0,4353.3,6293.5,3595.1,8531.1,8200.6,6716.9,4602.6,6877.6
Amsterdam,2523.7,5461.3,1049.1,5639.5,4867.0,8218.1,5742.4,9011.5,2263.8,4998.9,1613.5,9453.5,0,6328.5,369.0,302.5,7241.6,4182.7,7277.5,255.9,338.3,4877.6,3648.5,8249.6,4253.4,9184.5,8062.8,832.1,580.1,4859.2,9975.7,1946.6,1384.4,5989.1,3559.5,8534.0,6113.3,5935.9,2479.5,6806.4,4972.4,8425.3,973.1,9749.5,8894.2,6715.2,8512.0,5233.1,1398.0,3615.3
Herkimer,9128.0,4083.0,6122.6,7418.6,7078.5,892.3,6983.2,106.7,3433.3,389.9,6098.6,2383.6,6328.5,0,4735.5,9154.1,9823.7,9051.7,91.8,4406.6,5955.6,465.9,6321.6,6902.4,9762.6,8734.7,993.2,561.1,6192.3,166.9,4429.8,4679.5,2562.8,8667.2,3694.8,8952.9,4683.7,5711.5,6051.6,7823.5,5707.3,8811.2,3538.0,8122.3,1951.1,3127.6,9712.5,3755.5,1397.4,7661.2
Mount Vernon,5174.9,2260.7,3700.9,2501.4,8042.8,9173.5,5845.9,7834.8,7553.5,4669.4,3400.9,3524.2,369.0,4735.5,0,433.6,6372.7,6863.5,8339.9,8392.4,7136.8,7101.4,146.3,3031.7,2666.0,3795.5,4629.4,8948.7,8259.8,597.4,7110.6,863.4,3841.1,5422.9,3755.7,7805.4,7308.9,8571.6,5860.9,55.8,2318.0,9789.6,5233.3,6508.4,9062.9,2308.2,6686.8,182.1,4326.1,6571.4
White Plains,5903.5,3027.9,3236.0,3319.5,7451.1,2364.8,2491.1,6292.2,2655.7,7022.9,1401.4,7082.7,302.5,9154.1,433.6,0,6918.0,1910.0,5300.8,1967.9,6467.5,1741.9,6017.5,7124.5,6896.8,2295.1,7540.9,4108.0,7504.9,5636.7,3742.3,5472.5,2302.3,2475.8,4256.8,7279.3,4788.3,1789.1,9361.6,5640.2,9380.8,4134.6,7722.1,6660.1,490.8,2470.7,3366.1,2234.7,1975.4,6907.8
Levittown,5739.8,1362.8,6017.2,6250.3,4363.3,6850.2,2262.8,5059.0,2084.1,9488.5,3166.3,7438.9,7241.6,9823.7,6372.7,6918.0,0,6866.1,1792.3,3598.3,3669.7,5731.5,1985.7,9404.7,7659.5,1548.5,6712.0,5540.4,3520.1,7169.7,7405.0,8017.3,7314.0,1898.3,3028.7,2200.6,2162.8,856.0,5972.1,952.6,9052.9,9748.3,3926.2,5278.1,8188.6,5456.4,9898.9,1994.9,1276.9,7681.1
Watkins Glen,1816.8,1526.5,1020.8,9430.0,6978.6,9755.1,4520.6,779.5,6886.8,9711.2,4934.8,9046.3,4182.7,9051.7,6863.5,1910.0,6866.1,0,8538.3,4342.0,5194.5,9253.6,3540.1,7231.2,9251.8,8916.8,9083.3,6579.8,1688.3,410.1,2749.4,265.2,2347.2,4948.6,4387.8,1469.8,1710.8,6374.6,9824.3,8033.4,8550.6,6385.0,5816.5,4544.6,3974.1,6520.1,4767.5,4277.7,3909.5,4561.9
Forest Hills,3842.6,6286.1,719.9,307.9,4970.7,5163.7,4438.7,3841.7,7647.8,806.5,474.4,3621.2,7277.5,91.8,8339.9,5300.8,1792.3,8538.3,0,1308.5,4239.9,983.5,102.7,8477.9,1863.2,8154.9,465.1,3058.4,8525.0,6197.4,9444.6,3521.8,2437.1,4743.2,2330.9,566.3,6757.3,7166.3,6915.8,6494.5,7187.1,2299.1,9871.8,4601.8,7541.0,1982.0,7508.8,8070.3,8631.7,275.4
