CSV,Johnstown,Elmira,Stony Point,Buffalo,New Rochelle,Ticonderoga,Flushing,Saratoga Springs,Levittown,Sag Harbor,Potsdam,Bedford,East Aurora,Staten Island,White Plains,Queens,Syracuse,Jamestown,Rochester,Corning,Harlem,Crown Point,Scarsdale,Hudson,Rensselaer,Manhattan,Ossining,Oneonta,Bronx,Brooklyn,Coney Island,Ilion,Albany,Niagara Falls,Gloversville,Ogdensburg,Plattsburgh,Fredonia,Watertown,Great Neck,Mineola,North Hempstead,Herkimer,Cheektowaga,Beacon,Saranac Lake,Woodstock,Stony Brook,New Windsor,Cortland
Johnstown,0,2909.8,3930.6,6869.1,8085.6,2221.2,9910.0,8383.7,2613.3,7493.8,7128.8,6200.9,6158.4,1012.5,2452.6,6973.2,7075.8,5721.1,3791.1,5429.7,3989.5,9235.5,4899.3,2686.6,2999.5,443.9,8924.8,2650.4,7051.4,9399.7,4046.8,493.2,8672.5,350.6,6191.4,2608.2,3527.4,3911.2,812.8,9575.2,2969.3,8221.9,7887.4,7021.9,9950.0,4280.5,1975.4,2319.9,8451.7,4427.0
Elmira,2909.8,0,5170.6,9801.3,1945.8,9991.8,1546.3,5005.1,5073.0,1508.5,6693.4,5609.7,1136.6,2306.4,8884.2,467.7,6807.3,3223.9,9415.1,8727.9,3620.4,8730.8,6716.2,3313.9,8222.2,3358.4,9554.2,6319.8,5588.3,1668.2,8135.6,6320.7,1455.9,8115.1,6620.9,8135.3,3291.4,1396.8,1359.9,1392.5,3530.1,778.3,3066.4,5119.9,6679.7,2359.6,1056.6,3755.6,706.8,9618.6
Stony Point,3930.6,5170.6,0,4871.0,3938.4,7815.5,7183.1,6326.5,4724.0,8502.7,8413.8,5287.7,7579.6,2636.4,3689.7,5297.1,5651.7,7516.7,3363.3,9071.8,9146.8,9186.7,5339.2,8013.7,5566.7,7221.4,4156.8,3166.0,770.6,8411.8,248.9,9925.4,4865.8,1411.8,6150.2,9719.9,3385.3,9667.4,7894.4,6101.2,7855.4,8222.4,5428.8,7186.8,3765.5,7598.2,9362.7,4712.0,5236.2,1224.1
Buffalo,6869.1,9801.3,4871.0,0,2124.3,4244.0,9983.9,5304.2,5613.6,3885.5,2911.1,9412.4,7835.9,5894.4,3950.5,6943.7,2868.3,2693.5,2450.7,7979.0,3477.3,5834.0,2061.3,1267.1,7841.7,7727.7,7520.7,4368.4,9951.3,5876.2,210.7,5115.8,7947.5,8688.0,3155.8,2262.0,369.6,4389.4,2169.6,8691.3,5532.1,1564.5,3114.2,4732.5,1657.3,9438.3,2743.7,1643.8,1280.4,6733.5
New Rochelle,8085.6,1945.8,3938.4,2124.3,0,6809.8,2539.9,1605.7,6880.1,5148.9,7254.6,2653.1,5229.2,9110.7,4243.4,5438.7,9274.4,2951.0,1470.4,1130.9,1206.6,8412.6,6470.4,9770.4,5918.3,1578.5,7645.4,1270.2,2427.0,8677.1,4672.1,2207.7,438.7,5339.4,7365.9,5698.9,862.9,6998.4,90.3,9191.7,3074.5,5366.1,7537.8,482.9,7056.1,4717.9,2133.4,5441.9,5131.2,5722.3
Ticonderoga,2221.2,9991.8,7815.5,4244.0,6809.8,0,9925.2,6116.3,7151.9,8584.5,8242.2,1084.9,2698.6,8195.9,449.1,5459.3,1353.3,490.7,1299.1,1542.2,3954.1,9672.5,4954.3,3231.5,513.3,5.7,8489.6,1231.8,1973.1,3253.1,4668.2,3858.4,9532.4,1779.4,6165.5,6838.9,4889.6,4649.2,8255.8,4162.4,1953.6,3863.8,5545.2,3410.2,8950.8,35.9,9332.0,7924.6,5085.8,7922.5
Flushing,9910.0,1546.3,7183.1,9983.9,2539.9,9925.2,0,1525.2,796.2,647.5,7186.9,1768.3,61.2,1510.9,8102.3,1071.1,2687.7,6106.6,1777.5,771.3,9485.5,3862.0,5326.2,8872.4,2049.7,979.2,5085.1,5553.1,6362.8,4851.2,6919.1,4034.3,4848.7,7253.1,9999.9,9759.8,933.0,9482.6,3556.3,7744.1,8429.5,8438.6,323.5,6103.8,9631.5,7803.2,8521.9,409.2,5397.7,1342.8
Saratoga Springs,8383.7,5005.1,6326.5,5304.2,1605.7,6116.3,1525.2,0,3603.4,1727.9,2860.9,4753.6,6763.2,6404.2,6881.6,4943.4,835.9,1984.9,3860.3,4672.3,8869.6,3634.8,3899.1,9401.8,519.4,3556.8,3806.5,9554.8,5970.9,7043.2,4015.3,6578.2,4265.1,39.8,488.4,451.2,2806.8,2611.2,3205.6,7734.5,9411.6,9351.6,4523.6,845.3,2869.3,3141.1,5230.6,5096.2,7101.1,2669.3
Levittown,2613.3,5073.0,4724.0,5613.6,6880.1,7151.9,796.2,3603.4,0,3969.1,3150.3,6336.1,9098.2,8900.6,811.4,1815.5,6158.6,6384.9,7222.5,5454.5,9759.2,3049.9,7710.4,6926.0,8490.6,9306.2,2278.6,1118.6,6746.6,784.7,214.5,5552.7,8816.4,4157.7,3140.9,1967.7,9784.2,5824.7,2251.6,9565.1,6046.4,3332.5,6268.5,9589.3,9965.4,9175.5,346.0,3445.3,4914.4,7338.8
Sag Harbor,7493.8,1508.5,8502.7,3885.5,5148.9,8584.5,647.5,1727.9,3969.1,0,6265.0,4373.3,6427.3,1935.2,5857.8,419.1,3284.0,8676.4,9877.9,8587.1,5454.2,1824.9,2135.3,7502.4,6149.4,9727.5,5279.6,1084.7,3014.0,5279.7,1582.0,1660.8,1503.3,1861.2,4942.8,7220.1,9687.5,1229.7,7028.5,1709.0,2028.4,493.4,4363.3,3334.5,7533.4,6516.1,8380.9,7911.3,1002.4,7343.9
Potsdam,7128.8,6693.4,8413.8,2911.1,7254.6,8242.2,7186.9,2860.9,3150.3,6265.0,0,296.3,2133.0,721.2,729.9,7284.1,6109.4,196.2,614.5,4100.8,2997.4,9431.8,3463.0,5830.0,2474.8,4829.4,3489.0,8081.2,6383.4,8945.9,7111.6,8942.6,6844.4,5823.7,1170.0,8227.4,1516.1,5566.4,1087.2,6582.5,7651.1,328.5,9830.6,142.7,5336.2,9505.4,9073.0,4388.6,6790.1,6254.0
Bedford,6200.9,5609.7,5287.7,9412.4,2653.1,1084.9,1768.3,4753.6,6336.1,4373.3,296.3,0,5500.0,9420.6,6042.8,5938.6,2056.2,4650.8,9941.7,9752.6,2597.3,2877.4,1248.1,4960.9,640.6,2701.7,2189.3,7667.1,2105.7,4834.0,6010.8,2808.8,7030.3,351.8,9039.6,2877.9,3445.1,7802.8,4081.7,118.0,8210.7,7129.7,732.1,352.6,5380.7,1794.0,9520.2,163.5,2055.5,7851.7
East Aurora,6158.4,1136.6,7579.6,7835.9,5229.2,2698.6,61.2,6763.2,9098.2,6427.3,2133.0,5500.0,0,1140.2,6089.2,2714.9,6565.3,3400.8,5307.8,1152.9,295.3,3905.9,1511.7,5507.3,2687.6,9046.6,2299.4,4756.6,5944.4,3778.5,507.4,3180.9,3697.3,2463.5,640.2,9748.7,1631.2,7358.2,3311.7,9981.4,8640.0,6317.8,9374.6,6313.3,4848.9,8054.8,4235.7,3334.8,5025.2,6254.1
Staten Island,1012.5,2306.4,2636.4,5894.4,9110.7,8195.9,1510.9,6404.2,8900.6,1935.2,721.2,9420.6,1140.2,0,7747.0,7091.9,3118.1,6105.3,637.3,7357.7,8993.0,7824.3,4628.0,4097.9,9811.9,9020.5,4810.6,3472.2,3576.2,8979.4,8754.5,4042.4,2922.8,1353.1,3288.5,1602.9,2976.2,8246.3,3407.0,3968.3,3879.9,2776.3,4675.1,671.1,1832.0,9405.1,9443.0,6125.8,8179.9,1913.1
White Plains,2452.6,8884.2,3689.7,3950.5,4243.4,449.1,8102.3,6881.6,811.4,5857.8,729.9,6042.8,6089.2,7747.0,0,568.6,535.2,6742.2,218.2,8870.1,4330.9,4367.2,4315.2,4277.5,4041.5,461.7,7045.8,6983.9,9764.2,4393.2,8335.7,4670.8,700.3,8505.3,9419.5,7340.8,4526.6,1661.5,5839.0,4309.7,9192.4,690.5,7945.1,2746.3,1150.5,8854.5,7511.0,4865.6,5430.5,8418.4
Queens,6973.2,467.7,5297.1,6943.7,5438.7,5459.3,1071.1,4943.4,1815.5,419.1,7284.1,5938.6,2714.9,7091.9,568.6,0,7948.7,7879.8,2586.0,4119.9,2144.5,9606.9,5087.6,3684.5,9033.5,9568.9,5183.8,6339.2,315.4,871.3,5747.7,2450.3,173.6,2532.6,9349.7,1969.4,5265.6,9573.2,8144.9,2964.5,3949.9,171.3,1050.3,9185.5,4071.8,1673.7,4311.8,7067.2,1783.5,2784.3
Syracuse,7075.8,6807.3,5651.7,2868.3,9274.4,1353.3,2687.7,835.9,6158.6,3284.0,6109.4,2056.2,6565.3,3118.1,535.2,7948.7,0,1078.6,7517.2,2430.2,1294.0,9656.7,8739.2,1759.9,4415.1,9917.2,4438.7,7942.6,2927.6,9120.2,4165.0,2265.9,6343.3,7609.5,5716.0,8449.0,9440.7,9266.3,7505.3,5308.6,7408.7,4761.8,2580.7,2228.0,9009.0,2436.6,1917.5,8072.2,9675.4,5859.7
Jamestown,5721.1,3223.9,7516.7,2693.5,2951.0,490.7,6106.6,1984.9,6384.9,8676.4,196.2,4650.8,3400.8,6105.3,6742.2,7879.8,1078.6,0,4377.0,3443.8,2940.9,5753.7,3774.8,4361.5,8145.5,6030.6,9288.5,6186.5,8489.4,8745.4,4404.7,277.0,920.3,4281.1,3011.6,2087.9,200.9,1300.6,5402.8,426.1,8133.8,5479.1,9219.4,7595.2,3311.5,593.2,7236.3,3299.1,677.3,821.5
Rochester,3791.1,9415.1,3363.3,2450.7,1470.4,1299.1,1777.5,3860.3,7222.5,9877.9,614.5,9941.7,5307.8,637.3,218.2,2586.0,7517.2,4377.0,0,3139.3,3398.1,5434.8,3058.5,6813.4,6910.8,9884.5,5601.0,3494.8,5504.4,868.2,4970.3,4213.1,5168.9,1948.8,5498.7,7091.4,8610.2,4484.4,2143.3,4437.1,7281.2,7199.7,9889.5,4553.3,3438.4,5878.4,9446.4,7480.1,8793.7,2461.6
Corning,5429.7,8727.9,9071.8,7979.0,1130.9,1542.2,771.3,4672.3,5454.5,8587.1,4100.8,9752.6,1152.9,7357.7,8870.1,4119.9,2430.2,3443.8,3139.3,0,4398.1,6219.9,228.3,7624.9,9001.8,1612.0,9887.1,5720.3,9459.9,9385.2,4149.8,4995.5,7349.7,9201.3,9177.6,6346.3,3612.5,8547.0,5445.4,2029.3,8523.9,7585.4,4636.8,7311.1,2988.5,6014.7,9810.2,2198.8,7850.8,7760.6
Harlem,3989.5,3620.4,9146.8,3477.3,1206.6,3954.1,9485.5,8869.6,9759.2,5454.2,2997.4,2597.3,295.3,8993.0,4330.9,2144.5,1294.0,2940.9,3398.1,4398.1,0,6398.7,1165.8,4650.4,9956.0,9326.4,6474.0,7852.6,7495.7,8184.4,158.3,4323.6,3392.0,6472.6,7716.7,9225.7,1584.5,4313.1,6538.8,8721.4,5380.9,4347.4,221.0,385.3,5102.1,6202.5,5295.7,9377.3,5215.2,2771.6
Crown Point,9235.5,8730.8,9186.7,5834.0,8412.6,9672.5,3862.0,3634.8,3049.9,1824.9,9431.8,2877.4,3905.9,7824.3,4367.2,9606.9,9656.7,5753.7,5434.8,6219.9,6398.7,0,1301.4,8229.0,3081.1,3551.1,2897.7,6103.4,3735.5,9497.8,4250.5,8129.1,7033.4,9209.2,7272.6,1006.0,5132.4,6540.8,242.8,2585.9,190.7,7654.9,134.5,8532.9,8140.8,4529.8,6149.0,3233.1,5074.1,1212.3
Scarsdale,4899.3,6716.2,5339.2,2061.3,6470.4,4954.3,5326.2,3899.1,7710.4,2135.3,3463.0,1248.1,1511.7,4628.0,4315.2,5087.6,8739.2,3774.8,3058.5,228.3,1165.8,1301.4,0,4927.6,525.8,3996.0,424.8,1384.6,3086.3,7759.7,532.1,5781.7,2489.9,5126.3,6360.9,1278.2,7863.3,1520.5,5523.0,9027.2,8884.0,717.3,7614.9,1967.5,8493.6,3010.2,7580.8,7893.6,6771.9,7463.0
Hudson,2686.6,3313.9,8013.7,1267.1,9770.4,3231.5,8872.4,9401.8,6926.0,7502.4,5830.0,4960.9,5507.3,4097.9,4277.5,3684.5,1759.9,4361.5,6813.4,7624.9,4650.4,8229.0,4927.6,0,1599.3,805.5,4543.4,9736.6,5044.0,5105.7,6510.0,8987.5,2660.0,4268.0,9140.9,1364.2,8359.0,4070.9,364.3,4583.1,7931.5,1602.8,3539.5,1968.7,7522.2,9699.2,4158.8,1113.6,4149.0,2496.1
Rensselaer,2999.5,8222.2,5566.7,7841.7,5918.3,513.3,2049.7,519.4,8490.6,6149.4,2474.8,640.6,2687.6,9811.9,4041.5,9033.5,4415.1,8145.5,6910.8,9001.8,9956.0,3081.1,525.8,1599.3,0,312.4,3523.1,3939.1,5516.4,1974.8,9152.9,9791.0,141.2,2419.7,4987.3,8966.4,3339.2,7017.7,7681.0,1739.9,103.1,2764.4,5964.6,1706.5,2516.0,898.7,8850.0,4199.3,7439.7,7497.6
Manhattan,443.9,3358.4,7221.4,7727.7,1578.5,5.7,979.2,3556.8,9306.2,9727.5,4829.4,2701.7,9046.6,9020.5,461.7,9568.9,9917.2,6030.6,9884.5,1612.0,9326.4,3551.1,3996.0,805.5,312.4,0,9623.5,5582.2,9029.9,1389.4,9545.8,3329.6,3096.3,9064.7,7832.5,3242.0,7052.5,6168.0,1803.8,1616.9,6231.7,2604.0,8901.2,9676.8,1933.4,1117.7,4297.9,7875.5,4441.1,2399.5
Ossining,8924.8,9554.2,4156.8,7520.7,7645.4,8489.6,5085.1,3806.5,2278.6,5279.6,3489.0,2189.3,2299.4,4810.6,7045.8,5183.8,4438.7,9288.5,5601.0,9887.1,6474.0,2897.7,424.8,4543.4,3523.1,9623.5,0,8059.0,2062.2,2741.3,9547.5,7624.8,1918.5,4892.0,2534.7,8710.2,2207.8,818.8,326.0,6713.6,2381.0,8586.2,140.2,787.5,5290.7,5543.6,8440.9,8421.0,520.2,2781.7
Oneonta,2650.4,6319.8,3166.0,4368.4,1270.2,1231.8,5553.1,9554.8,1118.6,1084.7,8081.2,7667.1,4756.6,3472.2,6983.9,6339.2,7942.6,6186.5,3494.8,5720.3,7852.6,6103.4,1384.6,9736.6,3939.1,5582.2,8059.0,0,4279.6,4137.9,3550.7,9765.4,8254.8,9774.4,1880.9,7707.4,8395.3,4019.3,2623.6,7015.5,7352.8,4589.4,4352.9,8838.0,3714.6,4618.4,1723.4,9869.7,6258.3,4995.4
Bronx,7051.4,5588.3,770.6,9951.3,2427.0,1973.1,6362.8,5970.9,6746.6,3014.0,6383.4,2105.7,5944.4,3576.2,9764.2,315.4,2927.6,8489.4,5504.4,9459.9,7495.7,3735.5,3086.3,5044.0,5516.4,9029.9,2062.2,4279.6,0,393.6,2430.3,2517.1,5411.6,8763.5,2416.0,4314.1,114.3,6672.1,7554.2,2922.1,4958.0,7422.6,1347.2,5775.0,5869.2,9295.1,3640.6,6849.5,5247.3,4603.8
