CSV,Oyster Bay,Manhattan,Middletown,Saratoga Springs,Nyack,Saranac Lake,Bedford,Herkimer,Hudson,Woodstock,East Hampton,Olean,Elmira,Babylon,Watervliet,Rensselaer,Lackawanna,Ogdensburg,North Hempstead,Watkins Glen,Bronx,Newburgh,Port Washington,Eastchester,Harlem,Forest Hills,Albany,New Windsor,New Paltz,Clinton,Chautauqua,Batavia,Oswego,Corning,Dunkirk,Oneonta,Cortland,Stony Brook,Great Neck,Cheektowaga,Sag Harbor,Garden City,Ossining,Southampton,Hempstead,Geneva,Mount Vernon,Auburn,Palmyra,New York City
Oyster Bay,0,9886.5,7299.3,7964.3,4952.6,6683.9,1336.3,4610.7,605.2,7561.7,3380.0,6977.4,897.7,6994.7,1643.7,1482.2,8206.8,3049.8,1273.3,4531.4,5826.6,6120.7,9167.4,5092.8,519.7,5852.4,9639.9,2438.3,8523.5,7843.1,7023.4,7352.6,2646.0,4115.5,4010.6,4202.6,8532.5,3221.0,283.4,3286.6,7290.0,7951.5,3672.2,6419.7,3026.9,2382.2,4959.5,5810.3,6099.5,7004.3
Manhattan,9886.5,0,2961.1,5462.7,4447.0,5858.6,5261.1,8759.6,9115.3,2358.9,4040.3,4619.1,1815.1,9024.3,9807.2,1785.7,2682.8,4746.8,9576.0,7616.6,4109.7,8753.3,9518.1,5928.0,9861.3,840.5,7986.3,9815.5,9750.7,8763.4,372.0,4867.2,647.1,5970.0,2000.8,1862.8,7584.5,6886.9,6268.8,4558.4,4543.8,6081.0,8350.4,3912.5,3236.6,2347.8,1597.2,7104.0,8699.8,2802.4
Middletown,7299.3,2961.1,0,6911.4,1868.9,6365.8,6540.2,1200.4,6613.5,9118.8,1509.6,1203.4,5905.3,8299.7,3272.9,8066.8,9809.4,4362.2,5149.3,2538.9,4641.8,7122.8,5392.9,9147.7,6491.4,9804.2,6417.5,8670.8,3648.7,2351.3,3577.3,4887.6,1140.2,8509.2,1358.6,1449.1,3639.4,4587.8,4570.6,339.0,3539.0,4699.6,7712.4,563.5,9505.6,5856.9,3586.6,6382.9,7980.6,4257.9
Saratoga Springs,7964.3,5462.7,6911.4,0,2452.5,4893.8,7400.4,9680.2,4232.3,8611.0,1902.8,1918.3,1030.9,9719.7,9717.0,3757.7,3574.1,1320.2,9382.1,3449.0,6854.4,1369.7,6869.0,5405.7,9288.5,962.6,7324.7,7065.6,8080.1,5074.0,5424.1,3487.6,6418.0,6296.6,7492.2,9098.3,6816.5,3462.3,5381.3,1983.7,7807.1,4887.2,6023.6,9957.9,3459.6,4475.3,4988.7,8626.3,9520.4,2339.8
Nyack,4952.6,4447.0,1868.9,2452.5,0,6268.2,4989.1,8481.5,2215.2,696.5,4045.8,6796.4,7752.3,2022.5,7207.9,9597.8,3356.7,9811.6,469.8,1042.6,5944.5,3251.0,5165.8,7410.8,3052.6,8980.8,3578.4,7601.9,4086.3,3518.6,7062.1,1417.9,6403.3,2022.8,6437.0,4145.7,6996.2,7140.1,9837.2,7057.2,9380.3,6004.6,7869.8,1529.4,6008.9,1983.8,5091.2,3342.0,4989.8,633.9
Saranac Lake,6683.9,5858.6,6365.8,4893.8,6268.2,0,8129.6,3354.5,7146.1,4806.5,8809.8,8897.3,1973.8,2828.8,5471.8,9043.7,9821.6,9497.5,9842.1,7827.7,3752.4,7577.4,489.3,1588.9,7812.0,7709.1,8055.4,2060.6,3404.1,3010.8,6957.1,6206.7,1949.8,7974.2,701.4,606.2,3257.4,72.9,1604.1,1024.0,9319.9,379.6,2010.2,7249.9,6467.8,9932.6,8462.9,9613.4,5079.8,9059.9
Bedford,1336.3,5261.1,6540.2,7400.4,4989.1,8129.6,0,3876.9,773.7,1276.2,6817.8,140.3,740.8,5180.5,4112.0,7775.0,1334.4,6442.9,2921.4,7447.4,1351.2,8921.0,1878.3,3312.9,1382.3,3284.3,1379.2,3567.1,2664.2,1792.4,2808.0,1349.4,3488.3,7880.3,4339.1,9932.1,9547.5,2950.1,8339.4,7840.9,294.4,9301.4,9313.1,7826.9,5198.9,5054.6,6001.1,4370.6,7861.0,275.9
Herkimer,4610.7,8759.6,1200.4,9680.2,8481.5,3354.5,3876.9,0,6591.2,8270.7,8630.0,832.3,9197.7,6481.5,829.8,5982.7,1921.1,7129.6,4384.9,9044.8,4686.5,8913.6,9918.8,2844.5,3267.6,7677.9,1942.1,103.5,8936.1,7881.1,7900.0,4016.8,8685.8,3055.2,3307.9,8133.5,8640.6,5710.4,4512.6,751.2,5201.6,1002.5,6497.2,1398.0,5358.3,6052.7,261.4,4024.9,6405.2,9329.7
Hudson,605.2,9115.3,6613.5,4232.3,2215.2,7146.1,773.7,6591.2,0,3958.4,7895.9,39.8,3038.6,4820.2,9258.3,358.2,636.2,8967.8,5579.7,703.3,2048.0,2294.2,6805.6,4972.4,710.6,9417.2,5564.3,5438.2,7301.3,8663.0,8862.9,8452.8,1573.1,9064.2,7906.7,6770.3,3153.6,6866.4,5886.5,8736.7,7650.7,608.2,687.0,7403.4,4065.5,3088.4,8934.4,1938.6,3703.8,5423.5
Woodstock,7561.7,2358.9,9118.8,8611.0,696.5,4806.5,1276.2,8270.7,3958.4,0,26.0,1465.8,2808.6,6705.7,369.9,542.2,7522.4,8885.2,5224.5,8988.5,7571.5,6689.3,4486.6,6809.6,3055.1,120.2,4512.9,9864.7,9883.7,9990.2,1017.6,5591.4,3793.4,8375.0,9895.9,2249.9,1327.1,1500.3,2397.6,1903.9,4603.5,8629.2,1379.5,3837.9,5946.8,4696.8,493.6,6493.5,3715.5,1161.6
