CSV,White Plains,Geneva,Tonawanda,Nyack,Johnstown,Yonkers,Flushing,Forest Hills,Lockport,Queens,Bedford,Mamaroneck,Garden City,Cheektowaga,Rye,Oyster Bay,Babylon,West Seneca,Fredonia,Saratoga Springs,Manhattan,Stony Point,Lake Placid,Herkimer,East Hampton,Dunkirk,Hudson,Ossining,Ogdensburg,Albany,Middletown,Crown Point,Newburgh,Jamestown,Harlem,Glens Falls,Stony Brook,Auburn,Southampton,Watkins Glen,Ithaca,Potsdam,Port Washington,Hammondsport,Staten Island,Watertown,Scarsdale,Huntington,Cohoes,Rotterdam
White Plains,0,9548.7,6244.9,2560.6,1010.4,1531.6,807.5,2399.6,8543.6,5953.0,5412.8,3787.9,6312.5,1237.4,3898.6,6351.5,9254.0,5074.6,5618.7,8152.4,1455.7,426.3,4642.7,1517.1,943.6,5376.9,7553.8,9824.0,2065.4,9389.6,4157.7,6368.5,7827.5,5767.4,6577.0,2472.4,7826.2,3457.5,3799.4,7314.1,1889.1,1485.6,1346.9,189.1,9633.9,8448.2,4933.2,5213.8,6462.8,686.7
Geneva,9548.7,0,1496.6,3799.8,9369.1,804.9,8622.4,9329.8,7960.2,8368.0,4361.1,5421.1,3174.5,5802.6,4076.7,5851.5,5886.8,9364.8,8258.1,8565.2,522.7,9307.7,2105.6,9219.7,6073.4,9925.8,2365.6,2026.5,8165.0,5027.8,3739.7,6140.0,8962.0,1461.7,1936.8,3242.2,4823.5,7461.6,8980.0,8206.7,4481.6,7812.1,7868.1,1605.7,8177.7,187.5,2217.6,111.3,3892.3,6039.1
Tonawanda,6244.9,1496.6,0,8213.9,9365.9,5252.5,9947.1,2087.3,2784.0,2417.8,7406.2,3286.3,6583.6,2061.7,2234.1,3406.1,1223.2,7571.2,3937.0,4668.1,6051.1,1584.6,9922.4,9535.8,2179.2,4765.2,6700.8,3832.7,3946.3,314.5,2378.2,9132.1,7954.5,8002.0,8164.3,8441.1,5406.0,8702.1,5880.6,344.0,1244.7,1264.2,2040.3,3096.1,5981.4,8533.0,8146.7,1028.0,5229.5,9842.6
Nyack,2560.6,3799.8,8213.9,0,4343.9,3581.2,6648.8,5127.2,5944.9,4090.9,2266.9,5346.5,533.1,7447.3,5052.8,9820.2,6718.9,1245.4,9934.6,718.5,3306.4,4173.6,5188.4,3903.7,8110.0,424.0,8557.9,6728.3,8608.4,5393.0,5897.6,2519.9,8265.5,9413.2,3420.8,5537.6,9548.5,2190.0,9117.4,1075.4,1530.2,8589.9,6029.4,7154.3,4487.5,3199.2,3528.9,6490.9,4378.6,9098.7
Johnstown,1010.4,9369.1,9365.9,4343.9,0,5893.6,19.1,5024.9,1221.5,4104.5,9819.1,4879.4,9307.0,3428.0,369.7,6133.0,2811.9,6518.1,1082.2,1956.4,3397.0,2115.3,1213.5,3456.3,1878.2,7999.8,5788.7,4404.2,4662.2,5461.8,4455.2,6310.1,6250.0,2955.1,8864.4,1712.3,510.8,4271.4,8114.3,2686.4,5474.6,9544.5,6367.1,3018.7,7568.3,6568.4,3551.6,7548.7,1988.3,5012.7
Yonkers,1531.6,804.9,5252.5,3581.2,5893.6,0,6067.3,4696.9,2922.6,6007.3,2407.4,282.9,4445.6,2339.7,7460.3,9168.3,2149.5,1046.4,6321.0,7599.1,1841.3,6732.9,8969.6,2866.8,6376.8,7406.1,4890.4,6678.7,1559.5,9126.1,516.4,4206.2,7884.4,8893.7,4571.1,9750.6,5653.3,4189.6,2883.5,6928.1,2568.7,8621.6,9811.2,5291.1,6709.2,4794.0,6550.8,1511.1,3814.9,3683.6
Flushing,807.5,8622.4,9947.1,6648.8,19.1,6067.3,0,1325.3,1961.3,4336.6,4651.5,7436.2,4897.8,3726.4,4203.5,8507.9,7175.5,7903.6,6297.7,3443.6,6179.7,1566.1,2989.7,2079.1,268.4,2693.2,7070.3,7500.4,8069.4,4394.8,9639.1,515.7,6069.8,6038.6,2900.7,3399.8,9725.2,536.5,8410.0,463.0,2020.7,3959.4,6949.7,7065.6,5643.8,7516.6,4345.4,1209.6,8728.4,1975.1
Forest Hills,2399.6,9329.8,2087.3,5127.2,5024.9,4696.9,1325.3,0,3538.3,3282.2,6452.2,454.6,1741.1,3133.2,2439.3,3321.8,2043.6,8367.0,7710.7,9572.1,388.8,6981.3,8816.2,4956.2,6908.2,9172.1,1947.0,1039.2,7377.4,9422.7,8436.1,4255.1,2847.2,4177.2,5525.9,3474.1,6879.9,7737.8,4626.8,8956.7,7748.6,5369.2,2588.2,3603.2,3516.1,6277.9,4897.9,9049.1,7293.8,6461.3
Lockport,8543.6,7960.2,2784.0,5944.9,1221.5,2922.6,1961.3,3538.3,0,3901.9,5068.5,9714.5,686.4,891.2,330.4,4229.8,2306.2,3479.4,2996.3,2288.1,8308.2,64.5,3748.0,234.4,3722.5,9051.3,86.5,1769.6,826.5,7066.1,4404.0,2866.9,7920.4,6659.1,3861.3,5677.8,3143.2,9301.5,3885.3,3998.7,7639.4,6583.1,7223.0,8765.8,3518.1,9681.3,8941.4,1768.0,2247.7,9144.0
Queens,5953.0,8368.0,2417.8,4090.9,4104.5,6007.3,4336.6,3282.2,3901.9,0,3911.5,581.9,725.5,1025.6,4115.4,9614.2,2673.2,8434.9,3855.8,8355.0,511.6,2754.5,4281.4,1175.3,4783.8,549.6,3162.7,3414.0,533.2,1574.9,2303.0,7654.4,3083.7,9893.8,8564.8,9674.0,3638.7,8898.8,5302.6,4595.0,9886.6,274.7,3868.5,6510.0,7422.3,276.0,7064.0,3583.5,132.3,1320.7
