CSV,Newburgh,Ithaca,Port Washington,Nyack,Cohoes,Rotterdam,Coney Island,Cooperstown,Hammondsport,Flushing,Batavia,Mamaroneck,Elmira,Hudson,Rome,Beacon,Saranac Lake,West Seneca,Scarsdale,Middletown,Stony Brook,Lake Placid,Syracuse,New Windsor,Olean,Clinton,Great Neck,Queens,Brooklyn,Albany,Mineola,Rochester,Peekskill,New Paltz,New Rochelle,Oneonta,Johnstown,East Aurora,Auburn,Kingston,Glens Falls,Schenectady,Ossining,Plattsburgh,Binghamton,Rye,Palmyra,Buffalo,Corning
Newburgh,0,7348.9,700.2,1771.8,8673.3,1546.9,4789.9,5994.7,7967.7,2950.7,9454.0,8367.7,4591.7,5233.4,9614.8,9820.2,6875.1,1658.6,5299.5,3356.0,7424.3,4889.6,7326.3,7590.3,4554.6,6244.0,6068.6,2760.8,3962.2,2765.6,4398.6,7679.5,1638.1,6024.9,8429.4,4143.5,44.3,5596.7,5071.0,8606.3,5809.8,4322.0,3339.8,894.3,3672.3,2445.3,474.7,3344.0,941.7
Ithaca,7348.9,0,4066.2,7966.4,3516.3,3216.5,6470.4,2436.8,9621.7,8929.6,349.8,4873.4,8265.1,2310.0,8675.5,2030.8,3630.2,3108.9,6981.2,833.9,7545.2,5436.1,6102.3,11.6,2533.9,6421.4,3827.4,1270.4,7775.5,8533.2,9979.7,5944.3,9741.4,23.1,1700.9,4618.8,2657.8,4847.3,3000.1,7749.1,6710.8,9639.3,9691.5,3123.1,409.3,3216.2,6538.8,66.6,6167.8
Port Washington,700.2,4066.2,0,6732.6,1237.7,932.4,8738.4,3022.9,7768.2,8560.1,2016.0,4838.8,2477.0,7747.5,770.8,1290.4,2477.6,6914.0,7159.0,6233.6,6400.5,1010.5,3512.6,1268.5,8812.2,6003.6,3482.7,3466.7,5024.9,6494.9,8437.4,1918.3,1501.4,1553.0,6645.1,8069.1,7410.8,1425.5,6098.7,770.1,1353.3,286.4,8869.6,8339.8,5673.8,9533.6,3787.0,4288.6,807.6
Nyack,1771.8,7966.4,6732.6,0,5112.4,4539.4,1945.2,449.2,9106.2,2311.9,9875.2,6208.3,4745.8,1514.7,8708.1,4171.1,1817.7,7163.3,1030.0,9992.0,6810.0,5940.0,119.8,9424.6,6768.2,7676.8,8726.8,4312.9,2515.6,791.8,7485.1,4762.9,9582.8,9795.7,4772.5,7941.7,2404.3,2536.0,7535.7,5030.3,8086.4,8830.4,4947.6,8968.6,8373.0,2079.8,7561.9,9086.6,2825.3
Cohoes,8673.3,3516.3,1237.7,5112.4,0,9872.0,8508.5,1443.3,1644.1,6780.7,7228.7,1601.1,9005.0,9062.4,4834.6,280.2,4980.9,7308.7,9338.7,5062.0,3267.5,9422.8,994.3,4665.4,378.5,6546.5,6782.9,5443.6,2672.8,1997.1,8989.9,4823.1,533.9,5664.1,8683.9,492.2,6794.2,3464.3,4430.0,2339.1,4402.6,6363.0,6364.9,4874.3,8464.5,6029.8,2406.4,434.4,2759.3
Rotterdam,1546.9,3216.5,932.4,4539.4,9872.0,0,5031.0,5503.1,3336.1,8614.2,3842.5,8696.1,5457.3,5663.8,6534.5,6328.0,8561.0,1699.2,7549.9,2129.4,2871.7,3852.8,5117.0,4210.1,3539.5,4770.1,9877.5,2636.2,3185.7,2651.1,4986.7,3739.9,9804.8,519.7,3381.8,4882.0,2045.2,435.4,8837.7,1697.4,2826.6,1149.3,6380.2,4907.3,223.0,3245.4,8522.6,8190.3,5126.6
Coney Island,4789.9,6470.4,8738.4,1945.2,8508.5,5031.0,0,9806.4,1004.1,5387.0,1379.1,6439.7,871.4,7387.5,850.3,1981.1,9922.2,5945.1,2725.4,954.5,5416.3,1805.0,5794.5,7658.0,2292.0,5404.5,1224.3,8311.3,3112.8,9282.1,7678.1,5534.5,3658.3,5736.1,4803.8,1194.9,4608.3,540.1,3373.7,4966.4,652.7,5669.3,3467.4,7968.0,4745.3,4216.3,9496.6,3303.9,5376.9
Cooperstown,5994.7,2436.8,3022.9,449.2,1443.3,5503.1,9806.4,0,9555.4,5410.8,9634.9,9261.8,9970.2,8497.4,3596.0,787.3,7372.6,5722.3,1449.6,6689.0,8977.3,4927.3,6134.4,800.4,1938.6,8021.7,6770.6,2027.6,4475.5,4053.4,21.8,5949.8,1697.5,4869.8,4475.4,1036.7,7484.2,7499.1,411.9,6595.8,5402.5,9017.6,6338.4,3993.3,1063.0,2689.4,9408.8,4669.9,9882.8
Hammondsport,7967.7,9621.7,7768.2,9106.2,1644.1,3336.1,1004.1,9555.4,0,3790.3,4956.2,260.5,1050.6,1934.5,598.0,8780.0,767.3,3691.3,9047.6,1383.3,1229.7,4456.3,1245.1,3184.3,4685.8,8568.7,710.0,5912.7,4239.0,2431.4,76.0,7146.7,6828.2,5442.7,3306.5,368.5,4453.2,2158.2,8301.8,7064.0,4842.3,2209.7,2283.2,5210.7,9598.8,4431.2,3246.6,5972.7,2879.0
Flushing,2950.7,8929.6,8560.1,2311.9,6780.7,8614.2,5387.0,5410.8,3790.3,0,7989.7,2979.4,4693.2,271.5,8066.2,3893.3,2565.6,1882.9,4171.5,628.4,4883.6,6658.2,4282.9,6582.4,2113.0,7374.6,5977.8,279.2,9138.7,4206.4,7770.9,1214.8,2296.0,495.7,5516.1,6502.3,7056.2,2750.1,1845.2,6782.3,2605.7,6145.0,3783.2,34.4,1920.5,7653.0,9986.5,9186.3,7257.2
Batavia,9454.0,349.8,2016.0,9875.2,7228.7,3842.5,1379.1,9634.9,4956.2,7989.7,0,7625.3,8832.4,9248.2,8899.4,6891.8,9172.8,8079.9,9534.6,8776.7,5027.0,9301.0,1780.7,2500.4,151.2,2780.5,5777.4,4102.9,3054.4,8402.8,1488.8,8730.2,3810.0,8359.9,5021.5,8167.6,7448.3,8389.4,4277.0,9973.7,6149.8,6238.2,533.0,7174.0,3255.9,232.4,6966.9,5538.1,4296.2
Mamaroneck,8367.7,4873.4,4838.8,6208.3,1601.1,8696.1,6439.7,9261.8,260.5,2979.4,7625.3,0,3465.9,5684.9,1389.9,4976.2,7691.2,1470.9,7292.2,104.5,406.0,2958.3,6568.4,9876.3,2685.6,4798.9,5468.5,2380.9,617.6,1734.2,9980.8,9285.8,5567.4,9807.7,2280.8,3198.5,6692.6,401.0,8776.4,1554.0,7909.4,7243.9,2083.5,3842.8,4600.7,1040.1,5424.2,9218.6,7631.9
Elmira,4591.7,8265.1,2477.0,4745.8,9005.0,5457.3,871.4,9970.2,1050.6,4693.2,8832.4,3465.9,0,8735.1,6118.9,7064.1,7610.1,5375.0,6177.2,263.4,1518.0,522.9,2734.9,3944.4,5053.5,7372.7,1400.3,39.0,7582.8,1344.5,63.9,4904.7,8624.6,9843.0,2508.9,2670.5,8035.4,6495.3,9068.6,6898.1,5010.0,5654.9,5233.2,6909.0,2366.1,8716.2,1252.4,1566.9,3240.6
Hudson,5233.4,2310.0,7747.5,1514.7,9062.4,5663.8,7387.5,8497.4,1934.5,271.5,9248.2,5684.9,8735.1,0,7344.6,3870.9,3937.9,7685.6,2033.3,227.6,7935.7,5789.1,2665.9,9731.4,1843.9,845.1,8218.9,8227.0,6000.4,6581.0,2394.2,3141.4,9338.8,8325.2,1393.8,9615.7,5055.6,3497.2,3144.8,5733.4,2484.6,5052.2,8678.9,1658.1,7188.7,6445.7,7817.8,9517.3,3681.7
