CSV,Olean,Cortland,Hudson,Saratoga Springs,Crown Point,Mount Vernon,Forest Hills,Lackawanna,Lake Placid,Ossining,Amsterdam,Rochester,Cohoes,Queens,Oneonta,Clinton,Elmira,Oswego,Saranac Lake,Batavia,Chautauqua,Massena,Buffalo,Seneca Falls,Tarrytown,Manhattan,Harlem,Rye,Scarsdale,Johnstown,Sag Harbor,Corning,Hammondsport,Poughkeepsie,Mamaroneck,Potsdam,Rensselaer,Rome,Brooklyn,East Hampton,Watervliet,West Seneca,Hyde Park,Lockport,New Windsor,Watkins Glen,Oneida,Ogdensburg,Troy
Olean,0,3050.1,6889.8,4484.5,397.3,8120.0,2278.9,4459.5,7698.6,3290.3,1611.2,5718.1,962.4,7460.5,5394.2,4831.9,9406.2,7897.4,1140.4,4551.9,8838.3,5138.4,4492.0,9651.0,2034.8,2068.7,3501.7,9687.4,9105.8,760.4,2141.1,975.1,2762.8,7376.3,8088.4,5678.4,6224.4,7290.7,880.7,9419.3,3124.0,4150.2,8041.3,3749.2,4120.5,8920.8,8903.1,6096.6,5429.5
Cortland,3050.1,0,5286.0,4458.6,3607.2,5977.1,6407.1,6819.4,8246.6,6635.4,8254.4,9797.5,8929.7,2306.7,5969.4,2082.7,4863.0,602.2,1359.5,7193.7,9587.2,2049.2,3201.4,2841.3,3849.3,7440.1,1757.0,2247.7,8341.2,3448.8,5992.5,9839.8,6029.6,4554.7,2710.4,7182.8,1808.8,2878.6,4414.4,8443.9,5459.6,1577.8,6145.6,1315.0,319.8,9049.8,6164.3,7456.0,2289.0
Hudson,6889.8,5286.0,0,1114.6,1753.7,7072.4,2043.2,1546.0,2929.9,147.5,7218.7,6141.6,6927.1,2848.5,5640.8,7950.5,4497.9,2583.3,9849.2,3371.3,8674.9,7829.7,7654.7,7894.8,7984.7,5187.8,4247.6,8776.6,8254.2,3262.6,6459.6,1602.4,6177.3,3293.9,6354.4,2044.1,1917.4,5231.0,4271.8,8738.6,2628.1,1379.5,888.9,4976.0,9046.1,9525.0,90.7,9593.3,8432.8
Saratoga Springs,4484.5,4458.6,1114.6,0,8282.1,6959.4,1557.8,3652.5,881.0,2027.4,1748.2,7579.0,9120.4,8412.4,759.1,4353.9,2984.2,6318.3,7735.5,7147.5,3984.9,3574.3,6013.6,4776.6,2795.0,1808.7,144.4,7962.7,8090.3,5546.9,2256.5,6361.8,4020.2,6055.5,4009.6,5926.8,7742.5,8651.5,4339.1,512.5,8568.3,1089.1,8877.7,3053.7,4929.5,391.4,1621.5,8393.8,27.9
Crown Point,397.3,3607.2,1753.7,8282.1,0,3428.2,7213.0,8503.0,2872.0,8718.6,4415.1,4212.0,2108.2,8870.1,1218.0,5299.0,8355.7,8378.2,6147.1,3772.2,8930.9,4501.1,1691.6,3266.2,8666.5,395.4,4866.0,7784.5,2802.8,3766.7,2621.4,1398.3,4252.4,472.1,7586.4,6878.5,2789.3,7535.4,9339.9,4442.3,419.4,9454.9,3407.3,5447.9,4418.5,6770.2,232.6,3846.6,3583.1
Mount Vernon,8120.0,5977.1,7072.4,6959.4,3428.2,0,6849.7,576.2,5086.2,700.3,448.0,1989.1,5104.6,6487.1,7455.9,4520.0,8396.7,2562.2,2115.9,9115.4,6075.1,8902.1,1006.9,2125.8,6249.3,8043.4,1875.7,1465.1,3419.9,582.9,5998.6,3615.6,8814.4,5101.1,8854.9,6540.6,374.7,3000.2,8512.7,781.0,7336.7,1665.9,2356.4,8633.4,2697.6,8962.1,4260.2,8077.4,9820.4
Forest Hills,2278.9,6407.1,2043.2,1557.8,7213.0,6849.7,0,4006.0,3270.0,6127.4,7939.9,5675.4,2226.8,271.0,4007.3,1817.9,9162.2,7750.7,216.5,9086.9,2235.0,5079.1,3760.0,6556.0,8140.5,2970.9,4548.8,890.2,8127.7,1954.8,6342.7,3640.7,2604.4,1030.2,8623.1,984.8,5971.6,8531.9,4187.1,4556.7,1058.6,234.9,8704.4,8697.0,1218.3,349.9,988.0,4179.9,2154.7
Lackawanna,4459.5,6819.4,1546.0,3652.5,8503.0,576.2,4006.0,0,4907.1,1037.8,5785.2,730.3,7732.5,812.6,1510.2,7975.5,8382.6,5823.1,4774.0,8518.6,1866.0,6154.3,4580.0,471.8,1441.5,7462.4,9100.6,5468.4,3228.3,2889.6,9575.9,2882.8,2474.1,7450.1,9082.3,3419.2,4158.8,6484.7,7090.6,2818.0,8727.9,4913.1,8613.3,9439.2,1013.4,832.5,2120.5,6103.7,9139.1
Lake Placid,7698.6,8246.6,2929.9,881.0,2872.0,5086.2,3270.0,4907.1,0,1617.9,4787.7,7434.5,4074.8,5039.2,9436.7,3404.3,1656.2,7960.3,2202.7,1211.4,153.4,258.6,4258.4,6780.7,7737.5,6121.8,8792.5,779.2,6632.3,8651.6,5843.0,9789.6,9122.1,2221.9,7550.9,8921.5,9688.8,4604.6,487.3,8734.2,5974.9,1907.9,2423.1,1048.9,8325.9,7092.9,789.7,5188.5,5375.0
Ossining,3290.3,6635.4,147.5,2027.4,8718.6,700.3,6127.4,1037.8,1617.9,0,6820.5,5924.1,1778.9,9148.6,3290.0,5003.6,3082.8,1610.1,1823.9,3986.4,3414.0,9958.0,5869.3,5540.1,2392.4,1259.9,5372.1,8292.1,7975.9,1473.0,604.3,4196.4,8907.7,1261.2,3038.9,3182.4,4630.7,2602.5,2587.8,9196.6,7026.0,7686.8,8850.5,476.3,1031.5,7549.9,369.0,3206.9,1502.4
