CSV,Hammondsport,New Windsor,Seneca Falls,Rochester,Sag Harbor,Schenectady,Oneida,Port Washington,Niagara Falls,Tonawanda,Kingston,Corning,Oswego,Lake Placid,Mamaroneck,Southampton,Beacon,Queens,Palmyra,Glens Falls,Watkins Glen,Garden City,Batavia,Hudson,Potsdam,Clinton,Scarsdale,Forest Hills,Levittown,Great Neck,Yonkers,Manhattan,Mount Vernon,Binghamton,Rensselaer,Middletown,Stony Point,Crown Point,Hempstead,Elmira,Mineola,Babylon,Stony Brook,Herkimer,Chautauqua,New York City,Saratoga Springs,Poughkeepsie,White Plains,Syracuse
Hammondsport,0,1397.2,6215.2,6735.5,1131.5,714.1,1183.2,9879.2,3206.6,3090.4,6419.0,7237.8,3508.0,8301.9,6651.1,1732.9,3082.4,2764.0,299.2,5940.3,176.6,5926.7,9411.6,727.5,1996.0,4009.1,7703.0,4120.1,9466.3,5500.5,2078.8,1295.0,2235.2,7847.3,4220.3,7865.9,4264.8,4434.2,7174.7,3811.4,2026.3,1677.0,39.2,5421.2,1981.1,8897.6,5683.9,6525.2,3051.6,7311.5
New Windsor,1397.2,0,3118.2,2086.9,729.8,3426.2,6279.0,4933.3,8711.2,9452.6,8954.6,5545.6,6340.0,1008.8,6828.8,8997.9,8072.9,400.1,5609.4,9662.6,9101.2,2525.5,4143.9,5034.1,5138.0,8188.3,7121.0,5390.0,5211.9,2600.5,8248.5,6829.4,233.0,4029.5,1957.0,5649.2,1066.1,9224.1,7661.9,1909.8,5488.6,7334.8,4603.2,5343.3,4034.1,1424.7,8363.1,4795.6,4709.4,7222.7
Seneca Falls,6215.2,3118.2,0,1368.2,6655.0,2101.8,1251.1,9765.0,5001.8,3114.3,951.9,4981.0,8675.4,5283.6,5297.5,6235.3,9803.3,8515.0,9754.1,7172.7,1361.1,184.1,6752.8,519.4,2166.8,5469.0,2918.6,6273.2,1869.1,6200.7,3796.3,9612.5,5289.3,5092.8,3370.8,4447.6,2944.9,3253.4,5136.0,8540.8,7119.6,5055.7,8421.9,6093.0,9884.8,6143.9,6749.1,2923.4,4958.3,1520.9
Rochester,6735.5,2086.9,1368.2,0,3112.8,8857.4,2295.7,9935.7,3373.4,1524.6,1949.3,2101.3,7679.3,6890.9,6846.7,2356.8,9410.2,6506.1,4034.9,1143.9,592.5,6336.1,1029.6,5136.3,1503.8,3243.5,5671.4,6222.3,2354.7,7078.4,5799.4,2685.5,4927.2,8502.9,8034.9,9660.8,8200.7,2277.3,4708.5,2658.0,4056.8,8251.3,8705.3,9504.7,5146.9,2423.7,7299.4,9702.4,2446.1,1181.7
Sag Harbor,1131.5,729.8,6655.0,3112.8,0,3642.8,9169.5,7292.4,6606.9,8113.2,3081.3,7406.7,4909.2,932.7,4462.9,2164.8,7837.2,7417.5,7235.4,3787.8,9640.6,1713.2,5775.5,8550.7,1624.6,5896.4,5791.4,5429.1,4229.5,9527.9,1673.9,9819.4,9633.3,8876.5,678.3,4759.2,5882.7,4807.4,1529.8,6906.6,5408.6,1678.8,641.3,9837.2,8634.8,9130.5,7328.3,2575.1,977.3,4007.1
Schenectady,714.1,3426.2,2101.8,8857.4,3642.8,0,8670.5,7150.7,8441.4,8578.7,7789.6,5948.5,3679.0,4897.6,8453.4,8026.7,798.4,6200.5,8469.3,8066.7,8432.0,162.1,8981.0,1739.8,7263.1,2596.8,4763.8,5756.8,74.6,337.9,7575.6,1880.1,8452.2,6944.8,879.0,2461.2,1262.8,8923.5,6983.9,3943.1,5264.4,7518.0,6687.5,4946.1,8845.5,1013.8,3366.5,8825.3,1803.1,7051.1
Oneida,1183.2,6279.0,1251.1,2295.7,9169.5,8670.5,0,8601.5,1491.7,4933.7,2840.4,2351.1,7613.8,9326.5,7497.2,3724.4,5765.5,7358.5,664.3,462.9,2694.8,3487.6,6020.4,475.7,9052.5,1044.5,2882.9,7332.3,9544.4,4964.9,1647.4,5957.0,409.9,2495.4,3516.0,8742.2,296.1,359.9,4603.4,5529.0,1748.5,6860.5,9878.9,8143.0,3076.5,7075.1,5405.3,9394.6,8093.0,3196.2
Port Washington,9879.2,4933.3,9765.0,9935.7,7292.4,7150.7,8601.5,0,6789.3,625.9,9223.5,5321.3,6339.5,7021.0,2193.1,3119.1,8260.2,1446.7,9182.9,1345.9,726.6,8078.6,8087.6,7183.3,1490.5,3644.2,5647.1,4245.0,4489.4,5990.2,354.2,2283.8,6455.5,4509.4,4682.9,2814.3,1002.2,8652.9,5932.9,2507.2,1419.6,1247.0,2270.5,9339.2,3390.8,5131.1,517.2,5511.3,482.5,4694.9
Niagara Falls,3206.6,8711.2,5001.8,3373.4,6606.9,8441.4,1491.7,6789.3,0,4950.5,2139.2,9648.4,6445.9,4096.2,2736.1,7230.7,212.4,971.4,6506.3,9298.3,883.9,9415.9,7661.0,5759.3,8519.7,8779.3,8195.1,1836.0,4297.1,1934.7,2190.3,8069.5,2152.6,634.2,8353.9,2939.8,651.0,2790.9,2291.9,7224.6,2253.8,8381.7,7488.8,4894.3,4624.6,503.3,9342.6,8799.9,8993.5,7994.4
Tonawanda,3090.4,9452.6,3114.3,1524.6,8113.2,8578.7,4933.7,625.9,4950.5,0,6713.2,3910.3,132.5,8790.9,7723.3,7715.4,3851.5,8912.3,1005.5,6841.3,2637.1,1793.3,1277.1,4607.0,9820.2,9674.8,8006.4,2336.4,2636.7,2836.8,5643.7,6048.6,2678.1,4363.2,355.8,88.7,4670.4,770.9,1332.5,8452.0,7137.8,9751.5,318.9,5911.0,9516.0,7152.4,8234.8,3852.2,7010.4,5463.9
