CSV,Rotterdam,Beacon,Seneca Falls,Forest Hills,Port Washington,Gloversville,Jamestown,Manhattan,Watervliet,Rye,Ossining,Geneva,Glens Falls,Schenectady,Olean,Middletown,Hammondsport,Lake Placid,Niagara Falls,Cheektowaga,Plattsburgh,Oswego,Amsterdam,Rochester,Johnstown,Ogdensburg,Eastchester,Stony Brook,Watkins Glen,Potsdam,Harlem,East Hampton,West Seneca,Clinton,Batavia,Mount Vernon,Southampton,Cooperstown,Buffalo,Albany,Mamaroneck,Dunkirk,Huntington,Hempstead,Tonawanda,Ithaca,Binghamton,Ilion,Brooklyn,Saranac Lake
Rotterdam,0,57.4,6849.1,5887.6,1274.1,8343.9,805.2,2161.6,7363.9,4712.7,877.2,8113.9,6771.8,5589.3,6023.6,4756.4,8547.4,449.3,1700.1,3979.6,8960.4,3244.2,1011.1,3326.6,3082.8,5055.1,5762.3,2736.6,1270.2,8508.2,3697.8,7021.7,2843.2,3617.2,4941.0,1055.8,1846.4,7977.7,8129.3,301.3,6189.6,6379.8,4512.3,8749.3,4077.7,9964.8,457.8,1060.6,5702.0,6103.5
Beacon,57.4,0,7190.6,2344.4,2002.5,3345.2,1055.2,7118.9,3529.5,3903.1,8814.6,529.5,4456.8,209.7,8302.1,7294.4,7305.0,4551.4,5748.1,3130.7,8742.2,9704.4,8064.9,818.5,6097.2,5129.2,8088.2,248.1,6562.4,6537.1,6895.9,2380.3,3628.2,3039.6,6549.8,8529.4,18.3,9736.2,700.4,3266.4,4136.7,5441.6,2404.2,8787.8,8341.0,9802.4,5100.6,9492.2,5853.1,3784.9
Seneca Falls,6849.1,7190.6,0,8750.4,4416.2,8305.7,1666.2,6428.3,7708.5,2451.1,9478.8,1717.5,9229.2,4968.0,9066.6,4124.1,5101.9,7388.5,1683.0,3214.5,9514.3,3243.2,3234.2,6534.0,5754.5,8037.6,7690.6,1850.8,7245.3,9128.5,9022.3,9297.2,8490.1,9344.6,9794.4,8108.5,6752.3,9684.6,8021.4,7679.9,6441.7,1613.7,6747.2,7522.1,723.4,9440.9,8129.9,895.6,4546.4,5229.2
Forest Hills,5887.6,2344.4,8750.4,0,157.5,8374.1,8207.0,7506.3,311.5,1166.9,4541.6,6322.6,2942.4,5276.6,2397.0,822.4,6017.0,352.0,8422.5,497.2,3642.6,3445.6,6686.5,6092.6,4174.7,5593.7,5828.0,8424.4,7048.7,2421.3,3437.4,360.2,9324.3,7445.8,5094.7,6815.9,3603.9,9550.5,6709.4,2010.8,1485.0,3443.2,3699.8,4406.5,6318.7,2506.4,2809.5,5598.4,3742.0,9529.4
Port Washington,1274.1,2002.5,4416.2,157.5,0,2471.4,5537.2,9445.6,5501.5,8348.8,8575.8,7406.9,7456.9,3631.9,6722.2,8920.1,3214.8,1477.4,644.6,7405.2,6046.7,7413.7,800.3,4285.7,9823.5,2770.1,9022.1,2902.7,3126.4,2678.9,9726.0,8970.0,1364.0,9283.6,5572.2,993.9,786.5,4437.2,1389.8,7365.4,4106.3,2376.6,8349.5,7960.6,1726.4,5660.0,3216.3,7390.2,6843.6,5565.9
Gloversville,8343.9,3345.2,8305.7,8374.1,2471.4,0,751.2,7460.4,8591.7,9790.4,2880.8,8097.9,8421.8,8065.5,5302.2,4239.7,4496.7,8858.0,4184.9,1950.3,3339.2,9751.2,788.3,958.2,1398.0,2445.6,8534.3,4285.3,2295.8,162.5,1538.9,8310.7,7570.1,9587.4,3260.6,56.8,6512.6,9175.5,5232.1,8224.9,6231.0,3469.0,5873.8,6793.9,905.7,362.8,6999.2,2435.9,3232.7,8288.8
Jamestown,805.2,1055.2,1666.2,8207.0,5537.2,751.2,0,8792.9,4327.5,2348.1,6791.9,9737.5,8809.0,2355.5,4029.9,6171.0,4220.4,2139.7,7937.0,453.8,2277.5,1147.2,1920.4,3503.3,919.2,5437.7,1017.2,2981.1,6349.0,7711.8,9860.2,8613.0,7931.3,9770.2,137.0,103.3,6505.8,1214.8,5326.9,2958.7,6616.8,2586.0,4683.5,3256.9,45.8,8312.9,1506.2,5561.6,723.9,8998.0
Manhattan,2161.6,7118.9,6428.3,7506.3,9445.6,7460.4,8792.9,0,134.1,8888.8,693.0,8119.0,3998.4,2160.8,4454.1,4235.5,189.4,6580.7,1844.5,4324.8,8636.4,7121.7,1970.7,1093.9,1941.1,9064.4,3339.3,5708.3,3036.7,8276.4,9548.4,8851.0,7167.7,4672.8,1034.8,8535.3,2983.5,1843.6,8750.0,2016.1,6160.3,7785.4,624.2,1855.9,1061.3,1924.6,5856.6,5522.7,7185.5,5057.3
Watervliet,7363.9,3529.5,7708.5,311.5,5501.5,8591.7,4327.5,134.1,0,67.7,1537.8,1106.2,3822.5,3324.1,3905.9,5761.0,6526.1,8661.6,4379.9,6922.0,8294.0,8080.9,5859.3,3492.9,9478.2,6987.5,2880.0,280.7,6668.1,7969.6,8476.0,6976.4,890.5,7418.6,6291.7,2910.4,1165.8,6150.0,6756.5,9967.9,4453.7,5232.9,1857.9,2287.3,9536.7,7406.4,987.5,6076.0,7768.2,8073.0
Rye,4712.7,3903.1,2451.1,1166.9,8348.8,9790.4,2348.1,8888.8,67.7,0,9204.9,7780.2,2372.9,5340.0,5387.0,7236.7,6067.7,6292.6,7720.5,1737.6,1271.6,1677.2,7682.0,2702.3,5566.8,7690.9,1863.1,9504.9,9699.4,8770.1,892.9,6836.9,5386.3,7611.2,7034.4,3473.9,3753.8,7517.0,2091.8,6401.6,2159.4,5313.8,9464.2,3741.6,722.9,3797.7,527.9,5883.3,1555.3,4720.6
Ossining,877.2,8814.6,9478.8,4541.6,8575.8,2880.8,6791.9,693.0,1537.8,9204.9,0,3729.0,9826.8,5557.8,1457.8,8036.6,8383.3,1895.7,3302.3,9267.6,7180.8,4278.2,1242.2,8621.2,6819.1,8724.9,6614.0,3713.1,4095.4,3083.5,2372.7,5852.4,4837.9,6763.8,8511.6,6808.0,7141.7,5804.2,2367.9,7078.5,6737.8,8746.3,9709.3,6913.4,7664.6,4732.7,5365.5,7538.8,2364.8,7045.0
Geneva,8113.9,529.5,1717.5,6322.6,7406.9,8097.9,9737.5,8119.0,1106.2,7780.2,3729.0,0,4507.5,7230.4,8491.8,2521.1,4750.4,795.3,6491.4,9289.4,1813.9,8195.3,2093.0,302.9,9912.2,1114.9,2410.9,1744.7,6614.1,3899.8,5907.2,9454.0,9865.0,2480.3,6972.0,3046.6,5016.3,3037.0,7385.6,3226.7,4386.8,5217.5,3907.8,3954.8,2303.9,2520.1,3802.5,6102.0,7175.2,8750.9
Glens Falls,6771.8,4456.8,9229.2,2942.4,7456.9,8421.8,8809.0,3998.4,3822.5,2372.9,9826.8,4507.5,0,5918.3,6723.3,8693.5,6642.2,2967.5,9545.1,3775.3,6925.9,8500.7,3605.6,4350.0,4380.1,979.2,2715.7,6127.8,8799.3,8468.8,3186.6,5065.1,3206.3,9749.6,9329.4,7620.5,1007.3,5744.3,7842.1,5149.0,2262.8,7856.1,1382.7,8526.5,8885.0,6976.8,466.7,2175.9,3250.5,9557.4
