CSV,Clinton,Brooklyn,Ossining,Middletown,Chautauqua,Harlem,Hudson,East Aurora,New Paltz,Albany,New Windsor,Ogdensburg,Corning,Hempstead,Tonawanda,Dunkirk,Potsdam,Saratoga Springs,Kingston,Buffalo,Fredonia,Cooperstown,Rensselaer,Sag Harbor,Rye,Tarrytown,Stony Brook,East Hampton,Massena,Gloversville,Coney Island,Schenectady,Johnstown,Forest Hills,Yonkers,New Rochelle,Newburgh,Crown Point,Mamaroneck,Manhattan,Elmira,Flushing,New York City,Amsterdam,White Plains,Scarsdale,West Seneca,Auburn,Babylon,Cohoes
Clinton,0,389.0,573.0,2293.7,445.8,1806.8,9639.0,7701.6,2294.2,4316.2,3002.1,2943.9,6036.3,363.9,5527.1,9227.9,6180.1,6808.6,772.2,8226.0,6564.4,90.9,4024.5,8248.0,420.7,6609.8,7666.4,5085.4,6529.8,4094.6,6060.6,7020.9,7275.7,1830.9,6616.8,3320.5,3119.9,7758.4,6048.6,7438.9,5699.2,1396.3,9530.8,2828.5,6953.3,1286.0,7990.0,3932.7,6461.4,4477.1
Brooklyn,389.0,0,638.1,5191.4,3802.5,5884.3,7574.7,2320.2,5408.4,4774.3,5575.6,380.2,7944.7,2286.9,2206.1,6728.2,6345.2,6328.2,7604.7,1818.9,313.8,9808.8,3885.4,50.7,7353.3,5511.5,5102.7,1933.6,2824.4,2520.7,3338.0,5083.9,9342.9,6162.6,9970.9,192.9,785.7,1727.5,7277.5,1832.2,7698.2,4848.5,5338.8,1186.8,8023.0,8769.7,1003.8,9257.5,7672.1,243.9
Ossining,573.0,638.1,0,38.8,3704.5,1447.8,1117.4,979.2,9761.4,9989.3,5105.7,868.9,671.6,1708.9,9165.9,6590.6,2037.3,187.9,9920.9,5893.3,9821.8,9732.2,1443.0,4140.5,7074.1,4083.3,1251.4,8318.8,2629.2,2563.5,2255.2,7930.1,8453.3,649.7,7801.5,3665.8,8038.4,5781.8,6947.2,6032.0,7815.6,46.1,8146.2,5162.4,5670.1,3471.1,7740.6,2353.1,1035.7,2991.3
Middletown,2293.7,5191.4,38.8,0,7729.7,454.5,3011.7,9098.2,4876.3,7351.9,6943.1,1480.7,3989.8,6243.5,9577.2,2042.2,2312.5,390.9,5052.1,2247.3,275.6,1842.8,3216.2,3702.5,2060.1,5694.3,969.1,6784.5,2808.4,5967.7,6197.4,5312.2,7617.2,3761.1,3498.8,240.5,555.1,3634.1,5099.7,5609.2,9364.0,8790.0,8531.3,1740.6,237.7,8601.0,6993.4,7257.0,274.9,5837.1
Chautauqua,445.8,3802.5,3704.5,7729.7,0,5255.8,545.5,4507.2,1445.5,5008.7,3200.8,851.0,7972.7,6638.6,9213.6,7531.6,5695.6,2951.2,3845.9,249.1,6108.9,5011.0,4443.5,4630.0,2507.7,953.5,1878.6,822.0,9493.7,3023.0,2315.0,3458.0,5130.3,7843.7,9683.8,4644.6,2838.6,3299.2,8734.9,2228.0,4211.6,5112.8,6884.8,9113.1,8520.2,672.7,7545.1,1251.8,1025.5,5227.8
Harlem,1806.8,5884.3,1447.8,454.5,5255.8,0,2270.4,9929.5,634.6,1324.5,8639.6,4822.0,3512.1,8050.1,479.9,3981.4,6110.9,2297.3,3719.3,9211.2,1787.0,9996.4,4821.7,3986.5,5077.3,3691.6,8465.8,1151.0,5702.9,3851.4,9210.3,3934.8,7657.6,1132.2,8221.1,4313.5,3885.8,5811.0,5236.3,5859.6,5855.1,1200.5,5228.6,6277.3,632.2,4426.0,9355.3,6571.5,281.5,1363.6
Hudson,9639.0,7574.7,1117.4,3011.7,545.5,2270.4,0,3653.9,2454.8,9394.7,7998.9,4814.4,8219.2,7185.1,8884.8,1478.3,4926.4,9550.2,3738.5,5915.7,1650.9,443.3,9845.1,2748.9,6455.9,5429.4,286.9,7168.6,551.4,8224.9,2665.1,452.0,6794.5,4655.4,827.3,5961.4,8049.2,446.4,5782.0,4348.6,1270.6,8561.5,3489.9,7702.1,5405.7,821.6,1128.4,6638.9,9546.0,19.1
East Aurora,7701.6,2320.2,979.2,9098.2,4507.2,9929.5,3653.9,0,647.7,4369.7,9026.0,9731.8,5464.2,5846.0,9884.9,5758.0,6313.6,8160.8,8530.0,9725.6,9175.6,1076.2,2614.8,1744.4,2182.1,7202.9,3488.0,4349.5,9673.1,254.5,1621.5,2345.9,5328.6,3369.4,1992.1,5121.7,1406.3,4790.7,9357.5,8245.0,1160.3,2518.7,313.0,2765.0,3564.5,6900.5,5196.8,9472.1,4472.9,3959.3
New Paltz,2294.2,5408.4,9761.4,4876.3,1445.5,634.6,2454.8,647.7,0,8161.9,7579.9,6565.5,7418.2,3957.8,9148.5,9505.4,7423.4,6163.9,4482.6,6053.4,6689.8,1155.9,3247.9,2443.2,5165.6,3002.2,1622.2,8970.7,2984.9,6096.0,5352.2,1253.4,2219.0,4623.5,3452.3,4954.9,9520.0,2137.7,7375.4,4921.3,1961.1,4030.6,6923.0,6726.4,5029.7,1419.1,890.9,12.8,6174.3,2635.6
Albany,4316.2,4774.3,9989.3,7351.9,5008.7,1324.5,9394.7,4369.7,8161.9,0,6781.2,886.3,5957.6,8828.5,1126.4,3565.0,8514.0,6147.7,914.0,9859.5,4005.5,662.3,2083.2,3470.2,8728.3,4545.2,3963.5,2673.9,3981.1,3371.1,1430.0,6540.2,3744.5,5473.1,688.4,6145.4,6949.5,6255.5,4810.0,7883.2,3955.3,4196.4,6718.9,8807.8,2934.1,4750.2,3155.0,1079.2,6728.0,6221.6
