CSV,Kingston,East Hampton,East Aurora,West Seneca,Lake Placid,Rensselaer,Saranac Lake,Harlem,Watertown,Geneva,Cortland,Johnstown,Troy,Stony Brook,Rochester,Manhattan,Hyde Park,Elmira,Potsdam,Ilion,Palmyra,Tarrytown,Buffalo,Tonawanda,Glens Falls,Watkins Glen,Schenectady,Ossining,Garden City,New Windsor,Beacon,Crown Point,Bedford,Oyster Bay,Hempstead,Lockport,Mamaroneck,Hudson,Cheektowaga,New York City,Huntington,Scarsdale,Dunkirk,Poughkeepsie,Mineola,Lackawanna,Babylon,Sag Harbor,Ticonderoga,Peekskill
Kingston,0,5492.6,6452.2,2327.7,4578.7,5958.4,1954.2,9931.7,6889.8,7696.7,4559.2,6521.8,7442.0,281.2,7030.5,2027.3,5354.8,5737.0,6772.2,1244.1,1146.8,3762.9,5287.2,7348.1,4302.6,112.1,2730.1,1368.1,2396.8,5543.2,2466.6,8179.0,6999.0,5354.9,8665.3,3639.9,2513.3,6125.1,8173.8,7561.0,108.1,9214.9,9973.3,8223.4,4939.8,813.1,2867.6,4277.3,4586.6,1231.1
East Hampton,5492.6,0,9248.2,4946.7,6083.1,3513.9,6443.2,6510.2,684.3,1089.1,6855.1,4861.3,4562.7,7133.7,9955.9,3306.5,6458.1,2129.6,2835.2,7749.5,3330.5,5157.8,242.6,4152.0,3594.5,4807.6,9574.4,3337.5,4357.7,4610.1,5625.2,3067.6,3792.8,5220.7,9435.0,2863.2,1500.0,8396.2,9456.9,5171.8,7349.1,7728.5,3977.7,7520.8,955.4,810.1,8670.1,4189.3,1078.0,7963.5
East Aurora,6452.2,9248.2,0,6717.4,3246.3,7335.2,8371.7,8094.5,9562.1,6922.7,3169.4,1958.8,5280.0,6205.7,2510.9,795.3,1791.8,4009.3,1036.2,4420.1,7073.4,8452.7,4905.4,543.8,3198.5,5780.9,5170.0,3850.9,479.0,3753.3,6009.8,8087.1,7442.2,3890.6,4337.8,9601.5,3034.2,7712.5,5274.6,4175.0,2302.7,31.7,6597.1,9785.5,8801.9,8908.1,4093.5,1235.6,5184.4,4704.7
West Seneca,2327.7,4946.7,6717.4,0,7104.4,3410.4,8568.4,2714.4,9677.4,4669.4,3413.6,1594.5,5274.4,1428.9,4976.6,4865.9,3849.7,9035.0,8461.4,7955.5,795.4,989.7,9880.8,6885.6,8949.3,7858.0,8815.7,4138.7,5348.2,9732.6,7035.3,7742.1,8821.2,1974.8,8941.3,459.2,1684.3,3057.6,2392.5,6126.7,3554.3,445.3,4083.6,5729.5,565.7,2325.9,7487.6,1857.1,6398.3,9217.6
Lake Placid,4578.7,6083.1,3246.3,7104.4,0,1552.3,9949.9,8660.2,4377.5,5057.2,7074.2,1597.9,139.5,8439.6,7965.2,1724.0,9481.8,6115.5,6228.5,2213.8,774.6,211.8,9435.8,3992.7,8107.0,587.7,8989.3,4563.8,2342.5,7643.8,1961.1,7884.1,4437.3,2330.8,20.3,8648.3,9655.0,794.9,2586.1,1714.3,5325.9,6628.0,1494.8,8479.4,1072.3,2942.8,2513.0,2370.5,2051.0,6750.4
Rensselaer,5958.4,3513.9,7335.2,3410.4,1552.3,0,8564.1,4712.5,4566.0,2415.5,9017.2,2749.8,5209.5,238.3,269.5,4270.6,8032.7,7191.5,6015.2,3445.0,2379.7,4104.2,5146.1,8895.4,7131.7,2839.7,5013.6,2304.9,244.8,9137.5,9656.7,3973.7,994.4,1579.0,3831.6,2906.5,3119.3,4175.8,5284.1,3533.8,5122.0,5750.9,2178.2,1171.6,5298.9,8135.8,1588.2,4031.1,3354.1,5937.2
Saranac Lake,1954.2,6443.2,8371.7,8568.4,9949.9,8564.1,0,1749.5,7153.4,2989.9,8731.9,4632.0,6723.6,4741.6,7948.8,5764.6,4880.3,392.9,1324.3,6810.1,8162.9,6849.5,8983.5,9409.2,5884.6,8676.6,2434.0,2672.3,8259.4,1322.9,1008.0,1698.6,4031.9,1863.1,9271.0,4246.0,8678.6,8382.9,5457.9,7005.3,2936.5,5996.6,789.1,1209.2,7800.5,6068.9,3774.3,4160.5,5727.9,5933.6
Harlem,9931.7,6510.2,8094.5,2714.4,8660.2,4712.5,1749.5,0,9313.9,2393.3,7108.9,2198.6,3238.4,7412.6,9555.7,4981.9,6991.0,9854.2,7648.4,1146.1,7917.5,3790.2,8548.5,8978.9,9914.7,4441.2,5752.8,3249.7,4591.3,9536.9,8474.6,5591.3,7163.6,8290.6,9558.7,2759.6,9664.8,4390.5,7139.0,6233.6,6668.8,182.3,9687.9,1898.3,5936.9,3051.9,9578.1,2262.2,3684.2,2321.0
Watertown,6889.8,684.3,9562.1,9677.4,4377.5,4566.0,7153.4,9313.9,0,362.9,1770.7,6135.9,7617.2,7320.4,7661.8,166.7,939.7,7746.2,1358.1,949.0,65.8,5777.6,6786.8,7020.2,3858.7,3199.7,3098.7,3607.4,1384.0,2152.8,8185.6,9303.7,8019.4,2016.5,8579.9,8955.3,2498.1,2048.0,8709.0,6007.1,9873.9,1274.1,5742.7,5738.5,2257.1,2391.3,1994.2,90.3,6155.9,4410.1
Geneva,7696.7,1089.1,6922.7,4669.4,5057.2,2415.5,2989.9,2393.3,362.9,0,761.7,4564.6,7596.4,7968.2,6581.8,7460.4,520.4,1848.9,5228.9,8273.9,4555.2,4313.4,7426.7,6758.5,2114.6,5761.6,6767.9,6331.8,3227.1,5852.5,43.9,6866.0,6365.9,1384.8,6541.2,8251.9,5687.6,3905.9,9771.8,3233.7,6091.1,3022.4,4029.3,524.3,2745.6,7152.2,88.4,4740.7,8723.1,9503.2
