CSV,Levittown,Stony Brook,Binghamton,Peekskill,Garden City,Palmyra,Crown Point,Coney Island,Babylon,Scarsdale,Gloversville,Forest Hills,Oneonta,North Hempstead,Middletown,Rensselaer,Auburn,Woodstock,Dunkirk,Batavia,Ogdensburg,Watertown,Hammondsport,Albany,Rome,Rye,Lake Placid,Newburgh,Poughkeepsie,Cortland,Syracuse,Chautauqua,Glens Falls,Cohoes,Ticonderoga,Staten Island,White Plains,Oneida,Massena,Oyster Bay,Harlem,Niagara Falls,Rotterdam,Cooperstown,Hempstead,Potsdam,Utica,Bronx,Port Washington
Levittown,0,5584.2,8275.8,4687.7,3853.3,3836.9,2100.3,9864.0,591.7,6313.5,1564.2,1915.9,1262.3,4084.4,4149.4,6364.1,93.8,4249.4,2722.7,5701.6,284.6,1285.2,3932.9,4579.0,3293.9,1746.8,9626.1,5475.3,7078.3,5635.3,2158.2,1486.4,5840.2,2270.0,4785.1,2516.8,2349.2,1901.2,523.4,5254.7,8219.9,8520.3,1427.0,1461.9,6603.4,1647.8,3851.3,3465.4,1936.3
Stony Brook,5584.2,0,7008.1,4922.6,3421.3,9247.8,7164.8,8548.7,774.0,6578.9,951.7,3051.6,3070.7,4544.2,5553.0,3821.4,1824.1,754.5,3781.8,5580.0,4238.7,2170.9,6987.4,8338.9,9297.1,8913.6,9970.7,141.8,7025.7,5218.9,2371.3,713.7,1992.7,9844.4,3499.4,2290.7,3.8,4139.4,6145.6,2549.6,968.7,4567.1,9638.0,9071.8,508.2,226.3,9988.7,962.7,6713.2
Binghamton,8275.8,7008.1,0,2935.8,1180.0,9026.0,4617.8,7740.5,7347.7,4307.9,6089.5,8781.0,3027.0,128.0,7700.3,4065.5,7476.6,8557.8,3631.1,304.0,314.2,9654.0,1413.0,4676.2,8960.6,7251.0,6577.4,9274.5,9152.5,297.2,5399.8,2937.3,9991.0,7709.2,2176.2,3340.5,3537.3,7123.4,2105.3,179.9,1163.7,7252.6,1328.9,9938.5,1298.0,6038.6,4889.0,2835.8,142.4
Peekskill,4687.7,4922.6,2935.8,0,2270.3,6723.6,4824.6,2506.2,6698.1,1853.6,2588.2,306.1,1645.2,2833.5,3147.4,63.2,4826.2,7825.9,6243.5,1170.8,449.7,6517.0,2099.4,3110.7,225.4,7942.1,7461.9,6192.5,1287.5,3775.3,9424.7,1081.8,9882.0,3953.9,9975.5,8428.2,35.1,3655.2,7519.8,5278.6,8192.8,2170.2,2681.8,5535.3,8069.7,3608.9,7569.3,4984.8,4424.5
Garden City,3853.3,3421.3,1180.0,2270.3,0,9397.8,1186.3,760.2,4768.0,3257.3,4861.8,5738.6,282.4,5356.2,8291.0,8748.4,5788.9,9252.0,2893.2,8932.4,4224.5,7119.4,1107.6,3824.4,1595.1,8145.3,9658.2,3841.8,6346.6,9264.6,296.5,6610.7,8889.3,1826.6,2472.2,9435.0,1868.4,2658.9,5912.1,6494.8,1005.1,5444.9,1530.8,8495.9,1034.5,5239.4,8726.7,8355.0,5468.0
Palmyra,3836.9,9247.8,9026.0,6723.6,9397.8,0,7257.2,4666.9,4101.5,1898.5,6260.5,9620.5,1584.0,8128.7,7558.9,7995.1,5548.6,1474.7,7718.0,6351.3,8421.4,9865.1,5049.0,7701.5,5789.2,21.9,2407.9,4485.9,6802.4,1595.2,1145.1,1049.2,2716.7,3811.9,4586.6,5225.7,3497.5,4710.2,2624.7,823.6,4819.6,4047.8,4777.7,480.5,2025.9,4033.6,4782.9,7301.8,9842.8
Crown Point,2100.3,7164.8,4617.8,4824.6,1186.3,7257.2,0,7934.4,1215.5,5302.6,4379.6,5014.4,5060.3,7489.7,5730.9,9600.3,5990.3,7553.0,792.9,6852.1,7669.8,689.2,6346.8,3512.0,8677.4,4634.0,8028.7,468.1,9521.3,4446.0,3498.1,2093.2,641.8,7501.1,6544.2,768.2,5541.0,1749.0,1759.0,8645.4,5533.7,6797.3,559.1,695.5,5951.3,4680.1,9061.8,6280.2,9386.4
Coney Island,9864.0,8548.7,7740.5,2506.2,760.2,4666.9,7934.4,0,3717.5,2628.6,9640.9,7806.6,7945.8,1149.1,5700.8,6183.6,9524.6,7167.2,9116.3,84.4,6924.1,6055.5,5466.4,1149.5,2940.0,9904.8,4571.9,9929.6,7046.6,9512.3,1869.6,6384.1,7582.3,5819.8,7004.9,1828.5,2345.4,7585.8,1348.1,4795.6,3954.9,4141.7,4831.1,8749.1,7200.4,7885.4,5682.4,5293.8,987.5
Babylon,591.7,774.0,7347.7,6698.1,4768.0,4101.5,1215.5,3717.5,0,9509.8,784.8,2109.8,9967.2,6797.7,2571.4,2749.9,1428.6,5910.8,589.6,8750.7,2569.7,384.1,6508.6,1425.3,6117.9,5763.8,8713.3,998.7,3438.3,8269.0,3861.8,672.8,5816.8,127.7,6929.4,6208.9,838.4,6055.6,4147.1,5778.1,1178.9,6543.6,6307.9,21.4,8055.3,6821.7,7334.3,6014.1,2624.0
Scarsdale,6313.5,6578.9,4307.9,1853.6,3257.3,1898.5,5302.6,2628.6,9509.8,0,990.6,7009.8,6084.9,7461.3,3832.3,4846.3,1915.3,3702.0,2678.9,4989.7,7616.3,6457.8,9174.7,6945.7,5921.2,3833.0,5244.6,2144.7,693.5,4451.8,5025.9,7061.8,3536.4,4893.8,7891.8,5646.2,3560.6,7365.0,4562.2,1787.7,1251.9,4413.2,968.0,3598.3,8797.2,348.6,2069.8,6014.6,8837.5
