CSV,Herkimer,Rochester,Johnstown,Lackawanna,Bronx,East Aurora,Binghamton,Rotterdam,Southampton,Brooklyn,Lockport,Glens Falls,Cohoes,Ithaca,Seneca Falls,Cheektowaga,Geneva,Huntington,Saratoga Springs,Babylon,Great Neck,Crown Point,Oneonta,Flushing,Syracuse,Jamestown,New Windsor,Troy,Hammondsport,East Hampton,Chautauqua,Gloversville,Bedford,Lake Placid,Yonkers,Palmyra,Manhattan,Clinton,Batavia,Massena,White Plains,Harlem,Oyster Bay,New Paltz,North Hempstead,Rye,Watkins Glen,Rensselaer,Potsdam
Herkimer,0,8495.7,170.5,389.6,5836.8,8243.6,7080.5,7990.2,6175.1,5454.2,8552.3,9511.6,1988.7,1303.9,5048.8,5748.7,7728.3,2709.2,4529.1,9453.3,5160.7,7238.0,6485.3,7411.4,1738.0,7521.4,3263.3,9196.9,7883.0,1690.7,7973.8,4557.2,7752.1,2826.3,6170.2,1760.1,4801.2,2547.9,1082.0,7505.8,8523.8,3207.5,4387.4,5797.2,7783.8,6315.0,7939.6,1960.0,9179.1
Rochester,8495.7,0,1285.9,9657.4,9413.2,7492.4,790.5,1170.0,481.7,8148.4,4567.6,8414.8,269.3,6844.0,6157.2,1170.8,6818.5,8835.2,1988.0,5205.9,9172.0,1770.4,8578.5,6289.4,9892.8,5466.9,9848.8,1351.3,6568.7,7283.8,2384.4,6440.3,3743.2,1513.5,8673.1,5007.2,160.8,5893.9,9667.4,4114.1,2507.3,8.7,8031.6,2613.3,6993.7,632.2,6640.3,6481.9,4286.3
Johnstown,170.5,1285.9,0,1389.0,5294.4,7452.7,4700.5,3595.7,1029.3,3621.7,484.3,6970.0,8229.9,4226.0,2127.2,795.3,9099.3,7907.9,7667.7,6312.1,5317.2,1578.2,7139.9,7617.5,663.1,1574.5,7151.8,5050.9,7093.2,3075.6,346.3,4964.2,6093.0,4012.9,1170.4,1975.3,1526.2,5573.4,3792.0,2074.2,8169.0,806.9,289.1,7740.7,5238.0,2030.4,8022.4,3965.0,7119.8
Lackawanna,389.6,9657.4,1389.0,0,7047.2,174.3,2652.1,841.8,3974.5,3100.2,638.8,2428.9,7924.0,1840.7,1251.3,7970.1,4328.1,7587.6,4951.1,313.2,7962.4,8261.1,1286.6,3232.2,2981.0,7468.5,4883.7,9376.2,1365.0,3559.1,6631.9,1166.3,166.3,5157.9,6816.2,6779.8,5741.1,8566.0,394.4,2117.3,8395.2,5660.2,8509.0,7242.2,6052.3,5440.7,844.9,3360.0,718.8
Bronx,5836.8,9413.2,5294.4,7047.2,0,3087.9,4013.6,4207.4,3149.2,9823.5,9302.7,5631.2,8264.6,1876.2,5572.7,3230.5,7472.9,6271.8,5359.1,2646.6,140.2,1477.3,4871.5,6398.3,4401.4,8150.7,8709.9,1796.4,3269.3,6205.0,492.0,920.8,4626.8,3789.2,5455.0,8951.9,5601.5,7967.4,7969.1,3838.1,4509.3,1100.4,84.8,1469.3,2489.9,9453.1,7429.5,6811.9,899.1
East Aurora,8243.6,7492.4,7452.7,174.3,3087.9,0,6836.8,5621.3,5329.2,8351.1,9771.1,2334.9,8141.8,8840.4,7178.4,7301.7,7042.6,7274.1,3131.2,1813.6,9397.2,1181.6,8960.7,9901.5,2431.5,3777.1,6770.3,2070.3,6678.8,5733.0,7807.9,3184.4,9633.5,5659.8,9537.3,7158.6,8745.4,1637.9,4179.8,2686.5,6217.9,2833.7,1937.4,2026.9,4247.2,3676.9,5812.4,4661.8,3649.6
Binghamton,7080.5,790.5,4700.5,2652.1,4013.6,6836.8,0,1365.2,9835.5,6939.2,7889.6,3395.5,2907.5,2351.2,295.5,4116.6,8553.5,701.9,7947.1,741.6,2085.1,3110.2,5762.8,7781.4,7809.3,9824.6,5871.5,1197.2,8191.4,2319.2,368.2,5317.6,321.0,3366.3,9738.9,4651.0,4029.5,5339.8,589.6,9619.6,1145.7,2761.1,4001.7,9555.7,1699.0,1345.3,2284.8,3521.6,9140.2
Rotterdam,7990.2,1170.0,3595.7,841.8,4207.4,5621.3,1365.2,0,3518.8,3745.4,2368.9,5010.4,955.8,5108.7,7803.4,1521.8,8957.4,5336.9,4726.2,806.4,4912.7,3267.1,1328.5,912.4,7606.7,6621.6,9514.9,3674.0,9732.2,3508.6,4928.6,5094.3,9871.2,633.1,1272.6,5208.5,780.3,4157.5,2580.4,156.4,4648.5,9340.7,1044.2,9760.9,5827.2,628.8,4748.7,7301.0,9747.8
Southampton,6175.1,481.7,1029.3,3974.5,3149.2,5329.2,9835.5,3518.8,0,8871.6,5419.9,7133.8,9064.3,3873.4,559.1,1706.7,5030.5,6654.1,1434.5,1727.2,9265.1,5585.9,7764.5,2057.1,651.5,7300.4,6886.2,7160.5,9816.8,5507.3,1153.8,7063.3,8605.9,5416.4,3009.8,3999.6,4760.0,6829.0,7827.8,8324.9,7928.3,9130.9,5162.6,9580.3,4985.8,8750.5,4124.3,7753.6,3706.7
Brooklyn,5454.2,8148.4,3621.7,3100.2,9823.5,8351.1,6939.2,3745.4,8871.6,0,612.6,8084.7,3882.1,4509.0,6240.0,4954.4,738.2,6686.8,5775.1,7931.1,2691.7,5797.4,2832.8,9785.0,4520.0,5454.8,2839.9,9896.4,3717.0,5286.0,5231.1,7334.1,3675.4,6962.1,1847.3,1689.0,6564.4,1672.7,7617.1,918.4,75.4,1882.2,1701.0,4826.0,6455.6,6666.7,671.6,636.7,8822.0
Lockport,8552.3,4567.6,484.3,638.8,9302.7,9771.1,7889.6,2368.9,5419.9,612.6,0,5604.7,4112.4,3973.9,9771.3,7847.9,4779.8,6569.4,7951.6,3607.0,6734.7,2282.7,7763.6,5394.2,7138.5,5635.4,4187.8,475.9,9181.6,7578.0,7293.5,9596.7,2975.2,2375.9,4457.2,4075.1,5228.6,8361.3,9242.8,4162.2,4797.7,3702.7,8048.9,7381.5,1959.9,1702.6,3022.9,3702.4,7144.3
Glens Falls,9511.6,8414.8,6970.0,2428.9,5631.2,2334.9,3395.5,5010.4,7133.8,8084.7,5604.7,0,1017.4,8706.7,6440.8,1923.4,2037.4,8666.8,5642.4,6302.8,6351.3,9840.0,9651.2,3850.6,5890.8,5417.6,4425.1,3958.1,5011.8,4723.3,5318.6,3988.5,8597.3,5942.3,7399.7,3600.5,530.6,7204.4,6370.9,4158.6,5894.7,3643.6,2576.2,8597.4,6162.0,5579.8,2949.8,8849.7,6727.3
Cohoes,1988.7,269.3,8229.9,7924.0,8264.6,8141.8,2907.5,955.8,9064.3,3882.1,4112.4,1017.4,0,4708.1,3204.0,5328.8,5540.5,6753.2,3169.3,8166.9,9719.6,5380.4,2357.0,5240.6,2657.5,4716.1,4405.6,6332.8,8031.0,7984.9,6052.8,6139.7,7361.7,1065.5,9714.4,1172.1,6234.9,3193.5,7894.8,6307.0,7020.2,7714.3,7458.2,9196.1,967.7,6434.2,1838.1,5618.6,7065.4
Ithaca,1303.9,6844.0,4226.0,1840.7,1876.2,8840.4,2351.2,5108.7,3873.4,4509.0,3973.9,8706.7,4708.1,0,2527.5,4599.7,96.9,4475.1,8042.2,6339.9,9064.9,8471.4,3707.1,4185.8,3758.1,1550.7,160.5,3902.3,5331.9,5410.5,3158.1,21.7,6325.6,2719.7,810.8,4048.3,7546.0,6069.0,6278.1,6123.1,9609.1,9935.2,1219.1,2205.0,4291.8,8215.2,8374.9,7971.9,3703.0
Seneca Falls,5048.8,6157.2,2127.2,1251.3,5572.7,7178.4,295.5,7803.4,559.1,6240.0,9771.3,6440.8,3204.0,2527.5,0,2057.3,4192.2,447.3,1033.2,8842.8,7073.3,6607.4,6323.3,7321.1,6137.8,3949.4,8495.2,4899.6,4573.3,6751.6,2209.5,8642.5,1532.4,8824.4,5697.3,6639.8,9234.8,5809.8,24.7,4382.6,7305.4,5720.8,8371.3,1892.3,4731.3,6463.9,8793.0,2276.0,63.9
Cheektowaga,5748.7,1170.8,795.3,7970.1,3230.5,7301.7,4116.6,1521.8,1706.7,4954.4,7847.9,1923.4,5328.8,4599.7,2057.3,0,8313.1,9985.9,9453.8,6628.6,7487.9,8501.9,5992.9,4465.6,4587.4,6916.4,6772.2,7202.0,2202.0,6841.4,9056.0,582.4,4404.6,5416.9,8653.5,9205.1,1442.8,7088.9,7364.4,249.9,2167.2,2126.2,221.6,9829.5,2391.5,3987.0,9411.3,7376.2,9475.8
Geneva,7728.3,6818.5,9099.3,4328.1,7472.9,7042.6,8553.5,8957.4,5030.5,738.2,4779.8,2037.4,5540.5,96.9,4192.2,8313.1,0,424.8,2966.0,6254.9,1120.5,4038.5,5442.1,2297.2,5574.7,9283.2,2408.4,273.8,6256.1,2055.0,5075.5,9.1,3980.7,6777.1,2017.7,6317.3,4463.9,4320.6,2742.2,9528.3,9803.7,1389.8,4288.6,12.3,8244.1,4427.0,1468.2,4549.8,7428.5
Huntington,2709.2,8835.2,7907.9,7587.6,6271.8,7274.1,701.9,5336.9,6654.1,6686.8,6569.4,8666.8,6753.2,4475.1,447.3,9985.9,424.8,0,87.4,3493.8,9713.7,3809.7,6223.3,1171.9,6179.8,530.7,1024.7,3672.9,6208.1,2312.4,663.3,7199.6,6567.1,9505.4,1663.6,2816.2,3632.3,3251.1,6038.0,1128.3,3977.8,8766.7,4356.6,9118.7,8363.2,5109.8,483.1,8082.3,1113.8
Saratoga Springs,4529.1,1988.0,7667.7,4951.1,5359.1,3131.2,7947.1,4726.2,1434.5,5775.1,7951.6,5642.4,3169.3,8042.2,1033.2,9453.8,2966.0,87.4,0,5626.0,2284.9,262.0,5795.1,3057.6,4247.4,5207.8,5846.7,2957.4,3816.8,7218.8,910.0,2140.7,6521.9,7968.4,7987.3,687.2,971.6,1748.4,3030.8,8489.3,1583.1,3130.6,3516.5,9606.0,7537.1,883.4,4370.4,1008.7,4124.2
Babylon,9453.3,5205.9,6312.1,313.2,2646.6,1813.6,741.6,806.4,1727.2,7931.1,3607.0,6302.8,8166.9,6339.9,8842.8,6628.6,6254.9,3493.8,5626.0,0,3593.2,8066.7,9466.2,9340.9,5036.6,6173.8,7667.0,719.8,908.9,264.7,3248.4,8600.7,4951.2,5100.1,3775.5,2072.0,3403.3,1964.0,814.4,9302.5,8619.8,1130.1,2792.1,2598.6,3476.2,1158.2,6912.6,8051.2,6148.3
Great Neck,5160.7,9172.0,5317.2,7962.4,140.2,9397.2,2085.1,4912.7,9265.1,2691.7,6734.7,6351.3,9719.6,9064.9,7073.3,7487.9,1120.5,9713.7,2284.9,3593.2,0,6399.9,7208.2,3224.4,4937.2,7450.5,8062.2,217.3,8146.9,2646.3,436.5,6599.2,9307.8,2545.5,774.8,5320.7,7173.4,6823.9,4329.5,6751.2,6158.5,8418.7,7751.8,3985.3,6014.6,4081.8,1818.7,545.6,3096.5
Crown Point,7238.0,1770.4,1578.2,8261.1,1477.3,1181.6,3110.2,3267.1,5585.9,5797.4,2282.7,9840.0,5380.4,8471.4,6607.4,8501.9,4038.5,3809.7,262.0,8066.7,6399.9,0,7448.6,815.6,3532.0,7150.2,9418.7,4388.0,6072.7,101.6,8459.0,2089.4,6861.3,4660.8,9161.3,4920.1,422.7,8707.1,93.3,1963.0,5131.3,9668.0,6730.3,2257.1,7544.8,5420.6,8144.7,1341.6,4972.5
Oneonta,6485.3,8578.5,7139.9,1286.6,4871.5,8960.7,5762.8,1328.5,7764.5,2832.8,7763.6,9651.2,2357.0,3707.1,6323.3,5992.9,5442.1,6223.3,5795.1,9466.2,7208.2,7448.6,0,6726.8,9142.0,4461.9,4271.0,1561.0,9357.6,4435.8,4350.1,9060.5,7111.3,768.8,9778.2,2523.7,9793.6,3213.3,5664.2,9743.9,7996.6,9961.2,9602.8,8044.6,7078.5,9994.1,2317.5,5491.8,4812.2
Flushing,7411.4,6289.4,7617.5,3232.2,6398.3,9901.5,7781.4,912.4,2057.1,9785.0,5394.2,3850.6,5240.6,4185.8,7321.1,4465.6,2297.2,1171.9,3057.6,9340.9,3224.4,815.6,6726.8,0,9330.7,4685.3,7178.1,3199.4,905.9,2218.5,8280.3,5260.9,8381.1,7654.8,834.3,3139.7,9052.2,3002.4,2277.7,9648.5,392.2,8446.4,2462.3,6197.9,1837.7,2871.9,1065.4,7647.8,3925.8
