CSV,Ilion,Newburgh,Bronx,Mount Vernon,Rensselaer,Bedford,Crown Point,Fredonia,Troy,Seneca Falls,Kingston,Manhattan,Plattsburgh,Stony Brook,Lake Placid,Niagara Falls,Dunkirk,Lackawanna,Lockport,Cooperstown,Massena,Auburn,Gloversville,Hyde Park,North Hempstead,Rochester,Ogdensburg,Hudson,Rome,Mineola,White Plains,Huntington,Johnstown,Buffalo,Ithaca,Great Neck,Chautauqua,Tonawanda,Nyack,Coney Island,New Windsor,Cortland,Glens Falls,New York City,Utica,New Paltz,Batavia,Stony Point,Mamaroneck
Ilion,0,838.2,5695.9,5143.3,6528.8,4391.6,5242.7,9649.0,5898.0,8080.5,5772.3,8199.6,3350.3,5381.1,6915.9,5079.3,4121.4,8323.6,8589.6,2094.2,8254.8,2749.3,7016.1,8902.1,2710.7,6351.7,1744.2,2901.4,752.8,5735.8,5160.7,4726.0,741.5,5278.4,2573.4,5422.4,1105.1,8138.1,9039.3,3483.2,3642.3,5011.6,6168.4,6944.9,6506.5,8299.7,6055.3,2530.8,6150.9
Newburgh,838.2,0,2725.4,9174.6,2901.6,5873.3,4247.5,3604.4,7049.2,126.0,9360.0,8562.4,3185.8,7383.2,3482.2,6431.0,5241.7,4772.3,8893.3,9004.0,8388.8,4907.0,9587.5,9299.2,7427.4,390.6,5255.2,3827.4,906.7,3342.6,9007.2,3167.1,2032.0,6586.0,3953.2,1970.7,4584.7,6323.9,3820.0,4513.7,7386.2,7627.1,1357.1,6818.8,4517.3,8183.0,387.1,1094.2,9176.9
Bronx,5695.9,2725.4,0,281.1,7315.6,3304.3,5222.1,5811.2,9623.0,2831.6,3597.3,3324.6,8999.6,6693.5,730.1,4231.5,6206.8,1889.5,8747.9,5833.1,16.0,2438.6,237.7,5755.4,7746.6,3888.8,7922.4,3184.3,4405.9,9449.8,9561.8,3746.8,5062.2,1099.7,9332.8,460.0,3977.5,5757.3,8142.3,9427.3,5736.0,2065.7,620.0,8792.8,8861.4,3920.8,7473.1,3831.7,7130.4
Mount Vernon,5143.3,9174.6,281.1,0,1659.2,1737.0,9386.1,6058.6,6875.1,4245.3,1040.8,5204.7,7783.7,9595.8,7050.8,2784.0,4904.1,3932.2,4901.1,1983.4,922.3,3395.4,8754.5,9286.2,5400.6,2688.7,4494.1,8508.4,8888.4,7071.8,7138.6,9949.2,2901.2,8461.1,6209.3,9820.5,1315.5,3742.7,50.7,7965.8,3856.0,9100.2,2213.5,7305.7,9983.1,3023.2,9413.6,9404.8,6242.2
Rensselaer,6528.8,2901.6,7315.6,1659.2,0,7359.0,727.3,6855.1,7055.0,7332.2,7662.9,5108.1,4230.2,4203.6,5743.3,933.5,5544.2,669.5,4548.3,9812.9,2108.3,118.2,6836.8,2424.8,9868.3,5416.4,5941.0,9502.3,1582.1,700.9,6322.3,4036.2,1395.0,817.8,4037.4,581.4,6501.8,561.7,2587.3,4248.8,9952.2,4497.7,5568.0,9417.3,8170.7,7820.1,4992.8,18.9,304.4
Bedford,4391.6,5873.3,3304.3,1737.0,7359.0,0,6271.1,9092.2,8547.9,2409.7,4996.1,9628.6,7924.3,3580.8,4846.6,9890.5,7102.0,2863.9,4528.1,4101.3,6967.5,8460.8,8717.9,6514.0,3791.1,4329.7,4570.9,388.2,274.0,9047.0,7631.9,5843.1,4586.8,3132.0,8370.2,6155.8,8570.7,8822.5,3876.5,753.5,3138.5,7346.5,4175.3,1639.0,9303.4,7905.2,6623.5,7355.0,1874.2
Crown Point,5242.7,4247.5,5222.1,9386.1,727.3,6271.1,0,558.2,7509.5,5560.5,5132.8,462.8,3801.3,1330.1,7855.4,7524.2,2758.6,5169.6,6244.9,6649.4,9311.7,8290.3,5164.4,7925.8,9022.4,386.1,9646.9,3760.0,4988.1,4326.3,6212.6,6259.1,1779.0,5631.9,2204.7,8422.0,5197.8,5263.9,437.7,4182.3,1826.7,7525.6,9069.8,5685.7,7408.4,3559.7,4014.5,7509.7,3888.1
Fredonia,9649.0,3604.4,5811.2,6058.6,6855.1,9092.2,558.2,0,6747.3,2459.2,8042.3,8206.9,7362.1,1977.2,4639.4,8019.8,7883.5,9931.1,7036.8,4932.3,1851.3,2834.4,409.2,1841.3,3521.6,9692.1,4268.2,4595.2,1383.1,1803.8,8181.6,4066.0,2774.2,9180.3,183.3,2434.8,3814.2,1951.1,3645.0,8438.9,9268.8,5412.9,8747.6,5229.6,2858.8,2183.3,982.6,206.5,1189.1
Troy,5898.0,7049.2,9623.0,6875.1,7055.0,8547.9,7509.5,6747.3,0,4400.5,7709.0,3104.0,6162.0,872.8,3545.2,6890.5,3704.1,6020.8,6837.8,2348.5,8408.4,7330.9,2809.1,1209.1,8530.7,1857.1,335.0,760.6,3849.0,2771.5,1091.5,5392.2,5223.5,3251.1,1580.3,634.2,8031.7,6590.6,5830.5,648.9,9374.3,9110.1,9645.6,9811.5,2052.3,7691.3,3012.9,7230.8,192.7
Seneca Falls,8080.5,126.0,2831.6,4245.3,7332.2,2409.7,5560.5,2459.2,4400.5,0,6304.4,2078.9,3412.3,6012.4,7644.7,5966.2,1140.2,731.0,5013.0,4965.8,8218.9,7761.6,6658.7,5060.6,8195.7,4615.8,3284.5,5918.8,3156.3,4197.7,9756.2,9219.6,3152.9,9451.9,6378.9,8299.9,9722.6,8941.9,9843.6,7572.6,755.3,8904.2,7438.3,8811.0,7603.8,1634.1,5780.3,8355.5,8367.6
Kingston,5772.3,9360.0,3597.3,1040.8,7662.9,4996.1,5132.8,8042.3,7709.0,6304.4,0,7009.3,8081.9,2307.5,3745.7,1235.3,5468.3,8799.1,8103.4,262.3,7965.3,4867.5,5907.7,9376.5,9225.1,6136.3,6368.4,855.8,9805.8,3459.9,3350.9,7265.7,1651.0,1380.3,2485.0,6847.1,694.7,2023.6,7861.2,6373.3,5359.6,2500.7,6853.2,9342.8,6676.8,6320.3,4891.4,6156.8,1489.7
