CSV,Albany,Levittown,Mineola,New Rochelle,Binghamton,Tonawanda,Johnstown,Auburn,Scarsdale,Newburgh,Flushing,White Plains,Watertown,Cortland,Stony Point,Port Washington,Corning,Mamaroneck,Eastchester,Bedford,Beacon,Massena,Troy,Mount Vernon,Geneva,East Hampton,Kingston,Chautauqua,Gloversville,Rensselaer,Olean,Coney Island,Oneida,Ithaca,Rome,Crown Point,Staten Island,Amsterdam,Hudson,Lake Placid,Oyster Bay,New Paltz,Niagara Falls,Great Neck,Palmyra,Ilion,New York City,Woodstock,Herkimer
Albany,0,334.8,8513.7,4866.5,2564.6,6831.2,3030.8,5606.2,1046.3,5890.0,9413.3,8087.6,4191.8,9645.3,7800.8,7290.9,5260.2,733.6,6829.8,5435.9,3306.2,1361.0,1121.0,5336.2,7879.6,3898.5,4408.1,909.0,3703.6,9361.2,9729.4,4247.8,7051.9,9933.3,5884.6,2215.0,2586.0,525.1,7139.2,4822.4,3584.7,2995.3,8965.8,2114.0,6998.2,8787.6,4774.7,9097.0,3671.3
Levittown,334.8,0,7194.4,2753.0,6686.2,3025.3,6638.3,7487.2,5916.6,5227.9,7246.2,395.4,8292.2,2752.9,533.1,900.1,7222.3,1459.3,6681.4,3678.6,5269.3,8588.7,3597.7,1265.1,4378.8,7151.3,3921.9,7551.3,5239.0,2039.4,1124.9,5808.1,5113.7,937.8,9563.9,1348.7,604.8,8645.4,3964.3,7527.3,2891.1,2587.0,8827.6,3813.5,8796.5,4512.5,4713.7,2498.7,7834.6
Mineola,8513.7,7194.4,0,1889.7,8635.7,8379.4,503.5,7983.0,460.7,2036.3,9431.2,8682.6,9925.4,8281.7,9189.7,1609.1,3195.9,4479.7,7117.4,6857.0,7754.5,6732.1,4271.7,6139.4,9480.6,7191.2,187.6,2669.6,9951.9,253.4,3789.3,2069.1,8402.0,4546.0,426.8,8697.3,6840.8,8705.9,9220.3,3850.2,8612.7,7542.7,3871.0,5360.8,7269.0,3367.9,8550.0,1239.4,8658.3
New Rochelle,4866.5,2753.0,1889.7,0,287.6,8096.8,3890.5,9019.6,8651.2,3162.6,8830.9,8327.8,8591.0,2650.1,882.5,8816.9,363.0,3931.2,7454.6,1540.1,7101.5,1740.6,7530.2,5724.8,1254.2,4076.1,6224.6,1807.6,6642.2,6222.9,6822.5,3256.2,3762.4,2195.1,2983.8,8703.1,8552.5,4382.4,1869.2,7598.2,9181.3,7071.7,7128.9,5247.7,430.9,8217.1,8374.8,8175.2,4880.8
Binghamton,2564.6,6686.2,8635.7,287.6,0,1169.9,5291.0,9259.8,9208.7,8369.4,5735.9,1207.8,9466.5,5722.0,5951.1,3258.9,4299.9,8279.8,8781.5,7924.0,2885.6,4567.2,9031.8,9279.5,5251.0,7817.0,9656.1,8034.9,3788.4,7670.0,5371.2,3497.4,5200.1,2174.1,8270.0,6255.2,470.2,2477.0,2629.0,6785.4,1671.4,5544.4,7325.2,1356.7,4297.9,6723.5,9715.1,8935.3,3260.0
Tonawanda,6831.2,3025.3,8379.4,8096.8,1169.9,0,5376.4,4522.9,4561.0,8355.8,5411.4,7437.2,5340.8,5523.2,3047.8,3535.2,9055.8,6448.4,6610.9,2611.4,6303.7,5773.3,5657.7,1321.9,7480.5,871.1,6839.0,6095.5,645.8,9805.4,7633.6,5674.9,4343.5,1826.3,3274.2,1319.3,8283.0,5369.7,1508.3,3116.8,2987.9,6257.9,9056.2,9037.2,8719.6,5193.8,9026.0,6937.7,6893.7
Johnstown,3030.8,6638.3,503.5,3890.5,5291.0,5376.4,0,5637.2,4848.7,3688.2,764.3,9207.9,2107.3,1517.8,4250.1,9041.8,3772.9,4377.6,1626.2,1600.2,5271.8,199.9,5696.6,6164.2,1570.0,879.7,3262.4,2359.5,7549.3,1071.3,9276.0,1021.8,8133.9,9100.0,9360.2,1276.5,1535.7,7656.3,1424.1,6509.6,2134.4,8321.2,3891.7,2836.1,3907.6,17.4,3475.3,1931.4,1371.9
Auburn,5606.2,7487.2,7983.0,9019.6,9259.8,4522.9,5637.2,0,6641.9,3854.8,741.2,3149.0,1520.6,8835.9,8283.2,7724.6,501.2,1198.8,6234.1,738.4,2035.2,8083.7,1962.5,7465.2,3078.8,3562.8,1601.2,9828.5,5038.4,3588.0,1575.3,1847.2,5805.2,8844.4,4435.7,622.1,7942.8,3691.3,1770.5,2906.0,5897.6,6567.4,7543.3,8485.8,292.3,9042.6,7679.1,7072.2,304.2
Scarsdale,1046.3,5916.6,460.7,8651.2,9208.7,4561.0,4848.7,6641.9,0,3418.2,944.8,3776.7,9631.3,4902.0,2046.4,2885.3,6984.2,7819.0,9037.0,7168.3,9957.8,5145.4,5097.0,1606.9,2083.5,2482.3,4610.6,7104.0,1074.0,1914.9,6686.7,1440.6,8441.1,1198.3,8483.7,5450.4,1179.9,5870.8,8020.1,5885.5,5250.4,1825.9,5105.7,2704.7,1158.9,6645.3,6604.2,62.7,5740.6
Newburgh,5890.0,5227.9,2036.3,3162.6,8369.4,8355.8,3688.2,3854.8,3418.2,0,5400.0,6311.2,213.8,1492.6,760.0,303.7,4900.7,8190.3,1516.2,4241.4,6571.6,3601.0,4637.6,2952.7,9597.2,1672.1,9569.0,266.0,5515.6,7053.4,3554.1,8358.3,6813.1,6522.9,6245.4,6707.4,8997.8,4356.2,290.0,749.0,645.4,9278.1,4289.9,1806.3,1515.5,6869.2,5731.7,986.2,7623.3
