CSV,Queens,Chautauqua,Niagara Falls,Oneida,Hempstead,Utica,Herkimer,Nyack,Flushing,Coney Island,Crown Point,Hammondsport,Hudson,Rotterdam,Lake Placid,Cooperstown,New Rochelle,Watervliet,Bedford,Albany,Staten Island,Ticonderoga,West Seneca,North Hempstead,Plattsburgh,Dunkirk,Cortland,East Aurora,Rome,Yonkers,Tarrytown,Clinton,Auburn,Mount Vernon,Mineola,Amsterdam,New Paltz,Cheektowaga,Rye,Saranac Lake,Tonawanda,Gloversville,Buffalo,Massena,Potsdam,Beacon,Corning,Port Washington,Ossining
Queens,0,8477.7,2791.9,8294.6,7949.0,6802.7,3190.7,6847.2,4848.1,7141.5,7708.6,4908.2,6675.3,5213.3,6011.7,8760.0,2907.5,5574.8,7669.7,4048.9,2860.5,3963.4,9896.6,5115.0,6982.2,2028.9,4875.9,6114.3,644.4,6976.1,6879.6,8507.8,8370.7,3538.8,9070.8,5699.0,4715.2,2635.9,9433.1,6870.9,9853.4,2581.7,4683.8,1775.1,8702.7,7198.3,2572.6,5782.6,1338.3
Chautauqua,8477.7,0,893.0,2728.5,2421.1,5479.3,9193.1,7781.2,3645.3,8150.9,8234.5,394.4,3254.3,8755.0,1580.2,5456.6,9418.7,1858.5,8709.4,6388.1,5114.6,8860.6,1720.7,7964.2,1007.4,4542.6,2983.7,6885.1,8722.1,3127.7,6132.6,7829.1,1806.4,2123.1,1652.9,3172.6,2009.6,7384.9,7867.1,4836.0,7249.9,1902.2,9685.0,1499.6,2352.9,4180.0,828.7,1267.0,1110.3
Niagara Falls,2791.9,893.0,0,8007.7,5708.8,9443.8,8016.3,6326.1,8702.9,2068.8,7448.4,7634.3,1512.2,4452.5,6820.1,732.8,8738.8,4347.1,5785.7,3752.5,9387.4,4032.8,1763.2,5482.0,9568.7,5267.2,7349.4,4181.0,8692.2,6979.3,7486.6,7775.6,2131.5,947.5,4971.5,4.0,2437.5,7551.4,2430.4,2993.1,1401.9,7991.0,5669.8,6037.7,9018.5,5202.9,5578.3,9630.0,5518.3
Oneida,8294.6,2728.5,8007.7,0,3476.7,4128.5,1738.3,2550.8,95.7,1882.6,5419.8,3107.0,5368.3,2316.1,3541.5,9838.4,7704.0,5643.0,5988.8,8216.6,8189.4,5705.8,2360.3,4015.5,9048.8,6587.1,6465.3,4514.5,9966.8,1343.9,1036.8,7980.5,4233.5,6147.1,9862.5,239.1,6910.2,6542.0,2497.7,1944.3,5991.2,4944.5,8173.1,9579.9,1040.2,7856.8,3554.1,5397.3,8217.1
Hempstead,7949.0,2421.1,5708.8,3476.7,0,6644.9,259.0,2328.5,7846.5,5398.8,6606.0,9031.1,1828.1,4945.2,9334.3,4342.8,684.6,68.0,8094.4,1090.2,5744.5,2725.3,6123.7,4678.9,4998.9,3901.1,2797.9,8778.3,8657.8,5922.0,1200.3,6005.4,8326.9,6007.2,9356.9,6946.3,2157.9,7727.9,8891.4,3943.4,9355.3,2108.2,3784.6,166.3,7040.7,6098.2,4787.2,2032.5,5991.0
Utica,6802.7,5479.3,9443.8,4128.5,6644.9,0,2855.3,3057.7,2543.4,6914.2,8526.5,310.9,8841.0,1240.7,37.0,639.9,4186.5,5841.7,9869.7,443.7,8580.6,9959.5,4649.3,6695.6,3318.9,4401.1,8596.7,9400.0,2658.6,8101.6,8552.4,3213.4,3063.8,9312.5,2619.3,4469.3,8713.4,2235.6,3114.7,111.5,1093.7,3534.7,4289.7,6101.8,4728.8,7327.4,958.2,5490.0,2347.1
Herkimer,3190.7,9193.1,8016.3,1738.3,259.0,2855.3,0,9269.3,7629.4,4288.4,7116.2,5389.5,1144.8,4381.6,4245.3,9668.0,3017.5,3850.2,3522.4,7647.7,9539.7,7010.6,5396.4,1395.6,455.4,6055.0,6707.4,3638.3,1483.1,6847.5,7970.6,8105.6,2298.3,1731.8,1045.8,3746.7,6075.1,7210.6,3137.6,7159.1,8943.2,3626.0,555.1,5561.6,107.3,6778.0,8756.4,1059.2,3263.3
Nyack,6847.2,7781.2,6326.1,2550.8,2328.5,3057.7,9269.3,0,5268.3,83.3,146.5,7049.5,6851.8,6929.2,5263.5,6617.1,2437.9,5541.7,4047.8,6529.8,8996.3,6557.6,355.8,4215.9,4609.9,4949.1,2622.2,9038.8,2951.7,2854.8,7379.1,6855.3,1621.0,503.4,7119.7,1208.2,4392.7,923.3,3219.9,1962.1,3788.1,7703.7,6521.1,4263.2,9733.0,2616.9,7638.6,1957.4,9097.7
Flushing,4848.1,3645.3,8702.9,95.7,7846.5,2543.4,7629.4,5268.3,0,7430.9,8567.8,8089.9,7327.3,5075.0,360.9,1395.5,2855.0,8622.5,7534.2,6452.9,4987.6,2155.3,8987.1,2777.1,3931.0,5746.6,9491.1,5611.3,9008.5,5318.6,7402.6,484.8,3592.8,5347.0,4908.5,9962.0,8038.7,4958.4,3312.8,9155.1,4329.0,4558.5,6276.2,152.0,7207.6,6577.1,9490.1,8162.6,1661.6
Coney Island,7141.5,8150.9,2068.8,1882.6,5398.8,6914.2,4288.4,83.3,7430.9,0,4479.1,2717.1,8220.2,276.9,686.3,4692.6,7016.1,9793.0,5949.8,7567.3,4811.9,4970.1,2793.1,4181.9,2293.3,2289.6,3388.8,6260.1,6959.2,6482.0,3573.5,944.3,6941.7,533.1,4604.1,1786.5,2836.9,6739.2,9469.8,2356.0,3276.1,1015.5,4980.0,7278.7,8468.8,9311.5,2063.0,9951.1,7653.9
