CSV,Cohoes,Oswego,Ticonderoga,Cheektowaga,Saratoga Springs,Saranac Lake,Sag Harbor,White Plains,Oyster Bay,Hempstead,Jamestown,Mineola,Cooperstown,East Hampton,Mamaroneck,Newburgh,Forest Hills,Bronx,Levittown,Herkimer,Manhattan,Schenectady,Chautauqua,Flushing,Kingston,Corning,Batavia,Brooklyn,Niagara Falls,Cortland,Middletown,Olean,Queens,Clinton,Huntington,Babylon,Lake Placid,Seneca Falls,New Rochelle,Port Washington,West Seneca,Plattsburgh,Peekskill,Tonawanda,Ithaca,Crown Point,Bedford,Buffalo,Poughkeepsie,North Hempstead
Cohoes,0,7342.8,9476.4,3363.4,3680.8,2335.0,1310.7,735.6,9842.4,4116.1,5673.4,9909.1,4549.2,5665.5,8362.0,6204.4,5144.0,5819.8,9782.1,6863.3,9348.2,6831.1,3874.6,9866.1,7589.6,174.0,4526.5,3262.3,3116.4,9453.1,178.5,6260.2,7766.1,3793.5,7910.9,5626.2,3576.2,6691.4,5616.3,907.1,8946.0,1466.3,7944.2,7228.1,7051.8,472.1,3794.1,3227.2,7987.4,6337.9
Oswego,7342.8,0,5410.2,1276.9,9563.0,4870.2,8427.6,2917.6,742.9,5591.5,8049.2,3591.7,9224.7,6666.1,6139.2,8452.8,5993.4,5242.6,4194.1,5439.1,7714.5,6294.9,10.5,2464.4,8366.8,7140.7,2652.4,2708.8,8898.3,1599.7,8176.5,6104.2,6384.6,8349.2,102.0,5464.6,4819.0,9317.9,4640.0,9823.4,6298.1,6648.1,5032.4,9670.5,4087.3,9826.0,3282.3,6634.9,8118.0,2353.0
Ticonderoga,9476.4,5410.2,0,6698.1,2706.6,848.2,1422.4,5462.4,5936.0,2595.0,3341.4,2083.5,8059.9,1063.6,8832.5,2177.0,8028.3,4614.8,4464.7,9656.3,2985.9,7516.1,2832.6,8544.1,9752.8,6414.1,3907.9,4971.1,8710.0,8429.3,1737.4,1599.2,9797.5,8265.2,1262.8,6580.4,8296.6,1294.9,938.0,7477.3,9519.3,2378.2,2120.7,2936.5,5938.5,4992.0,6533.5,6904.1,3896.2,5311.7
Cheektowaga,3363.4,1276.9,6698.1,0,1843.6,5511.5,2568.8,1311.7,6870.7,2114.0,8419.7,9236.5,3292.8,3575.5,6645.9,9256.6,9589.1,2417.5,6246.8,4245.3,1107.9,9834.6,1427.0,9598.8,4554.3,1062.4,0.1,2708.9,3757.2,3362.8,5346.5,9574.3,8232.4,2599.8,7443.8,3195.0,4141.0,4481.5,6419.7,9183.1,8882.2,1818.3,8746.0,2735.9,501.9,8496.4,9643.1,7909.5,6590.0,6547.4
Saratoga Springs,3680.8,9563.0,2706.6,1843.6,0,6238.5,7164.8,6939.5,569.5,3691.5,9037.4,2258.1,4007.3,7567.4,1289.1,5218.6,9286.0,7655.0,1748.4,1545.3,3391.9,1325.6,2755.1,1387.3,7682.4,4682.2,7912.3,5984.1,6326.2,566.5,1339.2,3653.8,8502.7,9187.0,1000.0,5504.9,5235.8,9206.7,7640.8,522.7,472.6,9893.0,290.9,5042.6,7347.0,5225.5,9619.6,8700.4,6463.6,5665.8
Saranac Lake,2335.0,4870.2,848.2,5511.5,6238.5,0,5518.3,9823.5,2991.7,5542.6,5951.9,1857.1,8153.0,2990.2,2005.1,1640.2,8778.8,7469.2,7507.8,9824.6,6052.8,7837.1,687.4,9650.3,7757.7,1146.6,8529.9,8289.8,6713.3,4425.8,4185.3,9919.2,8626.9,7177.9,6139.7,2889.4,3074.7,4254.9,3243.8,5192.1,7141.2,6519.4,4484.6,9972.3,7702.6,7001.5,1096.2,6923.5,8800.5,2777.0
Sag Harbor,1310.7,8427.6,1422.4,2568.8,7164.8,5518.3,0,7638.3,2859.0,6439.6,9693.6,6916.0,3016.4,7996.6,2176.2,8754.3,8243.2,7468.5,3703.8,7152.0,7787.0,6024.1,4793.1,797.8,3580.4,6491.2,5095.8,9643.7,6848.6,7673.0,2077.8,6117.0,5722.6,7249.8,6594.4,248.2,7174.9,854.6,925.7,184.9,8582.0,469.0,8797.6,8260.7,1253.7,1741.1,8971.8,4412.3,6011.4,2392.7
White Plains,735.6,2917.6,5462.4,1311.7,6939.5,9823.5,7638.3,0,1692.8,7101.3,5201.4,6832.7,414.6,1850.4,8382.6,5083.6,7882.2,8833.0,6443.6,6075.3,9546.9,4339.6,9281.8,5613.5,6654.3,5108.6,2378.7,9075.6,9770.2,6649.3,1572.9,9243.3,2302.4,4129.8,7007.8,5624.8,8226.5,7230.8,5529.6,8072.5,8587.0,2436.2,4948.2,9643.2,8997.0,6138.2,93.2,5268.5,3978.3,184.5
Oyster Bay,9842.4,742.9,5936.0,6870.7,569.5,2991.7,2859.0,1692.8,0,6206.3,7599.6,7537.5,8521.0,5496.6,1036.7,7213.0,5720.4,4579.4,7976.8,7591.2,2225.5,3818.5,3850.3,1432.0,9765.4,5055.7,5673.6,561.7,6071.3,2786.1,5261.4,1346.4,1315.4,9343.5,1715.5,9362.2,5368.2,1118.4,1171.6,9375.7,155.0,3032.3,7555.9,1151.2,772.7,1553.3,3930.2,7239.0,4740.1,8852.0
Hempstead,4116.1,5591.5,2595.0,2114.0,3691.5,5542.6,6439.6,7101.3,6206.3,0,1766.0,2196.7,6424.9,8788.4,3077.1,8695.7,1469.3,4541.2,6253.8,5959.9,5728.9,6454.9,8272.5,9585.5,3240.1,1469.8,1389.5,3385.8,9690.0,8058.3,2780.8,8135.0,8375.2,3758.0,5889.2,9939.0,882.2,4562.9,8407.9,5880.3,8280.5,2867.3,9212.1,4944.7,6967.9,8394.5,1194.1,4512.9,7246.0,8749.7
