CSV,Massena,Port Washington,Queens,Auburn,Flushing,Hyde Park,Watkins Glen,Oneonta,Cortland,Poughkeepsie,Lackawanna,Oneida,Dunkirk,Ticonderoga,Stony Point,Oswego,Bedford,Gloversville,Herkimer,East Aurora,Yonkers,Hudson,Tarrytown,Garden City,Watervliet,Rensselaer,Binghamton,Babylon,Mamaroneck,Seneca Falls,White Plains,East Hampton,New York City,Woodstock,Elmira,Ogdensburg,Nyack,Peekskill,Eastchester,Huntington,Geneva,Johnstown,Rome,Albany,Glens Falls,Ithaca,Buffalo,Utica,Staten Island
Massena,0,5179.3,8731.4,871.2,1531.5,1171.1,8870.7,7946.0,8120.8,1084.8,2292.9,6907.6,3062.0,2710.5,4217.5,4026.7,713.4,9000.3,8565.3,1038.5,8490.6,7917.0,8104.0,185.1,6278.0,2117.6,6036.8,4634.3,2434.8,2024.8,5823.3,5121.2,6910.9,7862.6,9425.6,6193.2,4569.2,1006.5,6161.0,8122.3,1470.6,8127.0,3621.2,3092.3,6074.3,4154.6,8083.5,8412.2,9696.2
Port Washington,5179.3,0,3761.4,4480.6,6388.1,7194.1,757.4,3187.7,4245.6,3039.4,9646.0,6369.8,5627.0,790.3,8223.9,2106.2,109.5,3289.9,7417.0,4865.5,5907.2,3559.0,4940.8,1908.5,3897.0,4363.4,6700.0,4149.2,6118.5,8424.1,6391.6,7201.4,7102.7,1565.8,9547.0,7652.1,2145.9,6594.0,6966.6,5698.1,6468.5,8773.8,9782.3,457.6,3317.3,1683.9,8642.2,4001.2,4108.0
Queens,8731.4,3761.4,0,5287.1,34.5,4470.3,1808.2,7382.8,5414.2,5397.7,7434.9,3080.4,7221.3,6716.7,6927.2,9729.7,9368.2,1882.1,8822.2,226.9,2086.8,2605.0,3872.2,3606.9,2034.7,8.4,1110.0,9135.2,8136.2,2145.7,2678.6,8995.8,503.7,9637.2,8489.7,285.2,5588.7,7696.4,7604.4,6558.2,7218.0,4222.3,205.9,1849.9,7565.1,340.0,3656.2,7320.4,3236.2
Auburn,871.2,4480.6,5287.1,0,1883.3,1899.0,8760.4,8282.5,8837.2,1449.5,5769.8,8352.4,8352.5,992.9,5267.9,8794.2,1657.1,9888.5,6696.2,384.6,2234.7,2559.2,6747.2,6163.6,4543.7,1849.1,1121.4,6973.2,2649.6,1980.8,9798.7,1522.5,8050.3,9007.4,9170.7,9126.8,9069.5,794.5,5732.2,6117.2,6710.3,2553.2,7719.0,9405.2,9832.2,9299.6,9370.4,6522.7,7219.5
Flushing,1531.5,6388.1,34.5,1883.3,0,6148.4,70.7,7666.0,7733.5,1271.2,2536.0,9553.8,4064.9,8314.0,9215.6,3930.1,1469.9,7297.8,1086.1,9403.1,8271.6,9240.2,1444.9,7730.5,9989.7,6811.4,6571.0,9118.3,1281.0,76.9,4194.7,4394.4,947.8,6995.3,5792.8,8344.9,9722.1,2153.2,3805.3,2392.0,694.1,8917.4,9945.3,892.6,423.4,8433.6,7753.2,3835.7,532.0
Hyde Park,1171.1,7194.1,4470.3,1899.0,6148.4,0,4268.7,3232.9,2584.8,5051.2,5419.2,4559.2,2079.4,463.4,6083.6,1141.2,4709.9,7795.1,1395.6,6655.6,3159.6,3053.1,1971.8,2012.3,4636.0,3638.7,3040.4,5780.9,4038.8,8231.0,1836.9,7497.7,6015.7,1755.4,947.1,4461.8,4527.2,3340.8,9350.5,1578.9,1932.5,3054.3,4251.7,5739.6,4665.8,8012.2,3469.1,7808.5,5274.8
Watkins Glen,8870.7,757.4,1808.2,8760.4,70.7,4268.7,0,9378.7,3240.4,928.8,3552.1,8495.1,4712.5,2405.4,7320.5,2974.3,4970.5,6058.4,713.0,3881.2,4353.8,2722.5,3570.0,9883.7,5601.0,2945.7,8181.4,1467.0,1031.1,2403.0,3488.6,19.7,8873.2,6952.8,2113.0,3822.9,1756.9,7017.7,4121.4,7370.2,2891.5,5325.1,79.8,9762.3,4446.6,2013.7,217.3,444.6,4158.3
Oneonta,7946.0,3187.7,7382.8,8282.5,7666.0,3232.9,9378.7,0,6152.6,2656.2,1729.4,2520.3,4079.8,9720.0,7262.0,825.7,3890.1,2348.5,9885.6,2771.1,3278.1,3007.6,7898.5,9925.9,5750.1,7117.1,6978.0,9881.9,3644.1,4193.6,1256.0,4612.6,5331.1,6700.5,2520.4,5521.5,8198.2,1506.1,3036.3,4101.6,9587.4,6252.8,3166.0,1832.0,5409.7,9719.4,9923.5,3642.5,3237.2
Cortland,8120.8,4245.6,5414.2,8837.2,7733.5,2584.8,3240.4,6152.6,0,6938.9,7019.9,3120.8,3421.8,9106.9,2197.6,576.5,9470.7,1002.7,2469.2,6788.6,2680.1,2878.7,2248.8,6292.0,176.4,656.5,4237.0,1593.5,6568.9,5910.1,8005.1,5328.4,3834.9,9646.5,5993.4,2059.8,7871.8,2633.9,1581.1,3690.6,8647.5,717.5,5982.3,7288.6,1342.4,8708.4,5724.8,4809.4,8800.2
Poughkeepsie,1084.8,3039.4,5397.7,1449.5,1271.2,5051.2,928.8,2656.2,6938.9,0,2726.8,122.6,3277.6,7404.0,7476.0,1917.7,4952.5,5448.5,3638.2,716.2,4151.0,7734.4,9023.4,7768.2,5735.5,3879.4,1626.8,507.5,6243.4,9678.1,6275.7,7418.4,289.0,1417.9,4362.0,1856.2,7903.2,7323.9,8214.1,4746.3,3760.4,4142.6,8941.9,4053.0,1095.6,629.2,6580.2,3172.3,5356.4
