CSV,Poughkeepsie,Lockport,Glens Falls,Potsdam,Mamaroneck,Flushing,Ossining,Newburgh,Harlem,Jamestown,Seneca Falls,Ogdensburg,Rochester,Rotterdam,Oyster Bay,Massena,Binghamton,New Paltz,North Hempstead,White Plains,Coney Island,Bronx,Olean,Manhattan,Rensselaer,Troy,Johnstown,Staten Island,Brooklyn,Woodstock,Saranac Lake,Yonkers,Chautauqua,Stony Brook,Plattsburgh,Kingston,Forest Hills,Batavia,Queens,Mount Vernon,Levittown,Babylon,Tonawanda,Hyde Park,Clinton,East Hampton,New Windsor,Southampton,Middletown,Corning
Poughkeepsie,0,816.6,7331.7,5343.4,5302.9,9049.3,6879.8,5746.4,2173.9,1178.0,7509.6,9578.8,8375.3,8580.4,3968.0,4579.0,3631.3,4541.7,7045.9,2966.8,4840.3,9315.7,3490.4,274.6,4867.0,5281.0,5517.7,4358.8,7747.7,6745.3,1963.4,9706.7,5407.0,5731.4,9811.9,2133.8,46.2,7957.8,723.2,723.4,7791.9,9317.3,462.0,6530.1,7731.1,2057.8,5915.2,6186.4,6153.4,374.8
Lockport,816.6,0,8533.8,4511.0,3532.0,6188.5,8777.8,5046.8,495.5,14.6,8547.5,2810.8,6576.7,4087.8,8592.2,7511.2,929.5,8997.0,9103.3,8297.9,8276.6,2282.7,5525.9,9941.2,4352.7,5201.4,3769.6,622.6,7762.4,2333.0,4394.6,1950.5,707.0,3304.5,1287.5,3854.8,4232.8,6188.2,8224.2,2931.5,7894.5,6483.7,3427.7,1046.7,7643.5,1002.5,4073.8,1180.6,5673.2,1737.8
Glens Falls,7331.7,8533.8,0,569.4,6333.6,9625.9,8817.3,2931.7,2855.3,2826.6,6405.1,6209.5,7659.2,4578.7,6264.3,4406.9,3108.2,4933.5,1713.0,2903.0,3883.3,5223.7,1039.9,5017.3,1451.3,5494.7,5797.1,1049.6,9995.0,2656.5,3108.9,7642.4,2533.5,3635.2,2252.4,2409.2,9452.1,816.3,3912.0,2014.3,7422.0,1513.2,9125.2,3468.3,7601.3,9842.1,223.8,6392.2,677.9,2412.9
Potsdam,5343.4,4511.0,569.4,0,9192.8,2114.6,4863.7,9065.8,1366.9,3026.0,7429.4,380.2,4838.5,3620.2,458.6,1092.3,2393.5,8397.2,3002.3,9164.6,7878.5,8239.1,4618.5,7322.1,3029.5,2331.5,394.3,1390.2,7746.8,8710.2,6732.9,5598.7,3821.5,7300.4,3382.2,3136.4,9153.6,9242.6,6107.9,2758.0,8005.1,7154.0,2205.5,1330.3,4750.3,6571.2,6158.2,5399.3,5594.3,4392.6
Mamaroneck,5302.9,3532.0,6333.6,9192.8,0,6189.9,8340.8,1026.0,17.7,5296.9,3638.5,7332.5,3716.2,5576.6,9942.4,6214.1,6520.6,8449.7,5398.4,1890.7,7185.5,1418.9,9340.7,9733.7,5628.5,6468.9,2555.8,9591.0,1853.3,3776.0,8419.4,4343.4,7557.1,5601.6,8925.2,2454.1,8617.0,932.5,181.2,7004.6,8420.1,1400.5,1650.9,8563.7,1594.9,205.4,2311.9,2743.5,9486.6,2171.0
Flushing,9049.3,6188.5,9625.9,2114.6,6189.9,0,6411.8,4433.0,7678.3,5393.7,7672.2,71.6,8365.0,7245.9,8724.5,4775.2,2476.4,1756.1,4485.3,6778.9,1922.6,5627.0,138.5,7516.8,9085.4,389.5,7242.8,520.0,3893.8,7153.7,2710.4,4770.9,7485.8,2988.3,2806.2,917.6,2288.0,712.9,8624.5,4073.7,9760.1,7316.5,6995.3,3514.4,3933.4,806.3,3826.9,8305.1,6855.3,1062.3
Ossining,6879.8,8777.8,8817.3,4863.7,8340.8,6411.8,0,964.3,1789.1,6203.3,528.3,3533.5,4201.2,2844.6,3176.0,5743.2,342.0,9705.5,2196.8,9181.2,9116.5,8765.9,5239.1,6402.2,3079.2,9778.3,8380.4,7804.0,9140.5,9994.9,5668.2,178.1,5483.5,2412.5,4756.5,7883.2,4247.4,19.3,8420.8,3925.2,5624.7,8564.7,7619.3,7795.6,8971.3,2721.2,383.9,513.0,8719.7,1351.6
Newburgh,5746.4,5046.8,2931.7,9065.8,1026.0,4433.0,964.3,0,2351.1,9174.6,7800.3,7813.7,2917.7,9096.8,2255.3,6116.7,211.8,3857.0,5100.8,6983.9,1919.1,8152.4,5925.9,6581.2,2099.3,4597.8,6784.8,4162.9,4508.6,9566.2,7310.7,6070.3,1967.3,5107.4,6747.2,993.2,4360.6,8217.4,1520.9,7007.3,3517.1,3766.0,5715.0,91.8,4122.6,4059.8,3570.4,832.3,2890.6,2646.8
Harlem,2173.9,495.5,2855.3,1366.9,17.7,7678.3,1789.1,2351.1,0,7767.2,4698.8,1175.4,9179.7,6019.1,2773.2,7274.8,7947.5,2691.6,4663.8,676.9,5204.5,2783.6,858.5,7479.5,7763.8,9369.6,1974.1,1987.5,8184.4,4641.7,1485.1,219.0,823.6,7348.7,3287.6,5052.6,6633.4,8190.1,6335.9,2470.3,5496.2,767.9,9087.8,1502.9,343.7,8517.8,6758.5,1163.1,9860.3,1379.0
Jamestown,1178.0,14.6,2826.6,3026.0,5296.9,5393.7,6203.3,9174.6,7767.2,0,1407.0,2423.8,1435.6,5874.8,5782.6,2428.7,9877.1,5788.8,5620.5,5547.6,9915.3,2643.3,2772.9,3523.5,6207.5,1078.2,1807.2,5968.5,8532.0,9095.7,774.3,7567.5,8691.4,1763.9,546.7,747.0,3396.2,6172.1,6583.2,4581.2,2740.0,4408.5,7412.7,3936.4,8849.5,1579.8,1052.7,4396.5,2909.3,6582.1
Seneca Falls,7509.6,8547.5,6405.1,7429.4,3638.5,7672.2,528.3,7800.3,4698.8,1407.0,0,7838.5,7678.0,7138.6,2357.0,8681.0,7612.6,9759.9,9089.2,6827.3,9945.3,9999.1,8170.7,7690.0,3044.7,8496.4,4350.8,4404.5,2445.9,5206.3,9132.2,5357.2,8254.1,8491.6,2934.3,6451.0,7631.7,7854.3,4163.3,1935.9,5696.4,3816.3,8012.5,9275.5,3237.7,7186.0,4291.3,8386.4,4591.7,7289.3
