CSV,Mount Vernon,Herkimer,Ithaca,Hyde Park,Saranac Lake,East Hampton,Ossining,Utica,New Paltz,Saratoga Springs,Oyster Bay,Great Neck,Johnstown,Hudson,Nyack,Lake Placid,Watertown,Tonawanda,Chautauqua,Harlem,Clinton,Manhattan,Oneonta,Mamaroneck,Ogdensburg,Beacon,Rotterdam,Mineola,Plattsburgh,White Plains,Yonkers,Southampton,Dunkirk,Massena,Lockport,Glens Falls,Queens,Scarsdale,Babylon,East Aurora,Oneida,Niagara Falls,Rome,Cohoes,Elmira,Bedford,Rensselaer,West Seneca,Geneva
Mount Vernon,0,9855.2,9024.1,8435.4,3323.9,5285.4,2348.0,3398.0,5267.9,4660.2,1751.2,4900.7,1118.3,8339.8,1285.0,2311.8,6986.5,333.8,5216.5,3995.1,13.3,2648.8,1021.5,3938.3,1775.7,6883.6,1362.8,408.1,2408.1,1963.5,8058.8,2411.4,5034.0,3045.3,4728.0,4009.7,6311.4,4449.7,7980.4,7854.5,1248.1,8507.8,684.0,2429.0,8646.5,5971.8,4352.1,3174.3,7839.5
Herkimer,9855.2,0,2406.1,1939.9,8366.1,3832.8,4783.8,798.4,8820.9,1421.2,743.2,6404.5,6792.5,4685.9,480.1,8393.4,9032.4,9541.6,3406.9,3786.3,9030.8,8671.5,6187.5,4450.1,7544.4,4129.1,8538.0,7731.1,8589.3,782.1,7602.5,7096.1,9114.0,2677.3,5247.4,33.7,7136.2,8529.2,6673.9,6186.0,6496.5,5838.4,9206.2,2366.9,696.7,7633.5,8295.7,221.5,7735.1
Ithaca,9024.1,2406.1,0,875.2,9173.7,1279.2,6355.5,5133.6,7327.6,5900.2,3638.7,6820.8,37.2,9468.1,9572.5,5300.3,3543.1,6608.3,138.1,1956.5,2230.5,2299.2,9301.8,2381.1,1085.8,9036.5,5223.5,3211.7,4032.2,6812.2,8430.3,298.7,81.6,3446.6,1524.1,3250.8,3672.4,6942.2,6597.3,829.6,3949.9,8875.6,6867.9,2172.3,7216.1,7541.1,502.3,3696.6,2438.2
Hyde Park,8435.4,1939.9,875.2,0,1400.9,8701.1,3292.1,5227.0,2087.0,2110.9,7390.2,4672.6,9017.4,5485.4,4509.1,2641.6,6823.3,3541.5,1745.1,4578.1,2794.4,8354.8,8989.0,7227.4,9472.7,1633.3,8004.8,4980.4,8149.4,9059.2,6271.3,2223.6,2114.8,2595.5,6426.9,9986.1,3315.0,9921.7,8301.1,4776.9,9985.3,1707.2,2069.9,6942.6,304.6,242.4,3063.0,8402.3,5487.1
Saranac Lake,3323.9,8366.1,9173.7,1400.9,0,121.2,7324.0,2705.9,2211.4,1056.5,5899.1,4157.4,6637.6,575.2,5003.0,2936.4,3162.7,786.7,9270.4,3574.2,4751.6,8225.6,7711.1,7289.0,126.1,9106.8,5911.7,8607.2,7689.5,7691.8,8988.1,2018.6,295.4,3460.1,7950.2,1450.4,1375.9,7338.7,5554.8,6596.4,6585.4,7686.2,5627.0,2860.3,2835.1,8519.4,2693.4,1853.0,896.2
East Hampton,5285.4,3832.8,1279.2,8701.1,121.2,0,5941.3,7097.4,1244.2,9031.6,6919.4,3849.8,2577.2,8422.8,812.6,282.0,680.9,5932.1,7146.4,6143.2,5521.3,1777.5,6124.6,4081.4,1829.0,4391.9,4096.3,7829.8,4542.3,7212.0,3468.4,1349.6,2663.7,7807.8,6854.0,946.7,1424.7,8414.5,556.5,3079.2,7337.7,6303.4,4995.0,750.0,9145.6,880.6,6356.7,7033.4,1661.3
Ossining,2348.0,4783.8,6355.5,3292.1,7324.0,5941.3,0,3415.7,5978.4,8555.2,9078.0,860.8,7026.6,9184.1,7830.3,1208.5,1684.8,3935.4,938.8,4983.5,6497.3,4055.4,4653.4,6771.9,4544.5,5020.5,9820.1,6987.1,3126.9,8864.8,8576.9,2703.5,1709.7,7758.4,8597.4,7095.0,9762.4,9599.6,26.9,4827.2,8096.3,703.4,7941.7,8869.0,6438.2,2406.8,455.1,5839.3,3626.8
Utica,3398.0,798.4,5133.6,5227.0,2705.9,7097.4,3415.7,0,7394.6,4312.2,6712.8,9593.4,1879.3,4412.4,9199.8,1161.4,9417.7,8998.7,7605.4,3425.9,6336.5,5931.5,3221.6,7282.9,8036.9,8284.3,826.3,712.3,8864.9,6644.4,661.3,2457.0,3887.9,2036.4,786.5,7180.8,8893.7,8719.8,8989.8,8824.6,8195.4,9662.6,5460.5,2154.5,1807.7,5909.1,5711.0,1215.4,9259.9
New Paltz,5267.9,8820.9,7327.6,2087.0,2211.4,1244.2,5978.4,7394.6,0,3060.1,6520.6,3493.8,5544.6,3503.2,3571.0,8575.6,2822.1,4115.1,4658.4,1150.1,3281.8,5644.7,8802.7,9461.9,9219.4,759.6,3674.0,4039.8,1270.4,6757.2,7629.3,3682.9,8344.2,2706.2,4320.6,6280.1,5030.7,4298.8,2993.0,5654.9,6550.0,7515.6,9542.3,3905.0,6578.3,75.5,3949.5,173.8,2450.4
Saratoga Springs,4660.2,1421.2,5900.2,2110.9,1056.5,9031.6,8555.2,4312.2,3060.1,0,767.3,4351.7,5260.5,3899.7,3515.3,4163.6,7375.7,6010.1,7711.3,8626.8,7110.4,8147.6,665.7,680.1,6872.0,8223.8,8007.8,6794.3,5048.0,2928.5,1936.8,4750.5,6392.9,8467.1,9975.5,8135.9,5840.1,7464.4,5213.3,7142.6,5706.5,9681.0,5679.9,7150.8,6695.8,9196.8,6089.5,6876.2,7815.5
Oyster Bay,1751.2,743.2,3638.7,7390.2,5899.1,6919.4,9078.0,6712.8,6520.6,767.3,0,365.3,9174.0,2356.2,164.6,6508.8,3958.6,1211.8,6205.6,1180.2,6968.2,4739.9,8970.6,2088.4,5631.2,8745.7,2428.3,8949.9,6633.9,9047.0,1572.9,6969.0,6586.7,2282.9,4992.7,1060.7,6891.7,6073.3,2999.7,9526.4,9293.3,7640.4,3604.0,8747.0,5182.5,6621.4,3535.6,9206.0,9508.3
Great Neck,4900.7,6404.5,6820.8,4672.6,4157.4,3849.8,860.8,9593.4,3493.8,4351.7,365.3,0,4604.6,5605.7,6565.3,5936.1,6725.5,3240.2,9497.4,5364.8,2784.6,3714.2,4338.7,1019.3,8320.8,8503.9,3832.6,8733.0,5731.3,5565.4,388.9,7229.2,9483.1,7056.1,8316.0,4718.8,2262.9,5112.8,2517.8,7359.9,9362.0,4644.9,584.9,9171.6,6444.6,3194.3,5279.6,1822.9,1001.8
Johnstown,1118.3,6792.5,37.2,9017.4,6637.6,2577.2,7026.6,1879.3,5544.6,5260.5,9174.0,4604.6,0,8055.7,7761.9,2268.2,1260.7,4505.8,1390.9,8689.7,6550.5,4144.7,9333.7,7537.6,6896.0,1843.8,1319.4,8369.4,1806.3,8934.6,5908.9,2910.4,9255.1,8632.9,5664.5,7368.6,8981.0,3313.6,2546.1,4973.4,5241.2,3509.9,6381.4,384.9,4099.7,173.6,5545.4,2967.0,438.9
Hudson,8339.8,4685.9,9468.1,5485.4,575.2,8422.8,9184.1,4412.4,3503.2,3899.7,2356.2,5605.7,8055.7,0,5171.7,7692.0,6453.8,7684.4,4366.6,2510.2,303.3,638.9,2301.0,6768.4,5234.3,9909.7,9411.3,1018.4,5980.9,284.7,6104.9,4253.1,4437.4,8678.2,3973.7,2802.7,9827.0,3601.8,6464.0,7263.2,5903.9,9338.7,6150.5,5562.2,7153.2,597.7,8091.3,1601.4,7739.8
Nyack,1285.0,480.1,9572.5,4509.1,5003.0,812.6,7830.3,9199.8,3571.0,3515.3,164.6,6565.3,7761.9,5171.7,0,5056.7,2196.7,8985.0,2468.5,124.2,7675.8,4497.4,8254.3,791.1,6835.1,1668.1,7787.1,8529.3,117.6,427.7,9511.6,8563.2,9801.0,8739.8,9761.0,4671.6,8761.1,4194.1,9751.5,8205.8,8831.8,3505.4,6002.8,9148.5,4679.2,6651.6,3357.4,5424.0,5461.5
Lake Placid,2311.8,8393.4,5300.3,2641.6,2936.4,282.0,1208.5,1161.4,8575.6,4163.6,6508.8,5936.1,2268.2,7692.0,5056.7,0,6374.5,7849.4,5115.6,4545.3,8188.5,8875.0,6430.1,104.2,555.1,6084.2,1167.1,5236.0,4810.7,4564.4,6589.2,5094.2,568.0,5697.7,2743.0,8606.5,7463.8,9950.5,3617.2,8798.6,4126.9,7031.6,7144.1,1733.4,696.9,2625.9,2506.5,3598.3,8799.0
Watertown,6986.5,9032.4,3543.1,6823.3,3162.7,680.9,1684.8,9417.7,2822.1,7375.7,3958.6,6725.5,1260.7,6453.8,2196.7,6374.5,0,2971.6,5783.4,7931.6,3405.5,1690.2,3780.9,2154.9,2544.7,247.0,8785.4,8701.4,3169.4,340.6,4274.9,2280.2,461.0,3951.5,406.6,8451.7,6396.2,8615.8,5759.3,5100.4,5378.7,193.3,9582.8,3564.7,6544.7,4222.7,5479.4,2311.2,4483.8
