CSV,Mamaroneck,Saratoga Springs,Herkimer,Glens Falls,Olean,Hempstead,Poughkeepsie,Elmira,New Windsor,Rotterdam,Crown Point,Cooperstown,Babylon,Rochester,Clinton,Bedford,Mineola,Woodstock,Tarrytown,Watertown,Newburgh,Buffalo,Tonawanda,Potsdam,Staten Island,New Paltz,Queens,Yonkers,Corning,Ithaca,Cohoes,Watervliet,Peekskill,Lackawanna,Johnstown,Garden City,Lockport,Rye,Chautauqua,Oneida,Middletown,Hudson,Troy,Port Washington,Ticonderoga,Stony Brook,Watkins Glen,Gloversville,Forest Hills
Mamaroneck,0,2045.6,6906.3,8760.4,333.8,3688.7,8338.7,1885.2,3196.5,3108.1,378.2,657.1,7648.9,5735.8,259.3,1671.0,4212.2,1479.9,2234.8,9188.0,7675.3,7570.5,8447.6,1623.5,6827.6,9500.0,7656.2,8180.1,8962.5,7003.0,951.4,4457.8,6188.0,3467.7,9163.3,9189.6,9588.1,181.7,4689.5,6726.7,8140.2,7685.5,8089.2,3726.3,4069.7,2365.4,897.3,6459.8,2412.6
Saratoga Springs,2045.6,0,4279.9,7147.9,4343.1,1021.0,6509.0,8351.6,8372.5,6859.7,4389.6,1784.4,3738.9,5090.7,2327.0,8545.4,8423.2,2838.6,1951.3,3627.5,1093.5,7039.6,4519.0,9568.7,8909.9,1236.4,6482.4,6737.4,2460.6,2012.7,7880.3,8505.5,6676.4,77.9,3845.7,7987.9,8161.5,611.9,8608.3,5038.4,8169.3,865.1,6246.4,1258.7,2139.8,7790.1,3612.5,2656.2,198.5
Herkimer,6906.3,4279.9,0,230.1,1764.9,8020.2,3828.4,9394.1,6798.0,4295.0,6831.5,4414.2,9345.5,9623.1,2298.9,4863.1,2318.2,8664.6,9496.3,762.7,9603.6,4624.3,9437.1,2731.2,4056.9,899.9,5306.1,3423.0,7108.2,9640.9,3571.2,2648.5,9438.0,1528.1,5860.3,4563.7,284.2,5645.7,1055.2,4602.4,3402.6,4864.7,1011.6,4965.1,438.0,9666.0,6421.2,1322.9,1535.8
Glens Falls,8760.4,7147.9,230.1,0,3752.9,2951.8,3663.2,9724.3,2545.3,5972.2,7722.7,8826.1,2386.6,2378.2,3786.1,5388.1,9747.5,5400.2,5227.0,1822.4,3700.8,100.7,588.2,7687.4,2543.8,5555.6,8698.2,6832.4,8298.9,6216.7,2157.4,9863.7,7787.1,6100.4,6466.6,4802.7,7810.3,9155.1,2914.2,5896.8,6431.6,3415.2,5104.7,7321.8,4556.7,2113.8,3232.9,8434.7,6873.1
Olean,333.8,4343.1,1764.9,3752.9,0,6160.2,3810.2,4189.9,9086.1,8928.3,4341.1,1286.9,5815.0,3937.6,2485.3,405.4,5509.6,8315.6,5392.8,3168.6,2151.8,1392.5,1349.4,506.2,3358.9,2568.3,2722.5,4246.8,6590.8,3996.6,6231.2,6691.5,3044.1,5785.7,8219.0,4381.8,2711.2,7680.1,6110.0,3497.4,2669.1,4846.2,1564.3,6309.6,1204.3,3319.3,7333.7,7668.9,826.4
Hempstead,3688.7,1021.0,8020.2,2951.8,6160.2,0,2096.2,2047.6,3260.9,3805.0,6696.0,3996.1,9975.5,4184.8,4508.8,3452.6,4678.9,1613.7,7696.2,637.2,8232.6,6809.3,1531.2,1571.4,4694.0,9864.0,6195.8,6883.4,315.2,9769.9,6796.5,8167.0,9252.3,2017.0,2859.4,5720.1,7530.4,8831.7,10000.0,6308.5,9593.0,8686.5,6964.5,4256.7,1700.1,333.4,6782.5,11.9,4026.8
Poughkeepsie,8338.7,6509.0,3828.4,3663.2,3810.2,2096.2,0,9888.5,9711.5,4438.2,2771.6,8706.8,9478.7,9206.7,3741.4,3804.2,236.8,1565.2,8645.6,340.8,8445.8,50.7,2031.6,7190.9,7998.7,2279.0,183.1,6927.9,8338.8,303.2,626.1,173.9,7380.6,8307.2,2148.2,8598.3,2445.6,7602.3,146.7,4543.1,3200.0,4888.5,1627.1,4871.6,2546.5,3859.2,9990.3,6710.9,9672.0
Elmira,1885.2,8351.6,9394.1,9724.3,4189.9,2047.6,9888.5,0,6457.0,5571.1,8498.7,8740.7,3057.5,6844.8,1198.6,5892.3,7254.6,6504.7,1363.3,1776.9,7397.3,89.8,6672.0,5897.2,3646.0,5365.2,9530.6,1900.0,889.6,6229.3,7218.4,1685.0,3530.6,1854.9,8104.4,8384.4,1638.4,3801.8,8242.0,4809.5,4623.0,1174.4,5034.5,2746.3,748.8,4517.2,5653.2,1011.8,7061.0
New Windsor,3196.5,8372.5,6798.0,2545.3,9086.1,3260.9,9711.5,6457.0,0,5705.7,3560.4,3177.6,4318.0,7252.1,6323.0,4424.7,3340.3,1885.3,1055.1,1488.6,8999.9,9809.7,7644.2,8904.9,1262.8,7223.4,3713.1,7944.2,7500.2,6419.9,314.4,1219.2,2850.9,5307.4,5717.6,8504.2,2544.8,6877.3,1993.1,3635.5,3012.2,7384.9,9434.6,3246.8,9555.9,8746.8,3230.8,9505.4,6498.8
Rotterdam,3108.1,6859.7,4295.0,5972.2,8928.3,3805.0,4438.2,5571.1,5705.7,0,7894.5,5026.6,4160.0,249.0,9164.3,4717.7,5691.3,539.2,13.1,5436.2,1395.7,7008.4,751.7,3586.0,5639.3,8821.3,1076.4,321.4,2199.7,8172.8,9902.8,4613.2,5494.4,4952.4,13.7,1557.1,2464.2,8986.7,1829.9,4607.9,4570.4,7158.7,8607.3,8989.6,1134.0,9890.0,4694.7,4665.8,7849.0
