CSV,Southampton,Batavia,Massena,Stony Point,Bedford,Dunkirk,Nyack,Garden City,Cheektowaga,Fredonia,New Windsor,Kingston,Mamaroneck,East Hampton,Lake Placid,Seneca Falls,Queens,Cortland,Rye,Plattsburgh,Eastchester,Flushing,Cohoes,Tarrytown,Middletown,Huntington,Olean,Watertown,Hempstead,Oneida,Hudson,Rensselaer,Ossining,Saranac Lake,Bronx,Great Neck,Sag Harbor,Staten Island,Syracuse,Hyde Park,Albany,Harlem,Rochester,Palmyra,Tonawanda,Lackawanna,Buffalo,Poughkeepsie,Oneonta,New York City
Southampton,0,2436.6,5077.9,4476.5,4882.3,7746.6,2582.7,6279.7,7235.4,1966.9,3198.8,1188.7,6965.1,5820.2,2353.7,7039.1,2304.9,9390.3,6478.1,1724.4,5874.1,7518.9,7797.1,6595.1,170.0,4549.6,7475.5,9607.6,6812.0,9626.2,9429.2,2176.7,6147.9,6996.0,4240.2,6180.7,6776.1,9790.6,6237.0,393.8,776.5,3604.3,9783.7,8120.4,8802.6,2123.7,7785.7,6406.6,9098.5,6413.5
Batavia,2436.6,0,9531.7,4560.9,2860.0,5547.4,7064.2,5422.7,2520.0,9947.7,2660.1,5494.2,6315.0,427.5,4396.8,3318.8,33.3,3210.0,7671.2,5214.8,8432.6,6145.6,1636.3,621.4,2335.7,3472.4,8703.0,2042.0,2865.9,9142.5,3534.8,5387.8,9127.4,594.5,7250.2,112.6,9875.3,3393.8,2325.8,6846.9,9895.9,1167.2,9654.6,225.4,3535.5,8288.6,2285.0,325.3,1728.1,820.8
Massena,5077.9,9531.7,0,9237.1,2658.4,8994.1,844.0,3871.7,7495.5,6327.5,9211.1,8822.0,3026.0,516.9,4036.6,8018.8,2122.6,1472.4,4864.0,8215.3,9116.0,6688.5,1966.1,7290.2,9251.9,3625.7,282.6,8559.9,9094.9,9868.2,4042.8,5285.7,5247.2,1205.2,1856.7,823.0,6097.2,8610.6,2780.9,4695.0,131.7,4015.8,2308.3,6535.6,9249.3,8912.8,5585.9,9062.1,6221.2,2304.1
Stony Point,4476.5,4560.9,9237.1,0,3126.8,8264.3,4691.8,752.5,3781.4,1299.6,6044.9,3749.6,2432.9,2972.1,2557.1,1598.5,5883.9,6302.0,4791.0,9223.7,9442.7,8509.6,2401.5,9890.7,1575.4,7042.1,7733.4,9155.1,2007.3,1920.6,9117.6,8249.9,7487.6,2719.3,6169.0,77.1,2293.0,408.8,5979.6,4625.8,2367.7,6629.7,2113.7,9029.3,667.2,5225.6,1663.7,5545.0,7556.1,6257.7
Bedford,4882.3,2860.0,2658.4,3126.8,0,6500.5,6527.9,9608.7,9717.1,5402.5,3761.5,9891.8,619.8,1503.4,2484.2,8304.5,2776.4,2756.1,6529.6,7743.9,828.4,6135.2,1524.1,8286.4,3291.4,894.6,4689.5,4817.7,2811.6,7217.4,9200.5,9932.6,7779.5,322.5,1110.4,5465.8,6243.4,55.1,4524.2,7670.9,2713.2,7188.5,4788.0,5463.1,8273.6,4898.6,7010.2,59.3,9204.6,1263.4
Dunkirk,7746.6,5547.4,8994.1,8264.3,6500.5,0,6026.4,5093.4,3666.9,3159.9,8307.1,4547.1,2534.1,583.5,1543.7,6235.0,744.4,4440.2,2268.8,4833.3,3506.5,9043.4,1702.4,5598.1,7904.2,8007.4,4777.3,4407.9,1739.9,1363.3,5031.5,8350.4,7530.2,7511.0,1688.9,310.3,441.4,9500.2,363.6,2384.6,8347.1,1703.6,7089.6,1544.5,4802.7,6573.7,7395.0,9778.0,1529.9,3695.5
Nyack,2582.7,7064.2,844.0,4691.8,6527.9,6026.4,0,6904.7,667.1,3199.9,1258.2,4350.5,7892.5,8700.8,6749.2,9404.0,4967.6,7884.0,3655.7,2329.0,3485.9,5047.9,862.3,1346.6,3030.3,4889.3,6783.2,1422.4,7318.6,3506.6,8317.3,2384.8,5152.3,5990.5,2288.5,73.7,7176.6,2121.9,2734.1,8145.6,9487.8,900.7,4119.5,1990.9,5161.9,7531.9,9217.6,5774.4,7499.3,1394.6
Garden City,6279.7,5422.7,3871.7,752.5,9608.7,5093.4,6904.7,0,9639.5,7603.0,2219.5,801.9,5567.7,8721.7,4938.1,3716.7,4664.6,1267.4,9727.6,171.5,9436.4,3447.1,416.1,5286.4,468.8,8777.5,723.3,1503.0,4851.3,7733.5,8954.0,5069.0,1347.9,2539.3,5732.6,2146.6,7876.0,6105.6,2867.2,5270.2,78.0,3598.3,5877.2,3571.9,3496.3,2566.1,9755.5,9217.3,688.8,2110.3
Cheektowaga,7235.4,2520.0,7495.5,3781.4,9717.1,3666.9,667.1,9639.5,0,3287.0,4741.8,6749.7,6097.5,5706.4,2684.9,8517.4,6899.6,91.5,2593.5,3857.6,7157.2,2322.1,9518.4,5290.7,1171.8,2131.9,6556.1,5427.9,917.7,8919.9,7918.8,1798.7,5249.0,2939.8,1282.1,275.3,6794.0,6119.1,2616.7,5289.8,1216.7,7362.2,1851.5,611.5,8472.4,3893.7,7957.5,7265.9,8983.0,1671.0
Fredonia,1966.9,9947.7,6327.5,1299.6,5402.5,3159.9,3199.9,7603.0,3287.0,0,5137.3,3120.7,1042.2,5699.8,7348.0,2024.9,4566.6,9008.6,7780.8,973.9,9753.6,9369.8,761.7,3506.7,3426.5,6854.6,2183.4,5111.3,5574.7,3692.9,2507.1,9871.0,9802.9,914.2,1202.7,2075.9,2589.3,8740.2,3179.5,4719.1,9799.7,1705.5,1323.3,3457.7,4346.3,3789.0,1558.7,9089.8,9878.0,2975.5
New Windsor,3198.8,2660.1,9211.1,6044.9,3761.5,8307.1,1258.2,2219.5,4741.8,5137.3,0,5152.8,8316.2,2388.1,1050.4,8186.6,5201.4,8520.1,7608.5,3740.0,4863.9,1229.7,7243.9,9773.6,3950.2,2636.2,7929.8,2248.4,1498.1,6611.1,5048.1,5424.8,97.0,1504.6,6373.8,5918.3,3921.7,1155.2,7349.8,7440.8,1593.7,3852.2,8633.2,5191.3,1146.8,6663.0,7795.0,7252.0,1430.0,9642.4
Kingston,1188.7,5494.2,8822.0,3749.6,9891.8,4547.1,4350.5,801.9,6749.7,3120.7,5152.8,0,6658.2,7184.0,5686.7,6299.7,7685.7,5818.8,3163.6,5584.3,1183.8,3236.5,5080.2,4282.0,6445.5,8390.8,7015.0,1133.3,7775.1,3368.8,684.1,7816.7,8396.4,8014.3,9965.1,9362.5,5952.8,2731.5,1321.8,286.3,5897.9,4670.0,4605.6,5080.8,8462.4,2142.2,5965.8,6963.2,8579.8,1296.1
Mamaroneck,6965.1,6315.0,3026.0,2432.9,619.8,2534.1,7892.5,5567.7,6097.5,1042.2,8316.2,6658.2,0,2891.8,2223.1,2322.4,6458.7,7312.9,5686.3,8259.0,6442.4,8831.5,6378.1,4135.9,8249.6,8481.2,9052.2,9350.0,4414.2,3093.1,6971.2,1624.0,8733.1,1951.5,9708.8,1496.3,1956.4,8902.2,7127.5,7129.6,7996.8,7344.5,3427.2,4999.6,7866.3,657.8,841.3,2517.9,7226.6,9954.4
East Hampton,5820.2,427.5,516.9,2972.1,1503.4,583.5,8700.8,8721.7,5706.4,5699.8,2388.1,7184.0,2891.8,0,3423.0,6879.5,7816.1,3260.9,2210.9,1933.4,2472.1,2398.4,5482.9,7194.6,617.7,5555.5,2514.6,1512.2,2331.7,6530.9,5746.5,5696.9,3496.9,5196.6,173.3,4343.0,9035.6,566.6,3100.4,523.2,8953.1,7145.9,2212.8,3058.4,9519.1,9672.7,17.8,9398.9,1354.7,6389.4
Lake Placid,2353.7,4396.8,4036.6,2557.1,2484.2,1543.7,6749.2,4938.1,2684.9,7348.0,1050.4,5686.7,2223.1,3423.0,0,7027.7,736.7,1054.8,7206.0,8412.3,2769.5,6144.9,708.8,899.8,419.2,4123.8,6806.1,1201.1,9290.7,8746.1,9714.3,6116.4,1661.1,6203.5,123.9,334.0,2811.5,9611.8,1855.3,9104.4,8756.1,3654.5,1936.7,5666.0,3707.6,5742.3,1486.7,1809.5,3646.5,1174.4
Seneca Falls,7039.1,3318.8,8018.8,1598.5,8304.5,6235.0,9404.0,3716.7,8517.4,2024.9,8186.6,6299.7,2322.4,6879.5,7027.7,0,5293.9,4499.0,8068.9,7962.1,2716.0,2226.4,9021.7,3196.5,2588.2,188.8,7665.6,7944.3,1134.5,3761.6,5569.3,7129.2,8498.7,7380.0,4215.7,6337.5,7153.0,6002.9,741.5,671.2,5446.7,9311.7,668.2,7288.8,2970.4,4208.5,3137.2,7289.6,1164.0,774.0
