CSV,North Hempstead,Syracuse,Coney Island,Yonkers,Newburgh,Mineola,Huntington,Southampton,Crown Point,Watkins Glen,Hempstead,Staten Island,Ossining,Watervliet,Peekskill,Dunkirk,Scarsdale,Flushing,Tonawanda,Sag Harbor,Port Washington,East Hampton,Oneida,New Rochelle,Oneonta,Seneca Falls,Oyster Bay,Buffalo,Hyde Park,Troy,Utica,Batavia,Corning,Amsterdam,Beacon,New York City,Mamaroneck,Hammondsport,New Windsor,West Seneca,Bronx,Cohoes,Garden City,Cheektowaga,Olean,Saranac Lake,Lake Placid,Plattsburgh,Great Neck,Rensselaer
North Hempstead,0,9664.5,8652.3,2284.5,1978.4,230.8,2064.2,4954.8,5306.7,6596.1,2598.6,4663.4,8108.8,5538.5,7774.7,3058.6,9991.0,6932.2,7607.8,8642.3,307.8,1150.5,7520.4,4917.6,98.1,1418.1,6409.1,3988.2,4276.8,9478.6,5287.7,8865.7,2541.0,5070.8,9381.2,2693.9,3065.5,7052.5,5110.4,8564.2,7494.4,1354.0,1980.4,4712.1,6381.1,4508.5,4289.5,3139.1,5820.5,9081.7
Syracuse,9664.5,0,245.3,4628.4,1920.9,7119.2,4121.6,8525.1,7045.8,7470.6,2582.7,7541.4,758.9,6252.3,6950.1,1581.8,3443.2,6497.8,3966.8,1222.4,2019.6,8483.1,6731.6,1780.7,8320.6,220.0,840.0,969.4,1745.3,4586.4,7689.3,7832.5,7247.8,8963.6,5208.1,2220.9,9319.7,9077.0,7031.6,9868.2,6196.7,8072.1,7921.8,3582.8,9620.7,7445.6,8508.1,8529.7,9356.3,1738.9
Coney Island,8652.3,245.3,0,5201.8,2075.9,7697.9,5616.6,6601.4,3136.5,2355.8,4426.1,2978.9,8207.7,1803.4,3309.1,4168.5,8851.1,7283.1,5760.1,3611.4,7315.1,3548.1,848.0,9634.9,9115.7,798.5,4594.0,3970.8,9293.5,9363.7,2846.3,670.2,7007.8,6725.9,6044.4,9453.7,7021.5,7311.8,6238.7,9540.0,2238.4,3184.8,4203.3,6310.3,9877.9,3709.8,3971.5,2268.1,9436.0,5599.5
Yonkers,2284.5,4628.4,5201.8,0,8247.7,3329.4,6405.0,9258.4,7013.2,7572.3,295.7,4065.0,7644.7,3995.0,3887.5,8351.3,3754.6,7090.8,8096.1,9981.8,8850.9,9132.6,523.2,4303.0,2344.3,2384.9,8133.7,2387.3,9166.0,7895.3,5786.7,2857.5,7544.9,9939.0,2177.1,2667.5,3471.9,7034.7,2684.6,3344.8,5209.1,1906.6,6799.9,2227.2,4202.5,6567.6,5529.1,9729.8,1058.4,5040.1
Newburgh,1978.4,1920.9,2075.9,8247.7,0,2850.6,3953.5,2176.8,9887.2,6382.0,9114.5,8254.7,3367.5,3738.5,8912.1,9060.2,3108.2,5108.3,724.4,4750.8,9304.0,4028.1,7154.4,8392.7,7052.9,3036.5,2142.5,2019.7,2215.0,8543.6,3900.4,3011.4,4617.8,3146.8,2193.9,438.0,5941.2,7560.9,1538.3,7593.4,8688.8,4920.6,4363.2,3128.8,8602.6,8765.0,8878.1,7287.7,8797.8,7583.8
Mineola,230.8,7119.2,7697.9,3329.4,2850.6,0,3356.3,4469.3,7862.2,6940.6,68.3,9024.4,5204.2,8141.3,1388.8,8411.3,2460.3,6255.1,9556.8,3893.0,5763.1,2665.3,6597.0,9806.1,9459.9,7131.0,7972.9,9047.6,3122.2,9139.9,5680.1,9977.6,2122.5,4248.2,1170.0,227.8,9965.1,7581.5,5745.4,6717.9,2796.8,5802.9,2708.7,981.0,7083.1,1970.9,8819.4,8127.6,7877.5,2363.3
Huntington,2064.2,4121.6,5616.6,6405.0,3953.5,3356.3,0,5098.0,828.1,6828.3,4684.5,6631.9,4636.4,7763.1,4018.3,8446.8,9999.7,2870.6,8576.3,2669.9,7805.4,1605.1,3077.6,7244.2,4947.2,8394.1,1284.6,5588.7,7299.1,1608.5,7188.4,7243.9,5548.5,8461.0,6761.4,7720.8,5363.5,6759.3,425.3,2463.0,5352.2,1393.0,6253.9,1305.1,9591.0,5794.3,7608.3,1917.2,7410.7,2401.7
Southampton,4954.8,8525.1,6601.4,9258.4,2176.8,4469.3,5098.0,0,9677.8,5034.0,9576.5,3039.1,725.2,9153.8,7133.0,4726.2,4896.2,7235.3,9355.4,799.4,5418.3,6357.5,4293.0,6864.3,6139.1,2159.3,3918.5,6922.4,4271.1,3066.7,1798.2,2850.2,4443.9,7761.2,2958.4,4719.0,3476.8,3263.1,899.6,1200.0,2149.7,4319.7,7377.1,3968.2,4802.4,2873.5,8049.3,6827.3,9992.5,2419.6
Crown Point,5306.7,7045.8,3136.5,7013.2,9887.2,7862.2,828.1,9677.8,0,3691.9,7795.3,3679.4,9511.3,9372.6,5420.6,8910.8,6898.5,5431.1,118.9,8019.8,4933.1,2782.6,6600.8,9371.5,4803.4,9464.4,2891.1,4095.0,117.8,7821.9,7478.1,6907.3,9330.1,4762.2,5241.9,8754.2,9764.9,6865.8,7588.1,8496.2,6858.6,4123.6,3524.1,9461.7,7693.0,2080.4,1893.1,6149.1,6405.6,5766.4
Watkins Glen,6596.1,7470.6,2355.8,7572.3,6382.0,6940.6,6828.3,5034.0,3691.9,0,3642.2,5040.6,1555.9,2161.8,1298.9,7581.9,4236.8,4703.7,2246.5,4743.7,3716.5,2328.3,3784.0,8910.7,9662.4,4992.5,4756.1,4289.6,7987.0,5772.8,9559.1,7186.5,6715.0,7933.4,6335.4,1355.1,7604.3,6790.0,931.7,2779.7,7280.7,7949.3,9790.0,2882.8,6411.8,5042.9,7707.7,298.9,3194.4,3316.1
