CSV,Eastchester,Elmira,Watkins Glen,Lake Placid,Staten Island,Oneonta,Sag Harbor,Coney Island,Plattsburgh,Utica,Hyde Park,Stony Point,Peekskill,Ossining,Mamaroneck,Crown Point,Lackawanna,Geneva,Mineola,Watertown,Ogdensburg,Johnstown,Clinton,Hudson,Cortland,Ithaca,Kingston,Garden City,Hammondsport,Cooperstown,Newburgh,Schenectady,West Seneca,Dunkirk,Bronx,Chautauqua,Herkimer,Saranac Lake,Tarrytown,Brooklyn,Rome,Cohoes,Hempstead,Glens Falls,Babylon,Middletown,Ilion,Port Washington,Scarsdale
Eastchester,0,7869.5,3706.4,7893.2,120.2,951.1,9543.1,933.0,1421.2,5017.0,4626.9,9702.8,4459.7,5473.1,3750.8,3724.7,3202.0,9998.4,7658.8,504.4,7174.7,9987.3,6905.4,7627.0,2897.7,1478.6,5511.5,9037.9,4429.7,963.4,3339.6,7138.0,2823.4,9360.7,7784.9,4805.0,1814.7,8442.7,6791.0,2170.8,6776.0,1109.7,6949.5,2173.7,1686.5,5418.0,8111.0,3132.0,1278.8
Elmira,7869.5,0,6283.6,9391.5,3693.5,2028.1,8552.9,5530.6,2626.6,1145.4,5040.1,9210.7,1174.9,7595.6,3553.3,3108.0,5754.2,3743.8,4282.4,4469.0,8345.9,3156.9,5008.1,9744.3,5476.0,1542.2,1101.9,8127.9,359.3,2524.2,9642.6,7666.2,5805.1,8835.7,1272.0,6095.6,2822.4,182.5,9942.0,8016.3,3208.5,9281.4,8037.6,1316.6,1489.5,4445.8,5528.1,8463.1,2797.4
Watkins Glen,3706.4,6283.6,0,6691.4,7591.0,6258.1,3667.9,7466.0,3096.5,5720.1,8187.9,3254.6,8245.7,4861.7,8042.4,3188.7,8892.2,2495.6,4487.6,2841.8,56.0,4611.3,5103.2,3045.3,5862.8,6264.0,9734.7,8332.6,7250.9,1857.1,2107.0,8915.7,9031.6,3755.5,5709.8,3913.0,1017.3,6882.9,2337.5,2379.9,405.8,8912.6,3485.6,5694.7,6076.5,6864.6,6840.4,3352.5,9352.7
Lake Placid,7893.2,9391.5,6691.4,0,4015.5,5898.8,6021.6,2300.0,788.7,5736.9,6777.1,1533.6,517.9,2118.5,2057.0,3816.8,4386.5,3045.7,3700.8,9239.9,2754.8,111.5,4308.2,6902.0,6035.6,3351.9,6691.7,5798.1,9190.7,4197.9,9452.4,410.5,8221.2,3751.8,117.7,2953.2,4599.8,7922.3,9686.2,8466.3,2268.4,2664.2,7076.1,6442.1,2412.1,7513.4,9786.1,1310.3,6425.4
Staten Island,120.2,3693.5,7591.0,4015.5,0,1927.4,3997.6,3364.7,3131.9,4523.0,5977.7,9830.0,7044.5,9732.1,7074.6,1831.5,8542.5,3543.0,6157.6,2198.7,5273.6,7449.5,7919.5,2131.2,5182.1,2693.8,1135.1,7746.2,1070.2,6608.5,823.7,4156.0,4178.6,2992.6,7436.3,5141.9,1490.1,6695.5,3160.5,10.5,3451.8,4644.8,8177.6,134.1,7683.3,3152.3,4768.8,907.6,6300.3
Oneonta,951.1,2028.1,6258.1,5898.8,1927.4,0,6444.0,8331.8,2468.5,1597.0,1143.3,7021.7,1823.3,2873.3,80.9,9721.5,5135.8,5679.5,1426.9,387.3,664.1,4833.8,9793.5,2606.7,1079.8,156.5,8462.0,6137.7,7904.7,6215.4,1259.4,7114.2,6086.9,1409.4,3946.5,3636.7,5455.6,8841.9,6627.2,6681.5,2982.5,2824.6,7403.2,7042.9,5390.7,6996.7,7159.8,9179.2,347.8
Sag Harbor,9543.1,8552.9,3667.9,6021.6,3997.6,6444.0,0,3820.2,320.0,6937.1,1782.4,6294.2,8993.3,5411.6,1371.4,7000.8,2082.4,3891.0,2170.3,3732.7,7681.5,2407.2,2312.2,3518.4,631.3,7969.2,6080.5,1322.3,4470.4,8515.5,6330.9,5723.5,6599.6,8840.9,9579.1,1645.4,7779.3,871.1,1442.4,3947.3,3133.1,1847.5,6216.5,8289.6,9389.8,9684.5,4855.1,4142.3,4558.5
Coney Island,933.0,5530.6,7466.0,2300.0,3364.7,8331.8,3820.2,0,3230.0,9994.0,1327.2,6924.4,2867.6,4475.0,5928.2,7212.1,4579.7,4665.6,4443.3,4766.6,8135.5,8244.9,4039.6,6807.1,5272.3,8579.6,6460.1,6582.8,348.4,8754.8,3216.4,3627.8,6930.3,1288.4,8151.0,1765.3,9852.3,4295.8,9384.0,3061.7,4129.5,5794.2,5888.3,4163.1,9178.6,9280.4,2505.9,294.7,8288.3
Plattsburgh,1421.2,2626.6,3096.5,788.7,3131.9,2468.5,320.0,3230.0,0,9160.1,9138.1,2064.4,8648.1,9253.4,9314.3,9202.6,3706.7,4427.6,1390.8,3932.8,1151.8,8984.0,1842.3,7389.1,6851.3,3097.8,6950.1,2879.1,1983.3,837.8,2976.3,2500.3,9058.3,3563.0,7304.6,8891.0,4893.7,8100.8,3002.4,6576.2,5752.0,1996.4,4860.0,9058.0,9290.8,7791.0,871.6,1640.0,6205.8
Utica,5017.0,1145.4,5720.1,5736.9,4523.0,1597.0,6937.1,9994.0,9160.1,0,9304.9,6517.8,2874.7,4531.7,7744.5,8570.0,385.7,8689.3,3509.0,4801.1,6826.5,9916.0,8143.7,1429.3,9620.8,1883.3,6619.8,1587.5,1118.4,7423.2,3039.1,594.6,4021.3,2266.0,4690.0,1426.8,8133.3,8108.6,5020.4,9444.1,4915.7,4716.1,9324.3,2740.1,8948.9,3291.4,1193.4,8840.6,5222.2
Hyde Park,4626.9,5040.1,8187.9,6777.1,5977.7,1143.3,1782.4,1327.2,9138.1,9304.9,0,5960.0,2838.2,2786.2,685.4,8072.5,5944.0,3610.9,547.7,1560.3,4095.7,2522.9,7474.1,6626.4,7778.4,7966.9,752.2,804.3,6914.5,5002.5,7850.9,275.7,8626.8,3317.0,9259.5,554.6,2895.5,6668.1,7693.6,6837.8,3748.7,6938.3,3229.3,4628.0,1842.2,3737.5,8394.0,2582.6,2638.8
Stony Point,9702.8,9210.7,3254.6,1533.6,9830.0,7021.7,6294.2,6924.4,2064.4,6517.8,5960.0,0,790.9,8360.0,561.2,2679.0,7442.7,1368.5,2780.6,3479.5,3648.0,375.6,6119.0,7537.7,4698.2,5612.6,1419.6,5895.4,2374.2,3434.2,9863.5,1290.7,1766.3,7818.1,8877.4,6053.9,6677.2,3258.3,6150.6,5898.0,3217.6,9687.3,3335.7,6717.8,4877.2,8802.7,3930.2,6199.4,1162.9
Peekskill,4459.7,1174.9,8245.7,517.9,7044.5,1823.3,8993.3,2867.6,8648.1,2874.7,2838.2,790.9,0,4935.5,6585.4,7429.9,1429.4,7168.4,710.9,961.8,2698.2,4844.4,687.5,5474.7,7043.0,5533.0,8088.7,8262.5,4568.5,9149.7,669.6,4205.5,8061.9,2888.9,201.7,5208.3,8214.4,290.6,2117.1,2238.4,5226.8,6233.6,561.5,1529.0,7060.1,8224.8,6681.9,3431.1,417.8
Ossining,5473.1,7595.6,4861.7,2118.5,9732.1,2873.3,5411.6,4475.0,9253.4,4531.7,2786.2,8360.0,4935.5,0,3434.8,9055.3,1161.7,5265.0,5342.9,7412.7,9455.4,9720.5,3598.9,4445.6,6528.8,7294.8,1508.8,3360.8,8282.6,5219.8,522.7,1791.4,5424.4,7955.8,2403.5,1965.9,2840.6,7124.6,7402.1,3713.2,6893.1,2139.4,5684.5,1084.5,4642.0,1260.6,7722.1,1753.2,1523.6
