CSV,Corning,Babylon,Hempstead,Niagara Falls,Rensselaer,West Seneca,Bronx,Bedford,Crown Point,Lackawanna,Saranac Lake,Ilion,Hyde Park,Mamaroneck,Clinton,Lockport,East Aurora,Southampton,Palmyra,New Rochelle,New Windsor,Garden City,Tarrytown,Cortland,Poughkeepsie,Hammondsport,Stony Point,Ithaca,Potsdam,Cooperstown,North Hempstead,Massena,Rochester,Dunkirk,Jamestown,Oneida,Great Neck,Cohoes,Port Washington,Buffalo,Binghamton,Batavia,East Hampton,White Plains,Nyack,Peekskill,Mineola,Middletown,Harlem,Utica
Corning,0,6949.3,9427.6,3551.0,3883.2,6266.9,4993.7,9482.0,8799.1,9644.2,6923.7,5930.3,7964.9,1542.0,4127.5,2464.6,1802.5,5362.1,2503.9,1689.1,8292.8,2747.2,7240.6,810.7,4322.7,7239.6,9009.7,4321.4,8440.9,7753.1,9943.6,7191.7,4158.4,4305.1,1547.3,3601.3,9502.2,9459.7,8878.6,450.6,9160.9,1143.1,9892.9,2377.0,8300.8,1154.7,9363.4,8823.1,3203.9,8778.2
Babylon,6949.3,0,5503.6,563.4,6883.1,5733.1,4645.9,7012.8,9303.6,4016.7,9635.7,5903.6,3325.1,3192.1,7491.9,5488.2,921.3,7682.8,1664.5,736.6,646.3,3792.9,5415.1,731.3,7062.1,8948.9,2617.0,1712.2,1233.6,7179.6,9735.1,7250.6,7901.4,3775.0,2792.0,3072.1,7711.9,6383.7,1470.2,2763.7,9446.8,805.0,4677.2,2825.4,3094.0,6808.7,5615.3,3053.1,6552.8,5249.2
Hempstead,9427.6,5503.6,0,8744.1,9785.3,6173.2,8236.7,8930.4,2366.5,3897.4,506.6,306.3,9676.4,2238.6,1714.4,1226.0,3219.2,4426.8,8186.9,2199.8,9679.5,2182.7,1513.6,1122.1,5746.9,6023.8,8931.2,298.5,7693.4,8382.5,6865.8,4716.0,419.5,1874.2,5417.1,5552.1,2742.5,1299.0,3638.2,7966.6,3909.0,8352.8,5481.9,5939.2,2193.3,8422.1,2240.6,9225.4,3195.0,2769.1
Niagara Falls,3551.0,563.4,8744.1,0,8547.7,4901.6,3904.4,7082.1,2400.6,7332.5,8637.2,3786.2,1709.0,515.0,5724.1,8061.1,3963.0,223.3,5265.7,6086.4,6831.5,5285.3,6297.8,8076.2,8336.1,289.4,7858.0,756.4,5630.9,6842.5,6838.1,9329.5,7989.6,9760.5,9582.9,1582.2,7356.9,1247.8,686.9,9880.5,1873.5,527.1,1723.3,8985.5,7855.4,9051.1,9003.3,1064.4,9785.1,6740.0
Rensselaer,3883.2,6883.1,9785.3,8547.7,0,4314.9,6279.6,3187.5,9657.3,6776.4,2109.8,4168.9,1914.5,1098.1,1111.7,3573.7,2089.7,635.1,857.1,1848.8,8390.3,4450.7,8367.3,6467.9,819.3,9262.1,469.8,7990.7,1214.6,849.2,1340.1,1866.8,7306.8,433.3,4833.3,1583.8,3708.8,3208.9,1686.8,3853.9,7698.7,611.7,8898.9,3084.0,7277.4,4630.3,1670.5,4916.1,6061.3,2703.7
West Seneca,6266.9,5733.1,6173.2,4901.6,4314.9,0,9134.3,9421.6,6585.6,7868.7,6194.9,9107.6,3603.1,6548.6,9992.3,1129.0,69.4,9897.5,4580.7,8263.1,1656.8,1592.8,6055.1,2877.2,8466.1,3520.8,5826.7,1162.2,617.3,447.9,8570.7,5286.4,1685.7,7474.9,1099.4,3039.8,3333.4,9329.0,5354.4,641.3,8613.0,9407.6,358.1,4395.9,8240.4,2414.9,5591.3,9541.0,7843.7,6987.5
Bronx,4993.7,4645.9,8236.7,3904.4,6279.6,9134.3,0,2213.5,9145.0,2292.6,3497.6,9007.2,8115.9,1979.2,3415.9,3661.9,214.1,5100.2,8602.7,4567.3,5542.2,7282.8,7099.5,8849.0,3863.6,5626.0,2327.8,5909.2,4436.5,7468.7,4378.3,8418.8,7812.2,5500.9,3488.2,7532.7,3741.5,590.6,9052.8,1346.2,505.7,4906.2,8310.0,5715.9,1824.1,5528.1,6115.6,8524.1,1985.9,7096.9
Bedford,9482.0,7012.8,8930.4,7082.1,3187.5,9421.6,2213.5,0,2463.0,3926.3,4182.5,3897.0,8780.9,7820.6,1030.8,8452.1,782.0,6106.1,2773.5,2762.3,3925.9,5586.0,4953.6,7850.4,2967.2,9446.1,7088.5,8771.1,2325.1,8248.1,7345.9,2802.4,4372.8,4602.7,9643.4,1275.4,25.5,2891.8,9907.3,3236.5,214.2,2502.3,7033.5,8371.0,8582.2,4681.1,4743.8,8994.5,3899.3,9305.0
Crown Point,8799.1,9303.6,2366.5,2400.6,9657.3,6585.6,9145.0,2463.0,0,8700.7,4480.0,610.3,8115.5,2313.0,9927.0,8194.6,9807.1,3659.7,7197.2,7845.7,2890.1,7280.4,4064.9,6773.4,8123.7,8416.0,4107.8,2233.0,2819.4,4471.5,1008.6,5193.9,5870.1,5683.5,4451.7,3240.5,8402.3,4779.0,291.4,2215.0,8180.2,3738.9,8093.7,832.0,5138.4,4646.0,3468.8,3281.9,9462.3,3806.1
Lackawanna,9644.2,4016.7,3897.4,7332.5,6776.4,7868.7,2292.6,3926.3,8700.7,0,9185.7,1468.7,8497.5,2925.6,2076.8,1835.4,9669.9,5504.5,2725.3,1281.9,7990.8,6114.4,8299.8,9990.5,6972.7,7725.5,9629.5,3852.3,3922.8,2788.3,3156.1,2637.5,7402.9,3503.3,9949.6,28.8,7920.6,3212.9,5752.6,8847.6,7313.2,6134.3,3354.0,5410.6,8535.0,1122.5,3592.5,7500.2,8507.4,3234.2
Saranac Lake,6923.7,9635.7,506.6,8637.2,2109.8,6194.9,3497.6,4182.5,4480.0,9185.7,0,8000.1,9965.6,8395.2,3334.6,131.8,17.8,6344.7,1020.5,7316.3,9121.2,1562.4,3569.9,6697.3,3811.0,8095.2,8213.9,7811.3,3824.9,3740.8,3677.3,5392.7,2104.1,9072.6,2906.0,6218.5,5738.3,7318.7,1793.7,8041.2,4989.7,1486.9,2004.2,5955.3,1478.4,6070.0,8472.1,4605.4,5659.4,8729.7
Ilion,5930.3,5903.6,306.3,3786.2,4168.9,9107.6,9007.2,3897.0,610.3,1468.7,8000.1,0,7652.7,7433.0,7214.3,723.4,1680.7,546.8,6454.0,97.4,2612.1,4560.3,3971.3,4124.3,4946.5,9251.8,3045.9,3534.6,5698.6,6395.6,9799.3,2052.2,8732.9,141.9,8623.5,6772.0,5908.8,5990.7,6653.5,8406.0,6314.4,8499.9,4167.6,8195.2,954.2,7785.9,3258.7,5397.5,1831.0,2221.5
Hyde Park,7964.9,3325.1,9676.4,1709.0,1914.5,3603.1,8115.9,8780.9,8115.5,8497.5,9965.6,7652.7,0,5029.5,3011.2,8620.2,5273.2,6222.4,3476.5,7461.2,9389.4,3111.2,7678.0,8840.8,3256.2,5076.0,6885.5,8165.4,1331.6,4.4,2580.7,7781.0,2226.6,6459.7,1271.5,8199.2,4079.4,6506.5,4541.1,9777.9,6749.4,4008.4,829.1,1229.9,9531.1,9798.5,2268.5,3351.7,9775.8,635.6
Mamaroneck,1542.0,3192.1,2238.6,515.0,1098.1,6548.6,1979.2,7820.6,2313.0,2925.6,8395.2,7433.0,5029.5,0,8118.1,4017.1,3162.8,8229.5,2650.2,7184.0,3114.6,7903.2,8452.8,3531.6,2247.9,2260.3,7165.2,8146.6,250.1,3983.7,7582.0,3258.8,4080.2,9750.2,5484.9,6570.4,1790.6,5630.4,9087.5,6904.4,4504.5,9061.4,3099.0,3395.5,3174.0,1281.7,6695.5,8300.2,9237.1,5454.9
Clinton,4127.5,7491.9,1714.4,5724.1,1111.7,9992.3,3415.9,1030.8,9927.0,2076.8,3334.6,7214.3,3011.2,8118.1,0,1089.2,6879.0,349.3,8760.7,1611.5,5880.7,579.3,2457.2,2829.5,599.9,1267.2,9559.9,6550.5,1748.4,5270.3,2441.8,4126.0,1038.6,5093.6,3963.6,3734.7,8682.6,8543.8,1887.5,5513.3,2237.6,6145.5,1076.1,6454.2,3107.1,1261.2,2086.6,2858.6,1439.5,7275.7
Lockport,2464.6,5488.2,1226.0,8061.1,3573.7,1129.0,3661.9,8452.1,8194.6,1835.4,131.8,723.4,8620.2,4017.1,1089.2,0,811.5,7000.1,5821.4,4290.8,7006.0,9984.0,19.8,436.9,7902.5,3342.1,8210.5,2912.1,2947.0,7548.9,4062.9,18.3,3804.4,4326.3,2435.0,1548.5,7481.7,5240.8,6236.1,9906.2,4429.3,8337.3,9611.7,5897.2,3381.7,1512.7,4482.2,653.5,4678.9,4421.1
East Aurora,1802.5,921.3,3219.2,3963.0,2089.7,69.4,214.1,782.0,9807.1,9669.9,17.8,1680.7,5273.2,3162.8,6879.0,811.5,0,9123.2,4312.3,1881.8,2086.9,1309.0,6519.7,7402.3,6823.9,3706.5,7129.4,4403.4,1580.3,6255.0,1188.4,4668.2,5646.3,8027.5,8431.5,9145.6,8923.3,1883.0,3781.0,5243.3,8868.3,1283.8,7235.6,4416.1,316.6,2723.6,3950.3,1789.5,4520.0,4482.3
Southampton,5362.1,7682.8,4426.8,223.3,635.1,9897.5,5100.2,6106.1,3659.7,5504.5,6344.7,546.8,6222.4,8229.5,349.3,7000.1,9123.2,0,5760.5,8967.3,5635.8,5357.9,9088.4,5732.6,4603.7,9491.8,5281.1,4979.2,6549.6,1300.8,498.4,6536.8,8651.0,6159.6,3060.5,4878.0,9219.3,4963.1,2120.7,4950.2,8651.7,4785.4,8589.3,9154.6,5439.8,1030.4,8057.8,2288.2,1375.0,2573.9
Palmyra,2503.9,1664.5,8186.9,5265.7,857.1,4580.7,8602.7,2773.5,7197.2,2725.3,1020.5,6454.0,3476.5,2650.2,8760.7,5821.4,4312.3,5760.5,0,5600.6,1665.8,4629.1,8608.6,2253.9,7531.4,8831.2,7897.7,7666.9,6641.6,6093.4,7249.8,5592.2,2098.3,7449.6,3264.3,5654.9,6292.5,5578.2,4723.9,1171.9,3453.4,195.6,3384.5,2070.3,5895.5,8050.6,2390.5,4771.1,6415.8,3519.3
New Rochelle,1689.1,736.6,2199.8,6086.4,1848.8,8263.1,4567.3,2762.3,7845.7,1281.9,7316.3,97.4,7461.2,7184.0,1611.5,4290.8,1881.8,8967.3,5600.6,0,2594.6,6042.8,7424.0,420.0,1803.8,3059.8,9230.8,2507.1,4760.5,3026.8,245.0,2553.3,887.0,6691.7,1687.5,2911.3,8817.1,1650.1,2840.2,7498.2,6006.7,8906.6,4254.6,2839.5,423.7,9529.5,1539.6,2465.0,2376.5,8430.2
New Windsor,8292.8,646.3,9679.5,6831.5,8390.3,1656.8,5542.2,3925.9,2890.1,7990.8,9121.2,2612.1,9389.4,3114.6,5880.7,7006.0,2086.9,5635.8,1665.8,2594.6,0,5970.8,9534.5,2954.4,7294.1,3162.3,7161.4,1872.8,3895.3,1602.1,8616.1,4186.3,2656.2,5953.5,6977.4,306.4,2618.2,8842.4,3681.3,8749.1,1287.9,6298.3,3069.9,355.1,3403.3,5223.8,8483.4,5704.0,551.6,7043.0
Garden City,2747.2,3792.9,2182.7,5285.3,4450.7,1592.8,7282.8,5586.0,7280.4,6114.4,1562.4,4560.3,3111.2,7903.2,579.3,9984.0,1309.0,5357.9,4629.1,6042.8,5970.8,0,9491.5,6910.3,3001.6,2597.1,7355.0,2346.4,2488.6,1553.7,1616.7,8693.8,9528.8,2729.6,4079.6,1812.4,4358.6,9810.0,6600.7,8891.9,4106.9,4603.9,7821.0,2401.3,5758.3,8258.0,2407.1,294.0,8930.3,1451.0
Tarrytown,7240.6,5415.1,1513.6,6297.8,8367.3,6055.1,7099.5,4953.6,4064.9,8299.8,3569.9,3971.3,7678.0,8452.8,2457.2,19.8,6519.7,9088.4,8608.6,7424.0,9534.5,9491.5,0,7674.9,5093.9,7549.9,260.6,5362.5,3906.1,8159.4,6352.5,624.9,2988.9,7830.6,7936.0,9976.8,1904.4,1336.7,536.9,6236.6,3886.0,8913.8,8199.4,2163.0,2463.2,5479.8,8931.5,6837.1,3693.4,1182.7
Cortland,810.7,731.3,1122.1,8076.2,6467.9,2877.2,8849.0,7850.4,6773.4,9990.5,6697.3,4124.3,8840.8,3531.6,2829.5,436.9,7402.3,5732.6,2253.9,420.0,2954.4,6910.3,7674.9,0,3772.0,6440.7,6041.1,4575.5,2764.2,7692.3,5626.2,8165.8,9754.7,5023.5,7722.0,3074.2,8167.1,7506.9,4694.9,1872.2,7937.0,6836.7,6946.3,2007.8,5363.3,6813.9,9954.3,2633.7,4835.4,7727.1
Poughkeepsie,4322.7,7062.1,5746.9,8336.1,819.3,8466.1,3863.6,2967.2,8123.7,6972.7,3811.0,4946.5,3256.2,2247.9,599.9,7902.5,6823.9,4603.7,7531.4,1803.8,7294.1,3001.6,5093.9,3772.0,0,5381.3,9928.1,2626.9,9624.9,7055.6,3570.5,8579.1,1304.4,6721.4,7114.7,5803.5,7474.8,3594.1,3782.6,1714.8,1803.7,7083.5,2525.2,1695.3,9522.5,1933.5,7569.3,992.4,3329.1,6072.8
Hammondsport,7239.6,8948.9,6023.8,289.4,9262.1,3520.8,5626.0,9446.1,8416.0,7725.5,8095.2,9251.8,5076.0,2260.3,1267.2,3342.1,3706.5,9491.8,8831.2,3059.8,3162.3,2597.1,7549.9,6440.7,5381.3,0,7943.6,6656.9,3661.7,1992.5,430.4,7118.5,8347.2,293.8,5176.5,4923.6,2148.4,4342.9,7192.8,786.6,489.1,5294.1,1533.8,9222.5,4880.1,7924.7,4866.0,9360.2,7279.5,9083.3
Stony Point,9009.7,2617.0,8931.2,7858.0,469.8,5826.7,2327.8,7088.5,4107.8,9629.5,8213.9,3045.9,6885.5,7165.2,9559.9,8210.5,7129.4,5281.1,7897.7,9230.8,7161.4,7355.0,260.6,6041.1,9928.1,7943.6,0,1588.8,7354.8,7340.9,2519.4,4860.7,109.6,5132.6,6786.4,1948.0,3358.7,3948.9,9586.9,460.6,3618.7,3289.6,4237.6,2776.4,1638.5,5605.1,9097.8,2962.8,3127.9,3626.3
Ithaca,4321.4,1712.2,298.5,756.4,7990.7,1162.2,5909.2,8771.1,2233.0,3852.3,7811.3,3534.6,8165.4,8146.6,6550.5,2912.1,4403.4,4979.2,7666.9,2507.1,1872.8,2346.4,5362.5,4575.5,2626.9,6656.9,1588.8,0,2354.2,4701.4,6165.2,4031.9,1635.3,1802.7,7501.8,8879.2,6527.1,1916.0,1851.0,2076.0,4496.2,4564.2,6086.7,3754.4,2686.4,9899.4,9149.5,4783.4,1892.2,4947.0
Potsdam,8440.9,1233.6,7693.4,5630.9,1214.6,617.3,4436.5,2325.1,2819.4,3922.8,3824.9,5698.6,1331.6,250.1,1748.4,2947.0,1580.3,6549.6,6641.6,4760.5,3895.3,2488.6,3906.1,2764.2,9624.9,3661.7,7354.8,2354.2,0,6306.5,2331.7,2064.7,4654.0,2991.4,4892.8,5901.2,759.2,9978.0,5183.7,9358.4,7258.6,4480.7,8668.8,6489.7,8334.8,7864.4,6930.0,9721.5,6137.8,5252.6
Cooperstown,7753.1,7179.6,8382.5,6842.5,849.2,447.9,7468.7,8248.1,4471.5,2788.3,3740.8,6395.6,4.4,3983.7,5270.3,7548.9,6255.0,1300.8,6093.4,3026.8,1602.1,1553.7,8159.4,7692.3,7055.6,1992.5,7340.9,4701.4,6306.5,0,4477.0,8175.6,2010.2,3702.8,1537.6,5173.7,8209.4,5504.3,3094.9,1833.5,5876.6,9438.5,3386.8,6455.3,1931.4,5210.9,5471.5,1294.6,4209.3,3440.4
North Hempstead,9943.6,9735.1,6865.8,6838.1,1340.1,8570.7,4378.3,7345.9,1008.6,3156.1,3677.3,9799.3,2580.7,7582.0,2441.8,4062.9,1188.4,498.4,7249.8,245.0,8616.1,1616.7,6352.5,5626.2,3570.5,430.4,2519.4,6165.2,2331.7,4477.0,0,2620.9,1551.5,2027.6,6269.2,1628.0,1959.3,656.9,3245.8,4444.9,378.5,7377.1,3773.3,8450.5,738.7,2646.6,8591.2,9445.6,5248.0,9230.3
Massena,7191.7,7250.6,4716.0,9329.5,1866.8,5286.4,8418.8,2802.4,5193.9,2637.5,5392.7,2052.2,7781.0,3258.8,4126.0,18.3,4668.2,6536.8,5592.2,2553.3,4186.3,8693.8,624.9,8165.8,8579.1,7118.5,4860.7,4031.9,2064.7,8175.6,2620.9,0,5492.0,1250.9,557.5,9214.7,4554.8,2712.6,3622.5,10000.0,1450.3,891.0,7303.5,2734.6,1845.7,1619.3,8232.1,480.8,6018.8,1923.6
Rochester,4158.4,7901.4,419.5,7989.6,7306.8,1685.7,7812.2,4372.8,5870.1,7402.9,2104.1,8732.9,2226.6,4080.2,1038.6,3804.4,5646.3,8651.0,2098.3,887.0,2656.2,9528.8,2988.9,9754.7,1304.4,8347.2,109.6,1635.3,4654.0,2010.2,1551.5,5492.0,0,1354.6,5638.0,6330.8,1134.3,4637.7,167.2,2969.3,927.8,4129.8,241.1,7767.3,8411.3,4730.1,6513.2,814.6,2731.6,6723.5
Dunkirk,4305.1,3775.0,1874.2,9760.5,433.3,7474.9,5500.9,4602.7,5683.5,3503.3,9072.6,141.9,6459.7,9750.2,5093.6,4326.3,8027.5,6159.6,7449.6,6691.7,5953.5,2729.6,7830.6,5023.5,6721.4,293.8,5132.6,1802.7,2991.4,3702.8,2027.6,1250.9,1354.6,0,6753.5,2176.3,5168.2,6243.5,2520.5,8093.1,5175.2,7321.3,3764.6,9319.1,4325.2,1727.2,8792.1,1231.5,2486.2,3612.0
Jamestown,1547.3,2792.0,5417.1,9582.9,4833.3,1099.4,3488.2,9643.4,4451.7,9949.6,2906.0,8623.5,1271.5,5484.9,3963.6,2435.0,8431.5,3060.5,3264.3,1687.5,6977.4,4079.6,7936.0,7722.0,7114.7,5176.5,6786.4,7501.8,4892.8,1537.6,6269.2,557.5,5638.0,6753.5,0,4547.8,4718.2,919.0,2372.5,7900.2,6002.5,8986.7,6735.1,8667.3,879.8,128.9,5898.6,1149.0,9864.8,5623.5
Oneida,3601.3,3072.1,5552.1,1582.2,1583.8,3039.8,7532.7,1275.4,3240.5,28.8,6218.5,6772.0,8199.2,6570.4,3734.7,1548.5,9145.6,4878.0,5654.9,2911.3,306.4,1812.4,9976.8,3074.2,5803.5,4923.6,1948.0,8879.2,5901.2,5173.7,1628.0,9214.7,6330.8,2176.3,4547.8,0,9010.0,1263.8,9387.2,8988.1,9654.4,1382.2,9956.1,45.2,3313.6,9217.0,9708.7,7460.1,8171.9,6921.6
Great Neck,9502.2,7711.9,2742.5,7356.9,3708.8,3333.4,3741.5,25.5,8402.3,7920.6,5738.3,5908.8,4079.4,1790.6,8682.6,7481.7,8923.3,9219.3,6292.5,8817.1,2618.2,4358.6,1904.4,8167.1,7474.8,2148.4,3358.7,6527.1,759.2,8209.4,1959.3,4554.8,1134.3,5168.2,4718.2,9010.0,0,6064.0,9336.2,76.2,5222.4,2544.0,4745.8,6204.8,7776.6,1949.8,7264.2,6834.8,6861.3,4982.6
Cohoes,9459.7,6383.7,1299.0,1247.8,3208.9,9329.0,590.6,2891.8,4779.0,3212.9,7318.7,5990.7,6506.5,5630.4,8543.8,5240.8,1883.0,4963.1,5578.2,1650.1,8842.4,9810.0,1336.7,7506.9,3594.1,4342.9,3948.9,1916.0,9978.0,5504.3,656.9,2712.6,4637.7,6243.5,919.0,1263.8,6064.0,0,946.5,4041.5,2294.2,8353.0,3506.4,6230.1,4198.4,2477.1,8245.4,1216.1,4093.1,7808.1
Port Washington,8878.6,1470.2,3638.2,686.9,1686.8,5354.4,9052.8,9907.3,291.4,5752.6,1793.7,6653.5,4541.1,9087.5,1887.5,6236.1,3781.0,2120.7,4723.9,2840.2,3681.3,6600.7,536.9,4694.9,3782.6,7192.8,9586.9,1851.0,5183.7,3094.9,3245.8,3622.5,167.2,2520.5,2372.5,9387.2,9336.2,946.5,0,7527.2,2109.5,2950.5,4887.1,6104.1,642.8,2366.6,6826.3,7052.1,9694.1,1005.8
Buffalo,450.6,2763.7,7966.6,9880.5,3853.9,641.3,1346.2,3236.5,2215.0,8847.6,8041.2,8406.0,9777.9,6904.4,5513.3,9906.2,5243.3,4950.2,1171.9,7498.2,8749.1,8891.9,6236.6,1872.2,1714.8,786.6,460.6,2076.0,9358.4,1833.5,4444.9,10000.0,2969.3,8093.1,7900.2,8988.1,76.2,4041.5,7527.2,0,6501.8,1512.0,698.9,4695.2,164.6,495.4,4179.0,7916.2,4154.7,2302.8
Binghamton,9160.9,9446.8,3909.0,1873.5,7698.7,8613.0,505.7,214.2,8180.2,7313.2,4989.7,6314.4,6749.4,4504.5,2237.6,4429.3,8868.3,8651.7,3453.4,6006.7,1287.9,4106.9,3886.0,7937.0,1803.7,489.1,3618.7,4496.2,7258.6,5876.6,378.5,1450.3,927.8,5175.2,6002.5,9654.4,5222.4,2294.2,2109.5,6501.8,0,4007.0,5780.8,5856.2,2229.1,8125.2,5841.6,6856.8,6676.0,3117.0
Batavia,1143.1,805.0,8352.8,527.1,611.7,9407.6,4906.2,2502.3,3738.9,6134.3,1486.9,8499.9,4008.4,9061.4,6145.5,8337.3,1283.8,4785.4,195.6,8906.6,6298.3,4603.9,8913.8,6836.7,7083.5,5294.1,3289.6,4564.2,4480.7,9438.5,7377.1,891.0,4129.8,7321.3,8986.7,1382.2,2544.0,8353.0,2950.5,1512.0,4007.0,0,9153.5,6395.4,3320.6,6547.7,4460.6,1825.8,1934.0,7010.8
East Hampton,9892.9,4677.2,5481.9,1723.3,8898.9,358.1,8310.0,7033.5,8093.7,3354.0,2004.2,4167.6,829.1,3099.0,1076.1,9611.7,7235.6,8589.3,3384.5,4254.6,3069.9,7821.0,8199.4,6946.3,2525.2,1533.8,4237.6,6086.7,8668.8,3386.8,3773.3,7303.5,241.1,3764.6,6735.1,9956.1,4745.8,3506.4,4887.1,698.9,5780.8,9153.5,0,4835.2,6322.3,7207.0,5902.7,297.6,8174.3,4485.4
