CSV,Herkimer,Buffalo,Ticonderoga,Rotterdam,Stony Brook,Poughkeepsie,Batavia,Cooperstown,Dunkirk,Beacon,Levittown,Newburgh,Watkins Glen,New Rochelle,Harlem,Clinton,Oyster Bay,Bedford,Watervliet,Olean,Ilion,New Paltz,Palmyra,Saratoga Springs,Troy,Hudson,Lockport,Gloversville,Chautauqua,Jamestown,Elmira,Rome,White Plains,Corning,Plattsburgh,Queens,Garden City,Staten Island,Johnstown,Niagara Falls,Sag Harbor,Ithaca,Ossining,Mineola,New York City,Coney Island,Auburn,Oswego,Lackawanna,Rensselaer
Herkimer,0,8371.6,1519.9,4294.7,363.5,9528.8,9276.7,8940.5,3145.0,4651.0,8605.0,7706.6,2120.2,6077.8,9119.9,2614.1,84.3,3135.1,5832.7,7000.5,2046.1,9161.9,1512.7,3274.5,9160.7,1658.6,2407.8,3377.8,5474.2,1441.0,196.1,4446.2,8537.7,20.9,2211.2,1635.6,6398.4,1170.1,5974.2,9861.3,1482.2,8683.4,3707.6,44.5,3809.8,2677.1,9944.3,9976.8,8815.1,3094.3
Buffalo,8371.6,0,6622.9,5857.0,5407.5,5390.6,8085.8,5610.9,1877.4,4293.3,5735.6,5520.5,6812.1,9639.4,722.5,6032.4,6612.8,9185.8,3900.0,9815.9,6570.3,5684.9,4247.9,4742.4,6002.2,2238.1,4312.4,2414.8,5520.9,2558.8,9284.1,4733.6,8316.1,8855.6,8405.7,4069.6,6974.3,5521.2,565.7,8978.1,5002.7,6636.9,5785.0,4388.0,9466.0,2093.8,9165.5,4396.0,6190.6,9884.8
Ticonderoga,1519.9,6622.9,0,7264.5,4308.1,1742.1,3710.5,6974.9,8126.2,9778.0,5233.0,3496.6,8617.2,2983.8,1123.8,7722.7,5937.4,2445.3,7588.5,4543.0,291.4,5336.9,3698.8,7079.0,5781.9,6754.9,352.9,9176.5,2411.3,3094.8,3297.2,7607.1,8297.7,5933.9,4634.0,6659.3,4488.3,9928.2,6126.0,5024.6,5108.5,6673.4,7403.3,834.9,5491.8,5072.0,2812.1,2792.2,4940.9,8199.3
Rotterdam,4294.7,5857.0,7264.5,0,1850.9,7307.3,7887.6,6806.0,6074.4,6665.9,2643.4,9185.4,8232.6,1218.5,2827.9,8376.9,5565.7,9526.5,9588.3,2270.4,8974.1,6403.2,4822.0,7029.4,43.0,4012.1,7773.1,6815.1,5125.9,5647.4,7404.8,3321.1,3680.9,172.3,3429.9,430.7,1779.9,4579.2,9937.4,568.4,1164.4,3270.2,572.7,5666.5,754.0,5779.9,9857.3,4372.8,2727.5,1164.7
Stony Brook,363.5,5407.5,4308.1,1850.9,0,9742.7,4368.5,3741.4,2249.3,1340.0,5411.5,6233.7,953.2,3495.3,4526.8,23.4,3831.9,7083.4,9485.2,3482.6,5790.4,1241.2,4816.5,5127.3,1022.7,3460.2,8165.9,4617.2,1782.4,7067.0,4865.1,3404.6,3428.3,9484.2,376.7,1169.5,351.6,4401.3,5243.5,2350.2,218.1,6398.2,6173.0,5278.8,5716.2,5786.5,7213.7,6426.6,3546.7,7447.5
Poughkeepsie,9528.8,5390.6,1742.1,7307.3,9742.7,0,2961.2,9870.6,681.4,653.8,46.5,4573.6,1677.9,7456.7,5306.5,8886.2,6595.5,8487.8,3048.1,1379.3,940.4,5404.7,8820.7,8190.4,4981.3,928.7,5542.5,9712.3,153.6,1028.7,6763.5,3029.6,4533.3,6506.0,3832.1,6196.1,2014.3,893.0,5575.8,3525.8,4275.8,582.1,6747.3,7346.1,3589.6,5750.3,1501.9,9555.0,9528.5,9532.3
Batavia,9276.7,8085.8,3710.5,7887.6,4368.5,2961.2,0,5537.4,641.8,6895.3,8239.6,5973.4,6736.1,9441.4,715.9,2592.3,6189.6,5870.8,1359.1,5030.5,2378.1,498.4,5889.1,4024.7,6969.4,8210.6,2985.2,1864.2,2428.5,443.4,7361.4,7339.9,114.9,7602.0,7317.6,3646.6,5859.9,3181.1,9494.3,2313.0,3537.5,6322.1,193.6,6411.4,4198.5,5737.6,4769.1,4392.3,251.4,9060.4
Cooperstown,8940.5,5610.9,6974.9,6806.0,3741.4,9870.6,5537.4,0,7683.9,5024.7,6305.7,2022.7,8425.3,6437.7,2256.1,766.8,567.5,8385.5,3674.4,4936.5,3809.9,3468.2,7930.6,9318.2,8931.0,1233.6,805.9,2315.8,5796.0,6217.5,3640.8,1831.0,5426.1,2352.7,228.3,7758.7,134.7,2461.3,4304.3,4561.5,88.6,9390.7,79.4,3429.0,8864.6,5777.7,3028.9,5951.8,2319.3,6054.9
Dunkirk,3145.0,1877.4,8126.2,6074.4,2249.3,681.4,641.8,7683.9,0,6101.0,4062.4,2904.7,1023.3,7675.8,1820.0,3369.4,7837.6,1622.0,4240.4,2256.2,8828.7,4790.0,1792.9,3754.4,2735.1,843.8,6839.7,9401.6,5464.6,1887.6,5808.6,378.2,1301.1,7555.4,9894.6,2824.5,3335.4,6584.8,8026.9,5875.8,6310.2,1966.8,7830.2,3789.1,2268.1,2551.3,6346.2,5275.7,9688.6,9486.5
Beacon,4651.0,4293.3,9778.0,6665.9,1340.0,653.8,6895.3,5024.7,6101.0,0,2840.7,45.1,2973.0,2562.2,4534.7,4800.0,3578.7,605.7,9936.7,6751.4,7512.4,3446.7,9982.8,6583.4,1305.1,9583.4,7680.2,4061.2,6430.5,5701.2,9125.3,931.2,1317.0,2180.7,7723.6,245.3,3335.1,3437.9,9777.3,2693.3,5970.6,7341.3,9784.4,9944.7,1911.5,282.0,4255.8,4185.3,5376.6,3315.6
