CSV,Queens,Bronx,Albany,Hempstead,Oneida,Lake Placid,Potsdam,Yonkers,Rensselaer,White Plains,Hudson,Ticonderoga,Huntington,Southampton,Great Neck,Stony Brook,Geneva,Ithaca,Auburn,Harlem,Flushing,Scarsdale,Forest Hills,Ossining,Crown Point,Cooperstown,Eastchester,Rome,Niagara Falls,Woodstock,Clinton,Palmyra,Nyack,Oneonta,Utica,New Windsor,Dunkirk,Seneca Falls,Mineola,West Seneca,North Hempstead,Watervliet,Glens Falls,Watertown,Rotterdam,East Aurora,Johnstown,Cortland,Lockport,Sag Harbor
Queens,0,6241.0,1775.7,9504.7,8872.1,8910.5,8873.0,8306.6,2755.5,5328.1,5231.9,8754.7,7730.7,5518.8,8299.3,1793.6,1840.6,2975.9,1590.5,9811.5,4359.2,5789.9,4313.4,2904.5,2437.7,8735.7,6053.3,1531.4,6270.3,3278.4,2219.1,9851.9,5029.7,2461.2,1970.9,4035.5,5124.3,1769.8,4915.5,4000.2,5579.9,7819.8,5797.0,25.1,8303.9,2906.1,8669.5,9815.3,3966.1,6069.2
Bronx,6241.0,0,9891.4,3648.4,119.0,4361.3,1831.4,1272.4,7690.1,8192.8,7861.3,1803.7,6878.3,900.6,5842.3,6115.6,9450.4,8700.9,6191.4,8563.6,1953.5,8567.9,7401.3,6552.6,2685.7,7561.2,7094.4,397.2,9511.0,7874.9,1209.4,141.9,9874.4,676.8,5487.4,1143.0,40.2,5262.6,124.9,6978.8,9553.9,5925.1,9418.9,4237.7,8101.2,2039.0,9540.8,3123.0,487.8,7167.2
Albany,1775.7,9891.4,0,3069.4,7199.9,7064.9,1717.2,9546.9,9497.9,2443.1,521.0,8471.5,3380.2,6268.5,4679.6,5572.0,8071.1,3574.0,3513.7,1649.1,9127.6,9193.4,2167.1,8337.5,5672.4,1612.3,1677.2,9146.1,1245.2,1611.3,7559.1,9242.6,3096.4,9201.0,9305.6,3774.4,2463.5,3309.9,4820.6,6616.5,5441.1,5382.4,3734.2,6269.8,7496.2,3379.1,2309.6,5571.1,8821.5,6762.5
Hempstead,9504.7,3648.4,3069.4,0,9709.1,9373.3,4580.0,8858.9,6257.9,2608.2,4012.1,200.8,9208.5,3686.2,747.2,7458.8,4968.5,534.9,1248.8,2442.6,1671.3,3279.4,769.2,6301.6,6404.0,4095.4,9851.0,6936.2,4772.4,720.9,7632.7,1739.2,4182.7,2374.5,2832.7,8194.0,9065.6,6858.1,5039.9,6036.4,780.2,5298.7,5246.3,9154.2,6945.5,3257.5,1727.5,7037.2,4329.8,283.5
Oneida,8872.1,119.0,7199.9,9709.1,0,5756.0,4201.6,2372.8,7730.6,4262.3,6486.4,2866.9,9952.6,5018.8,9762.2,3175.6,6364.0,6535.0,4208.4,4511.1,5187.2,331.3,1866.9,8063.8,8819.7,5988.0,3406.1,2222.9,7360.3,6778.8,3264.8,7981.5,1348.3,1478.4,4532.7,2998.5,266.2,3798.6,2343.2,1195.6,3395.2,8010.3,5754.1,58.9,7730.5,6223.4,3213.5,1998.6,6981.9,8017.5
Lake Placid,8910.5,4361.3,7064.9,9373.3,5756.0,0,1161.0,9417.4,7832.7,2307.5,4654.1,9862.0,7325.9,2287.1,6499.1,5007.2,4448.1,6624.9,8864.7,1322.6,7323.0,4001.4,5300.7,9455.5,5010.2,3822.3,8722.9,7022.1,7331.6,6142.5,9489.2,5828.2,530.9,3996.3,5701.2,4352.4,6168.6,2121.5,2545.4,4512.6,9079.6,6733.8,8188.7,1616.6,5391.1,9749.7,8697.0,9069.3,1299.0,1320.5
Potsdam,8873.0,1831.4,1717.2,4580.0,4201.6,1161.0,0,7549.3,6279.8,7123.2,4804.9,8386.6,1562.7,7891.7,4018.1,8248.8,2871.3,196.2,9417.3,7104.2,4574.1,3522.2,2802.0,440.1,290.3,1696.9,8693.8,5056.6,6348.4,3060.1,8101.9,201.1,7220.0,6948.4,525.9,9246.9,5409.4,5235.9,29.3,5142.1,9689.9,5860.6,6691.4,1193.0,3369.3,5154.2,4681.5,7133.6,2350.9,142.5
Yonkers,8306.6,1272.4,9546.9,8858.9,2372.8,9417.4,7549.3,0,5777.0,4763.3,4110.4,9424.1,4129.0,7691.0,1602.3,4120.5,1750.9,7603.9,2870.3,4950.4,4810.3,900.2,3365.4,9166.7,3992.4,2220.8,9909.8,2484.3,1842.4,5440.9,6135.0,8659.4,9142.0,8229.0,9419.0,9844.7,1532.3,6525.4,3159.4,7262.6,797.3,3409.0,7687.7,1325.2,2849.6,6533.8,8713.5,6697.6,4991.1,3085.5
Rensselaer,2755.5,7690.1,9497.9,6257.9,7730.6,7832.7,6279.8,5777.0,0,1295.6,4622.8,6878.1,6698.0,8503.9,2196.6,6159.8,7494.1,9276.9,9783.8,2904.9,4944.1,2511.3,4865.9,5664.1,2181.6,2579.4,9177.7,8462.5,4578.5,3627.9,742.6,6769.2,3768.0,5846.7,6727.5,4557.1,635.0,541.2,3699.4,4651.2,5524.3,8391.5,4205.8,365.5,3284.9,5050.3,2469.0,4478.0,8955.4,4068.4
White Plains,5328.1,8192.8,2443.1,2608.2,4262.3,2307.5,7123.2,4763.3,1295.6,0,4441.4,6956.0,6521.5,6548.9,8712.2,2727.4,6673.6,8632.1,9403.6,8493.7,1991.3,9751.0,8011.0,3580.8,6196.5,3648.0,1089.8,9214.5,1090.9,7512.5,7392.3,5393.0,9959.2,6419.8,398.2,5086.6,8805.8,8180.0,9113.8,8455.6,236.3,2145.3,4493.5,6405.6,5614.5,1599.0,5264.8,2787.5,5683.6,2743.8
