CSV,Geneva,Seneca Falls,Sag Harbor,Utica,Babylon,Rye,Stony Point,Rome,Ossining,Cooperstown,Brooklyn,Bedford,Ithaca,Bronx,Nyack,Herkimer,Gloversville,Niagara Falls,Elmira,Kingston,Clinton,Olean,Levittown,Hudson,West Seneca,Forest Hills,Port Washington,Saratoga Springs,Palmyra,Massena,Syracuse,Oneida,Lake Placid,Hempstead,New York City,Binghamton,Troy,Potsdam,Watervliet,Albany,White Plains,Middletown,Oyster Bay,Mamaroneck,Mount Vernon,Queens,Dunkirk,Peekskill,Cohoes,Manhattan
Geneva,0,2123.2,411.1,8236.3,5272.1,775.5,6849.4,1768.6,2131.1,9713.9,5936.1,6818.2,4979.7,6022.5,7607.5,458.6,8733.2,9390.8,5363.7,5179.5,5160.9,5758.8,2577.7,5521.0,4420.6,7558.5,6267.9,3010.8,3919.0,401.1,8257.5,9765.3,1167.4,2708.9,1506.1,8824.0,5825.9,3024.0,9186.6,8547.2,4918.5,8486.5,8508.1,3036.3,5836.6,2938.9,4870.1,9821.8,6083.3,970.1
Seneca Falls,2123.2,0,3485.0,1947.7,7548.7,966.9,9104.9,6488.2,9051.3,1437.7,2083.4,5447.3,3783.1,1059.4,9478.5,4572.6,8799.2,6938.0,7970.3,4363.4,5223.5,1983.9,8098.7,216.4,4239.7,9236.2,2894.7,5736.2,7267.7,7933.4,2810.8,7986.8,9484.3,7434.1,7004.0,2091.0,4800.6,6926.6,1136.5,6735.1,3125.1,1081.3,6824.9,131.4,5280.4,1309.1,7593.2,9348.3,8939.6,7860.9
Sag Harbor,411.1,3485.0,0,3943.9,6309.9,6768.0,5795.9,7141.6,4044.8,8361.8,3418.1,3511.5,3443.7,1287.1,9768.7,2265.5,1504.8,6757.6,6685.4,7318.8,3848.9,2923.2,1795.8,528.8,4108.8,208.0,4938.0,8510.9,2359.4,8979.1,9733.5,6292.7,1608.5,205.1,1681.7,4362.3,6146.4,604.7,4583.3,7486.3,5395.2,7795.5,3188.1,8117.0,7601.9,8231.7,5861.4,1007.1,1512.0,1218.7
Utica,8236.3,1947.7,3943.9,0,8105.7,2442.1,8219.7,7862.0,6101.8,2032.6,2966.2,4382.8,4029.9,4019.9,9107.0,7237.0,1828.1,6121.8,2802.1,8614.1,7775.1,4088.9,162.6,1607.9,9519.2,4797.5,4511.5,1808.7,4187.7,5965.1,9021.4,4734.8,2356.5,9781.1,2161.0,1754.3,3348.5,2458.0,7877.7,4332.0,1132.2,9336.9,8881.8,6511.7,3394.5,4296.2,9224.0,8328.7,8855.5,7519.2
Babylon,5272.1,7548.7,6309.9,8105.7,0,8794.5,633.6,496.1,6780.8,2729.1,533.7,7916.5,8280.4,2043.2,4028.9,4853.6,1933.2,197.9,3055.1,4732.1,9269.2,3843.9,1160.2,541.0,6852.8,6098.9,6018.1,8208.7,4733.6,964.7,8136.3,93.8,8550.3,8422.5,3504.1,4651.7,5806.3,3100.1,2115.9,1454.7,5290.5,9434.4,7423.1,3728.9,9644.8,5172.2,5857.0,6794.0,380.9,896.2
Rye,775.5,966.9,6768.0,2442.1,8794.5,0,8481.8,9824.7,7099.9,5763.9,8801.2,4501.2,3865.6,1713.7,1882.5,9388.6,2461.8,5395.4,2644.6,4786.2,5376.3,8830.7,8189.9,910.4,5818.4,2460.7,693.3,3399.8,4164.6,2121.2,2299.6,3500.3,6905.3,7756.8,3468.8,9752.0,1140.2,9856.4,1883.3,6141.6,767.5,4496.7,9172.5,9970.9,5483.1,8772.5,4083.9,487.1,7141.5,5782.0
Stony Point,6849.4,9104.9,5795.9,8219.7,633.6,8481.8,0,1540.9,1700.3,6668.6,4665.1,6290.5,7490.6,4806.3,6257.7,3104.8,955.0,3131.4,9223.6,8784.5,8151.3,3610.1,573.2,705.4,4007.4,4506.5,615.5,1192.3,2220.1,4700.5,1489.7,14.1,3781.2,8429.3,8756.7,3931.9,3072.0,4110.0,1619.5,5444.5,3928.2,2741.3,9589.6,8033.3,6802.8,6611.7,7427.1,7139.1,322.3,2878.1
Rome,1768.6,6488.2,7141.6,7862.0,496.1,9824.7,1540.9,0,5639.3,1849.8,4932.5,801.5,8518.7,3091.2,99.9,213.0,1056.4,5732.0,7707.8,148.5,3561.4,2349.9,719.2,8574.9,3575.2,2112.5,4468.3,6540.3,9263.3,9335.4,2746.3,8749.6,2208.2,5672.9,9209.9,5154.0,9820.2,2113.1,3833.1,3036.5,1141.6,4164.0,8172.3,7737.1,6040.4,621.7,1112.4,4462.5,8640.8,7205.1
Ossining,2131.1,9051.3,4044.8,6101.8,6780.8,7099.9,1700.3,5639.3,0,6075.9,5643.3,736.2,7748.9,9057.0,845.9,7656.9,8569.9,1527.9,5407.0,2466.3,3508.2,7428.8,7941.2,2664.0,3674.7,8281.9,4657.2,76.6,2614.2,5234.1,8310.0,7742.3,1534.6,1071.6,5435.7,9641.3,7102.3,9970.5,6539.7,9502.3,4668.2,7350.7,3686.2,8407.5,9952.7,6563.5,3324.2,2546.2,7018.9,8120.9
Cooperstown,9713.9,1437.7,8361.8,2032.6,2729.1,5763.9,6668.6,1849.8,6075.9,0,2011.0,8839.4,3772.2,4208.7,7486.1,1204.0,1395.0,4845.1,6924.8,2834.2,6680.3,3461.0,8729.0,6544.8,8785.5,5418.0,1767.0,9273.6,7702.0,6195.9,4248.4,6532.4,5592.4,4007.1,5490.4,2151.4,2363.8,8227.6,1963.1,1094.6,2762.2,1447.8,6687.6,9752.5,1131.3,2612.5,4629.7,9552.6,1263.0,6100.0
Brooklyn,5936.1,2083.4,3418.1,2966.2,533.7,8801.2,4665.1,4932.5,5643.3,2011.0,0,3538.4,5778.2,4399.2,4830.3,7245.1,2000.3,9382.6,7684.4,3978.6,7574.8,3628.7,2128.8,9905.0,1232.0,5756.1,6960.9,5813.2,9657.8,9623.1,6442.1,8659.1,4614.1,3075.6,4280.8,2923.8,3970.1,7049.0,8765.3,6456.3,3228.3,2976.2,1834.4,4968.2,6603.9,2855.7,4953.3,7078.7,1594.5,2861.0
Bedford,6818.2,5447.3,3511.5,4382.8,7916.5,4501.2,6290.5,801.5,736.2,8839.4,3538.4,0,1408.7,9689.4,5982.3,670.3,4564.5,4123.6,2684.1,2894.8,6872.7,4292.0,6502.4,3125.3,7486.7,7344.0,7705.9,3382.1,6109.8,633.4,2917.0,7599.6,4201.1,9088.3,5704.3,358.6,2883.1,486.6,7536.1,1821.6,8350.6,1682.3,5567.9,5986.7,119.7,5403.3,6440.3,4451.6,2412.6,9448.4
Ithaca,4979.7,3783.1,3443.7,4029.9,8280.4,3865.6,7490.6,8518.7,7748.9,3772.2,5778.2,1408.7,0,7291.0,871.0,8038.4,7249.4,6413.7,1348.4,2526.7,6726.5,6911.7,9177.1,9131.7,9573.4,2334.7,1042.7,7049.8,3451.1,5439.3,2045.6,445.9,3766.2,6978.3,6941.6,8175.8,7472.6,1203.5,3541.3,3209.9,9154.0,7757.3,5622.4,4571.6,5809.0,2873.4,7777.7,8731.1,5473.0,6474.6
Bronx,6022.5,1059.4,1287.1,4019.9,2043.2,1713.7,4806.3,3091.2,9057.0,4208.7,4399.2,9689.4,7291.0,0,8064.7,2819.6,5908.8,5681.6,2685.2,5132.7,1648.0,2754.7,5193.7,7316.9,9761.5,8116.1,6841.0,7971.1,8939.8,9399.0,9180.0,8216.8,2246.8,3540.0,6338.4,6577.8,5844.8,1785.5,1918.7,3401.6,1138.1,876.1,4152.0,8563.9,1983.0,8459.6,6835.3,5791.8,355.6,6240.5
Nyack,7607.5,9478.5,9768.7,9107.0,4028.9,1882.5,6257.7,99.9,845.9,7486.1,4830.3,5982.3,871.0,8064.7,0,9205.6,1394.6,7039.4,7021.3,4279.5,4767.8,8024.7,7543.2,9080.4,2824.8,4195.0,5962.1,462.3,8231.1,5225.0,2116.5,6616.2,2325.5,8475.7,634.7,7457.7,4675.3,2136.0,693.2,242.4,8076.3,1131.8,7129.0,9589.4,6444.5,299.3,1957.3,173.6,3310.7,5707.4
Herkimer,458.6,4572.6,2265.5,7237.0,4853.6,9388.6,3104.8,213.0,7656.9,1204.0,7245.1,670.3,8038.4,2819.6,9205.6,0,6843.7,4979.3,76.8,586.7,7825.0,5102.5,53.7,2652.8,8794.2,4504.3,8935.1,9455.9,830.6,3922.6,627.6,9021.5,2228.0,3927.4,4199.7,9721.0,218.6,9987.2,8189.5,2855.6,7233.3,3180.2,4231.4,5319.4,7173.2,4232.7,7117.3,5302.0,9228.4,1226.3
Gloversville,8733.2,8799.2,1504.8,1828.1,1933.2,2461.8,955.0,1056.4,8569.9,1395.0,2000.3,4564.5,7249.4,5908.8,1394.6,6843.7,0,1825.5,5197.5,5496.3,6400.8,4171.8,274.9,9751.8,8252.4,9727.2,26.7,6572.9,3862.3,9554.2,1887.3,6774.9,1190.9,5800.4,3223.5,1780.2,8216.3,7641.1,5760.7,6487.6,4947.8,349.6,2792.6,1411.8,2759.3,8789.4,2482.6,5393.6,7006.6,7370.0
