CSV,Syracuse,Dunkirk,Cheektowaga,Schenectady,Huntington,Binghamton,Glens Falls,Yonkers,Lackawanna,Seneca Falls,Sag Harbor,Herkimer,Bronx,Kingston,Harlem,Manhattan,Niagara Falls,Lockport,Elmira,Coney Island,Oneida,Clinton,Massena,New Rochelle,Ossining,Bedford,Hudson,Troy,Geneva,Levittown,Peekskill,Chautauqua,Plattsburgh,Port Washington,Corning,Watertown,Lake Placid,Gloversville,Stony Point,Hempstead,Olean,Oneonta,New Windsor,Potsdam,Staten Island,New Paltz,Forest Hills,Middletown,Fredonia,Brooklyn
Syracuse,0,2284.9,9393.3,9918.3,6745.9,2347.1,7293.5,9378.4,902.7,6333.4,791.3,9300.6,8169.8,3795.7,628.3,3527.2,25.8,2196.6,4965.1,9051.1,9853.6,2900.9,4670.6,7329.1,5515.2,2379.8,1665.5,137.6,6175.1,6137.9,4041.9,7142.7,6857.7,6752.3,3954.2,5578.0,4858.0,663.1,1273.9,9235.4,858.6,1797.7,4139.6,1745.5,4580.4,8170.2,1559.2,245.1,7056.7,5897.5
Dunkirk,2284.9,0,2441.7,2504.0,2378.4,9696.3,234.5,1736.1,6786.7,4076.4,9418.7,658.5,147.9,3487.2,3721.6,1069.6,2115.6,8639.0,2123.7,7262.8,4430.5,9914.5,4303.2,2812.6,6193.6,5231.9,9764.3,7683.2,1986.2,1100.3,1165.2,4791.5,4315.5,1268.3,2717.2,4387.9,1191.7,1732.3,448.4,4711.3,9571.7,8122.2,9346.5,889.3,8123.9,3429.8,7968.3,9387.2,4479.1,4370.2
Cheektowaga,9393.3,2441.7,0,6968.5,6048.9,7999.8,9593.4,5514.0,8945.6,8501.0,7302.8,8440.8,7110.1,3782.8,3504.9,9958.8,4222.5,3781.3,2377.7,4713.0,2672.8,9191.8,8094.2,4563.2,9051.3,7847.8,1356.8,1881.5,2072.7,4696.5,6076.9,9610.1,9470.7,9876.6,8937.1,8722.8,9651.2,3544.0,4114.0,1218.2,2540.2,5858.6,2639.4,2716.2,3156.8,593.2,3977.9,7148.4,5099.0,3153.5
Schenectady,9918.3,2504.0,6968.5,0,6700.4,7183.1,6303.1,1580.8,5842.9,7710.2,5467.6,1411.9,1291.1,5230.4,2600.5,7715.8,7246.7,493.3,4078.2,8034.7,8393.7,4000.4,4520.4,1744.7,887.4,7571.0,9189.9,7871.9,1030.4,4604.6,6796.8,3321.7,7236.5,3038.9,100.0,3041.2,6355.4,4330.9,4548.3,3625.4,5605.7,214.0,7581.6,3724.3,6494.6,919.4,6775.3,1828.6,2605.9,6083.0
Huntington,6745.9,2378.4,6048.9,6700.4,0,2934.0,7005.5,2531.3,3642.9,859.2,5411.8,4341.2,3422.5,2855.8,2035.6,337.4,9965.7,6591.3,2822.8,8538.6,7736.4,7707.4,3334.6,1670.7,4380.0,4359.4,8709.6,2544.6,500.2,294.6,5274.1,4079.0,5110.6,1044.6,3492.1,4187.8,7101.9,2384.2,5580.6,8778.3,8303.9,5824.7,8444.5,3680.4,6641.6,7413.5,3429.2,9818.4,6969.9,1780.4
Binghamton,2347.1,9696.3,7999.8,7183.1,2934.0,0,2333.1,1230.4,9661.8,5653.6,5432.5,7182.2,9048.0,5227.0,9888.6,5398.1,3903.7,1800.1,4227.8,6519.4,9924.6,4485.6,5637.9,7057.1,9561.2,1459.3,2053.8,4504.7,9776.0,1224.1,7391.4,8424.0,9242.3,5193.8,2868.1,6203.5,9880.8,1934.2,5609.7,7032.0,8787.1,3414.7,8549.1,8980.3,2798.5,4406.1,5215.1,4430.9,9298.3,4003.7
Glens Falls,7293.5,234.5,9593.4,6303.1,7005.5,2333.1,0,1716.7,3262.7,6811.3,6653.9,8849.9,8557.3,7593.9,9758.6,938.5,6470.4,8855.5,5977.4,5822.5,592.9,1126.3,4923.5,3802.2,8824.4,113.9,5999.9,4279.9,3883.9,4019.1,2353.4,8085.1,8836.5,2475.3,285.1,1767.5,69.2,576.0,3049.3,4461.5,6949.4,6123.5,2808.6,3032.0,5705.3,7615.9,4685.7,7019.4,6236.1,5568.4
Yonkers,9378.4,1736.1,5514.0,1580.8,2531.3,1230.4,1716.7,0,5421.1,2262.0,3807.8,8659.9,2972.1,8807.0,2492.9,8199.6,5167.7,1644.7,1587.9,8332.0,1697.5,10.7,7470.9,1802.3,6816.8,9954.0,8250.5,7371.2,1097.4,5090.2,166.7,5402.7,3766.9,303.2,9995.8,7215.3,4796.5,6779.6,3896.8,959.4,1202.1,5010.3,4334.7,2119.6,4472.1,33.5,6090.4,4352.7,8898.6,5073.6
Lackawanna,902.7,6786.7,8945.6,5842.9,3642.9,9661.8,3262.7,5421.1,0,3321.0,9701.0,9519.7,4171.9,1536.5,5015.6,3926.6,3750.5,5106.5,7751.8,4761.7,2627.9,4166.9,8610.3,8759.1,6362.3,7907.2,4911.3,1860.5,781.5,4976.6,4964.2,1822.7,130.5,3355.3,8602.7,6810.1,1681.0,3535.1,2234.5,6535.6,8737.7,8145.7,414.6,6671.3,5968.6,6509.9,3546.7,206.1,1890.1,2004.4
Seneca Falls,6333.4,4076.4,8501.0,7710.2,859.2,5653.6,6811.3,2262.0,3321.0,0,9020.1,3897.1,9108.4,1931.0,2609.3,6615.0,257.0,5945.3,2168.1,7073.3,7560.8,5378.6,2414.8,4509.1,2091.9,3114.4,2466.9,7636.3,3229.4,4570.6,7365.9,8517.9,6199.2,7396.6,8066.2,3512.4,4508.0,636.1,673.7,1523.0,5373.3,5610.8,8112.6,2407.0,78.9,107.1,3513.3,6026.3,8951.6,1215.9
Sag Harbor,791.3,9418.7,7302.8,5467.6,5411.8,5432.5,6653.9,3807.8,9701.0,9020.1,0,7360.9,6095.1,7766.7,8827.4,353.5,8433.5,3141.4,7609.2,5138.2,5507.7,643.2,2757.4,9498.2,3683.3,1053.9,8230.4,3124.5,9686.9,759.3,2397.9,5193.4,5947.1,5791.9,4448.7,528.7,892.4,876.3,1431.6,9305.0,8153.0,3790.3,4853.2,4375.6,597.8,3902.2,4283.3,7508.9,6757.9,3197.5
Herkimer,9300.6,658.5,8440.8,1411.9,4341.2,7182.2,8849.9,8659.9,9519.7,3897.1,7360.9,0,6091.7,8873.5,2862.9,8223.8,815.6,8211.2,2156.9,3540.5,9535.1,3678.8,6520.8,3789.3,9591.8,6722.5,5841.5,5345.7,4710.1,8061.7,5716.5,8519.9,4377.7,9543.2,2336.8,7741.4,8532.3,7619.4,7955.8,2617.5,2515.7,7464.8,7167.8,6594.0,2356.0,7122.6,575.0,5793.1,7573.0,5849.1
Bronx,8169.8,147.9,7110.1,1291.1,3422.5,9048.0,8557.3,2972.1,4171.9,9108.4,6095.1,6091.7,0,1884.0,8231.5,898.9,274.5,5871.9,4013.8,1229.8,8594.3,8105.5,7867.8,482.4,2788.4,7800.8,8833.6,8701.6,5580.7,9785.0,7859.0,8937.4,6300.1,8204.8,3742.6,2466.3,6523.7,8070.4,9585.4,2389.4,4715.5,3023.0,7061.4,5797.8,3001.8,3646.0,181.0,4832.9,3820.3,1547.2
Kingston,3795.7,3487.2,3782.8,5230.4,2855.8,5227.0,7593.9,8807.0,1536.5,1931.0,7766.7,8873.5,1884.0,0,4148.0,1488.4,6097.9,167.2,3407.9,7487.4,5917.9,6812.2,1087.1,9119.3,3906.0,455.9,6730.0,2627.6,6013.3,96.2,5367.8,7017.4,9298.4,6033.1,4715.2,6846.1,955.1,7670.0,5865.0,8857.2,4054.3,2258.5,4405.3,4464.3,1496.3,3636.2,7257.6,5405.5,5950.9,7524.5
Harlem,628.3,3721.6,3504.9,2600.5,2035.6,9888.6,9758.6,2492.9,5015.6,2609.3,8827.4,2862.9,8231.5,4148.0,0,7138.4,4374.1,4950.9,1751.7,2818.1,6304.9,835.6,1841.1,2382.6,1954.9,1171.0,4394.5,5648.0,8391.6,1034.5,6293.4,6315.6,9646.3,4413.7,9635.3,1407.9,3798.8,2623.6,2085.5,9953.5,3081.0,5043.1,7601.1,7863.1,7654.9,3856.7,6096.6,9021.2,8359.7,11.6
Manhattan,3527.2,1069.6,9958.8,7715.8,337.4,5398.1,938.5,8199.6,3926.6,6615.0,353.5,8223.8,898.9,1488.4,7138.4,0,5559.2,9883.6,8118.6,5690.1,9343.7,8310.0,4611.3,9472.0,5729.2,1806.6,5659.1,1558.9,2528.7,38.2,3663.6,6976.5,6740.4,3561.3,3500.2,9536.9,4864.1,7668.3,6511.8,6552.6,7845.0,1868.5,4507.6,5153.9,7641.2,6922.5,1152.9,6946.9,5914.9,6024.5
Niagara Falls,25.8,2115.6,4222.5,7246.7,9965.7,3903.7,6470.4,5167.7,3750.5,257.0,8433.5,815.6,274.5,6097.9,4374.1,5559.2,0,1356.5,6253.9,2568.5,3672.8,5842.8,3746.9,4221.9,3876.2,2528.5,7305.6,7723.8,5329.2,1921.6,1779.9,2178.7,324.3,2529.3,3213.2,4194.9,9070.1,6931.4,572.1,4368.3,1076.3,9897.7,6057.9,5132.8,7427.5,323.5,4320.0,948.5,9338.2,780.5
Lockport,2196.6,8639.0,3781.3,493.3,6591.3,1800.1,8855.5,1644.7,5106.5,5945.3,3141.4,8211.2,5871.9,167.2,4950.9,9883.6,1356.5,0,2756.1,6064.4,3338.3,8790.8,9716.3,7346.2,3032.6,249.1,5245.8,2762.3,522.3,5550.8,7973.5,8449.1,5208.7,6992.8,7554.7,7093.7,1815.4,7091.8,1622.8,4874.2,8821.7,852.3,856.9,4133.5,7495.8,3400.2,5212.8,1733.9,5536.7,6132.7
Elmira,4965.1,2123.7,2377.7,4078.2,2822.8,4227.8,5977.4,1587.9,7751.8,2168.1,7609.2,2156.9,4013.8,3407.9,1751.7,8118.6,6253.9,2756.1,0,5313.9,1309.1,7341.2,9093.0,8314.1,5663.2,494.4,2539.9,5591.4,5041.7,6386.0,5833.1,2260.6,4474.6,6572.8,2461.2,430.8,6744.1,2891.0,9163.9,8533.3,8577.9,2986.8,7303.0,3525.7,6468.0,648.7,2385.0,8025.4,6641.1,4151.9
Coney Island,9051.1,7262.8,4713.0,8034.7,8538.6,6519.4,5822.5,8332.0,4761.7,7073.3,5138.2,3540.5,1229.8,7487.4,2818.1,5690.1,2568.5,6064.4,5313.9,0,3299.1,7860.1,4085.1,1152.1,4623.3,9682.9,4848.9,9164.4,3052.2,4258.3,4562.3,9190.9,1019.8,2458.3,4935.1,5102.7,7127.1,5928.4,6688.6,673.8,8160.7,4701.3,5321.0,5203.6,2930.1,3041.6,4944.9,7600.9,9111.8,3417.6
Oneida,9853.6,4430.5,2672.8,8393.7,7736.4,9924.6,592.9,1697.5,2627.9,7560.8,5507.7,9535.1,8594.3,5917.9,6304.9,9343.7,3672.8,3338.3,1309.1,3299.1,0,1560.3,2831.8,3162.6,2057.9,8131.9,5744.4,1653.0,8.5,4334.1,3777.5,6605.0,187.5,9924.9,5568.3,6035.1,553.5,7737.0,2673.9,729.8,7565.1,2405.3,3057.4,7170.4,5160.3,9987.2,5307.0,4836.7,612.2,4995.5
