CSV,Garden City,Saratoga Springs,Troy,Yonkers,Ossining,Middletown,Mineola,Herkimer,Sag Harbor,Auburn,Stony Brook,Rome,Watertown,Cheektowaga,Clinton,Johnstown,Saranac Lake,Tarrytown,Crown Point,Ogdensburg,Dunkirk,Oswego,Rensselaer,Hammondsport,Port Washington,Schenectady,New Windsor,Amsterdam,Tonawanda,Olean,Queens,Kingston,Huntington,Brooklyn,Seneca Falls,Lockport,Forest Hills,Poughkeepsie,New York City,Syracuse,Oyster Bay,Oneonta,Coney Island,Rochester,Batavia,Gloversville,Mount Vernon,Southampton,Bedford,Bronx
Garden City,0,3618.4,4811.9,7318.6,5435.4,4032.6,3353.4,1786.0,2601.1,1006.0,5804.6,2008.4,5611.3,1910.4,8775.0,1742.4,7870.6,1771.9,8850.2,8683.6,6436.8,9971.5,8779.6,7284.4,9742.8,3303.5,8018.4,6775.9,858.8,8592.7,2893.5,5470.4,9071.4,2309.0,3274.2,9816.1,6960.6,6799.0,381.3,2228.5,8022.8,549.0,6666.1,7147.4,8946.2,7698.3,6513.5,4497.1,1528.5,7906.6
Saratoga Springs,3618.4,0,127.1,6509.2,2510.0,2569.3,8900.8,6398.3,397.8,5665.7,7560.2,4234.3,8092.9,9329.8,3597.8,6715.5,1208.8,6192.8,5250.7,8397.2,5752.2,5951.7,7971.6,999.3,4309.5,867.7,380.8,4356.2,9367.8,1805.4,2120.7,7868.8,4333.0,5619.2,1715.2,4030.3,5447.1,616.3,3000.5,9291.5,860.0,5817.2,9172.7,9273.9,9463.6,829.4,5682.3,5663.6,2223.8,4120.9
Troy,4811.9,127.1,0,6352.9,8427.1,1077.9,3597.3,591.3,5782.4,2780.8,2993.7,8886.7,8904.3,5266.3,2295.8,627.1,3094.6,2116.6,6732.4,8382.8,3951.8,3234.2,4272.9,4103.9,363.5,2450.1,6120.4,3083.1,1509.4,7188.9,4236.6,6062.6,505.8,4293.7,835.6,929.7,7716.3,5381.8,1941.6,6621.5,1447.9,9121.7,9252.2,9123.9,1544.7,9735.0,9195.3,3988.3,6530.2,5148.2
Yonkers,7318.6,6509.2,6352.9,0,4894.9,3851.0,1350.2,3263.3,1087.8,254.1,219.3,1172.7,8356.6,9257.3,9998.1,434.4,7064.1,1190.0,9515.9,7214.9,3282.3,5637.4,9023.3,172.5,5755.8,9347.8,5285.8,8637.1,5448.8,6806.3,3593.2,2587.9,2028.9,1642.8,862.5,5298.9,1750.2,818.9,6459.4,423.1,129.3,4247.2,8734.8,8004.7,4739.4,69.0,4933.1,6974.9,7121.1,3708.4
Ossining,5435.4,2510.0,8427.1,4894.9,0,3836.6,8838.9,8473.0,6159.3,740.7,6189.7,8259.7,7375.2,8163.2,6888.9,4652.3,2175.4,2509.2,7050.3,8169.4,5799.8,6960.4,5620.6,132.0,2751.1,9146.5,2462.2,7159.5,1864.4,1345.1,9485.9,3893.5,3702.3,1627.8,7452.9,8973.4,73.1,622.5,3879.4,1471.9,8036.0,9418.5,7381.1,8471.2,8503.9,7263.5,9089.8,4847.4,6521.6,2416.6
Middletown,4032.6,2569.3,1077.9,3851.0,3836.6,0,1035.2,8567.8,1897.7,5820.3,4078.6,6762.2,5456.1,8837.2,8955.4,2396.2,8538.6,5778.6,15.1,7060.9,8333.3,9790.3,2081.3,931.9,4383.9,4401.7,9775.0,5558.6,4163.6,8505.5,530.5,6130.8,4961.7,5122.3,8884.4,3808.8,5734.5,5460.0,9844.6,54.6,5860.4,8440.9,6378.5,2002.7,3359.0,8512.1,4259.2,4546.0,6201.1,3084.3
Mineola,3353.4,8900.8,3597.3,1350.2,8838.9,1035.2,0,7054.3,9455.6,6557.7,5300.4,956.0,1845.6,8680.3,6684.8,3474.8,5156.8,2498.3,3170.8,6360.6,3517.8,8710.5,4211.6,3844.0,1550.5,634.2,8597.6,4375.4,1215.7,9827.5,3983.2,5312.4,9958.7,6969.1,8939.5,8406.3,983.7,7410.2,2584.0,9672.8,330.8,1566.6,5758.5,3231.7,7372.6,2075.1,1635.8,9061.2,6780.7,1492.3
Herkimer,1786.0,6398.3,591.3,3263.3,8473.0,8567.8,7054.3,0,9637.6,7451.4,8231.9,2581.8,4534.8,7287.2,9658.7,4155.9,8271.1,447.8,8982.6,5175.3,2991.7,3624.1,253.8,1603.5,5163.8,1892.2,581.0,6415.4,5489.6,474.0,9557.1,1431.5,7559.0,5744.5,5032.1,7738.3,3083.8,6243.9,6204.3,3323.8,6491.3,5077.7,2057.9,2439.7,6854.1,4064.2,99.1,857.0,409.0,6856.7
Sag Harbor,2601.1,397.8,5782.4,1087.8,6159.3,1897.7,9455.6,9637.6,0,6979.9,4419.5,9896.6,6134.2,6912.5,4249.5,9574.9,8351.2,5652.5,1408.9,4972.3,5853.2,2975.7,7598.6,4122.9,4628.6,8812.5,3772.4,2549.8,3911.6,2727.9,5647.6,7983.6,4782.4,6477.5,9870.8,7392.4,420.8,9615.1,3210.1,1422.4,7753.2,1129.5,8147.5,5611.5,3413.7,2021.5,2234.3,3569.2,9166.5,6079.8
Auburn,1006.0,5665.7,2780.8,254.1,740.7,5820.3,6557.7,7451.4,6979.9,0,9909.1,6294.8,448.7,1833.6,3357.3,7175.1,9025.7,4135.8,520.8,2147.1,1088.5,7802.9,9540.9,6689.5,4811.8,3774.5,5217.2,1407.2,8492.4,3266.9,2680.9,6132.9,4552.5,1696.7,6616.3,9538.4,2775.4,5834.0,3308.1,2043.8,9067.2,9123.4,3465.9,6743.6,6046.9,2547.5,295.7,4430.6,3866.4,6387.8
