CSV,Staten Island,East Aurora,Stony Point,Buffalo,Troy,Syracuse,Coney Island,Beacon,Saratoga Springs,Elmira,Harlem,Oneonta,Yonkers,New Windsor,Huntington,Hyde Park,Herkimer,Newburgh,Olean,Brooklyn,Southampton,Cortland,Nyack,Ossining,Poughkeepsie,Ilion,Glens Falls,Watertown,Lake Placid,Utica,Jamestown,Great Neck,Rotterdam,Watervliet,Middletown,Manhattan,Eastchester,Plattsburgh,Niagara Falls,Mamaroneck,Tarrytown,Oyster Bay,Lackawanna,Peekskill,Rensselaer,Clinton,Ogdensburg,Potsdam,Mineola,Crown Point
Staten Island,0,2693.6,8601.2,2023.0,8660.6,448.3,2056.6,4035.9,7948.0,3529.8,810.9,2119.4,4689.2,7964.2,4481.3,8407.9,447.8,3082.3,9626.1,4790.6,7391.3,5811.0,6597.8,1551.1,1840.2,6468.7,3153.9,2299.8,3469.1,7171.8,9409.8,6536.9,2686.4,774.9,7916.6,2108.9,3618.0,8179.7,4963.7,5489.2,64.3,9875.9,9639.6,2121.3,687.7,9619.6,4850.9,1878.2,3570.2,7610.4
East Aurora,2693.6,0,3692.6,4715.2,4187.5,5058.9,6428.4,8738.3,2718.8,8333.7,9640.2,5257.7,6319.3,5642.1,6544.2,517.6,8924.7,8534.7,6576.4,5397.3,4369.6,76.7,2044.6,4190.8,5573.6,890.1,568.4,779.8,2571.0,7537.6,6659.1,7214.6,9063.1,19.7,5705.4,4983.2,1427.5,1276.7,7524.6,9427.9,616.5,8061.7,5755.7,4335.8,7813.7,4767.3,726.6,3240.0,7547.5,3872.6
Stony Point,8601.2,3692.6,0,4908.8,6770.7,4567.0,2415.4,2764.3,1600.5,8301.3,8607.3,140.7,7743.9,193.0,6677.5,7040.3,2872.3,500.0,9431.1,9901.4,559.6,3316.9,57.4,2293.6,6563.0,657.1,9698.1,3959.6,9583.7,6817.9,5776.2,2633.7,5054.3,9208.8,6097.4,6824.6,5754.0,5166.5,6491.4,5309.6,6579.2,1063.6,9663.9,9141.8,7080.8,448.7,1504.0,3567.4,3505.0,9334.6
Buffalo,2023.0,4715.2,4908.8,0,1144.8,7789.1,6066.3,6343.8,9353.0,6432.4,5500.5,4231.5,4854.3,919.1,7388.7,7355.6,8344.1,5335.3,9391.7,2445.0,3112.6,340.6,9232.3,3742.7,930.4,2148.8,5090.7,1434.4,3678.0,5138.8,6408.1,9520.1,6071.1,1062.8,607.0,2242.1,4326.4,6291.3,6957.6,1979.5,794.1,9819.4,6547.5,5766.9,6130.8,8168.4,5901.3,477.8,1763.1,1119.3
Troy,8660.6,4187.5,6770.7,1144.8,0,659.4,5549.8,7877.2,1760.8,9873.6,720.3,4314.8,1547.1,5794.2,4808.6,5929.3,9244.9,9834.6,9700.5,4595.4,9431.8,9991.9,6140.5,6829.3,86.4,9482.5,8926.0,6641.5,8007.2,6475.8,6804.5,2383.3,7695.9,4169.8,3737.7,166.0,253.0,1125.7,4269.5,7980.4,2242.9,9616.4,5024.6,8415.6,7661.1,6704.3,15.5,5627.1,2591.6,4826.2
Syracuse,448.3,5058.9,4567.0,7789.1,659.4,0,531.9,641.8,7962.9,5676.6,5343.4,9663.3,7433.6,1540.3,4014.4,3447.3,8393.0,5987.5,7195.8,5522.8,1253.3,63.3,6141.5,3250.1,4721.5,7230.9,6224.5,2419.0,120.3,6202.9,3925.7,220.9,7941.0,6955.8,2370.9,3710.8,4660.3,510.7,4693.3,7447.7,250.7,6428.9,5237.1,8763.1,5501.6,3300.2,7337.5,733.3,5215.8,3936.9
Coney Island,2056.6,6428.4,2415.4,6066.3,5549.8,531.9,0,2748.1,1656.0,1398.0,4149.7,7452.7,4203.4,9996.8,970.3,4087.4,5729.3,4550.5,3464.5,4716.3,2732.2,5785.4,1122.8,6774.4,9456.1,1632.9,8769.7,1203.1,1042.9,2417.6,2149.6,7222.1,8699.5,9160.9,7990.0,2147.8,8448.9,5469.8,8971.6,1802.1,2825.6,6633.9,102.8,7016.8,4150.7,4707.3,8714.6,1763.4,7872.2,5438.4
Beacon,4035.9,8738.3,2764.3,6343.8,7877.2,641.8,2748.1,0,7446.1,7633.5,2982.7,346.4,8062.7,9536.7,6372.7,5241.2,2731.6,361.0,5097.2,9355.4,3861.1,6650.0,7806.2,1080.7,4483.3,1116.7,7595.0,8487.3,6060.6,6336.1,188.5,3945.8,4098.1,1476.5,2392.0,6553.2,5568.9,8178.8,9292.2,8049.9,5353.1,3276.2,60.9,3139.7,5402.9,7157.5,2369.1,9993.7,2481.8,738.4
Saratoga Springs,7948.0,2718.8,1600.5,9353.0,1760.8,7962.9,1656.0,7446.1,0,7376.2,9441.4,3861.3,5038.3,813.5,281.0,6847.2,4495.4,4354.3,5509.3,5907.9,1967.9,5053.9,4603.7,7936.0,4970.0,8407.5,126.0,2328.4,7132.6,1458.8,3142.3,7115.5,9554.1,9232.7,9050.7,2798.2,933.2,9578.4,9550.7,4201.1,2882.3,7267.3,9781.7,2744.4,7204.3,923.2,7709.4,631.9,9066.3,2306.1
Elmira,3529.8,8333.7,8301.3,6432.4,9873.6,5676.6,1398.0,7633.5,7376.2,0,4738.3,2675.5,9114.0,4081.6,2427.9,7227.0,6554.2,5063.1,1272.0,5878.8,1914.4,2412.8,5799.9,9809.9,9017.2,4427.2,3719.0,6672.5,4519.3,2340.3,5919.8,6320.8,1848.4,5701.7,2615.5,7049.1,7624.5,6548.8,1420.0,2346.6,1317.4,5475.9,8591.2,3422.0,7866.3,8545.5,9128.5,7402.4,9097.0,6378.8
