CSV,Auburn,Eastchester,Cohoes,Seneca Falls,Flushing,Buffalo,Mineola,Watertown,Sag Harbor,Babylon
Auburn,0,64.4,34.7,19.7,59.0,26.4,20.2,25.2,99.4,73.8
Eastchester,64.4,0,42.0,0.2,14.7,87.0,5.4,97.7,14.6,31.7
Cohoes,34.7,42.0,0,8.9,96.0,54.5,3.6,53.1,16.0,52.4
Seneca Falls,19.7,0.2,8.9,0,15.0,88.8,93.4,67.9,69.6,3.0
Flushing,59.0,14.7,96.0,15.0,0,84.4,65.4,30.4,75.9,79.5
Buffalo,26.4,87.0,54.5,88.8,84.4,0,21.8,97.1,45.2,70.8
Mineola,20.2,5.4,3.6,93.4,65.4,21.8,0,94.2,80.3,69.3
Watertown,25.2,97.7,53.1,67.9,30.4,97.1,94.2,0,20.5,83.4
Sag Harbor,99.4,14.6,16.0,69.6,75.9,45.2,80.3,20.5,0,39.9
Babylon,73.8,31.7,52.4,3.0,79.5,70.8,69.3,83.4,39.9,0
