CSV,Schenectady,Rensselaer,Hyde Park,Ilion,Troy,Sag Harbor,Middletown,Peekskill,Rotterdam,New Rochelle,Port Washington,Harlem,Watertown,Fredonia,Rome,Scarsdale,Flushing,Rochester,Potsdam,New York City,Hudson,Stony Brook,Plattsburgh,Huntington,Albany,Cheektowaga,Hammondsport,Queens,Newburgh,Kingston,East Aurora,Oyster Bay,Olean,Levittown,Jamestown,Auburn,Seneca Falls,Coney Island,Utica,Ogdensburg,Tonawanda,Lockport,Rye,Ossining,Beacon,Manhattan,Cortland,Watervliet,Oneonta
Schenectady,0,6244.8,6386.5,3010.6,4489.0,4920.6,994.4,1976.4,4134.4,5391.1,9563.9,787.7,7061.8,8160.6,1853.5,5022.3,2031.1,4897.9,7663.6,4599.7,6128.2,3486.0,5577.2,5604.9,5150.2,8661.0,1325.3,6161.6,2122.5,2097.8,7621.0,1541.6,6628.0,9986.6,8948.3,1823.0,4918.3,9209.1,8591.8,2098.2,7339.2,5786.9,1864.9,3245.5,8036.1,8765.3,9436.8,1733.4,1438.6
Rensselaer,6244.8,0,8433.3,74.3,9779.2,313.2,6819.2,7327.1,7344.4,8201.1,5514.0,6270.2,6933.0,9238.6,4063.2,6319.6,1074.6,4112.0,3967.3,6816.0,9824.8,6127.2,7516.7,2337.1,9269.5,3403.5,7776.8,6172.5,9400.0,4222.0,1538.1,1058.1,7580.5,909.0,6411.5,239.3,1859.3,9800.2,9678.3,6348.5,3931.6,2954.5,969.7,1689.8,9498.6,5024.5,7638.8,3361.6,4947.0
Hyde Park,6386.5,8433.3,0,2136.3,5344.7,8866.6,6924.6,7734.8,3347.9,2539.2,8920.8,5821.7,3525.7,7251.3,1670.3,1904.7,5093.2,1293.1,2073.7,35.9,2614.9,3570.8,1038.6,5672.7,6691.4,8974.4,3844.8,9243.1,5055.8,7872.7,5361.3,5200.6,1913.2,5216.3,3784.8,4950.2,455.3,7712.8,9468.1,9637.0,9424.2,4951.5,6148.9,2340.2,9436.1,1339.1,4208.0,5259.3,3545.9
Ilion,3010.6,74.3,2136.3,0,5335.0,7008.6,5837.3,8902.2,9298.3,5162.7,5426.2,1184.5,6128.3,1792.8,37.8,8071.2,844.0,6804.2,6258.3,2084.6,8158.5,495.8,5053.3,6076.8,3945.0,2007.7,2279.9,8931.8,5393.2,4839.7,84.7,80.4,2344.9,7068.6,117.1,5769.7,6690.3,9169.0,4043.4,5343.0,775.8,8889.5,2743.1,8970.0,3731.3,4626.7,1478.7,4026.8,7837.4
Troy,4489.0,9779.2,5344.7,5335.0,0,9285.9,6662.0,4273.4,5558.9,651.6,6029.3,2812.9,2336.4,6814.1,6030.2,5173.1,4837.9,4917.9,2379.9,9293.3,2080.2,2067.8,2991.0,2413.8,2658.1,5976.2,9323.3,6516.5,7796.3,5567.0,451.0,4093.4,3991.0,8851.5,9724.0,8611.0,9231.4,3573.3,901.7,8094.7,2374.0,8625.1,2957.1,8380.8,6010.5,2459.9,7701.2,8356.0,2932.7
Sag Harbor,4920.6,313.2,8866.6,7008.6,9285.9,0,4909.0,1000.7,1455.9,1074.7,1470.4,865.8,9425.7,2089.1,4467.4,2423.4,683.0,4449.9,8859.2,8720.6,6079.2,7478.3,9342.6,5888.6,5353.7,3727.1,5034.9,5478.9,9313.6,8375.8,2213.7,5263.6,3043.1,9763.8,3652.9,6389.3,2562.4,6929.4,7937.1,5278.3,2024.6,9608.7,9308.1,7109.1,9187.1,2888.8,527.0,8308.7,4891.4
Middletown,994.4,6819.2,6924.6,5837.3,6662.0,4909.0,0,995.9,9586.0,8197.5,1848.2,5646.3,8953.9,8947.1,3458.2,1564.2,6367.8,5914.6,7272.0,6961.3,705.7,168.2,6237.1,6649.9,6776.9,3143.2,3000.8,4998.1,9575.9,8426.6,9023.1,9896.2,2131.0,1796.0,1058.9,6557.3,3804.2,2469.9,7355.9,4329.6,5077.5,376.4,5058.9,9775.1,1454.0,4838.0,2626.5,5730.4,6341.0
Peekskill,1976.4,7327.1,7734.8,8902.2,4273.4,1000.7,995.9,0,9051.8,7761.8,1086.7,3783.9,1926.9,3861.5,5613.0,2133.9,2707.5,9502.3,2537.6,1666.5,9666.1,472.3,1918.3,9313.5,5890.4,2580.2,7783.2,198.2,0.1,5692.4,600.3,1837.7,5852.2,9548.4,2076.2,6029.2,5489.1,7640.3,4694.7,1140.7,16.9,3347.2,4156.9,6682.1,343.4,772.3,4316.5,1297.0,6671.0
Rotterdam,4134.4,7344.4,3347.9,9298.3,5558.9,1455.9,9586.0,9051.8,0,1935.1,388.5,4485.9,3021.6,6711.1,3486.4,3865.4,9878.8,7647.4,4432.6,4976.1,9087.3,4414.9,293.1,6319.4,1120.8,1915.8,5580.6,5288.5,2967.6,5878.1,8463.1,8478.6,5858.6,801.7,3356.1,7646.2,1014.4,7726.8,113.7,1518.0,2607.0,482.4,44.0,396.6,5784.2,9299.7,501.0,665.6,9874.9
New Rochelle,5391.1,8201.1,2539.2,5162.7,651.6,1074.7,8197.5,7761.8,1935.1,0,6872.4,1300.5,2905.8,5164.2,2180.2,1951.8,7752.4,5899.1,8919.4,2625.5,5004.7,597.2,3576.4,9569.0,3546.6,9162.9,4562.1,3271.5,1866.3,5893.4,9791.6,516.1,3300.9,8284.5,4969.8,680.5,8060.9,3363.0,2180.6,8152.2,2938.4,3129.0,4242.7,3937.9,5414.6,9601.6,5561.3,3002.2,8350.8
